COGID	AntangWesternSandong	BanliangYangAn	DujiangEasternSandong	JiaoliPandong	JiarongSouthernSandong	JiuqianSouthernSandong	Pandong	RenliEasternSandong	SanjiangEasternSandong	ShuigenCentralSandong	ShuiweiSouthernSandong	ShuiyaoSouthernSandong	TangnianYangAn	TangzhouWesternSandong	TingpaiWesternSandong	ZhongheCentralSandong
10620			h j ai ¹	h j a ŋ ¹			h j u ¹	h j ai ¹								
4356	l w ə ¹			l w ə ¹											l w a ¹	
8953			ⁿb j u m ¹					ⁿb j u m ¹	ⁿb j u m ¹	ⁿb j u m ¹						ⁿb j u m ¹
4357	ts aː p ¹			ts a ¹	ˀd a ¹											
3482		ȵ o n ¹	ȵ o n ¹		ȵ o n ¹	ȵ o n ¹		ȵ w a n ¹	ȵ o n ¹	ȵ o n ¹	ȵ o n ¹		ȵ u n ¹		ȵ o n ¹	
1182				n a ¹			n a ¹									
3415							h̃ w aː t ¹						h̃ w aː t ¹			
137		ɣ aː ŋ ¹			ɣ aː ŋ ¹	ɣ aː ŋ ¹					ɣ aː ŋ ¹	ɣ aː ŋ ¹	ɣ aː ŋ ¹			
9401				ȵ w ə t ¹		ȵ u t ¹	ȵ w ə t ¹	n j u t ¹	n j u t ¹	ȵ u t ¹	ȵ u t ¹	ⁿj u t ¹		ȵ u t ¹	ȵ u t ¹	
3053	k w a n ¹					k w a n ¹										
7937					tʰ o ŋ ¹	tʰ o ŋ ¹						tʰ o ŋ ¹				
1996	p o n ¹	p o n ¹								pʰ o n ¹			pʰ o n ¹	p o n ¹	pʰ w a n ¹	pʰ o n ¹
10830		kʰ aː ŋ ¹			kʰ aː ŋ ¹	kʰ aː ŋ ¹		kʰ aː ŋ ¹	kʰ aː ŋ ¹	kʰ aː ŋ ¹	kʰ aː ŋ ¹	kʰ aː ŋ ¹			kʰ aː ŋ ¹	kʰ aː ŋ ¹
8732				t e k ¹			t e k ¹					t e k ¹				
6419				v w ə ŋ ¹			ⁿb w ə ŋ ¹	v aː ŋ ¹	v aː ŋ ¹							
10800					ˀd aːi ¹	ˀd aːi ¹					ˀd aːi ¹	ˀd aːi ¹				
4305		qʰ aːu ¹			qʰ aːu ¹	qʰ aːu ¹					qʰ aːu ¹	qʰ aːu ¹				
2249		t j aːi ¹											t j aːi ¹			
1018									ⁿb u ¹			ˀb i ¹				
10829	l u m ¹		l u m ¹	l u m ¹			l u m ¹						l u m ¹	l u m ¹	l u m ¹	l u m ¹
344		kʰ a m ¹	h j a m ¹	h j a m ¹						ɕ a m ¹	qʰ a m ¹	qʰ a m ¹	ɕ a m ¹	ɕ a m ¹	ɕ a m ¹	ɕ a m ¹
6071				kʰ i n ¹			kʰ i n ¹				kʰ i n ¹					
8417								k o ¹	k o ¹							
1971	ts i m ¹	ts i m ¹	ȶ i m ¹	ts ə m ¹		ts j u m ¹	ȶ i m ¹						ts i m ¹	ts i m ¹	ts i m ¹	
10451						ɕ o ¹		h j o ¹	h j o ¹		h o ¹		ɕ o ¹	ɕ o ¹		
3918		ɣ ə t ¹													ɣ ə t ¹	
967		q aː ŋ ¹			q aː ŋ ¹	q aː ŋ ¹					q aː ŋ ¹	q aː ŋ ¹				
4828	n u ¹	n u ¹	n u ¹	n u ¹						n u ¹			n u ¹	n u ¹	n u ¹	n u ¹
862							q au ¹					q a ¹				
3824		q aːu ¹											q aːu ¹			
2623										t o ŋ ¹	t o ŋ ¹	t o ŋ ¹			t o ŋ ¹	
6856					j j u ¹	j j u ¹					j j u ¹	j u ¹				
9783					p a n ¹			p a n ¹	p a n ¹		p a n ¹					
2319	j ə n ¹	j ə n ¹	j ə n ¹	j a n ¹		j ə n ¹	j a n ¹	j ə n ¹		j ə n ¹	j ə n ¹		j ə n ¹		j a n ¹	
7000		ȵ a ¹	ˀȵ a ¹			ˀȵ a ¹		ȵ a ¹	ȵ a ¹	ˀȵ a ¹	ˀȵ a ¹		ȵ a ¹		ˀȵ a ¹	
5284		h aːu ¹											h aːu ¹			
3294		t j a k ¹			t a k ¹			ⁿd j a k ¹					ⁿd j a k ¹			
5825				p j a ¹			p j a ¹									
8008					s aːu ¹	s aːu ¹						s aːu ¹				
8783		ɣ o ¹					ɣ o ¹						ɣ o ¹			
4537					x o ¹						x o ¹	h o ¹				
