COGID	Achang	Bela	Lashi	Maru	Phon	WrittenBurmese	Zaiwa
1-1	m au ⁵						
4-1	l au ³						
18-1	n j ɛ ŋ ³¹						
19-1	n au ʔ ³¹						
44-1	d l u ³²						
50-1	j u ŋ ³						
62-1	s ai k ⁵⁴						
70-1	b a n ³¹						
75-1	n j ɔ̰ ʔ ³¹						
97-1	d j a ŋ ³						
112-1	tsʰ au ³						
122-1	n j u k ³²						
127-1	kʰ j ɛ ³						
132-1	d w ɔ ʔ ³¹						
133-1	n au ʔ ³						
135-1	n au ⁵						
142-1	d z a̰u i ⁵						
143-1	d ŋ ɔ̰ ʔ ³¹						
149-1	ʔ u ⁵⁴						
152-1	ŋ a ³ ³¹						
157-1	b u ³						
183-1	ʔ u ³						
184-1	n u ŋ ʔ ⁵⁴						
185-1	tsʰ a m ³						
189-1	d j ɔ̰ ʔ ³¹						
192-1	n ɔ̰ ³¹						
195-1	n i ³						
200-1	d au ʔ ³¹						
216-1	s j ai ŋ ³						
218-1	l u ʔ ³¹						
225-1	s ai ŋ ³						
235-1	kʰ j ɛ ³¹						
244-1	s i ³						
253-1	m i ³						
270-1	m j ei ³¹						
278-1	n j ɛ ŋ ³						
279-1	d u ɔ ³						
285-1	d j au m ³						
308-1	d d j ɛ ⁵						
322-1	m j ei ⁵						
325-1	kʰ j au ⁵						
337-1	n j a ŋ ³¹						
341-1	d z ɔ ⁵						
347-1	j u ʔ ⁵³						
362-1	d j i ³						
391-1	j ɛ p ³¹						
394-1	m ɔ ʔ ³¹						
397-1	dʒ ei ʔ ³¹						
443-1	n j ɔ̰ p ³¹						
460-1	s a ʔ ³¹						
463-1	d w i ³¹						
464-1	j u ŋ ³						
473-1	s a m ³						
476-1	kʰ j u k ³²						
481-1	tsʰ au ³ ³						
494-1	j ei ³						
496-1	n j u ŋ ³						
516-1	w i ³						
522-1	n a ʔ ³¹						
523-1	pʰ j au ³						
524-1	n i ³						
540-1	kʰ u ⁵						
3-1	d ɛ ³¹						
6-1	k j ḭ ⁵						
7-1	dʒ u m ³						
20-1	n a p ³¹						
51-1	ŋ u ʔ ³¹						
64-1	kʰ j u ŋ ³¹						
65-1	k j u ⁵⁴						
66-1	ts au ⁵						
71-1	s i ⁵						
72-1	ʔ u ³						
76-1	w ɔ ³						
77-1	n j ɛ k ³						
78-1	m au ³¹						
82-1	b j au ³						
87-1	d ŋ ɔ̰ ³¹						
93-1	l a m ³						
94-1	n j ei k ⁵³						
100-1	s w a n ³						
116-1	d l u ³						
119-1	w a m ³						
124-1	pʰ j ə ³						
136-1	l u i ⁵						
137-1	d j i ʔ ⁵						
144-1	s a t ⁵⁴						
145-1	d u ŋ ³						
146-1	m j au ⁵						
150-1	d j u ʔ ⁵³						
154-1	m j i ⁵						
165-1	kʰ j a m ³						
166-1	d j ɔ ³¹						
169-1	k j u ŋ ³¹						
170-1	d j ɔ ³¹						
171-1	j a ŋ ⁵						
174-1	l a m ³¹						
181-1	n j ɔ̰ ʔ ³¹						
193-1	b u ³						
205-1	n a ṵ ʔ ⁵⁴						
206-1	m j ɔ̰ ʔ ³¹						
212-1	d j ɔ ʔ ⁵⁴						
214-1	l a m ³						
217-1	ʔ u ³						
224-1	n i ⁵						
228-1	b u ŋ ³¹						
238-1	j au ⁵						
241-1	ʃ ɔ ⁵						
246-1	d j ɛ ⁵						
256-1	ʔ u ŋ ³						
257-1	pʰ u ʔ ³¹						
272-1	m ɔ ⁵						
273-1	ʔ a ŋ ³¹						
274-1	m a ŋ ³¹						
286-1	kʰ j a m ⁵³						
289-1	kʰ u ŋ ³						
294-1	w a ³						
301-1	j ɔ ʔ ³¹						
306-1	kʰ j ɔ p ³¹						
307-1	j a p ³¹						
321-1	tʰ a ŋ ³¹						
331-1	n j ɔ̰ ³¹						
332-1	l a m ³						
335-1	g j ɔ ⁴³						
336-1	n j a m ³						
340-1	ŋ au ʔ ⁵						
342-1	m j i ʔ ⁵						
360-1	dʒ w ɔ p ³¹						
376-1	s a ʔ ³¹						
389-1	n ɛ k ⁵⁴ ³¹						
395-1	n ɔ ³¹						
401-1	dʒ ei ³¹						
404-1	d u ŋ ⁵						
408-1	d w ɔ ⁵						
409-1	l ṵ ³						
413-1	d j au m ³						
421-1	n j u k ³²						
425-1	pʰ j ə ³						
430-1	dʒ ɛ t ³¹						
442-1	d ə ³						
447-1	tʰ u ŋ ⁵						
456-1	g ɔ ⁵						
458-1	dʒ au ⁵						
469-1	kʰ j au ⁵						
470-1	d a p ³¹						
475-1	m ɔ̰ ⁵						
477-1	n j æ̰ k ʔ ⁵⁴						
478-1	j ɛ t ³¹						
480-1	g j au ʔ ⁵						
485-1	m j ɔ̰ ⁴²						
495-1	n ɛ ³						
499-1	n j a̰ ŋ ³¹						
500-1	n ɔ m ³						
501-1	tʰ ə ³						
506-1	dʒ j a t ³¹						
507-1	n ɔ̰ ³¹						
509-1	l a ³						
510-1	b a ŋ ⁵						
511-1	l ṵ ³¹						
521-1	au ⁵						
525-1	n i ⁵						
538-1	d tʃʰ w au ⁵						
539-1	j ɛ n ³						
544-1	d j u ʔ ⁵³						
550-1	d ɔ ⁵⁴						
562-1	n j u ŋ ³						
568-1	g au ³¹						
2-1	g u ŋ ³						
11-1	s ai ŋ ³						
12-1	d j ɔ ³						
22-1	k u ŋ ⁴³						
28-1	d ɔ ³¹						
29-1	tʰ ṵ ʔ ⁵⁴						
30-1	h a ŋ ⁵						
35-1	d j a ŋ ³						
38-1	u ʔ ⁵³						
42-1	pʰ ə ⁵						
46-1	dʒ u ³						
52-1	d j ɔ ʔ ⁵⁴						
55-1	d j ɔ m ⁵³						
69-1	ʔ au ʔ ⁵⁴						
79-1	j a m ³						
83-1	tʃʰ w au ³						
86-1	j ḛ k ⁵						
89-1	s a ŋ ³						
90-1	d j ɔ ʔ ³¹						
91-1	d u n ³						
92-1	kʰ a ³¹						
106-1	k ṵ ⁵						
120-1	tʃʰ a̰ ʔ ⁵³						
125-1	w u ʔ ³¹						
148-1	d j a ŋ ³						
173-1	d a ʔ ³¹						
179-1	ʔ u ḭ ⁵						
186-1	ŋ a ³ ³¹						
187-1	l a ŋ ³						
197-1	n a̰ ʔ ⁵²						
209-1	kʰ j u ŋ ³						
210-1	d w a m ³						
211-1	d au ḭ ⁵						
213-1	n a̰ ŋ k ⁵⁴						
215-1	dʒ ɛ ʔ ³¹						
220-1	tʰ u ŋ ³						
237-1	dʒ ɛ ³						
239-1	n a m ³¹						
242-1	tsʰ a ŋ ³						
248-1	kʰ j ḛ m ⁵						
255-1	d j ɛ ³¹						
271-1	tʃʰ w u ⁵						
275-1	n u ŋ ⁵						
277-1	tʃʰ a ŋ ⁵						
295-1	kʰ u ⁵⁴						
302-1	dʒ w a ⁵						
309-1	l u ʔ ³¹						
312-1	au ⁵						
313-1	n w ɔ̰ ʔ ³¹						
314-1	tsʰ a m ³						
315-1	dʒ a ŋ ³¹						
330-1	l u ³						
333-1	n j a m ³¹						
338-1	j ɔ̰ ʔ ³¹						
346-1	s i t ³¹						
348-1	j ɛ t ³¹						
1-2		m ts a ʔ ²³					
4-2		l a					
18-2		m j i ²³					
19-2		m i ⁵² ³					
44-2		l a ²³					
50-2		i ŋ ²³					
62-2		j ḭ ²³					
70-2		p i ²³					
75-2		m j a ʔ ⁵²					
97-2		ts o ŋ ²³					
112-2		ts a ²³					
122-2		m j a ʔ ³					
127-2		k au ⁵²					
132-2		j a ʔ ²³					
133-2		j a ʔ ²³					
135-2		a ʔ ²³					
142-2		a i ⁵²					
143-2		j a ʔ ²³					
149-2		l a ²³					
152-2		j a ²³					
157-2		p i ⁵²					
183-2		i					
184-2		l a ʔ ²³					
185-2		x a m ³					
189-2		m j a ʔ ³					
192-2		k j a ²³					
195-2		ts a ²³					
200-2		m i ³					
216-2		l w a ŋ ²³					
218-2		l a ²³					
225-2		ts o̰ ŋ ²³					
235-2		k j i ³					
244-2		ts a ⁵²					
253-2		m j ŋ i ³					
270-2		m i ²³					
278-2		m j a ŋ ²³					
279-2		l a ⁵²					
285-2		k j a ³					
308-2		k i ⁵²					
322-2		m i ⁵²					
325-2		k j a ²³					
337-2		j i ³					
341-2		ts a ²³					
347-2		j au ʔ ³					
362-2		j au ⁵² ³					
391-2		j a ²³					
394-2		m a ʔ ²³					
397-2		i ²³					
443-2		j a ʔ ³					
460-2		ts ḭ ²³					
463-2		k j au ²³					
464-2		ts a ŋ ³					
473-2		ts a m ⁵²					
476-2		k j a ³					
481-2		l a ³					
494-2		k i ³					
496-2		l o ŋ ²³					
516-2		i ⁵²					
522-2		j a ʔ ⁵²					
523-2		k j au ³					
524-2		i					
540-2		k a ²³					
3-2		p au ²³					
6-2		k i ³					
7-2		ts i ³					
20-2		j ə ²³					
39-2		m j i ²³					
51-2		ŋ w a ʔ ³					
72-2		ʔ a					
94-2		m j i ³					
100-2		l ts a ³					
116-2		k l a ²³					
136-2		l ts i ⁵²					
137-2		k j w i ³ ³					
139-2		m i ⁵²					
150-2		k j a ʔ ⁵²					
154-2		m j i ³					
166-2		k j a ⁵²					
169-2		k j a ³					
170-2		k j a ⁵²					
171-2		j o ŋ ³					
174-2		l a ³					
181-2		m j a ʔ ³					
205-2		a ʔ ²³					
206-2		m ʃʰ au ⁵² ²³					
214-2		l a m ⁵²					
217-2		p a ⁵²					
224-2		j k i ³ ²³					
228-2		p ŋ ²³					
246-2		k j i ²³					
256-2		ʔ a ³					
257-2		ts a ³					
273-2		j a ³					
286-2		k l a m ²³					
307-2		j ɛ ²³					
335-2		k j a ⁵²					
342-2		m j w au ³ ²³					
376-2		ts i ³					
389-2		k j l ²³					
404-2		ts a ŋ ⁵²					
408-2		k ts a ²³					
413-2		l w a ²³					
421-2		k j a ⁵² ³					
430-2		ts i ²³					
458-2		ts a ²³					
470-2		j i ²³					
475-2		m a ²³					
477-2		j ²³ ²³					
478-2		j a ³					
480-2		k j a ʔ ²³					
485-2		m j a ⁵²					
495-2		l i ²³					
499-2		m j a ³					
500-2		j w i m ²³					
506-2		l j i ²³					
509-2		l o ŋ ²³					
525-2		j w au ³ ²³					
22-2		k o ŋ ⁵²					
28-2		p au ⁵²					
29-2		ts a ²³					
30-2		kʰ a ŋ ⁵²					
35-2		l a ²³					
38-2		t ts a ʔ ⁵²					
46-2		ts i ²³					
52-2		k a ʔ ³					
55-2		p a m ⁵²					
69-2		n a ʔ ²³					
125-2		l w i ²³					
163-2		j a ²³					
173-2		p i ³					
179-2		k a ŋ ²³					
210-2		l a m ³					
211-2		t i ŋ ²³					
213-2		k j a ²³					
215-2		k a a ʔ ³					
237-2		sʰ a ²³					
252-2		k ḛ ⁵²					
255-2		p j i ²³					
275-2		l a ²³					
281-2		k j a ⁵²					
300-2		k i ŋ ³					
333-2		t a ³					
1-3			m j au ⁴				
4-3			l a ³²				
18-3			m j ə n ³²				
19-3			n j e ʔ ³¹				
44-3			l o ³²				
50-3			g e ŋ ⁴				
62-3			s ə k ⁵³				
70-3			b j e n ⁴				
75-3			m j o ʔ ³¹				
97-3			j a ŋ ⁵				
112-3			tsʰ ɔ ³²				
122-3			m j o k ³²				
127-3			g e ⁵¹				
132-3			ɔ ʔ ³²				
133-3			n j ɔ ŋ ⁴				
135-3			n j ə ŋ ⁴				
142-3			d z e ³¹				
143-3			ŋ ɔ ʔ ³²				
149-3			ʔ a ⁴				
152-3			ŋ ɔ ³¹				
157-3			b ɔ ³				
183-3			ʔ a ⁵				
184-3			n o ʔ ⁴				
185-3			tsʰ a m ³²				
189-3			m j ɔ ʔ ³²				
192-3			n ɔ̃ ³¹				
195-3			n ɔ ³²				
200-3			w e ⁵				
216-3			j ə ŋ ³²				
218-3			l ɔ ʔ ³²				
225-3			s ə ⁴				
235-3			g j e ³²				
244-3			s e ⁴				
253-3			m j e ³¹				
270-3			m j ḛ ³²				
278-3			m j ə ŋ ⁴				
279-3			ɔ ⁴				
285-3			g j ɛ m ³¹				
308-3			g j u ⁵				
322-3			m j i ⁴				
325-3			kʰ j au ⁴				
337-3			m j o ŋ ⁵³				
341-3			d z ɔ ⁴				
347-3			ʃ j o ³²				
362-3			j e ⁵¹				
391-3			j o k ⁵³				
