COGID	Eryuan	Heqing	Jianchuan	Lanping	Luobenzhuo	Qiliqiao	Xiangyun	Yunlong	Zhoucheng
5429	m ɛ ³¹	m ɛ ³¹	m ɛ ³¹	m a ³³	m a ⁴⁴		m ɛ ²¹	m ɛ ³¹	m ɛ ³¹
5148	ts ɿ ⁵⁵	ts ɿ ³⁵	ts ɛ̃ ⁵⁵	ts ɿ ³³	tɕ ɯ̃ ³³			ts ɿ ³³	ts ɿ ⁵⁵
5946	ŋ ɤ ⁴⁴							ŋ ɤ ⁴⁴	
2808			m ɯ ⁵⁵	m ɯ ⁵⁵	m ɤ ⁵⁵				
5391				pʰ ao ⁵⁵				pʰ ao ³³	
1656	n ɤ ²¹	n u ²¹	n ɤ ²¹	n ɔ ²¹		n ɤ ²¹	n ɤ̃ ²¹	n ɤ ²¹	
4136	p i ²¹					p i ²¹	p i ³³	p i ²¹	p i ²¹
1945			f ɛ̃ ³³	f ɛ̃ ³³				f ɛ ⁴⁴	
3630			v ɤ ⁵⁵		v ɤ ⁵⁵				
2424		ŋ ɛ ²¹	ŋ ɛ ²¹	ŋ ɛ ²¹		ŋ ɛ ²¹	n j ɛ ²¹		ŋ ɛ ²¹
2124	x w e ³³	xʰ w e ³³	x w e ³³	x w e ⁴⁴		x w e ³³	x w e ³³	x w e ³³	x w e ³³
497	ɕ i ⁴⁴	s ɿ ⁵⁵	s ɿ ⁵⁵	s ɛ ⁴⁴	ɕ i ⁵⁵	ɕ i ⁴⁴	ɕ i ⁴⁴		ɕ i ⁴⁴
5848	x e ⁵⁵		x ẽ ⁵⁵	x ẽ ⁵⁵				x e ⁵⁵	
4824	ʂ ɯ ³⁵	s ɯ ⁵⁵	s ɯ ⁵⁵	s ɯ ⁵⁵		s ɯ ³⁵	s ou ³⁵	s ɤ ³⁵	s ɯ ³⁵
160	ts e ⁴⁴	ts e ⁵⁵	ts e ⁴⁴	ts e ⁴²		ts e ⁴⁴	ts e ⁴⁴	ts ɛ ⁴⁴	ts e ⁴⁴
4731			ɯ ⁴⁴	ɯ ⁴⁴		ɯ ⁴⁴	ou ⁴⁴		ɯ ⁴⁴
3044		tɕ a ⁵⁵				tʰ a ⁵⁵	tɕ ĩ ³⁵	ts ɯ ⁴⁴	
3486	s a ²¹	s ã ⁴²	s w ã ³¹	s w a ³³		ɕ ɔ ³³	s a ³³	s a ²¹	s ɔ ³³
4317	ʂ e ⁴²	sʰ e ⁴⁴		s e ⁴⁴		s e ⁴⁴		s ɛ ⁵⁵	s e ⁴⁴
4016	m j ɛ ³⁵	m j ɛ ³⁵	m j ɛ ⁵⁵	m j ɛ ⁵⁵		m j ɛ ³⁵	m j ɛ ³⁵	m j ɛ ³⁵	m j ɛ ³⁵
6947	t ɔ ²¹	t ɔ̃ ²¹	t õ ²¹	t ɔ̃ ²¹	t ɔ̃ ³¹	t o ²¹	t ã ²¹		t o ²¹
5898	k a ³⁵	k ã ⁵⁵	k ã ⁵⁵			k a ³⁵	k ã ³⁵	k a ³⁵	k a ³⁵
5218						k ɤ ³⁵	k ɯ ³⁵		
3824	s w a ³⁵	s w ã ³⁵	s w ã ⁵⁵	s w ã ⁴⁴		ʃ w a ³⁵	s w ã ³⁵	s w a ³⁵	s a ³⁵
6842		ts ɯ ³¹	ts ɯ ³¹					dz ɯ ³¹	
2067	t ɯ ²¹	t ɯ ²¹	t ɯ ²¹	t i ⁵⁵		ts ɿ ³¹	t ou ²¹		t ɯ ²¹
5578	tʰ ɤ ⁴²		tʰ ɤ ³¹			tʰ ɤ ³¹			tʰ ɤ ³¹
2144	t ɯ ²¹	t ɯ ²¹	t ɯ ²¹	t j ɯ ²¹	t ɤ ³¹	t ɯ ²¹	t ou ³¹		
926			ts ɿ ³¹	ts ɯ ³³			ts ɿ ³³		
2184	ŋ o ³³		ɤ̃ ³³		ŋ ɤ̃ ³³	ŋ ɤ ³³		ŋ u ³³	
1460	m j ɛ ⁴²	m j ɛ ⁴²	m j ɛ ⁴²	m j ɛ ⁴²		m j ɛ ³²			m j ɛ ⁴²
5830	pʰ i ³¹	pʰ ĩ ³¹	pʰ ĩ ³¹	pʰ ĩ ³¹		pʰ i ³¹		pʰ i ³¹	pʰ i ³¹
4027	ŋ ɤ ³³							ŋ w e ³³	
2236	ʐ ɯ ²¹	z ɯ̃ ²¹	s ɯ̃ ²¹	ʐ ɯ ²¹		s ɯ ²¹	z ɯ̃ ²¹	z ɯ ²¹	z ɯ ²¹
1288						pʰ a ⁴⁴			pʰ a ⁴⁴
2879					ɲ i ⁵⁵	ɲ i ⁴⁴			
5786	ʂ e ⁴⁴			s e ³³		s e ⁴⁴		s ɛ ⁴⁴	
6840	s ɿ ³⁵			s ɯ ⁵⁵		s ɯ ⁵⁵	s ɯ ⁵⁵		s ɿ ⁵⁵
4751	ts w a ⁴²	ts w a ⁴²	ts w a ⁴²	ts w a ⁴²					
6720			x ɛ̃ ⁵⁵	x ɛ ⁵⁵	x ã ⁵⁵				x ɛ ³⁵
4139		t ɯ ²¹	t ɯ ⁴²	t j ɯ ³¹	ʈ ɯ ²¹	t ɯ ²¹	t ou ³¹		
6006			s w a ⁴⁴						s w a ⁴⁴
2877		w ẽ ⁵⁵	w ẽ ⁵⁵			w e ³⁵	w ẽ ³⁵	w ɛ ³³	w ɛ ³⁵
664						m u ³³			m u ³³
317	p j ɛ ⁴⁴	p j ɛ ⁴⁴	p j ɛ ⁴⁴	p j ɛ ⁴⁴		p j ɛ ⁴⁴	p j ɛ ⁴⁴	p j ɛ ⁴⁴	p j ɛ ⁴⁴
5403					n ɛ ³³	n e ²¹	n e ³¹	ɲ i ³¹	n e ²¹
773	pʰ ɔ ²¹	pʰ ɔu ³¹	p ou ³¹	pʰ o ³¹		pʰ ɔ ³¹			pʰ ɔ ³¹
702	t ɯ ²¹	t ɯ ²¹	t ɯ ²¹			t ɯ ²¹	t ou ²¹	t ɯ ²¹	t ɯ ²¹
5057	z ɿ ³¹	z ɿ ³¹	s ɿ ²¹	ʐ ɯ ³³		s ɿ ³¹	z ɿ ³¹		z ɿ ³¹
