COGID	BelejeGonfoye	Fadashi	Maiyu	Undulu
468-1	l a b a			
222-1	a b o b o n e			
208-1	a b u ɾ b u d u			
962-1	a g o ɾ i a			
203-1	a g u d i			
138-1	s s l ə			
504-1	ɗ ɔː s e			
662-1	ɓ ɔː d a			
478-1	g o ɗ ɗ			
409-1	a ɾ e			
410-1	g u n d i			
256-1	ɓ a l e			
622-1	n d u			
546-1	n d u			
547-1	s e ŋ a			
847-1	n e n d e g			
95-1	b e ɗ i			
105-1	b i n e ɲ			
510-1	b o s a			
951-1	m b ə m a ɾ			
1116-1	m b u m			
149-1	ɓ u tʃ ʔ			
376-1	ɓ a l i			
815-1	k o ɾ a			
453-1	ɗ u ŋ e			
67-1	ɗ a s e			
47-1	ɗ o k o k a			
869-1	ɗ ɔː l a			
57-1	k a g u			
303-1	g a dʒ ʔ i a			
443-1	g eː ɾ e			
884-1	g u n d i			
166-1	g u n d i			
918-1	a b e ɾ e			
831-1	h a s s			
616-1	b eː e			
84-1	h o s e l e			
346-1	h o h u l			
601-1	dʒ i g i			
177-1	k ʔ a ŋ a			
341-1	k ʔ o l a			
1066-1	ŋ e n d ŋ a			
318-1	ŋ d s a			
241-1	m a s s			
556-1	h a n d u ŋ u			
191-1	ɓ i m b u l			
458-1	a dʒ ʔ i dʒ ʔ i			
1-1	h a a k i ɾ			
751-1	ɾ o			
864-1	a ŋ o n a			
154-1	a m a n dʒ i			
278-1	a m i l u			
766-1	s ɔː ɾ a			
251-1	a g ɔː ɾ u			
582-1	o ʔ o ŋ			
6-1	a l i			
1106-1	n g o			
473-1	n ŋ n e			
1111-1	h a l u			
957-1	m o ɾ e			
41-1	b ʔ e			
24-1	dʒ eː			
25-1	l a ɾ e			
879-1	a b a ɾ o b e d			
837-1	m a s i			
233-1	b b u o			
938-1	ɓ u l l			
369-1	a ɾ e			
946-1	ɓ a ŋ g o			
889-1	ɓ ʔ l l			
820-1	a s o ɾ e n			
438-1	n d i n e			
468-2		l a b a		
222-2		a b o b k ʔ i		
208-2		a b u r b u d u		
962-2		a g o r θ a		
203-2		a g u d i ʔ		
138-2		ʃ ʃ l i		
504-2		ɗ oː ʃ ɛ f		
662-2		ɓ oː d a		
478-2		g oː ɗ e		
409-2		a r e		
410-2		g u n d i		
256-2		ɓ a l ɛ		
622-2		n d u		
546-2		n d u		
547-2		ʃ ɛ o a		
847-2		n ɛ d i g a		
95-2		b ɛ ɗ i		
105-2		b ɛ n a		
510-2		b oː ʃ a		
951-2		m b ə m		
1116-2		m b u m		
149-2		ɓ u s ʔ i		
376-2		ɓ ɛ l i		
815-2		g o r a ʔ		
453-2		ɗ u ŋ e		
67-2		ɗ a ʃ e		
47-2		ɗ o k u l a n		
869-2		ɗ oː l a		
57-2		k aː g u		
303-2		g a s ʔ i a		
443-2		g e r a		
884-2		g u n d i		
166-2		g u n d i		
918-2		a b a r e		
831-2		h aː ʃ ʃ		
616-2		b iː e		
84-2		h o ʃ a l a		
346-2		h oː h o l u		
601-2		s i g i		
177-2		k ʔ a o a		
341-2		k ʔ o l a		
1066-2		o ɛ n d e ŋ		
318-2		o ɛ ʃ i		
241-2		m b ʃ ʔ		
556-2		h a n d u ŋ		
191-2		ɓ i m m i l		
458-2		a s ʔ i s ʔ i		
1-2		h a n g i r		
751-2		r o		
864-2		a ŋ o n a		
154-2		a m m n s i		
278-2		m m l l o		
766-2		ʃ oː r a		
251-2		a g oː r u		
582-2		u ʔ u ŋ		
6-2		a l i		
1106-2		ŋ g o		
473-2		a n e		
1111-2		h a l u		
957-2		m a r e		
41-2		b i e		
24-2		s a		
25-2		l aː r e		
879-2		a b a r a b ɛ d i		
566-2		aː o a a o r e s ʔ		
742-2		a g u		
1044-2		ʃ i m b i l u		
13-2		h l m a m		
720-2		aː s ɛ l a		
837-2		m aː ʃ i		
233-2		ɓ i n u i		
938-2		ɓ u l l a n		
369-2		a r e		
946-2		ɓ a ŋ g o		
889-2		ɓ o l l		
820-2		aː ʃ o r a n		
405-2		b ə d e		
134-2		ɓ i ɗ ɗ ʔ		
1078-2		m a h i		
429-2		b o ŋ k		
187-2		b o s k ʔ e		
438-2		n d i n e		
468-3			θ a b a	
222-3			a b ɔ b ɔ ʔ i	
208-3			a b u r b u d u	
962-3			a g ɔ r a a	
203-3			a g u d i ʔ	
138-3			ʃ ʃ l i	
504-3			ɗ ɔː ʃ a ŋ	
662-3			ɓ ʊː d a	
478-3			g s ɗ d	
409-3			a r a	
410-3			g u n d i	
256-3			ɓ a l a	
622-3			n d u	
546-3			n d u	
547-3			ʃ ɛ f a ʔ	
847-3			n n d i g a	
95-3			b ɛ ɗ i	
105-3			b i n i	
510-3			b ɔ ʃ a	
951-3			m b i m a r a	
1116-3			m b u m a	
149-3			ɓ u s ʔ i	
376-3			ɓ a l i	
815-3			g ɔ r a f	
453-3			ɗ u ɲ a	
67-3			ɗ a ʃ a	
47-3			d ɔ k ɔ θ a	
869-3			ɗ ʊː θ a	
57-3			k a g u	
303-3			g a s ʔ ʔ a	
443-3			g ɛː r a	
884-3			g u n d i	
166-3			g u n d i	
918-3			a b ɛ r a	
831-3			h a ʃ ʃ	
616-3			b iː a	
84-3			h ɔ ʃ a l a	
346-3			h ɔ n u l	
601-3			s i g i	
177-3			k ʔ a f a	
341-3			k ʔ ɔ l a	
1066-3			f ɛ n d i ŋ a	
318-3			f d ʃ i	
241-3			m a ʃ i	
556-3			h a n d u ŋ u	
191-3			ɓ i m b i l	
458-3			a s ʔ i s ʔ i	
1-3			h a g i r	
751-3			r ɔ	
864-3			a ŋ ɔ n i	
154-3			a m m n s s	
278-3			m m i l u ʔ a	
766-3			ʃ ɔː r a	
251-3			a g ʔ r u	
582-3			ɔ ʔ ɔ ŋ	
6-3			a l i	
1106-3			ɲ g ɔ	
473-3			a n a	
1111-3			h a l u	
957-3			m a r a	
24-3			h a	
25-3			l a r a	
879-3			a b a r a b ɛ d i	
566-3			a n ŋ w n ʔ a s ʔ s	
742-3			a g ɔ ʔ	
1044-3			ʃ i m b i l u	
13-3			a l h a m i s	
720-3			a s ɛ l a ʔ	
233-3			b i b i	
938-3			ɓ u l a a	
369-3			a r a	
889-3			ɓ iː l a	
405-3			b i d a	
134-3			ɓ i ɗ i ʔ i	
1078-3			m a h i	
429-3			b ɔ ŋ k ʃ ʃ	
187-3			b u s ʔ ʔ k	
468-4				θ a b a
222-4				a b o b o n e
208-4				a b u r b u d u
962-4				a g o r a
203-4				a g u d i
138-4				ʃ i l e
504-4				ɗ oː ʃ a
662-4				ɓ uː d a
478-4				g o ɗ ɗ
409-4				a r e
410-4				g u n d i
256-4				ɓ a l e
622-4				n d u
546-4				n d u
547-4				ʃ ɛ f a
847-4				n ɛ n d g g i
95-4				b ɛ ɗ i
105-4				b i n a
510-4				b o ʃ a
951-4				m b ɛ m a
1116-4				m b ə m
149-4				ɓ u z ʔ i
376-4				ɓ ʔ l i
815-4				g o r a
453-4				ɗ u ɲ e
67-4				ɗ a ʃ e
47-4				ɗ o k o θ a n
869-4				ɗ uː θ a
57-4				k aː g u
303-4				g a z ʔ i a
443-4				g e r a
884-4				g u n d i
166-4				g u n d i
918-4				a b a r e
831-4				h aː ʃ e
616-4				b iː e
84-4				h o ʃ ɛ l e
346-4				h o h u l
601-4				z i g i
177-4				k ʔ a f a
341-4				k ʔ o l a
1066-4				f ɛ n s i n a
318-4				f a ʃ i
241-4				m aː ʃ a
556-4				h a n d u ŋ u
191-4				ɓ r m b ɛ l
458-4				a s ʔ i s ʔ i
1-4				h a n dʒ i r
751-4				r o
864-4				a ŋ o n i
154-4				a m m n g i
278-4				m m l l o
766-4				ʃ oː r a
251-4				a g uː r u
582-4				o ʔ o ŋ
6-4				a l i
1106-4				n g o
473-4				ɲ n n e
1111-4				h a l u
957-4				m a r e
41-4				b d
566-4				a ɲ ɲ ɲ ɲ ɲ k r o s
742-4				aː g o
1044-4				ʃ i m b i l
13-4				h l m a m
720-4				aː s ɛ l a
837-4				m aː ʃ i
946-4				ɓ a ŋ g o
820-4				a ʃ o r e
405-4				b ə d e
134-4				ɓ l ɗ ɗ ʔ i
1078-4				m e h i
429-4				b o ɲ o ʃ
187-4				b u s k i k
438-4				n d ɛ n e
