COGID	dutch	english	french	german
1469-1	z ɑ t			
2047-1	z ɔ n ə			
2054-1	d ɔ n ə r			
1375-1	l ɪ x			
760-1	w ɪ n t			
756-1	s n eː			
726-1	m ɔ d r			
1351-1	x r oː t v ɑ d r			
1353-1	x r oː n m ɔ d r			
412-1	s w ɣ v ɑ d r			
406-1	s w ɣ m ɔ d r			
1005-1	s t eː p v ɑ d r			
1012-1	s t eː p m ɔ d r			
1016-1	w ɪ d r			
1069-1	ɪ x			
509-1	v ʉ l ə			
693-1	m œy l t			
2179-1	n ɛ s t			
1753-1	v ɪ s			
1131-1	w ɔ l f			
1198-1	b ɑ t			
2032-1	h ɔ n			
2241-1	n aː z			
2244-1	l ɪ p			
610-1	x n iː			
945-1	h ɛ r t			
1534-1	l ɛ k ə			
384-1	z œy ə			
1650-1	n ɔ t			
1663-1	z ɑ l t			
2279-1	l eː n ə n			
471-1	z ə			
1385-1	z aː t			
792-1	j ɔ k			
1111-1	m ɑ s t			
197-1	z uː			
2020-1	l ɑ ŋ			
867-1	h ɔ n d r t			
1970-1	v ɔ l			
1230-1	d ɛ d ə			
2017-1	n uː			
968-1	w ɛ l t			
1674-1	l ɑ n t			
1671-1	h ʉ ɣ ə l			
829-1	k l ɪ f ə			
1025-1	w ɑ t ə r			
1027-1	z eː			
1832-1	r œy			
-1816-1	oː t n			
-335-1	l ɑ x uː n ə			
1043-1	s t r oː m			
1469-2		s æ n t		
2047-2		s ɔː n		
2054-2		d ɔː n r		
1375-2		l ɪ t		
760-2		w ɪ n t		
756-2		s n eɪ		
726-2		m aɪ d r		
1351-2		r ʌ t f eɪ d r		
1353-2		r ʌ t m aɪ d r		
412-2		s ɡ f eɪ d r		
406-2		s m aɪ d r		
1005-2		s t iː f eɪ d r		
1012-2		s t ɪ f m aɪ d r		
1016-2		w ɪ d		
1069-2		ɪ k		
509-2		f aɪ l		
693-2		m aɪ l t		
2179-2		n ɛ s t		
1753-2		f ɪ s		
1131-2		w ɔː l f		
1198-2		b eɪ r t		
2032-2		h ʌ r n		
2241-2		n ɪ s		
2244-2		l ɪ p		
610-2		k n ɪ		
945-2		h æ r t		
1534-2		l ɪ k		
384-2		s aɪ		
1650-2		n ʌ t		
1663-2		s əʊ t		
2279-2		l aɪ n		
471-2		s eɪ		
1385-2		s eɪ t		
792-2		əʊ k		
1111-2		m æ s t		
197-2		s aɪ θ		
2020-2		l æ ŋ		
867-2		h ʌ n d r t		
1970-2		f ɔː l		
1230-2		d r θ		
2017-2		n iː		
968-2		w ɛ l d		
1674-2		l æ n d		
1671-2		h aɪ l		
829-2		k l ɪ f		
1025-2		w eɪ t r		
1027-2		s eɪ		
1832-2		r aɪ		
-1816-2		ʌ s eɪ eɪ n		
-335-2		l eɪ aɪ n		
1043-2		s t r ʌ m		
1469-3			s a ɔ	
2047-3			s u i	
2054-3			t u p ɛ ʀ.o	
1375-3			l a a	
760-3			v a ɔ	
756-3			n a ʀ	
726-3			t p p ɛ ʀ.o	
1351-3			t ʀ a p ɔ a p p ɛ ʀ.o	
1353-3			t ʀ a a t p p ɛ ʀ.o	
412-3			s ʀ ʀ t a ʀ a p p ɛ ʀ.o p p p p p p	
406-3			s ʀ ʀ t a ʀ a t p p ɛ ʀ.o p p p p p p	
1005-3			t ɔ ɔ a p p ɛ ʀ.o	
1012-3			t ɔ p a t p p ɛ ʀ.o	
