COGID	dutch	english	french	german
1469-1	z ɑ n d			
2047-1	z ɔ n +			
2054-1	d ɔ n r			
1375-1	l ɪ t + + ə			
760-1	w ɪ n d			
756-1	s n aː ə			
726-1	m ɔ t r			
1351-1	x r oː v aː t r			
1353-1	x r oː m ɔ t r			
412-1	v ɣ + v aː t r			
406-1	v ɣ + m ɔ t r			
1005-1	s t eː p ə v aː t r			
1012-1	s t eː p m ɔ t r			
1016-1	w ʉ d r			
1069-1	ə ɪ			
509-1	v oː l ə			
693-1	m oː l + + t			
2179-1	n ɛ s t			
1753-1	+ v ʉ ə			
1131-1	w ɔ l f ə			
1198-1	b ʉ t			
2032-1	h ɔ r n			
2241-1	n aː			
2244-1	l ʉ p ə			
610-1	x + n iː			
945-1	h ɛ t			
1534-1	l ɛ k			
384-1	z oː			
1650-1	n + ɔ			
1663-1	z ɑ l t			
2279-1	l ɛɪ n ʉ n			
471-1	z +			
1385-1	z aː + ə d			
792-1	j ɔ k			
1111-1	m ɑ s t			
197-1	z oː			
2020-1	l aː ŋ			
867-1	h ɔ n d r d			
1970-1	v ɔ l ə			
1230-1	d r + ɪ d + +			
2017-1	n ə oː			
968-1	w ɛ l d			
1674-1	l ɑ n d			
1671-1	h ʉ ɣ ə l			
829-1	k l ɪ f ə			
1025-1	w ɑ t ə r			
1027-1	z eː			
1832-1	r oː v			
-1816-1	oː t eː ə n			
-335-1	l ə x oː n ə			
1043-1	s t r uː m			
423-1	s t ɛɪ n			
2049-1	m oː n t			
2062-1	s t ɔ r m			
2065-1	r aː ɣ ə n b oː ɣ ə			
1368-1	s ɑ d			
1365-1	d oː			
754-1	r aː ɣ ə n			
768-1	w ɛ t ə r			
1211-1	v oː ə r			
106-1	m ɑ n			
-98-1	b aː b ɛɪ			
719-1	v aː t ə r			
1341-1	z oː n			
-2027-1	t ɑ n t ə			
-2026-1	n ɛ v			
409-1	s ə ɣ n z ʉ n			
402-1	s ə ɣ ə r + d ɔ x t ə r ə n			
1014-1	s t ɛ p d ɔ x t ə r			
1059-1	w iː r			
120-1	s t ɑ l			
2183-1	s t iː r ə			
2194-1	ɔ k s ə			
2199-1	k ɑ l f			
2197-1	s aː p			
1523-1	z oː			
1521-1	v ɔ k			
512-1	m oː r			
2141-1	h aː n			
2147-1	x ɑ s			
814-1	k r oː ə			
810-1	d oː v ə			
1755-1	v ɔ			
1758-1	m oː s			
1760-1	r			
1620-1	v ɪ n ə			
1282-1	w aː l			
1136-1	v ɔ k s			
1309-1	l oː s			
1307-1	n ɪ t ə			
1305-1	v l uː			
711-1	w ɛ s p ə			
1442-1	v l iː ɣ ə			
62-1	m ʉ k ə			
-73-1	m ɑu s k iː t p			
1810-1	h oː d			
1805-1	v l ɛɪ s			
1813-1	h aː ə r			
1811-1	b l oː d			
690-1	r ɪ ə			
2177-1	h ɑu w d			
246-1	oː ɣ ə b r oː ə			
249-1	oː ɣ ə l iː d			
1506-1	n aː z r ə + l t x			
2242-1	m ɔ t			
2245-1	t ɔ ŋ ə			
1196-1	ɑ k			
2174-1	s ɔ l d ə r			
575-1	ɑ k l + p l			
603-1	ɛ l ə b oː ɣ ə			
601-1	h ɑ n d			
615-1	v ɪ ŋ ə r			
901-1	k l oː ə			
608-1	v oː t			
596-1	t aː ə			
937-1	b r ɪ s t			
936-1	n aː v ə l			
646-1	l ɔ ŋ ə			
947-1	l eː v ə r			
1606-1	h ʉ p t ə			
472-1	s n iː z ə			
1535-1	s w ɪ t ə			
1546-1	s p ɪ k ə			
1959-1	s l aː p ə			
694-1	s n ɑ r x ə			
1961-1	d r uː m ə			
323-1	ə l aː v ə			
1885-1	x r aː v			
2156-1	r + k ɛ l d + t ŋ			
1903-1	w ɔ n d ə			
525-1	s w ɛ l ɪ ŋ			
276-1	l aː m			
274-1	d ɑu w f			
278-1	b l ɪ n d			
258-1	v ə + d r ɔ ŋ k ə			
256-1	n ɑ k ə d			
383-1	ɛ t ə			
207-1	r ɛɪ p			
376-1	d r ɪ ŋ k ə			
2009-1	oː v ə n			
2003-1	k ɛ t ə l			
2024-1	p ɑ n ə			
1321-1	ɛɪ p			
1976-1	t aː ŋ ə			
1243-1	m aː l t ə t			
1265-1	p l			
1261-1	z iː v ə			
655-1	b r aː d			
650-1	d ɛɪ x			
1532-1	x n eː d ə			
-36-1	z ɔ p ə			
34-1	b uː n ə			
-1647-1	v ɛɪ ɣ ə			
-1615-1	oː ə l			
125-1	v ɛ t			
1659-1	h oː n ə x			
1661-1	m ɪ l k			
1676-1	b ɔ t ə r			
480-1	ɣ ə + d r ɛ ŋ k			
1466-1	k l ɛɪ t ŋ			
2277-1	w ɔ l ə			
2271-1	v ɪ l t			
2293-1	l aː d ə r			
624-1	s p ɪ ə n			
628-1	s p ɪ n d ə l			
626-1	w eː v ə			
633-1	n aː d ə l			
1185-1	s oː k t ə r			
1179-1	h oː t			
2168-1	k ɑ m			
1952-1	d oː r			
899-1	l ɛɪ d ə r			
922-1	b ɛ d			
-934-1	l ɑ m p ə			
916-1	t r oː k			
1726-1	v ɛ l d			
2108-1	p l oː ɣ ə			
1133-1	v ɔ r x			
2114-1	s p aː d ə			
1272-1	r ɔ ɣ ə			
1979-1	x r aː s			
1989-1	h oː			
-2260-1	p l ɑ n t ə			
70-1	b uː k ə			
-89-1	w ɛɪ n + s t t x			
-12-1	p ɛɪ p ə			
713-1	z ɑ p t			
747-1	n ɛ t ə l			
308-1	d oː			
289-1	b ɪ n d ə			
1930-1	b r ɛ k ə			
1928-1	s p ə l ə t ə			
858-1	s t r ɛ k ə			
1577-1	ɛ v + h ɛ ŋ ə			
908-1	w aː s ə			
648-1	b oː r ə			
1855-1	ɛ s + h oː l			
657-1	h ɑ m ə r			
2058-1	n aː ɣ ə l			
949-1	s m iː t			
1642-1	x ɔ l d			
1640-1	z ɪ l v ə r			
1633-1	ɛɪ z ə n			
1630-1	t ɪ n			
1469-2		s n t		
2047-2		s əʊ n		
2054-2		θ əʊ n d r		
1375-2		l ɪ t		
760-2		w ɪ n t		
756-2		s n ɪ		
726-2		m ɪ d r		
1351-2		r aɪ t f əʊ d r		
1353-2		r aɪ t m ɪ d r		
412-2		s ɡ f əʊ d r		
406-2		s m ɪ d r		
1005-2		s d ɪ f əʊ d r		
1012-2		s d ɪ f m ɪ d r		
1016-2		w ɪ d t		
1069-2		ɪ k		
509-2		f ɪ l		
693-2		m ɪ l d		
2179-2		n ɑː s t		
1753-2		f ɪ s		
1131-2		w ɔ l f		
1198-2		b əʊ r t		
2032-2		h ɪ r n		
2241-2		n ɪ s		
2244-2		l ɪ p		
610-2		k n ɪ		
945-2		h eɪ r t		
1534-2		l ɪ k		
384-2		s ɪ		
1650-2		n ɪ t		
1663-2		s ɪ t		
2279-2		l ɪ n		
471-2		s əʊ		
1385-2		s əʊ t		
792-2		ŋ ɪ k		
1111-2		m s t		
197-2		s ɪ θ		
2020-2		l æ ŋ		
867-2		h əʊ n θ r t		
1970-2		f ɔ l		
1230-2		θ r ɪ d		
2017-2		n ɪ		
968-2		w ɛ l t		
1674-2		l æ n t		
1671-2		h ɪ l		
829-2		k l ɪ f		
1025-2		w əʊ t		
1027-2		s ɪ		
1832-2		r ɪ		
-1816-2		aɪ s ɪ əʊ n		
-335-2		l əʊ ɪ n		
1043-2		s t r aɪ m		
423-2		s t ɪ n		
2049-2		m əʊ n d		
2062-2		s t əʊ m		
2065-2		r ɪ m b aɪ		
1368-2		s ɡ əʊ d		
1365-2		d ɪ		
754-2		r ɪ		
768-2		w ɛ d		
1211-2		f ɪ		
106-2		m æ n		
-98-2		b ɪ b		
719-2		f əʊ d		
1341-2		s aɪ n		
-2027-2		t æ n t		
-2026-2		n ɛ f		
409-2		s ɡ n s aɪ n		
402-2		s ɡ n d ɔ t		
1014-2		s t ɪ f d ɔ t		
1059-2		w aɪ		
120-2		s t æ l		
2194-2		ɔ s		
2199-2		k æ l f		
2197-2		s ɡ əʊ p		
1523-2		s ɪ		
512-2		m ɑː r		
2141-2		h æ n		
2147-2		ɡ æ n s		
814-2		k r əʊ		
810-2		d ɪ		
1758-2		m ɪ s		
1760-2		r t		
1620-2		f ɪ n		
1282-2		w ɑː l ɪ		
1136-2		f əʊ s		
1309-2		l ɪ s		
1307-2		n ɪ t		
1305-2		f l aɪ		
711-2		w ɑː s p		
1442-2		f l ɪ		
62-2		m ɪ		
-73-2		m ɪ s k ɪ t		
1810-2		h ɪ t		
1805-2		f l ɪ s		
1813-2		h əʊ		
1811-2		b l ɪ t		
690-2		r ɪ p		
2177-2		h ɪ f t		
246-2		æ b r ɪ		
249-2		ɪ l ɪ t		
1506-2		n ɪ s l ɪ		
2242-2		m əʊ n t		
2245-2		t əʊ ŋ		
2174-2		s ɡ ɪ l d		
603-2		ɑː l b aɪ		
601-2		h æ n t		
615-2		f ɪ ŋ		
901-2		k l ɪ		
608-2		f ɪ t		
596-2		t ɪ n		
937-2		b ɔ s t		
936-2		n əʊ v l		
646-2		l əʊ ŋ		
947-2		l ɪ v		
1606-2		h ɪ p d		
472-2		n ɪ s		
1535-2		s w ɪ t		
1546-2		s p ɪ		
1959-2		s l əʊ p		
694-2		s n ɪ k		
1961-2		d r ɪ m		
323-2		l ɪ v		
1885-2		ɡ r ɑː f		
2156-2		k ɪ l t h aɪ t		
1903-2		w əʊ n t		
525-2		s w ɑː l ɪ ŋ		
276-2		l ɑː m		
274-2		d ɪ f		
278-2		b l ɪ n t		
258-2		d r əʊ ŋ k		
256-2		n əʊ k t		
383-2		ɛ t		
207-2		r aɪ p		
376-2		d r ɪ ŋ k		
2014-2		r ɪ t		
