COGID	dutch	english	french	german
1469-1	z ɑ t			
2047-1	z ɔ n ə			
2054-1	d ɔ n d ə r			
1375-1	l ɪ x			
760-1	ɪ n t			
756-1	s n eː			
726-1	m ɔ d r			
1351-1	x r uː t v ɑ d r			
1353-1	x r uː m ɔ d r			
412-1	w ɣ v ɑ d r			
406-1	w ɣ m ɔ d r			
1005-1	s t eː p v ɑ d r			
1012-1	s eː p m ɔ d r			
1016-1	ɪ d r			
1069-1	ɪ x			
509-1	v ɔ l			
693-1	m ɔ l t			
2179-1	n ɛ s t			
1753-1	v ɪ s			
1131-1	w ɔ l f			
1198-1	b ɑ			
2032-1	h ɔ n			
2241-1	n z			
2244-1	l ɪ p			
610-1	x n iː			
945-1	h ɛ t			
1534-1	l ɛ k ə			
384-1	z ɔ ɣ ə			
1650-1	n ɔ t			
1663-1	z ɑ l t			
2279-1	l ɛɪ n n			
471-1	z ə			
1385-1	z ɛ t			
792-1	j ɔ k			
1111-1	m ɑ s t			
197-1	z ɔ			
2020-1	l ɑ ŋ			
867-1	h ɔ n d r t			
1970-1	v ɔ l			
1230-1	d ʉ d ə			
2017-1	n oː			
968-1	w ɛ l t			
1674-1	l ɑ n t			
1671-1	h ʉ ɣ ə l			
829-1	k l ɪ f ə			
1025-1	w ɑ t ə r			
1027-1	z eː			
1832-1	r oː			
-1816-1	oː t n			
-335-1	l ɑ x oː n ə			
1043-1	s t r oː m			
423-1	s t eː n			
2049-1	m oː n t			
2062-1	s t ɔ r m			
2065-1	r eː ɣ ə n + b oː ɣ ə			
1368-1	s x ɑ d ə			
1365-1	d oː			
754-1	r eː ɣ ə n			
768-1	w ɛ d ə r			
1211-1	v oː ə r			
106-1	m ɑ n			
-98-1	b eː b iː			
719-1	v aː d ə r			
1341-1	z oː n			
-2027-1	t ɑ n t ə			
-2026-1	n ɛ v			
409-1	s ɣ r + z ʉ n			
402-1	ɣ ə r + d ɔ x t ə r			
1014-1	s t eː p + d ɔ x t ə r			
1059-1	w iː r			
120-1	s t ɑ l			
2183-1	s t iː r			
2194-1	ɔ k s ə			
2199-1	k ɑ l f			
2197-1	s x aː p			
1523-1	z oː			
1521-1	b ɔ k			
512-1	m oː r			
2141-1	h oː n			
2147-1	x ɑ s			
814-1	k r oː ə			
810-1	d oː v ə			
1755-1	h ɔ d			
1758-1	m oː t			
1760-1	r ɑ t			
1620-1	v ɪ n ə			
1282-1	w aː l			
1136-1	v ɔ k s			
1309-1	l oː s			
1307-1	n ɪ t ə			
1305-1	v l oː			
711-1	w eː s p ə			
1442-1	v l iː ɣ ə			
62-1	m ʉ k ə			
-73-1	m oː s k iː t oː			
1810-1	h oː t			
1805-1	v l eː s			
1813-1	h aː r			
1811-1	b l oː t			
690-1	r ɪ f ə			
2177-1	h oː t			
246-1	oː ɣ ə + b r oː ə			
1469-2		s ɔː n t		
2047-2		s ʌ n		
2054-2		d ʌ n s r		
1375-2		l ɪ t		
760-2		w ɪ n t		
756-2		s n ɪ		
726-2		m ɪ d r		
1351-2		r ʌ t f eɪ d r		
1353-2		r ʌ t m ɪ d r		
412-2		s s ɡ aɪ f eɪ d r		
406-2		s s s aɪ m ɪ d r		
1005-2		s t iː f eɪ d r		
1012-2		s t ɪ f m ɪ d r		
1016-2		w ɪ d s s		
1069-2		ɪ k		
509-2		f ɪ l		
693-2		m ɪ l s s		
2179-2		n ɛ s t		
