COGID	dutch	english	french	german
1469-1	z ɑ n d			
2047-1	z oː n +			
2054-1	oː n r			
1375-1	l ɪ + + +			
760-1	ɪ n d			
756-1	s n aː +			
726-1	oː t ə r			
1351-1	x r uː v aː t ə r			
1353-1	x r uː oː t ə r			
412-1	ɣ r + v aː t ə r			
406-1	ɣ + oː t ə r			
1005-1	s t eː p + v aː t ə r			
1012-1	s eː p oː t ə r			
1016-1	ʉ d ə r			
1069-1	+ ɪ			
509-1	v oː l ə			
693-1	oː l + + t r			
2179-1	n ɛ s t			
1753-1	+ v ʉ s +			
1131-1	w ɔ l f +			
1198-1	b ɑ			
2032-1	h oː r n			
2241-1	n aː z ə			
2244-1	l ʉ p + ə			
610-1	+ n iː			
945-1	h ɛ t			
1534-1	l ɛ k			
384-1	z oː			
1650-1	n + oː t			
1663-1	z ɑ l t			
2279-1	l ɛɪ n ə n			
471-1	z +			
1385-1	z aː l + + d			
792-1	j ɔ k			
1111-1	ɑ s t			
197-1	z oː ə			
2020-1	l ɑ ŋ			
867-1	h oː n d ə r d			
1970-1	v ɔ l +			
1230-1	+ ʉ d + +			
2017-1	n + oː			
968-1	w ɛ l d			
1674-1	l ɑ n d			
1671-1	h ʉ ɣ ə l			
829-1	k l ɪ f ə			
1025-1	w ɑ t ə r			
1027-1	z eː			
1832-1	r oː v			
-1816-1	oː t eː n			
-335-1	l ɑ x oː n ə			
1043-1	s t r uː m			
423-1	s t eː n			
2049-1	m oː n t			
2062-1	s t oː r m			
2065-1	r eː ɣ ə n b oː ɣ ə			
1368-1	s ɑ d ə			
1365-1	d oː			
754-1	r eː ɣ ə n			
768-1	w ɛ t ə r			
1211-1	v oː ə r			
106-1	m ɑ n			
-98-1	b eː b ɛɪ			
719-1	v aː t ə r			
1341-1	z oː n			
-2027-1	t ɑ n t ə			
-2026-1	n ɛ v			
409-1	s t ɣ r z ʉ n			
402-1	t ɣ ə r + d oː t ə r			
1014-1	s t eː p d oː t ə r			
1059-1	w iː r			
120-1	s t ɑ l			
2183-1	s t iː r			
2194-1	ɔ k s ə			
2199-1	k ɑ l f			
2197-1	s aː l p			
1523-1	z oː			
1521-1	v ɔ k			
512-1	m oː r			
2141-1	h aː n			
2147-1	x ɑ s			
814-1	k r oː ə			
810-1	d oː v ə			
1755-1	ɔ t			
1758-1	m oː t			
1760-1	r ɑ t			
1620-1	v ɪ n ə			
1282-1	w aː l			
1136-1	v ɔ k s			
1309-1	l oː s			
