COGID	BelejeGonfoye	Fadashi	Maiyu	Undulu
468-1	l a b a			
222-1	a b oː b oː n e			
208-1	a b uː r b uː d uː			
962-1	a g o r h			
203-1	a g uː d i			
138-1	s ɪ l e			
504-1	ɗ oː s a			
662-1	ɓ oː d a			
478-1	g oː ɗ ɗ			
409-1	a r e			
410-1	g uː n d i			
256-1	ɓ aː l e			
622-1	n d uː			
546-1	n d uː			
547-1	s ɛ oː a ʔ			
847-1	n ɛ n d ɛ g i			
95-1	b ɛ ɗ i			
105-1	b ɪ n i			
510-1	b o s a			
951-1	m b ə m a r e			
1116-1	m b ə m a			
149-1	ɓ u s ʔ i			
376-1	ɓ iː l i			
815-1	g o r a			
453-1	ɗ uː ɲ e			
67-1	ɗ a s e			
47-1	ɗ o k o l a			
869-1	ɗ oː l a			
57-1	k aː g uː			
303-1	g a s ʔ i a			
443-1	g eː r a			
884-1	g uː n d i			
166-1	g uː n d i			
918-1	a b ɛ r e			
831-1	h aː s e			
616-1	b iː e			
84-1	h o s ə l e			
346-1	h o h uː l uː			
601-1	dʒ i g i			
177-1	k ʔ a oː a			
341-1	k ʔ o l a			
1066-1	oː ɛ n s ɪ ŋ a			
318-1	oː iː s i			
241-1	m b s s			
556-1	h a n d uː ŋ uː			
191-1	ɓ ɛ m ɓ ɛ l			
458-1	a s ʔ i s ʔ i			
1-1	h a tʃ h i r			
751-1	r o			
864-1	a ŋ o n i			
154-1	a m a n dʒ i			
278-1	a m i l uː ʔ i			
766-1	s oː r a			
251-1	a g oː r uː			
582-1	uː ʔ uː ŋ			
6-1	a l i			
1106-1	ɲ g o			
473-1	n i n e			
1111-1	h a l uː			
957-1	m a r e			
41-1	b ɾ			
468-2		l a b a		
222-2		aː b oː b oː ʔ i		
208-2		a b u r b u d u		
962-2		a g o r θ e		
203-2		a g u d i ʔ		
138-2		ʃ ɪ l l		
504-2		ɗ oː ʃ ɛ n		
662-2		ɓ oː d aː		
478-2		g oː ɗ e		
409-2		a r e		
410-2		g u n d i		
256-2		ɓ aː l e		
622-2		n d u		
546-2		n d u		
547-2		ʃ ɛ f a		
847-2		n ɛ d d g e		
95-2		b ɛ ɗ i		
105-2		b ɛ n i		
510-2		b oː ʃ a		
951-2		m b ə m a r e		
1116-2		m b eː m a		
149-2		ɓ u s ʔ i		
376-2		ɓ ɛ l i		
815-2		g o r a		
453-2		ɗ u ɲ e		
67-2		ɗ ɛ ʃ e		
47-2		d o k u l iː n		
869-2		ɗ oː l a		
57-2		k aː g u		
303-2		g a s ʔ i iː		
443-2		g i r a		
884-2		g u n d ɪ		
166-2		g u n d i		
918-2		a b a r e		
831-2		h aː ʃ ɛ		
616-2		b iː e		
84-2		h o ʃ a l a		
346-2		h oː h o l u		
601-2		s i g i		
177-2		k ʔ a f a		
341-2		k ʔ o l a		
1066-2		f ɛ n t e ŋ i		
318-2		f ɛ ʃ a		
241-2		m aː ʃ ʃ ʃ		
556-2		h a n d u ŋ u		
191-2		ɓ i m b iː l		
458-2		a s ʔ i s ʔ i		
1-2		h a n h i r		
751-2		r o		
864-2		a ŋ o n i		
154-2		a m a n s i		
278-2		a m i l u i		
766-2		ʃ oː r a		
251-2		a g oː r u		
582-2		u ʔ u ɲ		
6-2		a l i		
1106-2		n g o		
473-2		e i e		
1111-2		h a l u		
957-2		m a r e		
41-2		b i e		
468-3			θ a b a	
222-3			a b p b p n i	
208-3			a b u r b u d u	
962-3			a g ɔ r θ	
203-3			a g u d i ʔ	
138-3			ʃ ʃ l e	
504-3			ɗ ɔː ʃ ɛ f a	
662-3			p ʊː d aː	
478-3			g ʊu̯ ɗ i	
409-3			a r e	
410-3			g u n d i	
256-3			p aː l e	
622-3			n d u	
546-3			n d u	
