COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
52-1	t t i									
56-1	u m e									
96-1	a t a									
99-1	a t i i a n									
114-1	t o k i									
115-1	u i i									
133-1	t i p a a									
144-1	a a a w a									
150-1	k a w									
234-1	k o m									
236-1	p i k u n									
241-1	a w i n									
249-1	i tʃ e									
1-1	w a t a									
2-1	w a m									
65-1	i w									
74-1	p a n a									
52-2		t t e								
56-2		i m e								
96-2		a a a i								
99-2		a a i a a n								
114-2		t o k s								
115-2		i i i i i								
133-2		t i p a a a i								
144-2		a a a w a s i								
150-2		k a w								
234-2		k o m								
236-2		p i k i n								
241-2		a w i n								
249-2		i s e								
74-2		p a n a								
93-2		t o p a a i s i								
95-2		w i k i								
52-3			i t i							
56-3			i a i							
96-3			a t a tʃ							
99-3			a a i a a							
114-3			t o k i tʃ e							
115-3			i i i e tʃ							
133-3			t i p i a a tʃ							
144-3			a t a w a tʃ e							
150-3			k a w							
234-3			k o a							
236-3			p i k i e							
241-3			a w i							
249-3			i tʃ i							
1-3			w a i a							
2-3			a a a							
65-3			i w i							
93-3			t o p a a i tʃ i							
95-3			w i k i							
52-4				t t e						
56-4				u m e						
96-4				a t a						
99-4				a r i i a n						
114-4				t o k						
115-4				u i i						
133-4				t i p a a a						
144-4				a a a w a						
150-4				k a w						
234-4				k o m						
236-4				p i k u n						
241-4				a w i n						
249-4				i tʃ e						
1-4				w a t a						
2-4				w a m						
65-4				i w						
74-4				p a n a						
93-4				t o p a r i tʃ						
95-4				w i i						
52-5					i t e					
56-5					i m e					
96-5					a r a s i					
99-5					a r i i a n					
114-5					t o k i s i					
115-5					i i i i s					
133-5					t i p a r i i i					
144-5					a a a w a s i					
150-5					k a w					
234-5					k o m					
236-5					p i k i n					
241-5					a w i n					
249-5					i s e					
1-5					w a t a					
2-5					w a m m					
65-5					i w i					
74-5					p a n a					
93-5					t o p a r i s i					
95-5					w i k i					
52-6						i t i				
56-6						i m e				
96-6						a t a i i				
99-6						a i i i a				
114-6						t u k i i				
115-6						i i i i tʃ				
133-6						t i p a a i i i				
144-6						a i a w a tʃ i				
150-6						k a w				
234-6						k u m				
236-6						p i k i n				
241-6						a w i n				
249-6						i i e				
1-6						w a i a				
2-6						a a m				
65-6						i w i				
74-6						p a n a				
93-6						t u p a a i i i				
95-6						w i k i tʃ				
52-7							i t e			
56-7							i m e			
96-7							a a a i			
99-7							a r i i a			
114-7							t u k i			
115-7							i i i i			
133-7							t i p a a a i			
144-7							a a a w a i			
150-7							k a w			
234-7							k o m			
236-7							p i k i n			
241-7							a w i n			
249-7							i t e			
1-7							w a t a			
2-7							a a m			
65-7							i w i			
74-7							p a n a			
93-7							t u p a r i i			
95-7							w i k i			
52-8								i t e		
56-8								i m e		
96-8								a a a i		
99-8								a r i a a		
114-8								t u k a s		
115-8								i a i i s		
133-8								t i p a a a i		
144-8								a a a a a s i		
150-8								k a w		
234-8								k u m		
236-8								p e k i n		
241-8								a w i		
249-8								i s e		
1-8								w a t a		
2-8								a a m		
65-8								i w i		
74-8								p a n a		
93-8								t u p a r i s		
95-8								a i k i		
52-9									i t i	
56-9									i m i	
96-9									a r a ʃ i	
99-9									a r i i a n	
114-9									t o k i ʃ i	
115-9									i i i i ʃ i	
133-9									t i p a a a i	
144-9									a a a w a ʃ i	
150-9									k a w	
234-9									k o m	
236-9									p i k i n	
241-9									a w i n	
249-9									i ʃ i	
1-9									w a t a	
2-9									w a m m	
65-9									i w i	
74-9									p a n a	
93-9									t o p a r i ʃ i	
95-9									w i k i ʃ	
52-10										i t e
56-10										i m e
96-10										a r a i
99-10										a r i i a
114-10										t o k i tʃ
115-10										i i i tʃ tʃ
133-10										t i p a a i i
144-10										a r a w a tʃ i
150-10										k a w
234-10										k o m
236-10										p i k i n
241-10										a w i n
249-10										i tʃ e
1-10										w a tʃ a
2-10										w a m
65-10										i w i
74-10										p a n a
93-10										t o p a r i tʃ i
95-10										w i k i
