COGID	ChorbatBalti	KhapaluBalti	KharmangBalti	RonduBalti	ShigarBalti	SkarduBalti	SkarduPurki
709-1	kʰ o o						
522-1	ɜ r̪ l̪ d o ŋ						
514-1	m ɑ k						
464-1	ɾ ŋ ɑ						
1020-1	r̪ ɜ ʊ s̪ u l						
1355-1	s̪ o						
1464-1	l̪ tɕʰ ɑ						
302-1	b r̪ ɜ ŋ						
237-1	l̪ t̪ ŋ ɑ						
205-1	p r̪ ɜ p ɑ						
1089-1	l ɜ ŋ d ɑ ɑ						
804-1	kʰ ɜ ŋ m ɛ						
1263-1	d̪ ɜ x p ɑ						
286-1	ɾ u s̪ p ɑ						
717-1	s̪ n̪ i ŋ						
269-1	kʰ r̪ ɜ p						
1512-1	ɾ r̪ i n̪						
555-1	t̪ʰ k ɜ k p ɑ						
751-1	ɾ ɜ ŋ						
439-1	ɾ g o						
601-1	ɕ ɪ ŋ						
320-1	ɜ n̪ m e						
1106-1	b u k s̪						
693-1	h ɜ s̪ o ŋ ɑ						
221-1	s̪ t̪ ɜ ɑ ɑ						
1199-1	d̪ ɜ k p ɑ						
1424-1	s̪ k u p ɑ						
904-1	l o ŋ						
1273-1	ɾ ŋ ɜ m						
1323-1	s̪ k ɜ ʊ m ɑ						
1127-1	h ɜ ɜ m ɑ						
1529-1	d̪ʲ u						
1175-1	ɾ r̪ ɜ n̪ d o						
383-1	s̪ i ɑ						
820-1	ɾ o k						
1636-1	ɾ r̪ u ŋ						
1331-1	õ ɾ d ŋ ɑ						
1097-1	l ɜ ŋ						
1223-1	b ɜ ŋ ɑ						
592-1	m ɑ						
1290-1	d̪ u t̪ p ɑ						
669-1	ɾ s̪ ɛ ɑ						
1472-1	s̪ t̪ ɜ s̪ i						
788-1	l o ŋ ɑ						
1191-1	ɾ ɜ l p ɑ						
626-1	m ɜ n̪ d o ŋ						
844-1	ɑ ŋ						
879-1	kʰ ɑ						
1151-1	pʰ r̪ ɜ s̪						
1119-1	ɑ l u						
365-1	s̪ r̪ ɛ ɜ i ɑ						
1480-1	j u ŋ						
653-1	ɾ g o k p ɑ						
1081-1	d̪ o ŋ						
1448-1	kʰ ɑ n̪ ɜ n̪						
1029-1	ɾ ɑ ɑ						
863-1	ɕ ɑ						
539-1	kʰ ɑ l						
