COGID	ChorbatBalti	KhapaluBalti	KharmangBalti	RonduBalti	ShigarBalti	SkarduBalti	SkarduPurki
709-1	kʰ o o						
522-1	j ŋ l̪ d o ŋ						
514-1	tɕ i k						
464-1	ŋ ɑ						
1020-1	s̪ n̪ ɑ m s̪ u m						
1355-1	s̪ o						
1464-1	l̪ tɕʰ i						
302-1	b r̪ ɑ ŋ						
237-1	l̪ dð ɣ o						
205-1	t̪ n̪ ɜ q p o						
1089-1	ŋ ɜ q s̪ o ŋ						
804-1	g i ŋ m o						
1263-1	d̪ o x s̪ p ɑ						
286-1	n̪ u n̪ p e						
717-1	ȵ̊ ɑ ŋ						
269-1	t̪ ʑ ɜ t̪						
1512-1	tɕ i ŋ						
555-1	g gʲ ɜ q p o						
751-1	n̪ ɑ ŋ						
439-1	s̪ kʰ o						
601-1	tɕ o s̪						
320-1	b r̪ ɜ x m o						
1106-1	t̪ʰ u k s̪						
693-1	ŋ ɜ t̪ o ɾ o						
221-1	s̪ k o ɾ e						
1199-1	t̪ʰ ɜ q p o						
1424-1	s̪ k o p e						
904-1	l̪ gʲ o t̪						
1273-1	s̪ n̪ ɑ m						
1323-1	s̪ k ɑ m m ɑ						
1127-1	tɕʰ ɜ r̪ p o						
1529-1	s̪ o						
1175-1	s̪ k ɑ m tθ o						
383-1	s̪ u s̪						
820-1	l o k						
1636-1	t̪ j u ŋ						
1331-1	ɑ ɾ d ŋ o						
1097-1	n̪ ɜ m						
1223-1	tɕ o ŋ ɑ						
592-1	ŋ o						
1290-1	d̪ u q p e						
669-1	s̪ u ɾ						
1472-1	s̪ k ɜ m s̪ o						
788-1	l o ŋ o						
1191-1	n̪ ɜ m p o						
626-1	m ɑ n̪ d o						
844-1	ɑ ŋ						
879-1	tɕ o						
1151-1	pʰ u u s̪						
1119-1	õ l u						
365-1	ȵ̊ ɑ ȵ m ɑ						
1480-1	j o ŋ						
653-1	s̪ k ɑ b p o						
1081-1	kʰ o ŋ						
1448-1	tɕ o t̪ ɜ ŋ						
1029-1	m ɑ ɾ						
863-1	s̪ o						
539-1	tθʰ i ŋ						
610-1	ŋ ɑ						
350-1	tɕ ɜ ŋ d o						
871-1	ɑ ŋ s̪ o						
734-1	ɾ ɣ ɑ						
431-1	tɕ o						
1298-1	ɜ r̪ p o ɾ						
929-1	ts̪ ɜ n̪ tθ o						
1315-1	t̪ʰ o x s̪ p ɜ ŋ						
964-1	m ɑ n̪ b e ŋ						
836-1	ŋ o						
1644-1	pʰ ɜ u s̪ d r̪ i ŋ						
547-1	ɜ gʲ ɑ						
1048-1	k ɜ p ɑ						
1692-1	tɕ o ŋ o						
1306-1	b d̪ʲ u						
405-1	b o ŋ o						
709-2		kʰ o o					
522-2		j ŋ ʈ d o ŋ					
514-2		tɕ i k					
464-2		s̪ ŋ ɑ					
1020-2		s̪ ȵ ɑ m s̪ o ɾ					
1355-2		s̪ o					
1464-2		l̪ tɕʰ i					
302-2		b r̪ u ŋ					
237-2		l̪ dð ɣ o					
205-2		tɕ n̪ ɜ p o					
1089-2		ŋ ɜ q p o ŋ					
804-2		g ɑ ŋ m o					
1263-2		d̪ u x s̪ p ɑ					
286-2		ȵ u n̪ p e					
717-2		s̪ ȵ ɑ ŋ					
269-2		tɕ dʑ ɜ k					
1512-2		s̪ tɕ i ŋ					
555-2		b gʲ ɜ q p o					
751-2		n̪ ɑ ŋ					
439-2		s̪ kʰ o					
601-2		tɕ i s̪					
320-2		ɖʐ ɜ ŋ m o					
1106-2		t̪ʰ u k s̪					
693-2		h ɜ t̪ o ŋ o					
221-2		s̪ t̪ o r̪ e					
1199-2		t̪ʰ ɑ q p o					
1424-2		s̪ k u p e					
904-2		l̪ gʲ o t̪					
1273-2		s̪ ȵ ɑ m					
1323-2		s̪ k ɑ m m o					
1127-2		k ɜ r̪ p o					
1529-2		s̪ u					
1175-2		s̪ k ɜ m tθ o					
383-2		s̪ i m					
820-2		l o k					
1636-2		j u ŋ					
1331-2		ŋ ɾ g ŋ o					
1097-2		n̪ ɑ m					
1223-2		tɕ o ŋ o					
592-2		ŋ ɑ					
1290-2		d̪ u q p e					
669-2		s̪ u ɾ					
1472-2		s̪ k o m s̪ o					
788-2		l o ŋ o					
1191-2		n̪ ɜ m p o					
626-2		m ɑ n̪ d o q					
844-2		ɑ m					
879-2		tɕ o					
1151-2		pʰ u i s̪					
1119-2		ɑ r̪ u					
365-2		s̪ ȵ ɑ ŋ m o					
1480-2		j ɑ ŋ					
653-2		s̪ k ɑ b p o					
1081-2		kʰ o ŋ					
1448-2		tɕ o ɣ ɜ ŋ					
1029-2		m ɑ ŋ					
863-2		s̪ o					
539-2		tθʰ i ŋ					
610-2		ŋ ɑ					
350-2		tɕ ɜ ŋ d o					
871-2		õ ŋ g o					
734-2		ɾ ɣ u					
431-2		tɕ o					
1298-2		ɪ ŋ m b o ɾ					
929-2		ts̪ ɜ n̪ tθ o					
1315-2		ts̪ o x s̪ k ɜ ŋ					
964-2		m u n̪ t̪ e ŋ					
836-2		ŋ i					
1644-2		pʰ tɕ u s̪ t̪ r̪ i ŋ					
547-2		ɜ gʲ o					
1048-2		kʰ ɜ p ɜ					
1692-2		tɕ o ŋ o					
1306-2		b d̪ʲ u					
405-2		b o ŋ o					
709-3			kʰ o o				
522-3			ɾ ŋ ŋ t̪ o ŋ				
514-3			tɕ ɑ k				
464-3			ɕ ŋ o				
1020-3			s̪ ȵ ɜ m s̪ o m				
1355-3			s̪ o				
1464-3			l̪ tɕ o				
302-3			b r̪ ɜ ŋ				
237-3			ȵ b ɣ o				
205-3			t̪ ŋ ɜ q p o				
1089-3			l ɜ q p o ŋ				
804-3			g ɑ̃ m o				
1263-3			t̪ʰ o q s̪ p ɜ				
286-3			ɾ ɜ s̪ p o				
717-3			s̪ ȵ ɑ ŋ				
269-3			t̪ r̪ ɜ q				
1512-3			s̪ tɕ ɪ ŋ				
555-3			β k ɜ q p o				
751-3			n̪ ɑ ŋ				
439-3			s̪ g o				
601-3			tɕ i ŋ				
320-3			pʰ r̪ ɜ x m o				
1106-3			t̪ʰ u k				
693-3			ŋ ɜ b o ŋ o				
221-3			s̪ k ɜ ɾ o				
1199-3			t̪ʰ ɜ q p o				
1424-3			s̪ k ɜ k p o				
904-3			l̪ d̪ o q				
1273-3			s̪ ȵ ɜ m				
1323-3			s̪ k ɜ m m o				
1127-3			t̪ʰ ɜ ɕ p o				
1529-3			tɕ ɑ				
1175-3			ɾ k ɜ m d o				
383-3			s̪ u ŋ				
