COGID	AntangWesternSandong	BanliangYangAn	DujiangEasternSandong	JiaoliPandong	JiarongSouthernSandong	JiuqianSouthernSandong	Pandong	RenliEasternSandong	SanjiangEasternSandong	ShuigenCentralSandong	ShuiweiSouthernSandong	ShuiyaoSouthernSandong	TangnianYangAn	TangzhouWesternSandong	TingpaiWesternSandong	ZhongheCentralSandong
6882-1	s ə t ¹															
6485-1	ˀb ə n ¹															
4690-1	m aː n ¹															
5671-1	k h ə n ¹															
4272-1	l t a k ¹															
10935-1	p e ¹															
4760-1	v j e n ¹															
1881-1	m a n ¹															
4777-1	ɕ ə t ¹															
10969-1	m a n ¹															
10970-1	n u ¹															
10206-1	m a n ¹															
6565-1	k j ə n ¹															
1281-1	ʔ j ə n ¹															
10569-1	ˀn a m ¹															
6899-1	pʰ j a ŋ ¹															
7081-1	k u ¹															
4090-1	ⁿd a m ¹															
2197-1	h u m ¹															
3352-1	t i ¹															
3892-1	ɕ ə t ¹															
1071-1	q a m ¹															
10313-1	m ai ¹															
2671-1	t j ə t ¹															
5502-1	f a k ¹															
7382-1	k u n ¹															
932-1	t i ŋ ¹															
533-1	m ai ¹															
4159-1	v a ¹															
2804-1	l u k ¹															
5451-1	h a ¹															
5773-1	ʔ aːu ¹															
6933-1	ʔ aːu ¹															
4657-1	ʔ aːu ¹															
4658-1	v j ə n ¹															
6966-1	h i ¹															
5351-1	ˀɣ a ¹															
4073-1	t aːu ¹															
2163-1	ˀb j e n ¹															
1121-1	ts e ¹															
5790-1	ɣ aː n ¹															
10413-1	ˀm a ¹															
6731-1	ˀm a ¹															
1645-1	ˀm a ¹															
4914-1	ˀm a ¹															
6175-1	ȵ a ¹															
3092-1	z i n ¹															
1247-1	l j ə n ¹															
5620-1	s j u ¹															
4897-1	h a ¹															
4811-1	ⁿb aː ŋ ¹															
1213-1	k aːu ¹															
11019-1	ʁ aː ŋ ¹															
11020-1	k aːu ¹															
2129-1	ʔ aː p ¹															
3211-1	ŋ aː n ¹															
714-1	l a k ¹															
1729-1	k a ¹															
3679-1	ˀm a ¹															
1054-1	m e ¹															
7448-1	h a m ¹															
582-1	m e ¹															
4743-1	h e n ¹															
5419-1	l j ə n ¹															
5601-1	ˀb aː n ¹															
2705-1	h a m ¹															
6381-1	l o ŋ ¹															
1017-1	t a ¹															
645-1	l aː k ¹															
273-1	m ə t ¹															
4338-1	t j a k ¹															
2533-1	k i ¹															
1089-1	t u p ¹															
843-1	n a n ¹															
2787-1	s u t ¹															
4462-1	ˀn aː n ¹															
10918-1	h a n ¹															
6582-1	h a ¹															
2070-1	k a ¹															
3075-1	s p aː k ¹															
10848-1	v a ¹															
2480-1	z ə n ¹															
2214-1	k aːu ¹															
7225-1	h ə t ¹															
3515-1	t j a m ¹															
2588-1	z ə n ¹															
2908-1	pʰ j a k ¹															
2393-1	ˀn a ¹															
1156-1	n ai ¹															
2374-1	t a ¹															
2146-1	k a ¹															
5133-1	ˀn a m ¹															
4981-1	l u k ¹															
10239-1	ˀm a ¹															
599-1	ˀn j u t ¹															
5048-1	t o ¹															
6331-1	h a ¹															
290-1	t i n ¹															
311-1	h aː k ¹															
3430-1	m j e ¹															
5369-1	m j e ¹															
2749-1	k ə n ¹															
2621-1	l j a k ¹															
1181-1	t a k ¹															
949-1	t j u ¹															
6882-2		z i t ¹														
6485-2		m ə n ¹														
4690-2		m aː n ¹														
5671-2		l ə n ¹														
4272-2		l t aː p ¹														
10935-2		p e ¹														
4760-2		h j i n ¹														
1881-2		p a n ¹														
4777-2		h ə t ¹														
10969-2		p a n ¹														
10970-2		n u ¹														
10206-2		p a n ¹														
6565-2		k w aː n ¹														
1281-2		j a n ¹														
