COGID	AntangWesternSandong	BanliangYangAn	DujiangEasternSandong	JiaoliPandong	JiarongSouthernSandong	JiuqianSouthernSandong	Pandong	RenliEasternSandong	SanjiangEasternSandong	ShuigenCentralSandong	ShuiweiSouthernSandong	ShuiyaoSouthernSandong	TangnianYangAn	TangzhouWesternSandong	TingpaiWesternSandong	ZhongheCentralSandong
6882-1	h ə t ¹															
6485-1	h ə n ¹															
4690-1	h ə n ¹															
5671-1	ⁿd h ə n ¹															
4272-1	l t e p ¹															
10935-1	p e ¹															
4760-1	m̥ j aː n ¹															
1881-1	h ə n ¹															
4777-1	s i t ¹															
10969-1	h ə n ¹															
10970-1	f u ¹															
10206-1	h ə n ¹															
6565-1	ⁿd j aː n ¹															
1281-1	ⁿd j e n ¹															
10569-1	h a m ¹															
6899-1	ⁿd j aː ŋ ¹															
7081-1	p u ¹															
4090-1	q a m ¹															
2197-1	h a m ¹															
3352-1	p i ¹															
3892-1	s j i t ¹															
1071-1	k a m ¹															
10313-1	f aːi ¹															
2671-1	ⁿd j e t ¹															
5502-1	f e t ¹															
7382-1	ⁿd o n ¹															
932-1	t i ŋ ¹															
533-1	f aːi ¹															
4159-1	f e ¹															
2804-1	n a p ¹															
5451-1	f aːi ¹															
5773-1	ʔ aːi ¹															
6933-1	ʔ aːi ¹															
4657-1	ʔ aːi ¹															
4658-1	ⁿd j aː n ¹															
6966-1	h i ¹															
5351-1	f e ¹															
4073-1	ʔ aːi ¹															
2163-1	ⁿd j aː ŋ ¹															
1121-1	f aːi ¹															
5790-1	h ə ŋ ¹															
10413-1	f aːi ¹															
6731-1	f aːi ¹															
1645-1	f aːi ¹															
4914-1	f aːi ¹															
6175-1	n̥ aːi ¹															
3092-1	h i ŋ ¹															
1247-1	l j aː n ¹															
5620-1	l j u ¹															
4897-1	f aːi ¹															
4811-1	k a ŋ ¹															
1213-1	p aːi ¹															
11019-1	s a ŋ ¹															
11020-1	p aːi ¹															
2129-1	ʔ ə p ¹															
3211-1	h ə n ¹															
714-1	n̥ a t ¹															
1729-1	p aːi ¹															
3679-1	f aːi ¹															
1054-1	l ˀn e ¹															
7448-1	l a m ¹															
582-1	l p e ¹															
4743-1	l aː n ¹															
5419-1	l j ə n ¹															
5601-1	t i n ¹															
2705-1	l a m ¹															
6381-1	h a ŋ ¹															
1017-1	p aːi ¹															
645-1	l a p ¹															
273-1	m ə t ¹															
4338-1	ˀd j a k ¹															
2533-1	p i ¹															
1089-1	q u p ¹															
843-1	h a n ¹															
2787-1	m̥ aː t ¹															
4462-1	h a n ¹															
10918-1	h a n ¹															
6582-1	h aːi ¹															
2070-1	p aːi ¹															
3075-1	ˀn aː k ¹															
10848-1	f e ¹															
2480-1	h ə n ¹															
2214-1	p aːi ¹															
7225-1	h ə t ¹															
3515-1	ˀd j e m ¹															
2588-1	h ə n ¹															
2908-1	ˀd j e k ¹															
2393-1	f aːi ¹															
1156-1	n̥ aːi ¹															
2374-1	ˀd aːi ¹															
2146-1	p aːi ¹															
5133-1	l a ŋ ¹															
4981-1	m a t ¹															
10239-1	f aːi ¹															
599-1	s j a t ¹															
5048-1	p o ¹															
6331-1	h aːi ¹															
290-1	t i n ¹															
311-1	h aː t ¹															
3430-1	m j e ¹															
5369-1	m j e ¹															
2749-1	ⁿd o n ¹															
2621-1	l j a p ¹															
1181-1	t a p ¹															
949-1	ˀd j u ¹															
2839-1	t i n ¹															
861-1	l i t ¹															
6773-1	l i t ¹															
5739-1	l i t ¹															
5740-1	ˀd ə t ¹															
3550-1	f j e n ¹															
4445-1	ts i t ¹															
680-1	l a ŋ ¹															
817-1	t ə n ¹															
782-1	ˀd j e t ¹															
10396-1	l j u ¹															
4606-1	h ə n ¹															
5207-1	h a n ¹															
7280-1	ˀd m̥ e ¹															
6983-1	ʔ j i t ¹															
5168-1	k u ŋ ¹															
1264-1	ts ʔ u ¹															
915-1	t u ¹															
1767-1	z u ŋ ¹															
10901-1	ⁿd j aː ŋ ¹															
10867-1	ˀd a ŋ ¹															
417-1	ⁿd j aː n ¹															
2285-1	ˀd n e ¹															
11002-1	ts h i t ¹															
6348-1	f aːi ¹															
6349-1	j ə n ¹															
10602-1	h ə n ¹															
5654-1	l j aː n ¹															
880-1	f aːi ¹															
983-1	h ə n ¹															
2033-1	ʔ o ¹															
1433-1	ˀd j e ¹															
1467-1	ˀd u p ¹															
469-1	ˀd j e m ¹															
3127-1	m j e ¹															
4623-1	h aːi ¹															
7099-1	l j e k ¹															
4726-1	ɕ j e n ¹															
10465-1	h ə n ¹															
5519-1	h ə n ¹															
5893-1	ʔ h aː n ¹															
2857-1	t i n ¹															
3645-1	h ə n ¹															
3032-1	f j o n ¹															
2088-1	f j o n ¹															
2463-1	p u ¹															
4794-1	f aːi ¹															
4569-1	l a ŋ ¹															
4586-1	ˀd ʔ u ¹															
4552-1	p i ¹															
3228-1	k a ŋ ¹															
3245-1	j aːi ¹															
6651-1	l a t ¹															
6652-1	ʔ a n ¹															
1817-1	l a t ¹															
1818-1	ˀd j a k ¹															
11052-1	f u ¹															
1230-1	l a t ¹															
3380-1	h ə t ¹															
8174-1	h a m ¹															
8599-1	ˀd j e m ¹															
7782-1	ˀd j e ¹															
8294-1	l i k ¹															
8514-1	h aːi ¹															
9669-1	l j e k ¹															
8531-1	p i ¹															
7954-1	ʔ ə p ¹															
9968-1	h a n ¹															
8040-1	ˀd aːi ¹															
9304-1	p aːi ¹															
8345-1	t ə p ¹															
8765-1	ˀd o k ¹															
8849-1	s o ŋ ¹															
9286-1	ⁿd j aː ŋ ¹															
9581-1	l aː n ¹															
9267-1	l j ə ¹															
8497-1	ts ə n ¹															
7602-1	ʔ aː p ¹															
8431-1	f j ə n ¹															
10036-1	h ə t ¹															
10019-1	l a t ¹															
9216-1	f e ¹															
8074-1	q ə t ¹															
9511-1	t a n ¹															
8243-1	ⁿd j e m ¹															
9250-1	ⁿd j e n ¹															
7568-1	f aːi ¹															
8832-1	p u ¹															
8057-1	f e ¹															
7716-1	h aː t ¹															
9899-1	p aːi ¹															
7585-1	p aːi ¹															
8582-1	ˀd j e ¹															
