COGID	AntangWesternSandong	BanliangYangAn	DujiangEasternSandong	JiaoliPandong	JiarongSouthernSandong	JiuqianSouthernSandong	Pandong	RenliEasternSandong	SanjiangEasternSandong	ShuigenCentralSandong	ShuiweiSouthernSandong	ShuiyaoSouthernSandong	TangnianYangAn	TangzhouWesternSandong	TingpaiWesternSandong	ZhongheCentralSandong
6882-1	h a t ¹															
6485-1	ˀb o n ¹															
4690-1	m o n ¹															
5671-1	t j o n ¹															
4272-1	l t e p ¹															
10935-1	ˀd a ¹															
4760-1	l j e n ¹															
1881-1	ŋ̊ o n ¹															
4777-1	ɕ e t ¹															
10969-1	ŋ̊ o n ¹															
10970-1	m̥ a ¹															
10206-1	ŋ̊ o n ¹															
6565-1	k j o n ¹															
1281-1	ʔ j ə n ¹															
10569-1	h a m ¹															
6899-1	ⁿd j o ŋ ¹															
7081-1	ˀd a ¹															
4090-1	k a m ¹															
2197-1	h a ŋ ¹															
3352-1	ˀd a ¹															
3892-1	ɕ j e t ¹															
1071-1	k a m ¹															
10313-1	m̥ a ¹															
2671-1	tʰ j e t ¹															
5502-1	s e k ¹															
7382-1	t o ŋ ¹															
932-1	t i ŋ ¹															
533-1	m̥ a ¹															
4159-1	m̥ a ¹															
2804-1	h u k ¹															
5451-1	m̥ a ¹															
5773-1	ʔ a ¹															
6933-1	ʔ a ¹															
4657-1	ʔ a ¹															
4658-1	s j e ŋ ¹															
6966-1	m̥ a ¹															
5351-1	m̥ a ¹															
4073-1	ˀd a ¹															
2163-1	ɕ j o ŋ ¹															
1121-1	h i a ¹															
5790-1	h o ŋ ¹															
10413-1	m̥ a ¹															
6731-1	m̥ a ¹															
1645-1	m̥ a ¹															
4914-1	m̥ a ¹															
6175-1	m̥ a ¹															
3092-1	ŋ̊ i ŋ ¹															
1247-1	l j ə n ¹															
5620-1	h j u ¹															
4897-1	m̥ a ¹															
4811-1	k i ŋ ¹															
1213-1	ˀd a ¹															
11019-1	m̥ o ŋ ¹															
11020-1	ˀd a ¹															
2129-1	h a p ¹															
3211-1	h o n ¹															
714-1	h o t ¹															
1729-1	ˀd a ¹															
3679-1	m̥ a ¹															
1054-1	h a a ¹															
7448-1	h a m ¹															
582-1	h ˀd a ¹															
4743-1	l o ŋ ¹															
5419-1	l j ə n ¹															
5601-1	t o n ¹															
2705-1	h o m ¹															
6381-1	j o ŋ ¹															
1017-1	ˀd a ¹															
645-1	l u k ¹															
273-1	h aː t ¹															
4338-1	tʰ j e k ¹															
2533-1	ˀd a ¹															
1089-1	k u t ¹															
843-1	j o n ¹															
2787-1	m̥ n e t ¹															
4462-1	h o ŋ ¹															
10918-1	h o n ¹															
6582-1	m̥ a ¹															
2070-1	ˀd a ¹															
3075-1	m̥ t e k ¹															
10848-1	m̥ a ¹															
2480-1	ȶ o n ¹															
2214-1	ˀd a ¹															
7225-1	h a t ¹															
3515-1	ⁿd j a m ¹															
2588-1	ȶ o n ¹															
2908-1	k j e k ¹															
2393-1	m̥ a ¹															
1156-1	m̥ a ¹															
2374-1	ˀd a ¹															
2146-1	ˀd a ¹															
5133-1	j o ŋ ¹															
4981-1	h u t ¹															
10239-1	m̥ a ¹															
599-1	l j e t ¹															
5048-1	ʔ a ¹															
6331-1	m̥ a ¹															
290-1	ȶ o n ¹															
311-1	h aː k ¹															
3430-1	l j a ¹															
5369-1	l j a ¹															
2749-1	t o ŋ ¹															
2621-1	l j e p ¹															
1181-1	t a ¹ ¹															
949-1	t j u ¹															
2839-1	ȶ i n ¹															
861-1	l o t ¹															
6773-1	l o t ¹															
5739-1	l o ¹ ¹															
5740-1	tʰ e t ¹															
3550-1	ɕ j a ŋ ¹															
4445-1	k u t ¹															
680-1	l o ŋ ¹															
817-1	ȶ o n ¹															
782-1	k j e t ¹															
10396-1	l j u ¹															
4606-1	h o n ¹															
5207-1	m o n ¹															
7280-1	t m̥ a ¹															
6983-1	ʔ j u t ¹															
5168-1	ˀb o ŋ ¹															
1264-1	ȶ ʔ u ¹															
915-1	ˀd a ¹															
1767-1	kʰ i ŋ ¹															
10901-1	k j e ŋ ¹															
10867-1	ˀb o ŋ ¹															
417-1	k j o n ¹															
2285-1	ȶ n a ¹															
11002-1	ʔ m i t ¹															
6348-1	m̥ a ¹															
6349-1	j o n ¹															
10602-1	ˀb o n ¹															
5654-1	l j e n ¹															
880-1	l a ¹															
983-1	h o n ¹															
2033-1	ˀd a ¹															
1433-1	m m̥ a ¹															
1467-1	t u k ¹															
469-1	t j e m ¹															
3127-1	l j a ¹															
4623-1	m̥ a ¹															
7099-1	l j ə k ¹															
4726-1	ɕ e n ¹															
10465-1	ˀb o n ¹															
5519-1	h o n ¹															
5893-1	ʔ w o n ¹															
2857-1	ȶ i n ¹															
3645-1	h o n ¹															
3032-1	s j i n ¹															
2088-1	s j ə n ¹															
2463-1	ʔ a ¹															
4794-1	m̥ a ¹															
4569-1	j u ŋ ¹															
4586-1	ȶ ʔ u ¹															
4552-1	ˀd a ¹															
3228-1	q o n ¹															
3245-1	j a ¹															
6651-1	l ə ¹ ¹															
6652-1	ˀb o n ¹															
1817-1	l ə ¹ ¹															
1818-1	tʰ j e k ¹															
11052-1	m̥ u ¹															
1230-1	l ə t ¹															
3380-1	h a k ¹															
8174-1	h a ŋ ¹															
8599-1	ⁿd j a m ¹															
7782-1	ȶ j a ¹															
8294-1	l i k ¹															
8514-1	m̥ a ¹															
9669-1	l j ə k ¹															
8531-1	ˀd a ¹															
7954-1	ʔ u k ¹															
9968-1	k a m ¹															
8040-1	ˀd a ¹															
9304-1	ˀd a ¹															
8345-1	t o ¹ ¹															
8765-1	tʰ o k ¹															
8849-1	ɕ e ŋ ¹															
9286-1	k j o ŋ ¹															
9581-1	l ə ŋ ¹															
9267-1	l l a ¹															
8497-1	t ȶ o n ¹															
7602-1	h o t ¹															
8431-1	l j ə n ¹															
10036-1	h u k ¹															
10019-1	j a t ¹															
9216-1	m̥ a ¹															
8074-1	q o t ¹															
9511-1	ˀb o n ¹															
8243-1	ⁿd j a m ¹															
9250-1	tʰ j e ŋ ¹															
7568-1	m̥ a ¹															
8832-1	ʔ a ¹															
8057-1	m̥ a ¹															
7716-1	h u k ¹															
9899-1	ˀd a ¹															
7585-1	ˀd a ¹															
8582-1	m j a ¹															
9097-1	l a m ¹															
10125-1	m̥ a ¹															
9460-1	l a ¹															
9649-1	k u t ¹															
9870-1	h ə p ¹															
8680-1	h a m ¹															
7699-1	ȶ i t ¹															
9001-1	l j aː t ¹															
9494-1	t i t ¹															
7666-1	ɕ ə ŋ ¹															
9598-1	t j e k ¹															
8023-1	k a m ¹															
9053-1	ɕ e t ¹															
10091-1	ɕ j e k ¹															
10002-1	ȶ j a ¹															
7765-1	ˀd a ¹															
8800-1	m̥ a ¹															
9934-1	ˀd a ¹															
9985-1	ʔ a ¹															
7850-1	t o t ¹															
7816-1	k a m ¹															
8663-1	k a m ¹															
8697-1	ȶ i t ¹															
9615-1	ⁿd j ə n ¹															
8362-1	t ə t ¹															
8091-1	ˀd a ¹															
8748-1	m̥ a ¹															
22-1	ˀd a ¹															
11084-1	h ˀd a ¹															
7365-1	m̥ a ¹															
4201-1	h ˀd a ¹															
5841-1	m̥ a ¹															
4640-1	ˀd a ¹															
662-1	l o n ¹															
384-1	m̥ a ¹															
5151-1	m̥ a ¹															
1399-1	ˀd a ¹															
5259-1	ⁿd j e t ¹															
10353-1	m̥ a ¹															
10370-1	m̥ a ¹															
7401-1	h a m ¹															
2958-1	m̥ a ¹															
2770-1	m̥ a ¹															
6434-1	l j ə k ¹															
6192-1	ɕ j e t ¹															
2231-1	k o t ¹															
5116-1	ˀd a ¹															
7297-1	ɕ j e p ¹															
3731-1	k o t ¹															
748-1	h a m ¹															
2180-1	h a m ¹															
4107-1	h a m ¹															
2688-1	l o ŋ ¹															
616-1	k o ŋ ¹															
1898-1	h a ¹ ¹															
203-1	m̥ a ¹															
897-1	ˀb j a ¹															
10189-1	ɕ e n ¹															
1592-1	h o t ¹															
6088-1	ⁿd j o ŋ ¹															
2975-1	ˀb o n ¹															
6714-1	h a ŋ ¹															
731-1	k a m ¹															
2722-1	j u ¹															
5637-1	k o t ¹															
765-1	l t i k ¹															
1695-1	k a m ¹															
2112-1	l j u ¹															
6634-1	m̥ a ¹															
7331-1	m̥ a ¹															
7348-1	ˀb i ŋ ¹															
6527-1	ˀd a ¹															
3568-1	z o n ¹															
4378-1	m̥ a ¹															
6292-1	ⁿd j e n ¹															
3585-1	ɕ o ŋ ¹															
4428-1	k a m ¹															
7046-1	ɕ j ə ŋ ¹															
1915-1	ʔ j a m ¹															
4518-1	k o ŋ ¹															
2516-1	h a u ¹															
4480-1	ˀb o n ¹															
2499-1	tʰ j e k ¹															
5584-1	m̥ a ¹															
2429-1	m̥ a ¹															
5224-1	ˀd a ¹															
3464-1	k h e k ¹															
10142-1	t o ŋ ¹															
7159-1	h o ŋ ¹															
6599-1	l a ¹															
10207-1	m̥ u ¹															
6837-1	h o n ¹															
2654-1	m̥ a ¹															
367-1	s ui u k ¹															
5858-1	h m̥ a ¹															
