COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
52-1	t t e ʔ									
56-1	o m e									
96-1	a t a n ʔ									
99-1	a t i z o n ʔ									
114-1	t o k i									
115-1	u o u									
133-1	t i p a w a									
144-1	a t a w i ʔ									
150-1	k a w ʔ									
234-1	k o m									
236-1	p i k o n ʔ									
241-1	a w i n									
249-1	i tʃ e ʔ									
1-1	w a z a ʔ									
2-1	w e m m									
65-1	i w ʔ									
74-1	p a n a ʔ									
106-1	t i n e i									
128-1	p o k									
147-1	t i m i									
231-1	p a n a w o									
232-1	p p i i n ʔ ʔ									
239-1	n a m a k a n									
266-1	i tʃ i m ʔ									
51-1	u w e ʔ									
97-1	m a p o m									
109-1	i p i j i									
121-1	k a p i w a k ʔ									
149-1	t o k									
160-1	k i r i k									
163-1	u p e n									
52-2		t t e								
56-2		o m e								
96-2		a r a s i								
99-2		a r i j o n								
114-2		t o k o s i								
115-2		o o r s s s								
133-2		t i p r a a s i								
144-2		w r a w a s i								
150-2		k a w								
234-2		k o m								
236-2		p r k o n								
241-2		a w i n								
249-2		i s e								
74-2		p a n a								
93-2		t u p a r i s i								
95-2		w i k i s								
106-2		t o n e s l								
119-2		j j t t i i								
128-2		h o k s i								
147-2		t i m o s l								
231-2		p a n a w u								
232-2		p i p j e								
239-2		n a m a k a n								
266-2		i t i m								
51-2		e w i								
55-2		i h a m								
97-2		m r h o m								
121-2		k a p i ã k k n i								
163-2		e p e n								
52-3			v t k							
56-3			u m v							
96-3			a t a e							
99-3			a t p v o							
114-3			t u k k e							
115-3			u n e e e							
133-3			t m p a n a							
144-3			t t t w t e m							
150-3			k a w							
234-3			k u m							
236-3			p v k u n							
241-3			a w e n							
249-3			e e v							
1-3			w a i a							
2-3			w w							
65-3			e w e							
93-3			t u p a n e e e							
95-3			w m k							
106-3			tʃ u n p tʃ e							
119-3			ɲ a t i tʃ e							
128-3			p u k tʃ e							
147-3			t m m u e e							
231-3			p a n a w u							
232-3			p p p e ɲ a							
239-3			ɲ a m a k a n							
266-3			v i e m							
3-3			a e k k o							
4-3			w a i p i							
55-3			i h a a							
109-3			u p u w e							
121-3			k a p m j a k e							
149-3			t u k tʃ							
160-3			k e e e k							
52-4				t t u						
56-4				u m u						
96-4				a t a ʒ̟						
99-4				a n i u o n						
114-4				t o k i						
115-4				u u u						
133-4				t i p a n a						
144-4				a a a w						
150-4				k a w						
234-4				k o m						
236-4				p i k u n						
241-4				a w i n						
249-4				i tʃ u						
1-4				w a ʒ̟ a						
2-4				w m m						
65-4				i w						
74-4				p a n a						
93-4				t o p a n i tʃ i						
95-4				w i t						
106-4				t u n i						
119-4				i j t t i						
128-4				p o k						
147-4				t i m i						
231-4				p a n a w o						
232-4				p i i i						
239-4				m a m a k a n						
266-4				i s i m						
3-4				w r r k k o						
4-4				w a n i						
51-4				u w u						
97-4				m o p u m						
109-4				u p i j i						
121-4				k a p i j a k						
149-4				t u k						
160-4				k i r i k						
163-4				u p u n						
52-5					t t e					
56-5					o m e					
96-5					a t a s i					
99-5					a r e m e n					
114-5					t o k i s i					
115-5					o t i s s i					
133-5					t i p a r a s i					
144-5					w t r w a s i					
150-5					k a w ʔ					
234-5					k o m					
236-5					p i k e n					
241-5					a w i n					
249-5					i s e					
1-5					w a t a					
2-5					w f m					
65-5					i w					
74-5					p a n a					
93-5					t o p a r i s i					
95-5					w i k i					
106-5					t e n i s i					
119-5					j j t i i					
128-5					f o k i s i					
147-5					t i m i s i					
239-5					n a m a k a n					
266-5					i t i m					
3-5					w a r i r o ʔ					
4-5					w a t i					
51-5					e w e ʔ					
55-5					i f a m					
97-5					m o f o m					
109-5					o p e j i					
149-5					t o k					
160-5					k i r i k					
163-5					o p e j					
52-6						t t t a				
56-6						u a e i				
96-6						a t a i i				
99-6						a u i i u				
114-6						t u k i i				
115-6						u u i i tʃ i				
133-6						t i p a g a tʃ i				
144-6						a u a w tʃ tʃ tʃ i				
150-6						k a w				
234-6						k u m				
236-6						p i k u h				
241-6						a w i h				
249-6						i tʃ e				
1-6						w a t a				
2-6						w h a r				
65-6						i w i				
74-6						p a h a				
93-6						t u p a g i tʃ i				
95-6						w m k i tʃ				
106-6						t u h e tʃ i				
119-6						i a tʃ tʃ i tʃ				
128-6						p u k i tʃ i				
147-6						t m m u tʃ i				
231-6						p a h a w u				
232-6						p p i i p				
239-6						h a a a k a h				
266-6						i t i m p				
3-6						w a g k k u				
4-6						w a t i				
55-6						i h a m				
97-6						w a p u m				
109-6						u p u tʃ i tʃ				
160-6						k i r i k				
52-7							t t ë			
56-7							u m i			
96-7							a r			
99-7							a r i a u j			
114-7							t u k u			
115-7							o u u			
133-7							t i p r a			
144-7							a k a w a			
150-7							k a w ʔ			
234-7							k u m n			
236-7							p i k u n			
241-7							a w i d n			
249-7							i s i			
1-7							w a z a ʔ			
2-7							w k m			
65-7							i w			
74-7							p a n a			
93-7							t u p a r i			
95-7							w i k i			
106-7							t u n e i			
119-7							i a t t i			
128-7							h u k u			
147-7							t u m i i			
231-7							p a j a w u			
232-7							p p i o p			
266-7							i z i m			
3-7							w u r k k u			
4-7							w a r i ʔ			
51-7							i w ë			
55-7							i h a m n			
97-7							m g p u m			
109-7							i p i a i			
121-7							k a p i a a k			
149-7							t u k n			
160-7							k i r i k n			
163-7							u p i d			
52-8								t t e		
56-8								e m e		
96-8								r t a y		
99-8								r t i y u p		
114-8								t u k s i		
115-8								u u j s s s		
133-8								t i t r a a s		
144-8								w t a w a s i		
150-8								k a w		
234-8								k u m		
236-8								p i k e n		
241-8								a w i n		
249-8								i s e		
1-8								w a t a		
2-8								a h m		
65-8								i w		
74-8								p a n a		
93-8								t u p a a v s i		
95-8								w i s		
119-8								i j y t i s		
231-8								t a n a y u		
232-8								t t p v		
239-8								n a m a k a n		
3-8								a u a k k u		
4-8								w a t v p		
51-8								i w e		
55-8								i h a m		
109-8								u t j i s i		
121-8								k a t i j k k s		
149-8								t u k		
163-8								u t e n		
52-9									i t e ʔ	
56-9									o m e	
96-9									a r a ʃ i	
99-9									a r i r a n	
114-9									t o k ʃ i ʔ	
115-9									i u e ʃ ʃ ʃ ʔ	
133-9									t i p a r a ʃ i	
144-9									a a r w a ʃ i ʔ	
150-9									k a w	
234-9									k o m	
236-9									p e k i n	
241-9									a w i n	
249-9									i ʃ e	
1-9									w a t a	
2-9									w m m	
65-9									i w	
74-9									p a n a	
93-9									t o p a r i ʃ i ʔ	
95-9									w w ʃ i ʃ	
106-9									t i n e ʃ i	
119-9									ʃ a t i ʃ i	
128-9									h o k ʃ i	
147-9									t i m i ʃ i	
231-9									p a n a u o ʔ	
232-9									p i p i m a	
239-9									n a m a k a n	
266-9									i t i m	
3-9									w i r i k o	
4-9									w a t i ʔ	
51-9									i w e ʔ	
55-9									i h a m	
97-9									m a h o m	
109-9									i p i i i ʃ	
