COGID	Amharic	Argobba	Chaha	Endegagn	Ezha	Geez	Gumer	Gura	Gyeto	Harari	Inor	Kistane	Mesqan	Muher	Silte	Tigre	Tigrigna	Wolane	Zway
61-1	kʼ ə																		
63-1	ʔ a r i																		
107-1	kʼ a lː ə ə ə																		
112-1	kʼ ə mː i i																		
331-1	ə a u																		
377-1	kʼ g ə kʼ ə i																		
381-1	kʼ ɨ a																		
417-1	ə a																		
451-1	ə ə ə																		
454-1	ʔ a zː ə i ə																		
484-1	ʔ ə i t																		
535-1	ʔ a lː i ə o																		
543-1	ə ə lː																		
593-1	kʼ a ə i																		
640-1	ə a o																		
1-1	g ə r ə r a																		
65-1	kʼ a																		
212-1	kʼ a o																		
244-1	ʔ a r a																		
248-1	ə kʼ ə ə i																		
293-1	f ə rː a																		
373-1	kʼ g ə a o																		
408-1	kʼ a u r a																		
414-1	kʼ a ə a																		
601-1	r ə lː i																		
642-1	a i ə i o																		
60-1	rː ə rː i r i																		
115-1	ə a a																		
209-1	j ə a a																		
242-1	g a ə i																		
415-1	j ə lː ə																		
450-1	s ə ə i																		
490-1	tʼ ə bː ə ə																		
638-1	s i ə i																		
645-1	kʼ i i																		
160-1	f ə rː a a																		
208-1	ʔ ə ə kʼ ə i																		
214-1	a e																		
378-1	ʔ a ə ə																		
379-1	j ə ə t ə a																		
409-1	ʔ a t ə r i																		
598-1	kʼ a ə																		
646-1	ʔ a ə																		
210-1	j ə ə ə																		
215-1	ʔ a zː a i																		
285-1	j ə a																		
332-1	a g																		
380-1	ʔ a ə																		
412-1	s ə i a																		
64-1	g a r i																		
67-1	i i																		
251-1	w i ə ə																		
294-1	ʔ ə ə ə a t a																		
597-1	w i ə i a a																		
7-1	w i a a																		
158-1	kʼ ə ə ə ə																		
372-1	g ə ə ə ə																		
374-1	ə ə																		
375-1	s i																		
411-1	ʔ ə ə ə																		
541-1	kʼ a i																		
6-1	i i i																		
113-1	b ə a a																		
330-1	g ə ə t																		
448-1	ʔ ə t ə ə ə ə ə ə																		
449-1	w a ə ə																		
491-1	g i ə g a																		
596-1	ə																		
4-1	ʔ ə																		
8-1	g ə ə a																		
106-1	m i s i																		
290-1	ʔ ə ə r ə																		
489-1	kʼ r																		
602-1	ə ə ə																		
2-1	ʔ ʔ ə ə u																		
3-1	g a a a																		
213-1	ʔ a lː a s																		
486-1	ə ə bː a kʼ i																		
647-1	ʔ a																		
10-1	tʼ ə o o																		
110-1	g ə																		
152-1	w a s a																		
211-1	ə ə s u																		
328-1	f ə f ə s ə																		
333-1	ə ə lː ə ə																		
334-1	ʔ a a b ə ai̯																		
410-1	g a ə																		
540-1	l ə a																		
109-1	g ɨ n a																		
61-2		tʃ ɨ e																	
63-2		x ə j e e																	
107-2		tʃ ɨ m ə e e																	
112-2		tʃ ə j e e e																	
331-2		ɨ ɨ h e e																	
377-2		tʃ tʃ ə e e e																	
381-2		tʃ ɨ h e a																	
417-2		ɨ ɨ																	
451-2		x ə j m e																	
454-2		x ɨ e e																	
484-2		tʃ e d e e																	
535-2		x ɨ j e ə																	
543-2		tʃ ə ə ə e																	
593-2		x ɨ e e e																	
640-2		ɨ ɨ ə ə																	
1-2		tʃ e rː e e e																	
65-2		tʃ ɨ j																	
163-2		x ə m e																	
212-2		x ɨ e																	
244-2		x ə ə e																	
248-2		ɨ e e e																	
293-2		tʃʼ ə rː e e																	
373-2		tʃ tʃ ɨ e e e																	
408-2		x ɨ ə e e																	
414-2		kʼ ɨ e e e																	
