COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
52-1	t i t e ʔ									
56-1	t u m e ʔ									
96-1	k a a m									
99-1	a r i z n									
114-1	t o k									
115-1	p o k									
133-1	u p a k									
144-1	k a w a r									
150-1	k a w									
234-1	o k o m									
236-1	p a k o n									
241-1	n a w i n									
249-1	i k e									
1-1	w a z a									
2-1	w a k ʔ									
65-1	i w									
74-1	p a n a									
52-2		t e t e								
56-2		t e m e								
96-2		a a s i								
99-2		r i m e n a								
114-2		t o k a s i								
115-2		t i n e s i								
133-2		t i p r a s i								
144-2		r a n a s i								
150-2		k a w								
234-2		k o m								
236-2		p a k a m								
241-2		a i n								
249-2		i s i								
74-2		p a n a								
93-2		t u p a r a s i								
95-2		i k i s i								
52-3			s a t i j							
56-3			u m a							
96-3			w a t a t e							
99-3			t i r a t							
114-3			t i k o tʃ i							
115-3			t a r i tʃ e							
133-3			i i t tʃ a t e							
144-3			a t a w a tʃ e							
150-3			k a w							
234-3			k o m							
236-3			p tʃ o n							
241-3			w a a w e							
249-3			i tʃ e							
1-3			w a d a							
2-3			a m							
65-3			a w a tʃ							
93-3			p a t i tʃ e							
95-3			i w a tʃ o							
52-4				t i t e						
56-4				u m e						
96-4				a t						
99-4				a r i n						
114-4				t o k						
115-4				u						
133-4				t i p a a n						
144-4				a k a w						
150-4				k a w						
234-4				k o m						
236-4				p i k u n						
241-4				a w i n						
249-4				i tʃ e						
1-4				w a t a						
2-4				w i m						
65-4				i w						
74-4				p a n a						
93-4				t o p a r						
95-4				w i						
52-5					t i t e					
56-5					y m e					
96-5					a r i s i					
99-5					e r e k o n					
114-5					t o k i s i					
115-5					i r i s i					
133-5					i t i p r a s i					
144-5					r a a s i					
150-5					k a w					
234-5					k o m					
236-5					p i k i n					
241-5					t a i w i n					
249-5					i e					
1-5					w a t i ʔ					
2-5					e m					
65-5					i w i					
74-5					p a n a					
93-5					t o p a r i s i					
95-5					i w i k					
52-6						p a t a				
56-6						j u m a				
96-6						a m a tʃ i				
99-6						i t a k a				
114-6						t u k a tʃ i				
115-6						i a m a tʃ i				
133-6						t i p a tʃ a tʃ i				
144-6						a t a w a tʃ i				
150-6						k a w				
234-6						k u n				
236-6						p a k a n				
241-6						a a w a				
249-6						i tʃ i				
1-6						w a a				
2-6						a i m				
65-6						a w a i				
74-6						p a n a				
93-6						t u p a r i tʃ i				
95-6						u w i a tʃ i				
52-7							i i			
56-7							t u m o			
96-7							k a r i t i			
99-7							u r i a			
114-7							t u k i			
115-7							u ʃ i			
133-7							u p a ʃ i			
144-7							t u k a m a ʃ i			
150-7							k a w			
234-7							k o			
236-7							p i k a n			
241-7							a k w i n			
249-7							i ʃ i			
1-7							w a z a			
2-7							a m			
65-7							i w i d i			
74-7							p a n a			
93-7							t u p a m i ʃ i			
95-7							w i k i			
52-8								t i t		
56-8								i m e		
96-8								a r a s i		
99-8								r i a		
114-8								t o k a s i		
115-8								i o r a s i		
133-8								t i p r a s i		
144-8								a r a a s i		
150-8								k a		
234-8								k a m		
236-8								p a k a		
241-8								a w i		
249-8								i s i		
1-8								w a t a		
2-8								i m		
65-8								i w i		
74-8								p a n a		
93-8								t u p a r a s i		
95-8								w i t i		
52-9									t i t	
56-9									i m i	
96-9									a r a ʃ i ʔ	
99-9									i r i i n	
114-9									t o k a ʃ i ʔ	
115-9									i r i ʃ i ʔ	
133-9									i t i p a r a ʃ i ʔ	
144-9									a r a w a ʃ i ʔ	
150-9									k a w	
234-9									k o m	
236-9									p i k a n	
241-9									a k w i n	
249-9									i ʃ i ʔ	
1-9									w a t i ʔ	
2-9									w i m	
65-9									i w	
74-9									p a n a	
93-9									t o p a r i ʃ i ʔ	
95-9									w i j i	
52-10										e t e
56-10										tʃ o m e ʔ
96-10										t a r i tʃ
99-10										r e tʃ a
114-10										t o k o tʃ i ʔ
115-10										o r i tʃ i ʔ
133-10										t p r a tʃ i ʔ
144-10										a r i n i tʃ i ʔ
150-10										k a w
234-10										k o m
236-10										p a k e n ʔ
241-10										a
249-10										tʃ i
1-10										w a tʃ a ʔ
2-10										w i m
65-10										i w
74-10										p a n a
93-10										t o p a r i tʃ i
95-10										w i tʃ i
