COGID	dutch	english	french	german
1469-1	z ɑ n d			
2047-1	s ɔ l j			
2054-1	d ɔ n eː			
1375-1	l uː t j eː r			
760-1	v iː n d			
756-1	s n aː			
726-1	ɔ d ə r			
1351-1	k l ɛɪ n + v aː t ə r			
1353-1	k l ɛɪ n + ɑ n t ə r			
412-1	b ɑ + p ə r + v aː t			
406-1	b ɔ iː x + ɪ n + l			
1005-1	b t iː p ə v aː d ə r			
1012-1	b ɑ p + ɛ oː ɔ ə r			
1016-1	v ɪ d w ə r			
1069-1	ɛɪ			
509-1	v ɔ l ɪ n			
693-1	j uː l			
2179-1	n ɛ s t			
1753-1	p w z			
1131-1	w ɔ l v			
1198-1	b iː r t			
2032-1	h ɔ n			
2241-1	n aː z ə			
2244-1	l ɛɪ p			
610-1	n iː			
945-1	h ɛ r k			
1534-1	l ə s j			
384-1	s oː k ə			
1650-1	n ɔ s			
1663-1	z ɑ l f			
2279-1	l ɛɪ n			
471-1	z ɔ			
1385-1	s iː d			
792-1	uː j			
1111-1	m ɑ s t			
197-1	s uː d			
2020-1	l ɔ ŋ			
867-1	h ɛ n d r ə d			
1970-1	p l			
1230-1	d r d ɑ z j ɛ			
2017-1	n j uː a			
968-1	w ɛ l d			
1674-1	l ɑ n t			
1671-1	h øː k ə l			
829-1	k l ɛɪ p ə			
1025-1	w uː s ə r			
1027-1	z iː			
1832-1	r oː v			
-1816-1	oː s aː n			
-335-1	l ə k uː n ə			
1043-1	s t r iː m			
423-1	s t ɔ n			
2049-1	m uː n t			
2062-1	s t ɔ r m			
2065-1	r ɛɪ n + b ɔ x ə			
1368-1	s ɑ d ə			
1365-1	d j uː			
754-1	r aː n			
768-1	w ɛ s t ə r			
1211-1	v ɛɪ ə r			
106-1	m ɑ n			
-98-1	b aː b iː			
719-1	v ɑ s t ə r			
1341-1	z oː n			
-2027-1	ɑ n t ə			
-2026-1	n ɛ w j uː			
409-1	z v iː k ə r + l oː n			
402-1	œy t + s p r ɛɪ n + l			
1014-1	s t ɔ n + d ɔ x t ə r			
1059-1	w iː r			
120-1	s t ɑ l			
2183-1	d ɔ r a			
2194-1	ɔ k s ə			
2199-1	k ɑ l p			
2197-1	s iː p			
1523-1	z ɑu			
1521-1	b oː k			
512-1	m ɛ r aː			
2141-1	h uː n			
2147-1	x ɛɪ s			
814-1	k r aː ə			
810-1	d ɔ w			
1755-1	s j z			
1758-1	m s			
1760-1	r ɑ t			
1620-1	v iː n eː			
1282-1	w aː l			
1136-1	v ɔ k s			
1309-1	l uː s			
1307-1	n iː t ə			
1305-1	v l iː			
711-1	w ɔ s p ə			
1442-1	v l iː k ə			
62-1	m iː k ə			
-73-1	m ə s k iː t oː			
1810-1	h ɛɪ d			
1805-1	v l eː s			
1813-1	h aː r			
1811-1	b l uː t			
690-1	r iː p ə			
2177-1	h eː d			
246-1	ɛɪ + b r uː			
249-1	ɛɪ x l n d l iː t			
1506-1	n aː z t ə l			
2242-1	m uː n t			
2245-1	t oː ŋ ə			
1196-1	uː k			
2174-1	s ɔ l d ə r			
575-1	ɛ ts ɛ l + h oː l ə			
603-1	ɛ l ə n + b oː x ə			
601-1	h ɑ n t			
615-1	v iː ŋ k ə r			
901-1	k l ɑu ə			
608-1	v ɔ t			
596-1	t aː ə			
937-1	b ɔ r s t			
936-1	n aː v ə l			
646-1	l oː ŋ			
947-1	l iː v iː r			
1606-1	h ɔ p t ə			
472-1	s n iː z			
1535-1	s w ɪ ts			
1546-1	s p ɪ ts			
1959-1	s l aː n			
694-1	s n ɔ r k ə			
1961-1	d r iː m ə			
323-1	ə l ɛɪ v			
1885-1	x r ɑ v			
2156-1	k aː l d			
1903-1	w uː n d ə			
525-1	s w ɛ l ɪ ŋ			
276-1	l ɑ m aː			
274-1	t eː v			
278-1	b l ɛɪ n t			
258-1	b eː + t r ɪ ŋ k ə n			
256-1	n aː k t			
383-1	iː s ə n			
207-1	r ɛɪ p			
376-1	d r ɪ ŋ k			
2009-1	oː w ə			
2003-1	k eː d ə l			
2024-1	p ɑ n			
1321-1	k oː p			
1976-1	t ɔ ŋ z			
1243-1	m aː l t			
1265-1	p ə l j			
1261-1	z iː w			
655-1	b r ɑ t			
650-1	d aː k			
1532-1	k iː d			
-36-1	z uː p ə			
34-1	b iː n eː			
-1647-1	v ɛɪ k ə			
-1615-1	oː l			
125-1	v ɛ t			
1659-1	h ɔ n ɪ x			
1661-1	m iː l k			
1676-1	b uː d ə r			
480-1	x eː ŋ k ɛ ŋ k			
1466-1	k l aː d ɔ ŋ			
2277-1	w ɔ l			
2271-1	v ɛ l t			
2293-1	l ɛɪ d ə r			
624-1	s p ɪ n			
628-1	s p ɪ n d ə l			
626-1	w eː v ə			
633-1	n aː d ə l			
1185-1	s uː + m aː k ə r			
1179-1	h uː t			
2168-1	k ɑ l m			
1952-1	d ɔ r			
899-1	l ɛɪ d ə r			
922-1	b eː d			
-934-1	l ɑ m p ə			
916-1	t r oː k			
1726-1	v eː l d			
2108-1	p l øː k ə			
1133-1	v ɔ r k			
2114-1	s p aː d ə			
1272-1	r ɔ x			
1979-1	x r ɑ s			
1989-1	h œy			
-2260-1	p l ɑ n t ə			
70-1	b iː s			
-89-1	w ɛɪ n + s t ɔ x			
-12-1	p ɛɪ p			
713-1	z ɑ p t			
747-1	n ɛ s ə l			
308-1	d uː n			
289-1	b ɪ n d			
1930-1	b r aː k			
1928-1	s p ɑ l t ə			
858-1	s t r ɛ k ə			
1577-1	h ɑ ŋ			
908-1	w ɔ s			
648-1	b uː r			
1855-1	ɑu s + h oː l ə n			
657-1	h ɑ m ə r			
2058-1	n aː l			
949-1	b l ɑ k + s m iː d			
1642-1	x ɔ l d			
1640-1	z iː l f			
1633-1	ɛɪ r ə n			
1630-1	t iː n			
993-1	x l aː s			
-2121-1	r ɔ l ə			
1692-1	v ɑ l ɛɪ n			
1694-1	d r ɔ p ə n			
1062-1	z ɛ ŋ k ə			
476-1	s w ɪ m ə			
1051-1	v l ɛɪ ɣ ə			
1075-1	b l aː v ə			
135-1	t l ɛɪ t ə			
-134-1	d ɑ n t ə			
1839-1	x s + uː t			
1097-1	k oː m + b ɑ n t			
1777-1	v ɔ l k			
1434-1	b r ɪ ŋ ə			
1417-1	l iː d			
1424-1	r ɛɪ d			
778-1	p aː d			
790-1	b r ɛɪ ɣ ə			
1223-1	p ɑ d ə l			
1117-1	s aː k ə l			
1411-1	h aː v ə			
1407-1	h ɑ l d			
1390-1	d iː ŋ			
2086-1	x iː w			
2082-1	k ɛɪ w + b ɑ k			
576-1	s iː k ə			
579-1	v ɪ n d			
581-1	l uː z			
-1791-1	r ɛɪ k			
-225-1	p r ɛɪ s			
-2284-1	p l ɑ t			
1479-1	v ə n			
847-1	h ɛɪ k			
659-1	b oː d ə m			
860-1	m ɛɪ d ə			
213-1	r ɛɪ t			
1286-1	v ɛ r n			
1293-1	w ɛ s t ə			
474-1	d iː k			
467-1	d iː n			
1177-1	t iː p			
588-1	v l ɑ k			
584-1	h aː k ə			
-1153-1	r ɔ n d			
700-1	t w ɛ l w			
875-1	d uː z ə d			
1559-1	ɑ l			
1565-1	m ɔ r			
1968-1	h ɑ v			
-350-1	p aː r			
1478-1	b oː d ə			
1469-2		s ɑ n t		
2047-2		z ɔ n ɪ		
2054-2		d ɔ n d		
1375-2		l ɪ k t		
760-2		v ɪ n t		
756-2		s n ɛ w		
726-2		m iː d		
1351-2		ɡ r ɔ t + f ɑ n t		
1353-2		ɡ r ɔ s + uː d ə r		
412-2		b ɑ p ə r + f aː d		
406-2		b ʏ n t + m uː d ə r		
1005-2		s t ɪ + f aː d ə r		
1012-2		s t ɪ f + ɑ n t ə r		
1016-2		w ɛ d w w + aː r		
1069-2		ɪ k		
509-2		v øː l ɪ n		
693-2		m uː l + ɛ s ɪ l		
2179-2		n ɛ s t		
1753-2		f ɪ z		
1131-2		w uː l f		
1198-2		b aː r t		
2032-2		h ɔ r n		
2241-2		n ɛ z ɪ		
2244-2		l ɪ p		
610-2		k n ɪ		
945-2		h a r t		
1534-2		l t k ɪ		
384-2		s uː ɡ ə		
1650-2		n w s		
1663-2		z ɑ t		
2279-2		l ɪ n		
471-2		z ɪ m		
1385-2		z aː t		
792-2		uː k		
1111-2		m ɑ s t		
197-2		s øː d		
2020-2		l a ŋ		
867-2		h ɛ n d		
1970-2		f l		
1230-2		d r d z		
2017-2		yː		
968-2		w ɛ r t ə l		
1674-2		l ɑ n t		
1671-2		h yː v ə l		
829-2		k l ɪ p		
1025-2		w aː d ə r		
1027-2		z ɛ		
1832-2		r uː w		
-1816-2		oː t ɛ aː n		
-335-2		l aː ɡ uː ə		
1043-2		ʃ t r ɔ m		
423-2		s t ɛ n		
2049-2		m ɑ n t		
2062-2		s t ɔ r m		
2065-2		r ɛ ɡ ɔ n + b oː x		
1368-2		s ɑ t ə n		
1365-2		d ɑ w		
754-2		r ɛ ɡ		
768-2		w ɛ r t		
1211-2		f uː r		
106-2		m ɑ n		
-98-2		b ɛ b ɪ		
719-2		f aː d ə r		
1341-2		z oː n		
-2027-2		d ɑ n t		
-2026-2		n ɛ f		
409-2		s w ɔ n + z oː n		
402-2		ʃ v ɔ n + d ɔ x t ə r		
1014-2		ʃ t ɛɪ v + d ɔ x t ə r		
1059-2		w iː r		
120-2		s t ɑu l		
2194-2		ɔ k s ə		
2199-2		k ɑ l p		
2197-2		s k aː p		
1523-2		z iː		
512-2		m ɛ r		
2141-2		h uː n		
2147-2		k a n s		
814-2		k r aː		
810-2		d ɪ f		
1758-2		m ɪ s		
1760-2		r a		
1620-2		w ɪ n		
1282-2		w aː l		
1136-2		f ɔ s		
1309-2		l iː s		
1307-2		n ɛ s		
1305-2		f l		
711-2		w ɛ s p		
1442-2		f l iː ɡ		
62-2		m ʏ k ə n		
-73-2		m s k ɪ t		
1810-2		h d		
1805-2		f l ai ʃ		
1813-2		h aː r		
1811-2		b l uː t		
690-2		r ɪ p		
2177-2		h ɑu p t		
246-2		w ɛ ŋ ɡ + b r ɑ n t		
249-2		oː ɡ + l ɪ t		
1506-2		n ʏ s + f l ʊ ɡ ə l		
2242-2		m uː n t		
2245-2		t ɔ ŋ		
2174-2		ʃ ɔ l d ə r		
603-2		b oː n		
601-2		h ɑ n t		
615-2		f iː ŋ ə r		
901-2		k l ɑ w		
608-2		f uː t		
596-2		t ɛ		
937-2		b ɔ r s t		
936-2		n aː v ə l		
646-2		l ɔ ŋ		
947-2		l ɛ w ə r		
1606-2		h yː f t ə		
472-2		n iː z ə		
1535-2		s w ɪ ts		
1546-2		s p øː ɡ		
1959-2		ʃ l aː p ə		
694-2		d oː r k		
1961-2		d r ɔ m ə		
323-2		l ɛ b ə		
1885-2		ɡ r aː p		
2156-2		w ɛ r + k ɑ n t + h		
1903-2		w ɔ n d		
525-2		s w ɛ l ɪ ŋ		
276-2		l aː m		
274-2		d ɔ f		
278-2		b l ɪ n t		
258-2		b ɔ ŋ k ə n		
256-2		n aː k t		
383-2		ɛ s ə		
207-2		r iː p		
376-2		d r ɪ ŋ k		
2014-2		r uː s t ə		
2009-2		oː w ə		
2003-2		k eː d ə l		
2024-2		p a n		
1321-2		k oː p		
1976-2		t ɑ ŋ		
1243-2		m aː l + d ɑ n t		
1265-2		p ɪ l j		
1261-2		z iː w ə		
655-2		b r ɔ t		
650-2		d ə k		
1532-2		k n ɛ d ə		
-36-2		s uː p		
34-2		b oː n ə n		
-1647-2		w eː ɣ ə		
-1615-2		oː l		
125-2		w ɛ		
1659-2		h ɔ n ɪ ŋ		
1661-2		m ɛ l k		
1676-2		b uː d ə r		
480-2		d r ŋ k		
1466-2		k l ɛɪ d ɪ ŋ		
2277-2		w ɔ l		
2271-2		f ɪ l t		
2293-2		l ɛ d r		
624-2		s p ɪ n		
628-2		ʃ p ɪ n d ə l		
626-2		w ɛ b ə n		
633-2		n aː d ə l		
1185-2		ʃ ɔ n + m aː k ə r		
1179-2		h uː t		
2168-2		k ɑ m		
