COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
52-1	i t									
56-1	u m a									
96-1	a t									
99-1	a r i k a									
114-1	t o k									
115-1	u r									
133-1	t i p a n									
144-1	a w a w									
150-1	k a w									
234-1	k o m									
236-1	p i k n									
241-1	a w i n									
249-1	i t e									
1-1	w a t a									
2-1	w o m									
65-1	i w									
74-1	p a n a									
52-2		t e t e								
56-2		i m e								
96-2		a r a s i								
99-2		a r i k e n								
114-2		t e k i s i								
115-2		i r i s i								
133-2		t i p r a s i								
144-2		a r a r a s i								
150-2		k a								
234-2		k e								
236-2		p a k i n								
241-2		a i								
249-2		i s e								
74-2		p a n a								
93-2		t u p a r i s i								
95-2		w i k i s i								
52-3			t i a							
56-3			i m a							
96-3			a t a tʃ e							
99-3			a t i k a t							
114-3			t u k o tʃ e							
115-3			t i m i tʃ e							
133-3			tʃ i p a a tʃ e							
144-3			a t a m a tʃ e							
150-3			k a							
234-3			k o							
236-3			p a k a							
241-3			a tʃ e							
249-3			i tʃ e							
1-3			a tʃ a							
2-3			a i m							
65-3			a							
93-3			t u p a m i tʃ e							
95-3			a k a k a							
52-4				i t						
56-4				u m						
96-4				a t						
99-4				a r i						
114-4				t o k						
115-4				u r						
133-4				t i p a n						
144-4				a w a w						
150-4				k a w						
234-4				k o m						
236-4				p i k a n						
241-4				a w i n						
249-4				i tʃ e						
1-4				w a t a						
2-4				w u m						
65-4				i w						
74-4				p a n a						
93-4				t o p a						
95-4				w i						
52-5					t i t a					
56-5					i m e					
96-5					a r a s i					
99-5					a r i k a n					
114-5					t o k i s i					
115-5					i r i s i					
133-5					t i p r a s i					
144-5					a w a r a s i					
150-5					k a w					
234-5					k o m					
236-5					p i k i n					
241-5					a w i n					
249-5					i s i					
1-5					w a t a					
2-5					w i m					
65-5					i w					
74-5					p a n a					
93-5					t o p a r i s i					
95-5					w i k i					
52-6						t a t a				
56-6						u m i				
96-6						t a a tʃ i				
99-6						a t i a t				
114-6						t u k i tʃ i				
115-6						t a m i tʃ i				
133-6						t i p a a tʃ i				
144-6						t a t a m a tʃ i				
150-6						k a				
234-6						a k i				
236-6						p i k a				
241-6						a tʃ i				
249-6						i tʃ i				
1-6						w a tʃ a				
2-6						a a m				
65-6						i w i				
74-6						p a a				
93-6						t u p a r i tʃ i				
95-6						a w i i tʃ i				
52-7							i t o			
56-7							i m i			
96-7							a r a t			
99-7							a r i k a			
114-7							t u k i			
115-7							u r i			
133-7							t i p a i			
144-7							a t a w a i			
150-7							k a w			
234-7							k o			
236-7							p i k a n			
241-7							a w i n			
249-7							i t i			
1-7							w a t a			
2-7							w i m			
65-7							i w i			
74-7							p a n a			
93-7							t u p a r i			
95-7							w i k			
52-8								t t		
56-8								i m a		
96-8								a r a s i		
99-8								a r i k a n		
114-8								t u k i s i		
115-8								i r i s i		
133-8								t i p r a s i		
144-8								a r a r a s i		
150-8								k a		
234-8								k o		
236-8								p a k i		
241-8								a i		
249-8								i s i		
1-8								w a t a		
2-8								i m		
65-8								i w		
74-8								p a n a		
93-8								t u p a r i s i		
95-8								v i k		
52-9									i t i	
56-9									i m i	
96-9									a r a ʃ i ʔ	
99-9									a r i k a n	
114-9									t o k i ʃ i ʔ	
115-9									i r i ʃ i ʔ	
133-9									t i p a r a ʃ i ʔ	
144-9									a r a w a ʃ i ʔ	
150-9									k a w	
234-9									k o m	
236-9									p i k i n	
241-9									a a w i n	
249-9									i ʃ i ʔ	
1-9									w a t a	
2-9									w i m	
65-9									i w i	
74-9									p a n a	
93-9									t a p a r i ʃ i ʔ	
95-9									w i k i	
52-10										i t e ʔ
56-10										m a ʔ
96-10										a r a tʃ
99-10										r i k o n
114-10										t o k i tʃ i ʔ
115-10										o r i tʃ i ʔ
133-10										t i p r a tʃ i ʔ
144-10										a r a w a tʃ i ʔ
150-10										k a w ʔ
234-10										k o m
236-10										p a k i n ʔ
241-10										a w i n
249-10										tʃ e ʔ
1-10										w a tʃ a
2-10										w i m
65-10										w i
74-10										p a n a
93-10										t o p a r i tʃ i ʔ
95-10										w i k i
