COGID	Amharic	Argobba	Chaha	Endegagn	Ezha	Geez	Gumer	Gura	Gyeto	Harari	Inor	Kistane	Mesqan	Muher	Silte	Tigre	Tigrigna	Wolane	Zway
61-1	d ə m																		
63-1	ʔ a t ɨ m																		
107-1	g a m ə l a																		
112-1	d a m ə n a																		
331-1	n ɨ g u s																		
377-1	b ə kʼ r																		
381-1	ʔ a																		
417-1	r u																		
451-1	s ə n a t																		
454-1	ʔ a ɨ r																		
484-1	s ɨ d ɨ s t																		
535-1	ʔ a s ɨ r																		
543-1	s ə s t																		
593-1	ʔ a m u s																		
640-1	m a																		
1-1	d ə b ə r ə																		
65-1	d ɨ																		
212-1	ʔ ə n																		
244-1	ʔ a r ə t																		
248-1	m u l a																		
293-1	f ə r ə																		
373-1	kʼ ɨ m a																		
408-1	b a r a																		
414-1	d ə b a a																		
601-1	ʔ ə r																		
642-1	n ɨ f a s																		
60-1	n ə f ə s ə																		
115-1	ʔ a																		
209-1	s ə m ɨ t																		
242-1	ʔ a m ɨ s t																		
415-1	s ɨ n a																		
450-1	s ə r																		
490-1	d ə b ə																		
61-2		d ə m																	
63-2		ʔ a d ɨ m																	
107-2		g a m ə l																	
112-2		d a m ə n a																	
331-2		n ɨ g s																	
377-2		b ə kʼ l																	
381-2		ʔ a d																	
417-2		r a																	
451-2		s ə a d																	
454-2		ʔ a ɨ r																	
484-2		s ɨ d ɨ s																	
535-2		ʔ a s ɨ r																	
543-2		s ə s d																	
593-2		ʔ a m																	
640-2		m a																	
1-2		d ə m ə r ə																	
65-2		tʼ ɨ																	
163-2		s ə d																	
212-2		ʔ a n																	
244-2		ʔ a r a																	
248-2		m u l a																	
293-2		f ə r ə																	
373-2		kʼ ɨ m a																	
408-2		b ɨ r a																	
414-2		d ə b																	
642-2		n ɨ a																	
60-2		n ə f ə s a																	
115-2		ʔ a m																	
209-2		s ɨ m ɨ																	
242-2		ʔ a m ɨ s d																	
415-2		s ɨ n a																	
450-2		s ə r																	
490-2		d ə b																	
61-3			d ə m																
63-3			ʔ a t ɨ m																
107-3			g a m ə r a																
112-3			d a b ə r a																
331-3			n ɨ g w s																
377-3			b ɨ kʼ ə r ə																
381-3			ʔ a t																
417-3			r u z																
451-3			s ə b a t																
454-3			ʔ a t ɨ r																
484-3			s ɨ t ɨ s t																
535-3			ʔ a s ɨ r																
543-3			s o s t																
593-3			ʔ a m u s																
640-3			m w a n																
1-3			d ə b ə r ə m																
65-3			tʼ u																
163-3			s ə t ə																
212-3			ʔ ə n																
244-3			ʔ a r b ə t																
248-3			m u r a																
293-3			f ə r ə z																
373-3			kʼ ɨ m a r																
408-3			b a r a																
414-3			d ə b a kʼ u a																
601-3			ʔ ə r ə																
642-3			n ɨ a s																
60-3			n ə x ə s ə m																
115-3			ʔ ə r a m																
209-3			s ɨ m ɨ t																
242-3			ʔ a m ɨ s t																
415-3			z ɨ r a b																
450-3			z ə r																
490-3			t ə b w ə m																
61-4				d ə m															
63-4				ʔ a t ɨ m															
107-4				g a m ə r a															
112-4				d a b ə r a															
331-4				n ɨ g s															
377-4				b ə kʼ ə r ə															
381-4				ʔ a t															
417-4				r ə															
451-4				s ə b a t															
454-4				ʔ a ʔ ɨ r															
484-4				s ɨ t ɨ s t															
535-4				ʔ a s ɨ r															
543-4				s ə s t															
593-4				ʔ a m ə s															
640-4				m a n															
1-4				d ə b ə r ə															
65-4				ʔ ə															
163-4				s ə t ə															
408-4				b ə r a															
414-4				d ə b a kʼ ə a															
601-4				ʔ ə r ə															
642-4				n ə a s															
60-4				n ə ə s ə															
115-4				ʔ ə r a m															
450-4				ʔ ə r															
490-4				t ə b ə															
61-5					d ə m														
63-5					ʔ a tʼ ɨ m														
107-5					g a m ə r a														
112-5					d a b ə r a														
331-5					n ɨ g w s														
377-5					b ɨ kʼ ə r ə														
381-5					ʔ a t														
417-5					r u z														
451-5					s ə b a t														
454-5					ʔ a t ɨ r														
484-5					s ɨ tʼ ɨ s t														
535-5					ʔ a s ɨ r														
543-5					s o s t														
593-5					ʔ a m u s														
640-5					m w a														
1-5					d ə b ə r ə m														
65-5					tʼ u														
163-5					s ə t ə														
212-5					ʔ e n														
244-5					ʔ a r b ə t														
248-5					m ɨ r a														
293-5					f ə r ə z														
373-5					kʼ ɨ m a r														
408-5					b o r a														
414-5					d ɨ b a kʼ u a														
601-5					ʔ ə r o														
642-5					ʔ ɨ f a s														
60-5					n ə f ə s ə m														
115-5					ʔ ə r a m														
209-5					s ɨ m ɨ t														
242-5					ʔ a m ɨ s t														
415-5					z ɨ r a b														
450-5					z ə r														
490-5					t ə b w ə m														
61-6						d ə													
63-6						ʔ a t ɨ													
107-6						kʼ ɨ m ə l													
112-6						d ə b ə n													
331-6						n ɨ g s													
377-6						b ə kʼ l													
381-6						ʔ ɨ a t													
417-6						r ə													
451-6						s ə b b a t													
454-6						ʔ a t ɨ r													
484-6						s ɨ ʔ ɨ s t													
535-6						ʔ a s ɨ r													
543-6						s ə s t													
593-6						ʔ a m													
640-6						m ɨ ə n													
1-6						d ə b ə r ə													
163-6						s ə t													
212-6						ʔ ə n													
244-6						ʔ a r b ə t													
248-6						m ɨ ɨ l													
293-6						s ə r ə													
373-6						kʼ ɨ ɨ m a													
408-6						b ə r													
601-6						ʔ ə r b													
642-6						n ɨ ʔ a													
60-6						n ə g ə s ə													
115-6						ʔ ə													
242-6						ʔ a m ɨ s t													
415-6						s ɨ n a													
450-6						s ə r													
490-6						t ə b ə													
61-7							d ə m												
63-7							ʔ a t ɨ m												
107-7							g a m ə r a												
112-7							d a b ə r a												
331-7							n ɨ g w s												
377-7							b ɨ kʼ ə r ə												
381-7							ʔ a t												
417-7							r u z												
451-7							s ə b a t												
454-7							ʔ a t ɨ r												
484-7							s ɨ d ɨ s t												
535-7							ʔ a s ɨ r												
543-7							s o s t												
593-7							ʔ a m u s												
640-7							m w a n												
1-7							d ə b ə r ə m												
65-7							tʼ u												
163-7							s ə t ə												
212-7							ʔ e n												
244-7							ʔ a r b ə t												
248-7							m u r a												
293-7							f ə r ə z												
373-7							kʼ ɨ m a r												
408-7							b a r a												
414-7							d ɨ b a kʼ ɨ r a												
601-7							ʔ ə r ə												
642-7							n ɨ a s												
60-7							n ə ə s ə m												
115-7							ʔ ə r a m												
209-7							s ɨ m t												
242-7							ʔ a m ɨ s t												
415-7							z ɨ r a b												
450-7							z ə r												
490-7							t ə pː w ə m												
61-8								d ə m											
63-8								ʔ a t ɨ m											
107-8								g a m e r a											
112-8								d a b ə r a											
331-8								n ɨ g w s											
377-8								b ɨ kʼ ə r ə											
381-8								ʔ a t											
417-8								r u z											
451-8								s ə b a t											
454-8								ʔ a tʼ ɨ r											
484-8								s ɨ t ɨ s t											
535-8								ʔ a s ɨ r											
543-8								s o s t											
593-8								ʔ a m u s											
640-8								m w a n											
1-8								d ə b ə r ə m											
65-8								tʼ u											
163-8								s ə t ə											
212-8								ʔ e n											
244-8								ʔ a r ə t											
248-8								m u r a											
293-8								f ə r ə z											
373-8								kʼ ɨ m a r											
408-8								b a r a											
414-8								d ɨ b a kʼ u a											
601-8								ʔ ə r ə											
642-8								n ɨ a s											
60-8								n ə ə s ə m											
115-8								ʔ ə r a m											
209-8								s ɨ t											
242-8								ʔ a m ɨ s t											
415-8								z ɨ r a b											
450-8								z ə r											
490-8								tʼ ə b w ə m											
61-9									d ə m										
