COGID	dutch	english	french	german
1469-1	s ɑ n t			
2047-1	s ɔ n ə			
2054-1	d ɔ n ə r			
1375-1	l ɛɪ k			
760-1	w ɪ n t			
756-1	s n aː			
726-1	m ɔ d ə r			
1351-1	x r ɑ p n ʉ			
1353-1	x r ɛɪ p ə m ə t ə			
412-1	v oː n iː r r ɛɪ n			
406-1	m oː n ə r r ə m			
1005-1	s t eː p p ɑ d ə			
1012-1	s t eː p ə m ə t ə			
1016-1	w ɪ d ə r			
1069-1	oː ə			
509-1	v ɔ l ə			
693-1	m ɔ l l t			
2179-1	n ɛ s t			
1753-1	v ɪ x			
1131-1	w ɔ l f			
1198-1	b aː r t			
2032-1	h ɑ r ə			
2241-1	n aː r			
2244-1	l ɪ p			
610-1	k n n			
945-1	h ɑ r t			
1534-1	l ɛ k ə			
384-1	z ɔ k ə			
1650-1	n ɔ t			
1663-1	s ɑ l t			
2279-1	l ɛɪ n ə			
471-1	s ə ə			
1385-1	s aː d ə			
792-1	j ɔ k			
1111-1	m ɑ s t			
197-1	z uː d ə			
2020-1	l ɑ ŋ			
867-1	h ɔ n d			
1970-1	v ɔ l			
1230-1	d ə r r ə			
2017-1	n øː w ɑ			
968-1	w ɛ l t			
1674-1	l ɑ n t			
1671-1	h øː ɣ ə l			
829-1	k l ɪ p			
1025-1	w ɑ s ə r			
1027-1	z eː n			
1832-1	r ɔ x			
-1816-1	oː ts ɪ ɑ n			
-335-1	l ɑ ɣ uː n			
1043-1	s t r ɔ m			
423-1	s t ɑ n			
2049-1	m ɔ n t			
2062-1	s t ɑ r m			
2065-1	r ɛɪ n ə + b oː oː ɣ			
1368-1	s x d ə			
1365-1	d oː ɛɪ			
754-1	r ɛɪ ɣ ə			
768-1	w eː t ə r			
1211-1	v œy r r			
106-1	m ɑ n			
-98-1	b eː v ɪ			
719-1	v ɑ d ə r			
1341-1	s ɔ n			
-2027-1	d n n ə			
-2026-1	n eː v ə			
409-1	s oː n ə r + l ɔ n			
402-1	d oː x ə r r ɛɪ n ts ə			
1014-1	s t eː p + d ɔ x t ə r			
1059-1	w eː r			
120-1	s t ɑ l			
2183-1	s oː d ɑ k			
2194-1	ɔ k s ə			
2199-1	k ɑ l f			
2197-1	s oː p			
1523-1	z uː ŋ			
1521-1	b ɔ k			
512-1	m ɑ r			
2141-1	h ɛ n			
2147-1	x ɑ n t			
814-1	k r r ə			
810-1	d oː v ə			
1755-1	h ɔ n t			
1758-1	m uː s			
1760-1	l ɑ t			
1620-1	v ɪ n			
1282-1	w ɛ l			
1136-1	v ɔ k s			
1309-1	l uː s			
1307-1	n ɪ t ə			
1305-1	v l øː			
711-1	w ɑ s p			
1442-1	v l ɛɪ ɣ			
62-1	m ʉ x			
-73-1	m ɔ s k eː t ə			
1810-1	h ɑu t			
1805-1	v l eː s			
1813-1	h aː r			
1811-1	b l uː t			
690-1	r ʉ ŋ ə			
2177-1	h oː p			
246-1	oː ɣ + r r k r oː			
1469-2		s əʊ n d		
2047-2		s ɔ n		
2054-2		d aɪ n ə ə r		
1375-2		l ɪ		
760-2		w aɪ n		
756-2		s n eɪ		
726-2		m aʊ d ə r		
1351-2		ɡ r aɪ p l p d r		
1353-2		ɡ r aɪ t l m ɡ t r		
412-2		s w ɛ n r əʊ d		
406-2		s t aɪ n ə r		
1005-2		s ɪ + p əʊ d		
1012-2		s t əʊ ə m ɡ t r		
1016-2		w aɪ d v		
1069-2		ɪ k		
509-2		f iː l		
693-2		m iː l		
2179-2		n eɪ s		
1753-2		f ɔ l		
1131-2		w ɔ l		
1198-2		b iː k t		
2032-2		h əʊ n		
2241-2		n ɔ s		
2244-2		l ɪ f		
610-2		n ɪ d		
945-2		h ɑː k		
1534-2		l ɪ k		
384-2		s eɪ l		
1650-2		n ɔ t		
1663-2		s ɔ l		
2279-2		l ɪ n		
471-2		s ɪ		
1385-2		s ɪ d aɪ		
792-2		ɡ ɪ k		
1111-2		m əʊ s		
197-2		s ɔ t		
2020-2		l æ ŋ		
867-2		h ʌ n d		
1970-2		f ɔ l		
1230-2		θ r r d		
2017-2		n ɪ w aɪ		
968-2		w ɛ l		
1674-2		l ɑː n d		
1671-2		h ɪ l̩		
829-2		k l ɛ p		
1025-2		w ʊ k ə r		
1027-2		s ɪ		
1832-2		r ɪ		
-1816-2		h t n̩ ɔ n		
-335-2		l æ s uː		
1043-2		s t r ɔ m		
423-2		s t iː n		
2049-2		m iː ð		
2062-2		s t r r m		
2065-2		r aɪ b aɪ		
1368-2		s əʊ d		
1365-2		d ɪ		
754-2		r aɪ		
768-2		w ɛ d		
1211-2		f uː r r		
106-2		m æ n		
-98-2		b iː v		
719-2		f iː d ə r		
1341-2		s ɔ n		
-2027-2		t ɑː n d		
-2026-2		n ɛ v		
409-2		s w aɪ n ə r ɔ n		
402-2		s w aɪ n ə r t		
1014-2		s t iː v + d ɔː t ə r		
1059-2		w iː		
120-2		s t ɔː l		
2194-2		ɔ k		
2199-2		k ɑː l eɪ		
2197-2		s ɔ v p		
1523-2		s ɪ		
512-2		m iː r		
2141-2		h æ n		
2147-2		ɡ ɑː n s		
814-2		k r eɪ		
810-2		d ɔː v		
1758-2		m ɔ s		
1760-2		r aɪ m		
1620-2		f ɪ n		
1282-2		w ɑː l v s		
1136-2		f ʊ k		
1309-2		l iː s		
1307-2		n ɛ t		
1305-2		f l		
711-2		w ɛ s p		
1442-2		f l aɪ ɡ		
62-2		m ɪ dʒ		
-73-2		m ɔ s k æ d		
1810-2		h ʌ d		
1805-2		f l ɛ s		
1813-2		h ɑː ə		
1811-2		b l ɛ		
690-2		r ɪ p		
2177-2		h ʌ f d		
246-2		w æ + n ə k r ɪ		
1469-3			ʃ o t	
2047-3			k u z	
2054-3			k u n y	
1375-3			l ə	
760-3			v ə n	
756-3			k l y k	
726-3			k u	
1351-3			f ʀ p s l	
1353-3			f	
412-3			f ə a ɡ p ə	
406-3			k u a ɡ	
1005-3			ʀ ɛ ə p ə t	
1012-3			ʀ ɛ ə p	
1016-3			v ə t ʀ	
1069-3			p ʀ	
509-3			p l a e	
693-3			ə l	
2179-3			n y ɛ e	
1753-3			p ə	
1131-3			v ə p	
1198-3			t ə t ʀ	
2032-3			l y	
2241-3			n y ʃ	
2244-3			l ə p	
610-3			k	
945-3			ə	
1534-3			l ə k	
384-3			ʃ u s	
1650-3			n y	
1663-3			ʃ l z	
2279-3			l ə n	
471-3			ʃ s z	
1385-3			ʃ ə s	
792-3			y k	
1111-3			ə ɛ	
197-3			ʃ s z e	
2020-3			l a	
867-3			u y ʀ ʀ	
1970-3			p l	
1230-3			p ə ʀ e	
2017-3			n y p	
2183-3			t ɛ ə	
1521-3			k l	
1755-3			ɑ̃	
1760-3			ʀ e	
1469-4				z a n t ə
2047-4				z a n ə
2054-4				t ʊ n d ə r
1375-4				l ɪ x ə ə
760-4				v ɪ n t
756-4				ʃ n ai ə
726-4				m ʊ d ə
1351-4				ɡ r au n d ə ə ə ə
1353-4				ɡ r au t + m d ə r
412-4				f a l n ə ə n ə l
406-4				ʃ ʊ l ə n ə n l
1005-4				ʃ ai ɡ n ə ə ə ə
1012-4				ʃ t ɛ l k m d ə r
1016-4				v ai t ə ə n ə
1069-4				au x ə
509-4				f a l ə n
693-4				m ʊ l ə ə n ə
2179-4				n ɛ s t
1753-4				f ɪ a
1131-4				v ʊ l f
1198-4				b ɪ r t ə
2032-4				h a r ə ə
2241-4				n aː s
2244-4				l ɪ f
610-4				k eː ə n
945-4				h a l ə
1534-4				l ɪ k ə n
384-4				z a k ə n
1650-4				n ɔ x ə
1663-4				ʃ ɛ l ə
2279-4				l ɪ n ɪ n
471-4				ʃ ai ə ə n
1385-4				ʃ ɛ t n ə
792-4				v ʊ k
1111-4				m a s t
197-4				z ʊ t ə n
2020-4				l a ŋ
867-4				ts ʊ n d ə r t
1970-4				f ɔ l ə
1230-4				t ɛ r ɔ n
2017-4				n ʊ v ə x
968-4				v eː r ə l
1674-4				l a n t
1671-4				h ɪ f ə l
829-4				k l ɪ f
1025-4				v a t ə r
1027-4				ʃ iː n
1832-4				r au f
-1816-4				h s t x n n
-335-4				l aː ɡ ʊ n ə n
1043-4				ʃ t r ɔy m
423-4				ʃ t a n ə
2049-4				m ɪ n
2062-4				ʃ t a r n
2065-4				r ai x ə n + b oː ɡ
1368-4				ʃ ʊ t ʃ ɔy
1365-4				t au iː
754-4				r ɛ ɡ ə n
768-4				v eː r ə
1211-4				f ai ə
106-4				m a n
-98-4				b ai b iː ə
719-4				f aː d ə r
1341-4				z ʊ n
-2027-4				ɛ ɛ t ə ə n
-2026-4				n aː ɔy
409-4				ʃ ʊ n n ə n oː n a
402-4				ʃ ʊ n ə + d ʊ n t ə ʊ
1014-4				ʃ t iː f + d ʊ k ə r r
1059-4				v eː
120-4				ʃ t a l ə
2183-4				ts ə v a x
2194-4				ɔ s ə
2199-4				k a l
2197-4				ʃ au p ə
1523-4				z ʊ k ə
1521-4				b ʊ k ə
512-4				m ɛ r iː ə
2141-4				h ɛ n
2147-4				ɡ ɛ s
814-4				k r ai ə n
810-4				t uː p ə
1755-4				h ʊ n t
1758-4				m ɛː s ə
1620-4				f ɪ n
1282-4				v a l b ə t
1136-4				f ɔ k ə
1309-4				l ʊ s ə
1307-4				n ɪ t ə
1305-4				f l oː
711-4				v a ʃ p n
1442-4				f l iː ɡ ə
62-4				m ʏ k ə
-73-4				m ʊ k k ai t
1810-4				h ai t ə
1805-4				f l ai s
1813-4				h aː r
1811-4				b l ʊ t ə
690-4				r ɪ k
2177-4				h oː t t
246-4				v s k t + b r n
