COGID	Dashi	Ega	Enqi	Gongxing	Jinman	Jinxing	Mazhelong	ProtoBai	Tuoluo	Zhoucheng
32-1	m ə˞ ⁴⁴									
53-1	ʈʂ i ²¹									
93-1	k ɯ ²¹									
216-1	sʰ w a ⁴⁴									
236-1	ts õ ³³ ³³									
267-1	tɕ i ⁴² n									
316-1	p ɯ ³³									
327-1	ɣ ɯ ³³									
348-1	ʈʂ o ⁴⁴									
400-1	ʈʂ ou ²¹									
452-1	k ə˞ ⁴⁴									
463-1	kʰ a ⁴⁴									
512-1	t ou ⁴²									
534-1	ts ou ⁴⁴									
556-1	kʰ u ³³									
568-1	x ɯ ⁴⁴									
588-1	sʰ w a ⁴⁴									
599-1	pʰ ɯ ³⁵									
656-1	k ou ²¹									
678-1	k o ²¹									
689-1	m ə˞ ⁴²									
700-1	m e ⁴²									
775-1	p j e n									
786-1	k e ³⁵									
820-1	ʈʂ o ⁴²									
839-1	t ɯ ²¹									
863-1	kʰ ou ³³									
896-1	k ə̃˞ ³⁵									
929-1	ʈʂ ɯ ²¹									
1015-1	ʂ o ³⁵									
1035-1	ʈʂ o ³³									
1107-1	ʂ ə˞ ⁴⁴									
1173-1	ʂ i ³³									
1195-1	ʂ i ³³									
1241-1	m e ²¹									
1252-1	l ou ²¹									
1294-1	k ã ³⁵									
1326-1	tɕ u ³³									
1348-1	tɕ i ³¹									
1401-1	s e n									
1451-1	ʂʰ i ³³									
1473-1	t w e ³³ ³³									
1507-1	tɕʰ i ³⁵									
1532-1	k ɯ ³⁵									
1543-1	ʂ ɯ ³³									
1575-1	ʂ j e n									
1618-1	p ɯ ²¹									
1640-1	k ou ⁴⁴									
1671-1	ʂ i ⁴⁴									
1731-1	ʂ o ŋ ³⁵									
1762-1	sʰ w a ŋ									
1773-1	t ɯ ⁴⁴									
1794-1	k o ŋ ⁵⁵									
1805-1	ʈʂ ɯ ³¹									
1816-1	s u ³³									
1862-1	ts i ³⁵									
1885-1	kʰ ə˞ ⁴⁴									
1914-1	ʂ ɯ ³³									
