COGID	Albanian	English	French	German	Latin
560-1	g y				
438-1	g u ʃ				
1222-1	g v y ʃ				
353-1	k g g ʃ d				
201-1	g ʃ				
20-1	g g p v				
503-1	g				
957-1	j y				
728-1	g g ʃ				
244-1	m a j				
289-1	v y ʃ				
911-1	a p i j				
724-1	d r t				
145-1	g t y				
992-1	ʃ				
1181-1	c g e				
741-1	t e t				
1150-1	d g g s e ʃ				
585-1	ʃ				
814-1	g g g e ə ʃ				
916-1	y ð				
1079-1	p e ð				
630-1	g g g g v t				
343-1	c i e				
560-2		v r			
438-2		ɑ r d			
1222-2		g o d			
353-2		s p ɪ s ɪi			
201-2		s ɪ n			
20-2		s ɛ r ɪi			
503-2		s r o l			
957-2		n ʊ n			
728-2		l au n			
244-2		m au n ə d			
289-2		m r t			
911-2		m au r l			
724-2		p r n			
145-2		s w			
992-2		s i			
706-2		ə			
106-2		s m n ə r			
741-2		s t			
421-2		s l			
227-2		s n o d			
920-2		s ɑ m d			
1083-2		s ɛ r			
1066-2		o s			
1125-2		k ʊ n			
1197-2		m m ə r			
473-2		m ɑ d			
284-2		m o			
661-2		g o n			
701-2		r i o			
315-2		r ə			
1169-2		s o l d			
1150-2		j k r s ɪi			
982-2		j s s			
987-2		s n			
1055-2		s p t ɑ m ɪi d			
1130-2		s ʊ			
433-2		s ɑ n ə d			
625-2		s ɪ n			
1186-2		s o n d			
416-2		s m d			
1233-2		s ɪ n			
884-2		s ɛ r			
1016-2		v p			
952-2		ʊ n			
78-2		b l a s			
514-2		b p r n			
116-2		o t			
188-2		f r ɪ ɪi d			
745-2		f ɑ ð ə d			
1100-2		f r r t			
47-2		s p			
111-2		s o			
1061-2		k ɑ m			
24-2		m ɪ d			
232-2		m au n d			
671-2		p r r t			
560-3			v t ɛ		
438-3			ɔ̃ r ɛ e		
1222-3			g v ɛ t		
353-3			g w ɔ̃ s t		
201-3			k ɔ̃ t		
20-3			ʃ ɔ̃ r		
503-3			p l a		
957-3			w u		
728-3			l ɔ̃ n		
244-3			n ɔ̃ m		
289-3			n t ɛ t		
911-3			r ɔ̃		
724-3			t r n		
145-3			g w ɛ		
992-3			b u		
1181-3			s j a t		
706-3			o ɔ̃		
106-3			p ɔ t r		
741-3			p ɔ̃ ɛ		
421-3			f l ɛ t r		
227-3			g r		
920-3			k ɔ̃ r z e		
1083-3			k ɔ̃ r		
1066-3			o		
1125-3			k ɛ n		
1197-3			m u t t r		
473-3			n ɔ̃ v ɛ z		
284-3			m u s e		
661-3			ʒ u n		
701-3			r ɔ̃ ɥ r		
315-3			r u		
1169-3			k u l e		
1150-3			g k ɔ̃ p ɑ̃ e		
982-3			g s ɛ t		
987-3			g n e		
1055-3			s k t w ɔ̃ z		
1130-3			k u n		
433-3			s ɔ̃ r z z		
585-3			t u		
625-3			l ɔ̃ t		
1186-3			k u n		
814-3			v a r t a t		
416-3			g r ɛ e		
1233-3			v ɔ̃ t		
884-3			v ɔ̃ r s		
916-3			ɛ t		
1016-3			g ɛ		
952-3			u		
514-3			g u r e		
1079-3			ʒ y		
1100-3			p r		
47-3			g w ɛ m		
111-3			l u e		
1061-3			m u t t e		
1155-3			ʒ ɔ r		
343-3			v ɛ t r		
671-3			p r		
560-4				k n i	
438-4				eː r a	
1222-4				g m aː	
353-4				ʃ p o	
201-4				f au m	
20-4				f a a	
503-4				ʃ n a	
957-4				g au	
728-4				l au b	
244-4				n au	
289-4				n n oː	
911-4				r au a t s	
724-4				d r	
145-4				b m oː	
992-4				eː	
1181-4				ʃ eː r ə	
706-4				a g m	
106-4				f au d	
421-4				f l eː r	
227-4				f m ə	
920-4				h a l	
1083-4				h a l	
1066-4				g b	
1125-4				g m n	
1197-4				m au d	
473-4				n au m ə	
284-4				n au	
661-4				au n	
701-4				r au m t	
315-4				l au a k n	
1169-4				ʃ au l	
1150-4				f p a r t	
982-4				g z i b	
987-4				ʃ n iː	
1055-4				f p t k o	
1130-4				z au k	
433-4				ʃ au n	
585-4				au au	
625-4				t au b	
1186-4				t au	
814-4				au r a ts	
416-4				g v ai	
1233-4				v e n	
884-4				v e l	
78-4				b l iː	
514-4				b r k n n	
116-4				eː t	
188-4				f p a k ə	
745-4				f eː d r	
1100-4				f r a ə	
630-4				f n t l t s	
1155-4				h au	
24-4				n a n t	
232-4				n au ə	
671-4				g r a ə t	
560-5					f e n o
438-5					o
1222-5					t t
353-5					p ae t o
201-5					k e n
20-5					k u t u i r
503-5					p l e o
957-5					t a n
728-5					l u n u o
244-5					n uː n u
289-5					n e i
911-5					s a n u i n
724-5					t l eː
145-5					t iː u o
992-5					s oː
1181-5					k ae n i o
706-5					u l t i o
106-5					p e n u r
741-5					p eː o
421-5					f l e i
227-5					p l e
920-5					s u r u i n
1083-5					s o l o
1066-5					s s e
1125-5					s e n
1197-5					m a n u r
473-5					n e l o
284-5					n e n u
661-5					t u n u
701-5					s e t u i
315-5					t i i d o
1169-5					s e l i
982-5					a s e o
987-5					s n eː
1055-5					s u t b i l u n
1130-5					s i
433-5					s o l u
585-5					t oː
625-5					l a n u o
1186-5					t a n
814-5					f r
416-5					b u eː
1233-5					w i n i o
884-5					w e l i o
916-5					aː oː
1016-5					a m uː m o
952-5					a a
78-5					t aː u i
1079-5					b o eː
116-5					aː u t
188-5					s t e p u l n
745-5					s e t i
47-5					s k u m o
111-5					l a n u
1061-5					m a l t e
630-5					n m t e o
1155-5					k u n i o
24-5					n u i
232-5					n u n i
343-5					f ae i
