COGID	dutch	english	french	german
1469-1	z ɑ n t			
2047-1	z ɔ n			
2054-1	d oː n d ə			
1375-1	l ɛɪ m			
760-1	w ɪ n t			
756-1	s n aː			
726-1	m oː r ə r			
1351-1	x r ɑ s			
1353-1	x r ɑ s			
412-1	v ɑ r p ə h ə r ə			
406-1	m x r x ə h ə n ə			
1005-1	s t + p d			
1012-1	s t l p t s ə n ə			
1016-1	w ɪ d ə			
1069-1	d ŋ			
509-1	v ɛ l ə			
693-1	m ɑ l iː l			
2179-1	n aː s t			
1753-1	v ɪ s			
1131-1	w oː l			
1198-1	b ɑ r t			
2032-1	h oː r			
2241-1	n aː t			
2244-1	l eː p ə			
610-1	k ə			
945-1	h ɑ r			
1534-1	l eː k			
384-1	z ɔ k ə			
1650-1	n oː t			
1663-1	z ɑ w			
2279-1	l eː n			
471-1	z ə m			
1385-1	z ə t			
792-1	j ɑ x			
1111-1	m ɑ s t			
197-1	z uː d ə			
2020-1	l ɑ ŋ			
867-1	h oː n d ə			
1970-1	v l l			
1230-1	d r d ɑ ə			
2017-1	n aː			
968-1	w ɛ l t			
1674-1	l ɑ n t			
1671-1	h eː l ə l			
829-1	k l ɪ ŋ			
1025-1	w ɑ t ə r			
1027-1	z aː			
1832-1	r ɔ			
-1816-1	oː s			
-335-1	l ɑ ɣ ə			
1043-1	s t r			
423-1	s t			
2049-1	m uː n			
2062-1	s t			
2065-1	r aː n ə			
1368-1	s ɑ t			
1365-1	d ə w			
754-1	r aː n ə			
768-1	w ɛ r			
1211-1	v ə r			
106-1	m ɑ n			
-98-1	b aː v ə			
719-1	v ɛ r ə r			
1341-1	z oː n			
-2027-1	ɑ ɑ n			
-2026-1	n eː v			
409-1	s x n n			
402-1	d x t t			
1014-1	s t			
1059-1	w ɛɪ			
120-1	s t ɑ l			
2183-1	s t			
2194-1	oː k			
2199-1	k ɑ l			
2197-1	s			
1523-1	z ɑ			
1521-1	b oː k			
512-1	m ɑ r			
2141-1	h ɛ n			
2147-1	x ɑ n			
814-1	k r			
810-1	d ə w			
1755-1	h oː n			
1758-1	m uː z			
1760-1	r ɑ t			
1620-1	v ɪ n			
1282-1	w aː l			
1136-1	v ɔ k			
1309-1	l uː s			
1307-1	n ɪ t			
1305-1	v l iː			
711-1	w ɛ s p			
1442-1	v l iː			
62-1	m ɪ x			
-73-1	m ə s k			
1810-1	h ɑu t			
1805-1	v l			
1813-1	h aː r			
1811-1	b l uː t			
690-1	r ɪ p			
2177-1	h ɛ p			
246-1	d			
249-1	d x ə n			
1506-1	n aː t			
2242-1	m uː n			
2245-1	t oː ŋ			
1196-1	n ɑ k			
2174-1	s x l t ə			
575-1	ɑ k			
603-1	eː l ə			
601-1	h ɑ n t			
615-1	v ɪ ŋ			
901-1	k l			
608-1	v ə t			
596-1	t aː			
937-1	b r r s t			
936-1	n aː ɣ ə			
646-1	l oː ŋ			
947-1	l aː v ə r			
1606-1	h eː p			
472-1	n n			
1535-1	s w ɛ t			
1546-1	s p ɪ t ə			
1959-1	s l aː			
694-1	s n ɑ x			
1961-1	d r			
323-1	l aː l ə			
1885-1	x r ɑ p			
2156-1	k ə l			
1903-1	w oː n d			
525-1	s w ɛ l			
276-1	l ɑ m			
274-1	d ə p			
278-1	b l ɪ n t			
258-1	b ə			
256-1	n aː k			
383-1	eː t			
207-1	r ɛɪ p			
376-1	d r ɪ ŋ k			
2009-1	oː p ə			
2003-1	k ɛ t ə			
2024-1	p ɑ n			
1321-1	k oː p			
1976-1	t ɑ ŋ			
1243-1	m aː l			
1265-1	p ə l			
1261-1	z ɪ v ə			
655-1	b r			
650-1	d ə k			
1532-1	k n			
-36-1	z x p			
34-1	b oː n			
-1647-1	v ɪ ɣ			
1469-2		s æ n d		
2047-2		s ɔ n		
2054-2		d ɔ n d		
1375-2		l ɪ m		
760-2		f ɪ n d		
756-2		s n eɪ		
726-2		m ɪ d ə r		
1351-2		ɡ r ɪ t		
1353-2		ɡ r ɪ k		
412-2		s ɔː n ə r		
406-2		s ɪ l ə r		
1005-2		s t ə p		
1012-2		s t l p		
1016-2		f ɛ d		
1069-2		ɪ k		
509-2		f ɔː l		
693-2		m ɪ l		
2179-2		n iː s t		
1753-2		f aɪ ŋ		
1131-2		l ɔ l		
1198-2		b æ v r		
2032-2		h æ r n		
2241-2		n eɪ		
2244-2		l ɪ p		
610-2		k n n		
945-2		h æ r		
1534-2		l ɪ k		
384-2		s ɪ m		
1650-2		n aɪ t		
1663-2		s æ l		
2279-2		l aɪ n		
471-2		s ɪ		
1385-2		s eɪ d		
792-2		ɡ uː		
1111-2		m æ s t		
197-2		s ɪ d		
2020-2		l æ l		
867-2		h æ n d		
1970-2		f ɔ l		
1230-2		d r k d		
2017-2		n iː		
968-2		w ɛ l		
1674-2		l æ n d		
1671-2		h æ v		
829-2		k l ɪ p		
1025-2		w ɛ t		
1027-2		s ɪ d		
1832-2		r aɪ m		
-1816-2		h aɪ		
-335-2		l æ r		
1043-2		s t r		
423-2		s t		
