COGID	dutch	english	french	german
1469-1	s ɑ n t			
2047-1	s ɔ n			
2054-1	d ɔ n			
1375-1	l ɛɪ m t			
760-1	w ɪ n			
756-1	s n eː			
726-1	m ɔ r ə r			
1351-1	x r k n			
1353-1	x r k n			
412-1	b x + x			
406-1	m x l x			
1005-1	s t + t s			
1012-1	s t l t			
1016-1	w ɪ d ə ə			
1069-1	k k			
509-1	v ə l			
693-1	m oː l +			
2179-1	n eː s t			
1753-1	v ɪ ŋ t			
1131-1	w ɔ l			
1198-1	b aː r			
2032-1	h ɔ r			
2241-1	n aː			
2244-1	l ɛɪ p			
610-1	k ə			
945-1	h ɑ r			
1534-1	l ɛ k			
384-1	s oː k ə			
1650-1	n ɔ t			
1663-1	s ɑ l			
2279-1	l ɛɪ n			
471-1	s oː m ə			
1385-1	s aː d			
792-1	k ɔ k			
1111-1	m ɑ s t			
197-1	s oː d ə			
2020-1	l ɑ ŋ			
867-1	h aː n			
1970-1	v l l			
1230-1	d r r			
2017-1	n ɛɪ w			
968-1	w ɛ l			
1674-1	l ɛɪ n			
1671-1	h ɑ l ə			
829-1	k l ɪ x			
1025-1	w ɑ s ə r			
1027-1	s oː			
1832-1	r aː			
-1816-1	b p t			
-335-1	l ə x ə			
1043-1	s t r			
423-1	s t			
2049-1	m oː n			
2062-1	s t			
2065-1	r aː n ə			
1368-1	s x t v ə			
1365-1	d oː w			
754-1	r aː n ə			
768-1	w ɛ d			
1211-1	v ə r			
106-1	m ɑ n			
-98-1	b aː b eː			
719-1	v ə r ə r			
1341-1	s oː n			
-2027-1	d n n			
-2026-1	n ɛ w			
409-1	s x n n			
402-1	d x t x			
1014-1	s t			
1059-1	w ɛ			
120-1	s t			
2183-1	s t			
2194-1	ɔ k t			
2199-1	k ɑ l			
2197-1	s x			
1523-1	s oː			
1521-1	b ɔ k			
512-1	m ɑ r			
2141-1	h ɑ n			
2147-1	x ɑ n			
814-1	k r aː v			
810-1	d oː r			
1755-1	h ɔ n			
1758-1	m ɑ s			
1760-1	r ɑ n			
1620-1	v ɪ n			
1282-1	w aː l			
1136-1	v ɔ k t			
1309-1	l ɛɪ s t			
1307-1	n ɪ s			
1305-1	v l ɛɪ x			
711-1	w ɛ s t			
1442-1	v l ɛɪ			
62-1	m ɪ k			
-73-1	m ə s t			
1810-1	h ɑu t			
1805-1	v l ɛɪ s			
1813-1	h aː r			
1811-1	b l ɛɪ			
690-1	r ɪ ŋ			
2177-1	h ɑu p			
246-1	b ɛ r			
249-1	v x l n			
1506-1	n aː s t n			
2242-1	m ɔ n			
2245-1	t ɔ ŋ			
1196-1	n oː k			
2174-1	s x l w ə			
575-1	b k			
603-1	b l ə			
601-1	h ɑ n			
615-1	v ɪ ŋ ə			
901-1	k l			
608-1	v ɔ s			
596-1	t ɛ			
937-1	b r r s t			
936-1	n aː v ə			
646-1	l aː ŋ			
947-1	l aː w ə r			
1606-1	h ɑu p			
472-1	n n eː			
1535-1	s w ɪ t			
1546-1	s p r t ə			
1959-1	s l aː v			
694-1	s n			
1961-1	d r			
323-1	l ɛɪ l ə			
1885-1	x r aː n			
2156-1	k r l			
1903-1	w ɛ n			
525-1	s w ɛ l			
276-1	l aː m			
274-1	d oː p			
278-1	b l ɛɪ n			
258-1	b ə + t			
256-1	n ɑ k			
383-1	b d			
207-1	r ɛɪ v			
376-1	d r ɪ ŋ k			
2009-1	s w ə			
2003-1	k oː s ə			
2024-1	p ɑ n			
1321-1	k oː p			
1976-1	t ɔ n ə			
1243-1	m aː l			
1265-1	p ə l			
1261-1	s oː w ə			
655-1	b r s t			
650-1	d oː k			
1532-1	k n			
-36-1	s x p			
34-1	b eː n			
-1647-1	v ɪ			
-1615-1	b l			
125-1	v ə r			
1659-1	h aː n			
1661-1	m ɪ l k			
1676-1	b ɔ t ə r			
480-1	d ə + n			
1466-1	k l ɛɪ			
2277-1	w ɔ l			
2271-1	v ə l t			
2293-1	l aː d			
624-1	s p ɪ n			
628-1	s p ɪ n			
626-1	w ɛ w ə			
633-1	n aː d ə			
1185-1	s x s			
1179-1	h ɑ t			
2168-1	k ɑ m			
1952-1	d oː r			
899-1	l ɛɪ n ə r			
922-1	b eː r			
-934-1	l ɛɪ m			
916-1	d r ɔ			
1726-1	v ə l			
2108-1	p l ɛɪ			
1133-1	v ɔ r			
2114-1	s p aː v ə			
1272-1	r ɔ r ə			
1979-1	x r aː s			
1989-1	h aː p			
-2260-1	p l ɑ n			
70-1	b eː k			
-89-1	w ɛ n			
-12-1	p ɔ v			
713-1	s x n			
747-1	n eː s ə			
308-1	d oː r			
289-1	b eː n			
1930-1	b r aː k			
1928-1	s p l			
858-1	s t r s			
1577-1	h v ŋ h			
908-1	w ɑ s t			
648-1	b eː r			
1855-1	h ɔ l s			
657-1	h ɑ m ə r			
2058-1	n aː l ə			
949-1	b l eː k			
1642-1	x ɔ l			
1640-1	s oː l			
1633-1	b r r			
1630-1	t ɪ n			
993-1	x l aː s			
-2121-1	r ɔ l			
1692-1	v ɑ l			
1694-1	d r ɔ			
1062-1	s oː ŋ k			
476-1	s w ɪ m			
1051-1	v l ɛɪ			
1075-1	b l aː v			
135-1	s l ɛɪ			
-134-1	d ɑ n			
1839-1	x ɛ r s ə v			
1097-1	k ɛ r + k			
1777-1	v ɔ l			
1434-1	b r ɪ ŋ			
1417-1	l ɛɪ d ə			
1424-1	r ɛɪ d ə			
778-1	p aː t			
790-1	b r ɪ k			
1223-1	p ɑ r ə			
1117-1	s oː l			
1411-1	h aː r ə			
1407-1	h ɑ l t			
1390-1	d oː ŋ			
2086-1	x aː w ə			
2082-1	x ɛ r +			
576-1	s oː k			
579-1	v ə n			
581-1	v ə r			
-1791-1	r ɛɪ k			
-225-1	p r			
-2284-1	p l ɑ v			
1479-1	b p n			
847-1	h ɑ k			
659-1	b ɔ d ə			
860-1	m ɪ ŋ ə			
213-1	r ɛ r			
1286-1	v ə r			
1293-1	w ɛ s t			
474-1	d oː k			
467-1	d oː n			
1177-1	d eː p			
588-1	v l ɑ n			
584-1	h aː k			
-1153-1	r ɔ n			
700-1	t ɛ ɛ l			
875-1	d oː ɣ			
1559-1	b l			
1565-1	m ɑ r			
1968-1	h ɑ l			
-350-1	p aː r			
1478-1	b eː d ə			
1469-2		s æ n		
2047-2		s ɔ n		
2054-2		d ɔ n		
1375-2		l aɪ m		
760-2		f aɪ n		
756-2		s n d		
726-2		m æ d		
1351-2		ɡ r aɪ n		
1353-2		ɡ r aɪ n		
412-2		b ɔː v		
406-2		b æ l		
1005-2		b t		
1012-2		b t l d		
1016-2		f aɪ d		
1069-2		w aɪ		
509-2		f əʊ l		
693-2		m ʌ l		
2179-2		n ɪ d t		
1753-2		f r k		
1131-2		l ɔ l		
1198-2		b eɪ k r		
2032-2		h iː k		
2241-2		n ɪ		
2244-2		l aɪ p		
610-2		k n l		
945-2		h iː v		
1534-2		l aɪ k		
384-2		s ɪ d		
1650-2		n aɪ d		
1663-2		s ɪ l		
2279-2		l aɪ n		
471-2		s ɪ		
1385-2		s ɪ d		
792-2		r uː		
1111-2		m æ s t		
197-2		s ɪ d		
2020-2		l ɪ k		
867-2		h iː n		
1970-2		f l l		
1230-2		d aɪ k		
2017-2		n ɪ		
968-2		w aɪ k		
1674-2		l ɪ n		
1671-2		h iː k		
829-2		k l aɪ		
1025-2		w əʊ k		
1027-2		s p f		
1832-2		r ɔ d		
-1816-2		ɡ l		
-335-2		l əʊ r		
1043-2		s t		
423-2		s t		
2049-2		m ɛ n		
2062-2		s t ɔ		
2065-2		r ɛ l		
1368-2		s ʌ t		
1365-2		t aɪ		
754-2		r ɛ k		
768-2		w aɪ d		
1211-2		f r		
106-2		m æ n		
-98-2		b r l		
719-2		f əʊ d		
1341-2		s aɪ n		
-2027-2		t iː		
-2026-2		n ɪ d		
409-2		s p d		
402-2		s aɪ k		
1014-2		s t		
1059-2		w aɪ f		
120-2		s t		
2194-2		s k		
2199-2		k ɑː l		
2197-2		s ʌ f		
1523-2		s ɪ		
512-2		m æ v		
2141-2		h iː n		
2147-2		ɡ r n n    n		
814-2		k ɑː eɪ		
810-2		t ɪ f		
1758-2		m ʌ s n̩		
1760-2		r æ t		
1620-2		f r n		
1282-2		w əʊ l		
1136-2		f ɔ k		
1309-2		l ɪ		
1307-2		n aɪ k		
1305-2		f l d f		
711-2		w ɔ s p		
1442-2		f l ɪ		
62-2		m ʌ k		
-73-2		m ʌ r p		
1810-2		h iː d		
1805-2		f l d		
1813-2		h əʊ d r		
1811-2		b l eɪ		
690-2		r aɪ p		
2177-2		h iː d		
246-2		w aɪ d		
249-2		w aɪ d		
1506-2		n ɪ s t		
2242-2		m ʌ n		
2245-2		t ɔ v		
2174-2		s ʌ l		
603-2		b l d		
601-2		h iː n		
615-2		f r k		
901-2		k l eɪ		
608-2		f r t		
596-2		t aɪ		
937-2		b r		
936-2		n eɪ l		
646-2		l aɪ v		
947-2		l aɪ k		
1606-2		h iː p		
472-2		n ɪ		
1535-2		s p ɔ d		
1546-2		s p		
1959-2		s l eɪ		
694-2		s n		
1961-2		t r ɔ		
323-2		l r f		
1885-2		ɡ r eɪ s		
2156-2		f ɑː		
1903-2		w ɔ n		
525-2		s p ɔ		
276-2		l ɪ m		
274-2		t aɪ d		
278-2		b l d		
258-2		b r ɔ		
256-2		n ɪ k		
383-2		b r		
207-2		r aɪ f		
376-2		t r aɪ		
2014-2		r ɔ k t		
2009-2		f f ə		
2003-2		k ɑː d		
2024-2		p əʊ n		
1321-2		k ɔ p		
1976-2		t aɪ k		
1243-2		m ɛ l		
1265-2		p aɪ l		
1261-2		s ɪ k		
655-2		b r		
650-2		t aɪ		
1532-2		k n f		
-36-2		s p p		
34-2		b r n		
-1647-2		f aɪ k		
-1615-2		b l k		
125-2		f r t		
1659-2		h iː n		
1661-2		m æ l		
1676-2		b r d		
480-2		ɡ r æ		
1466-2		k l d		
2277-2		w ɔ l		
2271-2		f r l		
2293-2		l aɪ d		
624-2		s p		
628-2		s p		
626-2		w aɪ f		
633-2		n eɪ l		
1185-2		s ʌ		
1179-2		h iː t		
2168-2		k ɑː		
1952-2		t aɪ k		
899-2		l aɪ d		
922-2		b eɪ d		
-934-2		l ɪ m		
916-2		t r ɔ t		
1726-2		f r l		
2108-2		p l d		
1133-2		f r r		
2114-2		s p		
1272-2		r ɔ		
1979-2		ɡ r eɪ s		
1989-2		h iː		
-2260-2		p l d		
70-2		b r f		
-89-2		w aɪ n		
-12-2		p aɪ f		
713-2		s æ f		
747-2		n ɪ d		
308-2		t aɪ n		
289-2		b r n		
1930-2		b r eɪ		
1928-2		s p l		
858-2		s t		
1577-2		ɡ iː m		
908-2		w əʊ k		
648-2		b r k		
1855-2		s iː k		
657-2		h əʊ m		
2058-2		n eɪ l		
949-2		s uː d t		
1642-2		ɡ r l		
1640-2		s p l		
1633-2		ɡ s		
1630-2		t aɪ n		
993-2		ɡ r eɪ s		
-2121-2		r ɔ l		
1692-2		f æ l		
1694-2		t r ɔ		
1062-2		s ɪ k k		
476-2		s p ɔ		
1051-2		f l ɪ		
1075-2		b l eɪ		
135-2		ɡ l d		
-134-2		t ɪ n		
1839-2		w r		
1097-2		t ʌ r		
1777-2		f ɔ l		
1434-2		b r eɪ		
1417-2		l aɪ d		
1424-2		r aɪ d		
778-2		p aɪ d		
790-2		b r eɪ		
1223-2		p əʊ d		
1117-2		s aɪ l		
1411-2		h əʊ n		
1407-2		h iː l		
1390-2		d aɪ k		
2086-2		ɡ r k		
2082-2		t r k		
576-2		s ɪ f		
579-2		f r n		
581-2		f ɪ		
-1791-2		r aɪ k		
-225-2		p r aɪ		
-2284-2		p l eɪ		
1479-2		ɡ l		
847-2		h iː d		
659-2		b r d		
860-2		m aɪ d		
213-2		r eɪ d		
1286-2		f r v		
1293-2		w ɔ d t		
474-2		d aɪ k		
467-2		d aɪ n		
1177-2		t ɪ f		
584-2		h əʊ k		
-1153-2		r ɔ n		
700-2		t aɪ ɔ		
875-2		t aɪ s n̩		
1559-2		b l d		
1565-2		m ɛ k		
1968-2		h iː l		
-350-2		p əʊ d r		
1469-3			ʃ ɑ̃ t	
2047-3			ʃ ɑ̃ t	
2054-3			t y t	
1375-3			l ə	
760-3			v a	
756-3			ʀ y s	
726-3			ʀ a s	
1351-3			ʀ ʀ i	
1353-3			ʀ ʀ i	
412-3			ʀ ʀ z	
406-3			ʀ ʀ ʀ	
1005-3			ʀ ɑ̃ t	
1012-3			ʀ ɑ̃ s	
1016-3			v a a	
1069-3			ʀ a v	
509-3			ʀ ɛ t	
693-3			ʃ a	
2179-3			ʀ ɑ̃ t	
1753-3			ʀ ɛ a	
1131-3			v ə t	
1198-3			b ɑ̃ ɡ	
2032-3			ʀ ɑ̃ t	
2241-3			ʀ y s	
2244-3			l ə v	
610-3			ʀ y v	
945-3			ʀ ɑ̃ t	
1534-3			l ə	
384-3			ʃ ɑ̃	
1650-3			ʀ a t	
1663-3			ʃ ɑ̃ s	
2279-3			l ə a	
471-3			ʃ ɑ̃ v	
1385-3			ʃ ɑ̃ v	
792-3			t y t	
1111-3			ʃ a t	
197-3			ʃ ɑ̃	
2020-3			l ə a	
867-3			ʀ ɑ̃	
1970-3			ʀ ɛ ə	
1230-3			t y i	
2017-3			ʀ y t	
2183-3			ʀ ɑ̃ t	
1521-3			b ʀ t	
1755-3			l o a	
1760-3			ʀ i ɡ	
1196-3			ʀ	
575-3			ʃ ʀ t	
2014-3			ʀ i t	
1321-3			ʀ ɛ t	
1265-3			l ɛ v	
588-3			ʀ ɛ ə	
1469-4				ʃ a n t
2047-4				ʃ ʊ n
2054-4				t ʊ n t n
1375-4				l ɪ m t
760-4				v ɪ n t
756-4				ʃ n + ə
726-4				m ɛ m ə r
1351-4				ɡ r + t ə h ə ə ə n
1353-4				ɡ r + t ə h
412-4				b au + n ə n
406-4				b ɛ l n ə n
1005-4				ʃ t + s ə ʃ ə ə ə n
1012-4				ʃ t l s ə ɛ
1016-4				v ɪ t ə ə n
1069-4				ɪ x
509-4				f ɛ l ə n
693-4				m ɛ l ə
2179-4				n ɛ s t
1753-4				f ɪ s t
1131-4				v a l
1198-4				b ɪ r t
2032-4				h ɔ r n
2241-4				n ɛ
2244-4				l ɪ f
610-4				k ə
945-4				h a r
1534-4				l ɪ k ə n
384-4				ʃ a k ə n
1650-4				n ɛ t
1663-4				ʃ a l t
2279-4				l ɪ n
471-4				ʃ a m n
1385-4				ʃ a t
792-4				f ʊ k ə
1111-4				m a s t
197-4				ʃ a t ə n
2020-4				l a ŋ ə
867-4				h ɔ n t ə n
1970-4				f l l
1230-4				t ɛ r t
2017-4				n ɛ f
968-4				v ɛ r ə
1674-4				l ɛ n t
1671-4				h ɪ l ə n
829-4				k l ɪ x
1025-4				v aː t ə r
1027-4				ʃ iː ə
1832-4				r ɛ f
-1816-4				a ɛ
-335-4				l ɛ ɡ ə
1043-4				ʃ t r
423-4				ʃ t ai n
2049-4				m aː n
2062-4				ʃ t
2065-4				r ɛ n ə n
1368-4				ʃ m t ə n
1365-4				t ɛ f
754-4				r ɛ n ə n
768-4				v ɛ r
1211-4				f ɛ r n
106-4				m a n
-98-4				b ɛ b ə
719-4				f ɛ t ə r
1341-4				ʃ a n
-2027-4				t ɛ n
-2026-4				n ɛ f ə n
409-4				ʃ au n n ə n
402-4				ʃ ɛ t n ə n
1014-4				ʃ t ɛ
1059-4				v ɛ
120-4				ʃ t
2183-4				ʃ t
2194-4				ɡ k
2199-4				k a l
2197-4				ʃ ai aː ə
1523-4				ʃ a
1521-4				b ə k ə
512-4				m ɛ r
2141-4				h ɛ n
2147-4				ɡ ə n
814-4				k r aː ə n
810-4				t ɛ f ə n
1755-4				h a n
