COGID	dutch	english	french	german
1469-1	z ɑ n t			
2047-1	z ɔ n			
2054-1	d ɔ n ə ə			
1375-1	l ɛɪ k			
760-1	w ɛ n t			
756-1	s n t			
726-1	m eː d ə r			
1351-1	x r ʉ n			
1353-1	x r ʉ n + l eː			
412-1	v x + p ə b ə ə ə			
406-1	m x l x ə l eː ə ə			
1005-1	s t + p b			
1012-1	s t l t			
1016-1	w ɛ d ə			
1069-1	z ŋ			
509-1	v ə l ə			
693-1	m ɑ l ə l l ə			
2179-1	n ɛ s t			
1753-1	v ɪ s			
1131-1	w ɛ l			
1198-1	b aː r			
2032-1	h ɔ r			
2241-1	n aː z			
2244-1	l ɪ p ə  l l			
610-1	k ə n			
945-1	h ɛ r			
1534-1	l ɛɪ k			
384-1	z ɛɪ k ə			
1650-1	n ɔ d			
1663-1	z ɑ l			
2279-1	l ɛɪ n			
471-1	z ə m ə			
1385-1	z ə d			
792-1	h ɔ x			
1111-1	m ɑ s t			
197-1	z ɛɪ d ə			
2020-1	l ɑ ŋ			
867-1	h ɑu n			
1970-1	v l l			
1230-1	d r d			
2017-1	n eː n			
968-1	w ɛ l			
1674-1	l ɑ n t			
1671-1	h ɛ l ə			
829-1	k l ɪ			
1025-1	w ɛ d ə			
1027-1	z ɛɪ k			
1832-1	r ɔ			
-1816-1	w p t			
-335-1	l ɑ x ə			
1043-1	s t r			
423-1	s t			
2049-1	m uː n			
2062-1	s t			
2065-1	r aː n ə			
1368-1	s x t ə ə			
1365-1	d ə w			
754-1	r aː n ə			
768-1	w ɛ d			
1211-1	v ə r			
106-1	m ɑ n			
-98-1	b eː b ə			
719-1	v ə d ə			
1341-1	z ɛɪ n			
-2027-1	d n n			
-2026-1	n ɛ v			
409-1	s x n x			
402-1	d x t x			
1014-1	s t			
1059-1	w ɛ r			
120-1	s t			
2183-1	s t			
2194-1	w k t			
2199-1	k ɑ l			
2197-1	s x			
1523-1	z ɛɪ w			
1521-1	b oː k			
512-1	m ɑ r			
2141-1	h ɛ n			
2147-1	x ɑ n			
814-1	k r ʉ			
810-1	d ə z			
1755-1	h ɑu n			
1758-1	m uː z			
1760-1	r ɑ t			
1620-1	v ɪ n			
1282-1	w ɛ l			
1136-1	v ɔ k t			
1309-1	l ɛɪ z			
1307-1	n ɪ s			
1305-1	v l ɛɪ			
711-1	w ɛ s t			
1442-1	v l ɛɪ			
62-1	m ɪ x			
-73-1	m ə s k			
1810-1	h ɑu t			
1805-1	v l ɛɪ s			
1813-1	h ɛ r			
1811-1	b l ɛɪ d			
690-1	r ɪ ŋ			
2177-1	h ɛ p			
246-1	w ɛ r			
249-1	w x ə n ə			
1506-1	n aː s t n			
2242-1	m uː n			
2245-1	d ɔ ŋ			
1196-1	n ɑ k			
2174-1	s x l d ə			
575-1	w k s l			
603-1	v l ə			
601-1	h ɛ n t			
615-1	v ɪ ŋ			
901-1	k l ɛɪ w			
608-1	v ə s			
596-1	d eː ə			
937-1	b r r s t			
936-1	n aː w ə			
646-1	l ɛɪ ŋ			
947-1	l ɛɪ b ə			
1606-1	h ɛ v			
472-1	n n t ə			
1535-1	s w ɛ t			
1546-1	s p r			
1959-1	s l aː p			
694-1	s n			
1961-1	d r ʉ m ə			
323-1	l ɛɪ l ə			
1885-1	x r aː			
2156-1	k r l			
1903-1	w ɛ n			
525-1	s w ɛ l			
276-1	l aː m			
274-1	d ə p			
278-1	b l ɛɪ n			
258-1	b ə + t k			
256-1	n ɑ k			
383-1	v t			
207-1	r ɛɪ p			
376-1	d r ʉ ŋ k			
2009-1	w w ə			
2003-1	k ɛ s			
2024-1	p ɑ n			
1321-1	k oː p			
1976-1	d ɑ ŋ			
1243-1	m aː l			
1265-1	p ə l			
1261-1	z ɪ w ə			
655-1	b r ɛ d			
650-1	d ɔ k			
1532-1	k n d			
-36-1	z x p			
34-1	b oː n			
-1647-1	v ə x			
-1615-1	w l l			
125-1	v ə d			
1659-1	h ɑu n			
1661-1	m ɪ l			
1676-1	b oː d ə r			
480-1	d ə + t k			
1466-1	k l ɛɪ d ə			
2277-1	w ɛ l			
2271-1	v ə l			
2293-1	l ɛɪ d			
624-1	s p ɪ n			
628-1	s p ɪ n			
626-1	w ɛ b ə			
633-1	n aː d ə			
1185-1	s x			
1179-1	h ɛ d			
2168-1	k oː m			
1952-1	d oː r			
899-1	l ɛɪ d ə			
922-1	b eː d			
-934-1	l ɑ m			
916-1	d r ɔ k			
1726-1	v ə l			
2108-1	p l ɛɪ			
1133-1	v ə r			
2114-1	s p aː d ə			
1272-1	r ɔ x ə			
1979-1	x r aː s			
1989-1	h aː p			
-2260-1	p l ɑ n			
70-1	b eː k			
-89-1	w ɛ n			
-12-1	p aː p			
713-1	z x p			
747-1	n ɛ s			
308-1	d ə n			
289-1	b eː n			
1930-1	b r aː k			
1928-1	s p l			
858-1	s t r s			
1577-1	h l +			
908-1	w ɛ s			
648-1	b oː r			
1855-1	h z l h			
657-1	h ɛ m ə			
2058-1	n aː l ə			
949-1	b l ɑ k			
