COGID	dutch	english	french	german
1469-1	z ɑ n t			
2047-1	z oː n			
2054-1	d ɔ n			
1375-1	l ɪ m			
760-1	w ɛ n t			
756-1	s n eː			
726-1	m ɔ r ə r			
1351-1	x r ɑ n + ɣ			
1353-1	x r ɑ n + m ə			
412-1	v x aː p + r ə k ə r			
406-1	m x aː ɣ + m ə t ə r			
1005-1	s t + p +			
1012-1	s t eː p t m ə t ə			
1016-1	w ɛ v ə			
1069-1	ɪ ŋ			
509-1	v ə l ə			
693-1	m ɛ l + t t ə			
2179-1	n eː s t			
1753-1	v ɪ s			
1131-1	w ɔ l			
1198-1	b ɑ r			
2032-1	h ɔ n			
2241-1	n aː s			
2244-1	l ɪ p			
610-1	n n n			
945-1	h ɛ r			
1534-1	l ɪ k			
384-1	z oː s ə			
1650-1	n ɔ t			
1663-1	z ɑ l			
2279-1	l ɛɪ n			
471-1	z ə m			
1385-1	z ə d			
792-1	m ɔ x			
1111-1	m ɑ s t			
197-1	z w t ə			
2020-1	l ɑ ŋ			
867-1	h ɔ n d ə r			
1970-1	v ɔ l			
1230-1	d r d			
2017-1	n ɔ ɣ			
968-1	w ɛ l			
1674-1	l ɑ n t			
1671-1	h ɪ l ə			
829-1	k l ɪ ŋ			
1025-1	w ɑ s ə r			
1027-1	z eː v			
1832-1	r ɔ r			
-1816-1	oː t x			
-335-1	l ɑ ɣ ə			
1043-1	s t r			
1469-2		s æ n d		
2047-2		s ʌ n		
2054-2		d aʊ n		
1375-2		l aɪ		
760-2		w ɪ n d		
756-2		s n eɪ		
726-2		m ɪ d ə r		
1351-2		ɡ r ɛ k +		
1353-2		ɡ r ɛ k + b ɪ ŋ ə r		
412-2		s ɔː n ə r		
406-2		s ɪ l ə r		
1005-2		s t ɛ p		
1012-2		s t l v + b ɪ ŋ ə r		
1016-2		f ɛ d		
1069-2		aɪ +		
509-2		f ɪ l		
693-2		m ɪ l		
2179-2		n ɛ s t		
1753-2		f ɪ ʃ		
1131-2		w ɔ l		
1198-2		b iː r r		
2032-2		h ɔ r		
2241-2		n iː s		
2244-2		l ɪ p		
610-2		k iː n		
945-2		h æ r		
1534-2		l ɪ k		
384-2		s ɪ n		
1650-2		n iː t		
1663-2		s ɛ l		
2279-2		l aɪ n		
471-2		s eɪ		
1385-2		s eɪ t		
792-2		h uː		
1111-2		m æ s t		
197-2		s ɪ t		
2020-2		l æ ŋ		
867-2		h aɪ n d		
1970-2		f l l		
1230-2		d r k		
2017-2		n iː uː		
968-2		w ɛ l		
1674-2		l æ n d		
1671-2		h aɪ v		
829-2		k l aɪ p		
1025-2		w eɪ t		
1027-2		s ɛ		
1832-2		r aɪ v		
-1816-2		ʌ l iː		
-335-2		l æ r		
1043-2		s t r		
1469-3			ʃ ɛ ɛ	
2047-3			ʃ ɛ t	
2054-3			t ɔ t	
1375-3			l ə	
760-3			p a	
756-3			t y s	
726-3			t j s	
1351-3			p ʀ i	
1353-3			p ʀ i	
412-3			t u z	
406-3			t u s	
1005-3			t ɔ z	
1012-3			t ɔ s	
1016-3			p a t	
1069-3			p u l	
509-3			p ə p	
693-3			p ɛ	
2179-3			n y ʀ	
1753-3			p ə i	
1131-3			p u p	
1198-3			b u	
2032-3			ʃ u ʀ	
2241-3			n y s	
2244-3			l ə l e	
610-3			k ɛ l	
945-3			ʃ u i	
1534-3			l ə	
384-3			ʃ ɛ k	
1650-3			n y t	
1663-3			ʃ ɛ s	
2279-3			l ə	
471-3			ʃ ɛ l	
1385-3			ʃ ɛ t	
792-3			e u k	
1111-3			t ɛ ɛ	
197-3			ʃ ɛ t	
2020-3			l a a	
867-3			ʃ ɛ t	
1970-3			p ə a	
1230-3			t ɔ	
2017-3			n y p e	
1469-4				ʃ a n t
2047-4				z ʊ n
2054-4				t ʊ n t n
1375-4				l ai m t
760-4				v ɪ n t
756-4				ʃ n iː ə
726-4				m ʊ t ə r
1351-4				ɡ r + n t ɛ t t
1353-4				ɡ r + n + h
412-4				b a iː ɡ ə n
406-4				m ɛ iː ɡ ə n + b
1005-4				ʃ t iː f ɛ b t t
1012-4				ʃ t iː f + b
1016-4				v ɪ t ə
1069-4				ɪ k
509-4				f ɛ l ə
693-4				m a l ə h
2179-4				n ɛ s t
1753-4				f ɪ s t
1131-4				v ɔ l f
1198-4				b ɪ r t
2032-4				h oː r n
2241-4				n a z ə
2244-4				l ɪ f ə
610-4				n n
945-4				h a r
1534-4				l ɪ k ə
384-4				z au s ə
1650-4				n oː t ə
1663-4				ʃ a l t
2279-4				l ɪ n
471-4				z eː
1385-4				ʃ iː t
792-4				au ʊ k
1111-4				m a s t
197-4				z au t ə n
2020-4				l a ŋ ə
867-4				h ʊ n t ə n
1970-4				f l l ə
1230-4				t ɛ t t
2017-4				n iː ə
968-4				v ɛ r ə
1674-4				l a n t
1671-4				h ɪ b ə l
829-4				k l ɪ f
1025-4				v ɛ t ə r
1027-4				z iː ə
1832-4				r ɛ ə
-1816-4				au s ai ə
-335-4				l eː ɡ ə n
1043-4				ʃ t r
