COGID	BanPaw	ChaYeQing	ChuDongGua	GuangKa	HtanHsan	KhunHawt	MangBang	ManLoi	MengDan	NamHsan	NanSang	NoeLae	NyaungGone	PangKham	PongNuea	XiangZhaiTang
1859-1	ŋ a															
175-1	g a															
241-1	ʔ u ʔ															
2163-1	kʰ u n															
2181-1	n a m															
2060-1	ʔ a m															
410-1	t Ø															
1841-1	m Ø															
2017-1	h a															
1004-1	t a															
614-1	b Ø h															
686-1	b l Ø															
88-1	k ɔ ʔ															
872-1	n u ŋ															
1891-1	t a															
68-1	s a m															
631-1	b a n															
594-1	g a															
1759-1	h a n															
805-1	g a ɲ															
756-1	h u ʔ															
1201-1	m a ʔ															
2042-1	ʔ a															
1968-1	t a ʔ															
2000-1	t a ŋ															
17-1	Ø a s															
4-1	Ø a m															
788-1	t a															
1219-1	h a m															
141-1	ʔ a ŋ															
541-1	b r j a ŋ															
1687-1	h u n															
123-1	Ø a m															
1652-1	c a ɲ															
576-1	ŋ ɔ															
1738-1	t a ʔ															
442-1	h ɔ m															
368-1	t j a ŋ															
1778-1	b ɔ s															
1859-2		ŋ ə														
175-2		k a														
241-2		ʔ Ø ʔ														
2163-2		k Ø n														
2181-2		n ə m														
2060-2		ʔ ə m														
410-2		Ø Ø														
1841-2		m Ø														
2017-2		h ə														
1004-2		Ø a														
614-2		b Ø h														
686-2		b l Ø														
88-2		k ə k														
872-2		n Ø ŋ														
1891-2		Ø a														
68-2		s ə m														
631-2		b ə n														
594-2		k a														
1759-2		h a n														
805-2		k ə n														
756-2		h Ø k														
1201-2		m ə ʔ														
2042-2		ʔ a														
1968-2		Ø ə ʔ														
2000-2		Ø a ŋ														
17-2		Ø a ʔ														
4-2		Ø ə m														
788-2		Ø ə														
1219-2		h ə m														
141-2		ʔ a ŋ														
541-2		b ɣ a ŋ														
1687-2		h Ø n														
123-2		Ø a m														
1652-2		dʑ ə n														
576-2		ŋ ə														
1738-2		Ø ə k														
442-2		h a m														
368-2		k n a ŋ														
1778-2		b ə ʔ														
1859-3			ŋ a													
175-3			ʔ a													
241-3			ʔ Ø ʔ													
2163-3			Ø Ø r													
2181-3			n a m													
2060-3			ʔ a m													
410-3			Ø Ø													
1841-3			m a													
2017-3			h a													
1004-3			Ø a													
614-3			b a h													
686-3			b l Ø													
88-3			ʔ a ʔ													
872-3			n ə ŋ													
1891-3			Ø a													
68-3			s a m													
631-3			b a r													
594-3			k a													
1759-3			h a ŋ													
805-3			k a ŋ													
756-3			h Ø ʔ													
1201-3			m a ʔ													
2042-3			ʔ a													
1968-3			Ø a ʔ													
2000-3			Ø a ŋ													
17-3			Ø a ʔ													
4-3			Ø a m													
788-3			Ø a													
1219-3			h a m													
141-3			ʔ a ŋ													
541-3			b r j a ŋ													
1687-3			h Ø r													
123-3			Ø a m													
1652-3			dʑ a ŋ													
576-3			ŋ a													
1738-3			Ø a ʔ													
442-3			h a m													
368-3			ʔ j a ŋ													
1778-3			b a ʔ													
1859-4				ŋ ɛ												
175-4				k a												
241-4				ʔ u ʔ												
2163-4				k a n												
2181-4				n a m												
2060-4				ʔ ə m												
410-4				t Ø												
1841-4				m Ø												
2017-4				h Ø												
1004-4				d ɛ												
614-4				p o h												
686-4				p l Ø												
88-4				k ɔ k												
872-4				n a ŋ												
1891-4				t ɛ												
68-4				s a m												
631-4				p a n												
594-4				k ɛ												
1759-4				h a n												
805-4				k ɛ n												
756-4				h a k												
1201-4				m a ʔ												
2042-4				ʔ a												
1968-4				t a ʔ												
2000-4				d ɛ ŋ												
17-4				Ø a s												
4-4				Ø ə m												
788-4				t a												
1219-4				h a m												
141-4				ʔ ɛ ŋ												
541-4				p j a ŋ												
1687-4				h u n												
123-4				Ø ɛ m												
1652-4				dʑ ɛ n												
576-4				ŋ a												
1738-4				t a k												
442-4				h o m												
368-4				t j a ŋ												
1778-4				p a s												
1859-5					ŋ i											
175-5					k ə n											
241-5					ʔ u ʔ											
2163-5					k ɔ r											
2181-5					n ə m											
2060-5					ʔ a m											
410-5					tʰ Ø											
1841-5					m Ø											
2017-5					h a											
1004-5					Ø a											
614-5					tʰ a h											
686-5					p l Ø											
88-5					k n a ʔ											
872-5					n ə ŋ											
1891-5					Ø a											
68-5					s i m											
631-5					tʰ n ə n											
594-5					k a											
1759-5					h a ŋ											
805-5					k i ŋ											
756-5					h u ʔ											
1201-5					m n a ʔ											
2042-5					ʔ ə n											
1968-5					Ø a ʔ											
2000-5					Ø a ŋ											
17-5					Ø a ʔ											
4-5					Ø ɔ m											
788-5					Ø i n											
1219-5					h i m											
141-5					ʔ a ŋ											
541-5					p r j a ŋ											
1687-5					h u r											
123-5					Ø a m											
1652-5					dʑ i ŋ											
576-5					ŋ a n											
1738-5					Ø a k											
442-5					h ɔ m											
368-5					dʑ j a ŋ											
1778-5					p a ʔ											
1859-6						ŋ o										
175-6						k a n										
241-6						ʔ ɔ t										
2163-6						k o										
2181-6						n a m										
2060-6						ʔ a m										
410-6						Ø Ø										
1841-6						m Ø										
2017-6						h Ø										
1004-6						Ø a										
614-6						p a h										
686-6						p l Ø										
88-6						k n a ʔ										
872-6						n u ŋ										
1891-6						d a										
68-6						s Ø m										
631-6						p n a										
594-6						k a										
1759-6						h a ŋ										
805-6						k a ŋ										
756-6						h o ʔ										
1201-6						m n u ʔ										
2042-6						ʔ a n										
1968-6						Ø a ʔ										
2000-6						r a ŋ										
17-6						Ø a ʔ										
4-6						Ø a m										
788-6						d o n										
1219-6						h Ø m										
