COGID	dutch	english	french	german
1469-1	v ɑ n d			
2047-1	z ɔ n			
2054-1	d ɔ n t ə r			
1375-1	l ɪ x			
760-1	w ɛ n t			
756-1	s n aː			
726-1	m ɔ d ə r			
1351-1	x l ɛɪ n + ə aː d ə			
1353-1	x l ɛɪ n + ə ɔ ə r			
412-1	s ɑ eː s ə r n aː l ə			
406-1	s ɔ eː ɣ ə r + ə r ə			
1005-1	s t eː n aː ə r			
1012-1	s t eː n + m ɔ ə r			
1016-1	w eː d ə ə r			
1069-1	s			
509-1	v ɑ l			
693-1	m ɑ l l			
2179-1	n eː s t			
1753-1	v ɑ s			
1131-1	w ɔ l f			
1198-1	b ɑ r t			
2032-1	h ɑ r			
2241-1	n aː d ə			
2244-1	l ɛɪ n			
610-1	k n			
945-1	h ɑ t			
1534-1	l eː k ə			
384-1	d oː k ə			
1650-1	h ɔ t			
1663-1	b ɑ l t			
2279-1	l ɛɪ n ə			
471-1	z ə ə			
1385-1	z ɑ d ə			
792-1	j ɔ k			
1111-1	m ɑ s t			
197-1	d uː ə			
2020-1	l ɔ			
867-1	h ɔ n d ə r t			
1970-1	v ə l			
1230-1	d r r ə			
2017-1	n aː ɛɪ			
968-1	w ɛ l t			
1674-1	l ɑ n t			
1671-1	h iː ɣ ə l			
829-1	k l ɛɪ n ə			
1025-1	w ɑ t ə r			
1027-1	z eː			
1832-1	r oː n			
-1816-1	s t aː			
-335-1	l ɑ x aː n			
1043-1	s t r ɪ m			
423-1	s t eː n			
2049-1	m ɛɪ n t			
2062-1	s t ɔ r m			
2065-1	r aː n ə + b oː x ə			
1368-1	s ɑ d ə			
1365-1	d ə ɛɪ			
754-1	r aː n ə			
768-1	w ɛ t ə r			
1211-1	v ɛɪ ə r			
106-1	m ɑ n			
-98-1	b eː v ɛɪ			
719-1	v ɑ d ə r			
1341-1	z oː n			
-2027-1	d ɑ n ə			
-2026-1	n eː v ə ɛɪ			
409-1	s oː eː d ə n + z oː n			
402-1	d ɔ eː ɣ ə r ɛɪ n eː k t ə			
1014-1	s t eː p + d ɔ x t ə			
1059-1	w iː			
120-1	s t ɑ l			
2183-1	s t iː			
2194-1	ɔ k s ə			
2199-1	k ɑ l			
2197-1	s aː p			
1523-1	z ɑ			
1521-1	b ɔ k			
512-1	m eː r aː			
2141-1	h ɛ n			
2147-1	x ɑ n t			
814-1	k r ɛɪ ə			
810-1	d oː v ə			
1755-1	h ɔ n t			
1758-1	m uː s			
1760-1	r ɛɪ t			
1620-1	v ə n			
1282-1	w aː l			
1136-1	v ɔ k s			
1309-1	l uː s			
1307-1	n eː t ə			
1305-1	v l ɛɪ			
711-1	w ɔ s p			
1442-1	v l ɛɪ ɣ			
62-1	m ʉ k			
-73-1	m eː s k ɛɪ t			
1810-1	h ɑ t			
1805-1	v l eː s			
1813-1	h aː r			
1811-1	b l oː d			
690-1	r eː n ə			
2177-1	h ɑu p			
246-1	s x ə r + b r oː			
249-1	s x l ɛɪ d ə			
1506-1	n ɔ s ə ə + l			
2242-1	m uː n t			
2245-1	t ɔ ŋ ə			
1196-1	d ɑ k ə			
2174-1	s ɔ l d ə r			
575-1	r eː s l			
603-1	b l ə + b oː x ə			
601-1	h ɑ n t			
615-1	v ɪ ŋ ə r r			
901-1	k l uː ə			
608-1	v ɑ t			
596-1	t aː ə			
937-1	b ə r s t			
936-1	n aː v ə l			
646-1	l ɔ ŋ ə			
947-1	l aː v ə r			
1606-1	h aː p			
472-1	s n iː ə			
1535-1	s w ɪ t ə			
1546-1	s p ɔ k ə			
1959-1	s l aː p ə			
694-1	s n ɑ r k			
1961-1	d r eː m ə			
323-1	l aː v ə			
1885-1	x r aː v			
2156-1	k r + k l t ə			
1903-1	w ɛ n d ə			
525-1	s w ɛ l ɛɪ ŋ			
276-1	l aː m eː			
274-1	t ɑ p			
278-1	b l ɪ n t			
258-1	b ə + d r r ŋ k			
256-1	n ɑ k n			
383-1	eː t ə			
207-1	r ɛɪ p			
376-1	d r ɪ ŋ k ə			
2009-1	oː v ə			
2003-1	k eː t ə l			
2024-1	p ɑ n			
1321-1	k oː p			
1976-1	t n ə			
1243-1	m aː l ɛɪ t			
1265-1	v iː l			
1261-1	z iː v ə			
655-1	b ə oː d			
650-1	d eː k			
1532-1	k n d t ə			
-36-1	z ɔ p			
34-1	b oː n			
-1647-1	v ɛɪ ɣ			
-1615-1	h iː l			
125-1	v ɑ t			
1659-1	h oː n ɛɪ k			
1661-1	m eː l k			
1676-1	b ɔ t ə r			
480-1	x ə ɛɪ d r			
1466-1	k l ɛɪ s ŋ			
2277-1	w ɔ l			
2271-1	v ə l t			
2293-1	l aː d ə r			
624-1	s p ɛɪ n ə			
628-1	s p ɛɪ n d ə l			
626-1	w iː v ə			
633-1	n aː d ə l			
1185-1	s x s t ə r r			
1179-1	h ɑu t			
2168-1	k ɑ m			
1952-1	d ɔ r			
899-1	l ɛɪ d ə r			
922-1	b eː d			
-934-1	l ɑ m p			
916-1	t r ɔ k			
1726-1	v ə l t			
2108-1	p l uː ɣ ə			
1133-1	v ə r			
2114-1	s p aː d ə			
1272-1	r ɛɪ ɣ ə			
1979-1	x r aː s			
1989-1	h aː			
-2260-1	p l ə n t ə			
70-1	b eː k			
-89-1	w ɛɪ n + s t ɔ			
-12-1	p ɛɪ p			
713-1	v ɑ f			
747-1	n eː t ə l			
308-1	d ə			
289-1	b ɪ n d ə			
1930-1	b r eː k ə			
1928-1	s p l l t ə			
858-1	s t r ɛ k ə			
1577-1	d ɑ ə ə ə			
