COGID	BanPaw	ChaYeQing	ChuDongGua	GuangKa	HtanHsan	KhunHawt	MangBang	ManLoi	MengDan	NamHsan	NanSang	NoeLae	NyaungGone	PangKham	PongNuea	XiangZhaiTang
1859-1	ŋ s															
175-1	g a															
241-1	ʔ u ʔ															
2163-1	kʰ u n															
2181-1	n a m															
2060-1	ʔ ɨ m															
410-1	t p															
1841-1	m u															
2017-1	s															
1004-1	ɲ ə															
614-1	b s															
686-1	b ɨ s															
88-1	k a ʔ															
872-1	n ɨ ŋ															
1891-1	ə															
68-1	s ɛ m															
631-1	b ɲ n															
594-1	g ə															
1759-1	a n															
805-1	g ɨ n															
756-1	ɨ k															
1201-1	m u ʔ															
2042-1	ʔ a															
1968-1	a ʔ															
2000-1	ɲ u ŋ															
17-1	u a ʔ															
4-1	kʰ ə m															
788-1	ɛ															
1219-1	k ɛ m															
141-1	ʔ u ŋ															
541-1	b r j a ŋ															
1687-1	u n															
123-1	kʰ u m															
1652-1	kʰ ɨ n															
576-1	ŋ a															
1738-1	a k															
442-1	u m															
368-1	t j a ŋ															
1778-1	p a ʔ															
957-1	n a p															
1704-1	ʔ ɨ ʔ															
304-1	j a m															
1796-1	kʰ a ŋ															
720-1	t ɨ															
287-1	k a p															
321-1	g ə ʔ															
206-1	t s ʔ															
1950-1	ʔ u															
665-1	kʰ u n															
703-1	n s ʔ															
1290-1	m p															
1391-1	k a ʔ															
269-1	g a ʔ															
855-1	kʰ a n															
2078-1	s ɨ															
2213-1	m s															
1858-1	s a															
1151-1	g j a															
737-1	p ɨ t															
340-1	s a															
1111-1	s ɛ															
485-1	ŋ p															
1356-1	m u															
1093-1	t s ŋ															
1063-1	u m															
648-1	kʰ ɨ n															
223-1	g ɔ n															
1248-1	kʰ ɨ															
1509-1	t s n															
504-1	kʰ u															
2130-1	s s															
1-1	ʔ u															
386-1	j s ʔ															
1411-1	ʔ u															
1027-1	g a ʔ															
1459-1	k ə p															
1323-1	ə															
1538-1	r j a															
975-1	ɲ a															
940-1	ŋ a															
1476-1	ʔ a															
1923-1	n s															
105-1	ʔ ɔ ŋ															
1431-1	ʔ s															
1814-1	m a n															
1183-1	n ɔ n															
1430-1	t u															
1721-1	ʔ ɔ ʔ															
1617-1	b s ʔ															
1564-1	b u ʔ															
2111-1	ə u															
1563-1	s a															
1597-1	s ɔ ŋ															
1859-2		n o														
175-2		g a														
241-2		ʔ o ʔ														
2163-2		kʰ o n														
2181-2		n ɔ m														
2060-2		ʔ au̯ m														
410-2		d au̯														
1841-2		m au̯														
2017-2		h ɔi̯														
1004-2		l au̯														
614-2		b o h														
686-2		b l ɔi̯														
88-2		g ɔ ʔ														
872-2		n ɨ n														
1891-2		d au̯														
68-2		o ɔːi̯ m														
631-2		b ɣ n														
594-2		g au̯														
1759-2		h a n														
805-2		g ə n														
756-2		h ɨ g														
1201-2		m o dʑ														
2042-2		ʔ a														
1968-2		d a ʔ														
2000-2		au̯ au̯ n														
17-2		au̯ a d														
4-2		a əː m														
788-2		d tɕ														
1219-2		h ɔːi̯ m														
141-2		ʔ au̯ n														
541-2		b ɣ o a n														
1687-2		h o n														
123-2		a au̯ m														
1652-2		dʑ ə n														
576-2		n a														
1738-2		d a g														
442-2		h au̯ m														
368-2		d o a n														
1778-2		b a d														
957-2		n ɔ b														
1704-2		ʔ o ʔ														
304-2		j a m														
1796-2		dʑ a n														
720-2		d a h														
287-2		g ɔ b														
321-2		l eː h														
206-2		d o ʔ														
1950-2		ʔ eː														
665-2		a au̯ n														
703-2		n o ʔ														
1290-2		m ɔi̯														
1391-2		g a ʔ														
269-2		g a ʔ														
855-2		dʑ a n														
2078-2		o ɔːi̯														
2213-2		m o														
1111-2		o tɕ														
485-2		n b														
1356-2		m o h														
1093-2		d o n														
1063-2		d au̯ m														
648-2		dʑ eː n														
223-2		g a n														
1248-2		dʑ ɨ														
1509-2		d ɔːi̯ n														
504-2		dʑ o h														
2130-2		o ɔi̯														
1-2		ʔ au̯														
386-2		a o g														
1411-2		ʔ o														
1027-2		g a ʔ														
2077-2		m a														
1459-2		g l b														
1323-2		əː														
975-2		ɣ a h														
940-2		n ɔ h														
1476-2		ʔ a h														
1923-2		n o														
105-2		au̯ a n														
1431-2		ʔ ɔi̯														
37-2		a au̯ n														
1152-2		b l														
1814-2		m a n														
1183-2		n a n														
1430-2		d o														
1721-2		ʔ a h														
1617-2		b o ʔ														
1564-2		b a ʔ														
2111-2		l o														
1563-2		o a														
1859-3			n s													
175-3			kʰ a													
241-3			ʔ s ʔ													
2163-3			kʰ s r													
2181-3			r a m													
2060-3			ʔ l m													
410-3			d i													
1841-3			m tɕ													
2017-3			h i													
1004-3			k ə													
614-3			b s h													
686-3			b k i													
88-3			kʰ a ʔ													
872-3			r s n													
1891-3			d ə													
68-3			s s m													
631-3			b r r													
594-3			kʰ ə													
1759-3			h a r													
805-3			kʰ l r													
756-3			h s ʔ													
1201-3			m s ʔ													
2042-3			ʔ ə													
1968-3			d a ʔ													
2000-3			l ɨː n													
17-3			ʔ a ʔ													
4-3			a ɨː m													
788-3			d l													
1219-3			h s m													
141-3			ʔ ɨː n													
541-3			b r j a n													
1687-3			h s r													
123-3			a ɨː m													
1652-3			s l r													
576-3			n a													
1738-3			d ə kʰ													
442-3			h s m													
368-3			tɕ j a n													
1778-3			b a ʔ													
957-3			r a b													
1704-3			ʔ l ʔ													
304-3			j a m													
1796-3			s a n													
720-3			d a h													
287-3			kʰ ə b													
321-3			kʰ s h													
206-3			d s ʔ													
1950-3			ʔ kʰ													
665-3			a s a													
703-3			r s ʔ													
1290-3			m i													
1391-3			kʰ a t													
269-3			kʰ a t													
855-3			s a r													
2078-3			s l													
2213-3			m s													
1858-3			s a													
1151-3			kʰ j a													
737-3			b a d													
340-3			s a													
1111-3			s l													
485-3			n ɔː													
1356-3			m s h													
1093-3			d s n													
1063-3			d s m													
648-3			s ɨː r													
223-3			kʰ ɔː r													
1248-3			tɕ oːi̯													
1509-3			d s r													
504-3			s ɔ h													
1-3			ʔ s													
386-3			j s ʔ													
1411-3			ʔ s													
1027-3			kʰ a ʔ													
2077-3			m ə													
1459-3			kʰ k ɔː													
1323-3			ɨː													
1538-3			r j a h													
975-3			r a h													
940-3			n a h													
1476-3			ʔ ə h													
105-3			ʔ ɔː n													
1431-3			ʔ s													
37-3			a tɕ n													
1152-3			b l													
1814-3			m a r													
1890-3			s a													
1430-3			d s													
1721-3			ʔ ɔː ʔ													
1617-3			b s ʔ													
1564-3			b ɔː ʔ													
1028-3			ʔ a													
1563-3			s a													
1859-4				ŋ s												
175-4				g a												
241-4				ʔ u ʔ												
2163-4				s u n												
2181-4				n a m												
2060-4				ʔ ɨ m												
410-4				t tʰ												
1841-4				m u												
2017-4				h əː												
1004-4				oː j												
614-4				b o h												
686-4				b h s												
88-4				g ə ʔ												
872-4				n ɨ ŋ												
1891-4				t j												
68-4				s o m												
631-4				b ə n												
594-4				g j												
1759-4				h a n												
805-4				g ɛ n												
756-4				h ɨ g												
1201-4				m u ʔ												
2042-4				ʔ ə												
1968-4				t ə ʔ												
2000-4				u j ŋ												
17-4				ʔ a ʔ												
4-4				u əː m												
788-4				t s												
1219-4				h o m												
141-4				ʔ j ŋ												
541-4				b j j ə ŋ												
1687-4				h u n												
123-4				u j m												
1652-4				tɕ ɛ n												
576-4				ŋ ə												
1738-4				t a g												
442-4				h o m												
368-4				t j ə ŋ												
1778-4				b a ʔ												
957-4				n ə b												
1704-4				ʔ o ʔ												
304-4				j ə m												
1796-4				tɕ ə ŋ												
720-4				t o h												
287-4				g ə b												
321-4				g ə h												
206-4				t o ʔ												
1950-4				ʔ u												
665-4				u o n												
703-4				n o ʔ												
1290-4				m tʰ												
1391-4				g a ʔ												
269-4				g ə ʔ												
855-4				tɕ ə n												
