COGID	MonpaBalemu	MonpaDirang	MonpaDirangDum	MonpaKalaktang	MonpaNamsu	MonpaSangti	MonpaTembang	MonpaTomko
10-1	k a ŋ							
37-1	n a n							
46-1	n a n							
98-1	kʰ a ŋ k i ɾ a							
125-1	kʰ a j ŋ ɾ a							
162-1	l a i s i							
171-1	kʰ u m s a							
219-1	kʰ a ŋ ts u							
247-1	kʰ a ŋ l u							
282-1	l u ʃ ts u							
292-1	k a ŋ							
301-1	l i							
354-1	m u m k a gʱ i							
363-1	n i m ts u							
397-1	kʰ a m ts i							
406-1	kʰ a u							
426-1	m u k ts a							
473-1	kʰ i n a							
499-1	ʃ a m a							
526-1	kʰ a ʃ a							
544-1	k u							
553-1	kʰ u k a							
599-1	kʰ o i gʱ a							
608-1	kʰ a n ts u							
617-1	j a n							
645-1	a n a							
663-1	ʃ o ŋ gʱ u ɾ							
672-1	kʰ u ŋ ts a							
681-1	n i ɾ i							
690-1	m i ŋ							
708-1	kʰ a ɾ i ŋ u							
717-1	kʰ u k ts u							
726-1	ʃ i							
744-1	a t a							
782-1	m i							
791-1	ŋ a							
800-1	ŋ a							
809-1	m o m n a							
836-1	kʰ s i							
881-1	l a m							
890-1	ɾ a ɾ a							
899-1	ʃ a ɾ							
926-1	k a m							
944-1	kʰ a ɾ a							
953-1	ʃ a ɾ a							
980-1	j a ɾ o							
998-1	kʰ a w i							
1022-1	h̥ t a gʱ u ɾ							
1031-1	kʰ i n a ŋ u k a							
1069-1	kʰ u ɾ ŋ							
1079-1	ʃ i a j a							
1098-1	j a ŋ k u							
1117-1	k u n							
1141-1	ɾ i n ts u							
1189-1	m a n							
1198-1	n u h̥ h̥							
1208-1	ʃ a ɾ a h̥							
1217-1	l a n i							
1253-1	a m a							
1271-1	n u h̥ a							
1289-1	m i n							
1316-1	ŋ a ŋ							
1325-1	k a m							
1334-1	ʃ i ŋ m a							
1343-1	kʰ ă i n a							
1361-1	j o n a ŋ							
1370-1	n a ʃ u							
1388-1	m a n m a							
1397-1	k u ɾ							
1406-1	k o ŋ							
1424-1	kʰ a ɾ a a ɾ							
1433-1	ʃ u k u							
1442-1	l a m							
1451-1	kʰ a k a							
1468-1	kʰ a k ts a							
1477-1	ŋ a s							
1502-1	ŋ a m s u							
1511-1	m u t̪ j a ŋ m a							
1529-1	kʰ a l u							
1538-1	ʃ u l u							
1557-1	kʰ o i gʱ u							
1618-1	i n gʱ a							
1663-1	ʃ u m							
1689-1	ŋ u i							
1698-1	k u ŋ							
1707-1	m o ŋ a							
1716-1	ŋ a m							
1742-1	m u gʱ u							
1751-1	kʰ u ʃ i ɾ a							
1778-1	ʃ a							
1787-1	kʰ u ɾ gʱ u							
1823-1	l a m							
1832-1	kʰ a ɾ m a							
1842-1	l u ŋ							
1860-1	ŋ a m h̥ h̥							
1869-1	ʃ u k gʱ a							
1888-1	ʃ a m ts i							
1897-1	ʃ a							
1932-1	ɾ i n a ŋ o k a							
1950-1	ʃ u							
1968-1	kʰ u ŋ t̪ a							
1978-1	kʰ u k gʱ a							
1987-1	ʃ a n							
2015-1	ŋ a m k a							
2118-1	m u ŋ ʃ a							
2238-1	ŋ a ɾ a							
2507-1	kʰ ă n u							
2526-1	l a h̥							
2535-1	ʃ a h̥							
2544-1	ʃ i ŋ							
2560-1	ʃ o ŋ i k i							
2569-1	kʰ a i gʱ u ɾ							
2578-1	n i k i ŋ							
2596-1	k u ŋ							
2615-1	ɾ i							
2663-1	kʰ i k i							
2690-1	ʃ i gʱ							
2719-1	ɾ i gʱ i							
2728-1	kʰ u k u ŋ							
2747-1	n i ŋ							
2756-1	ʃ a ɾ u							
2774-1	kʰ u n i							
19-1	n a ʃ i a							
28-1	n a ʃ i a							
89-1	k a ŋ ts u							
107-1	kʰ t̪ i i							
190-1	kʰ u m i							
229-1	k a							
257-1	kʰ a ŋ a							
338-1	kʰ ɾ u ŋ							
436-1	ʃ u l u							
483-1	j a							
535-1	ʃ o s o							
571-1	kʰ a ɾ a n gʱ i							
699-1	pʰ u ŋ ts a							
845-1	l o k							
971-1	kʰ i k ts u							
1049-1	t u							
1161-1	a m							
1180-1	ʃ k a							
1226-1	l a n i							
1235-1	n a m i							
1280-1	ʃ i ŋ s a							
1352-1	k u							
1379-1	s i							
1415-1	l a							
1636-1	kʰ a k a							
1654-1	l i							
1680-1	kʰ a n gʱ a							
1725-1	kʰ a k k e							
2127-1	kʰ a m k a							
2181-1	kʰ i l a							
2366-1	kʰ ɾ a k a							
2672-1	j a k a							
2681-1	h a ɾ a m o							
55-1	kʰ a i k a							
80-1	k u ŋ k a							
116-1	kʰ u l u							
210-1	k ă i							
319-1	kʰ o k k a							
453-1	kʰ a ŋ ts u							
508-1	a m							
754-1	a i gʱ u ɾ							
764-1	kʰ a l a ŋ ɾ u a							
827-1	t i h̥							
1244-1	pʰ ɾ ŋ t u							
1460-1	ʃ u ŋ a							
1734-1	ʃ i ŋ ts u							
2033-1	kʰ ă k p o							
2172-1	tʃ i l o							
2209-1	kʰ i k i ŋ o							
2256-1	tʃ ă l a							
2517-1	n ă ŋ gʱ a							
2654-1	h̥ h̥ h̥ gʱ o ŋ							
2737-1	n i ʃ a							
415-1	tʃ a k i							
1013-1	h o s a ŋ							
1150-1	ʃ o ŋ a							
1584-1	h a l i l a m							
10-2		kʰ a ŋ						
37-2		n a n						
46-2		n a n						
98-2		kʰ a ŋ tʃ i l a						
125-2		b u ŋ ɾ a						
162-2		l e i z i						
171-2		o m z a						
219-2		pʰ a ŋ p u						
247-2		pʰ a ŋ r u ŋ						
282-2		l u ʃ p u						
292-2		kʰ a ŋ						
301-2		r i						
354-2		m u m b a u						
363-2		n u m b u						
397-2		g a m b u						
406-2		kʰ a u						
426-2		m o tʰ p a						
473-2		pʰ i n a ŋ						
