COGID	Albanian	English	French	German	Latin
560-1	j u				
438-1	g				
1222-1	t				
353-1	p e p				
201-1	m e				
20-1	r e				
503-1	s e r				
957-1	d				
728-1	l i				
244-1	n m r				
289-1	n p s				
911-1	r u r r				
724-1	f ə r				
145-1	d o				
992-1	ʃ				
1181-1	e n				
741-1	p e				
1150-1	g g ə v i ʃ				
585-1	t i ʃ ʃ				
814-1	j u				
916-1	ə				
1079-1	d e j t				
630-1	r ð				
343-1	j u j ə r				
560-2		v ɑ m			
438-2		g r			
1222-2		l ɑ			
353-2		f ɪ ʃ			
201-2		s n			
20-2		s i z			
503-2		f l n			
957-2		a			
728-2		l ɪ l			
244-2		n i d			
289-2		l o s			
911-2		k i s			
724-2		θ r			
145-2		w ɑ			
992-2		s i			
706-2		h i			
106-2		f ɛ d			
741-2		k i o			
421-2		ɔ l ɔ m			
227-2		f ɑ t			
920-2		h ɛ r			
1083-2		h ɑ r i			
1066-2		ɪ t			
1125-2		θ ɪ n			
1197-2		m n t			
473-2		n ɑ v ɑ			
284-2		n ɑ s			
661-2		s n			
701-2		r i d			
315-2		r au θ			
1169-2		s i l			
1150-2		k au r			
982-2		s s			
987-2		s i ə			
1055-2		s i d r			
1130-2		s i n t			
433-2		s i n			
625-2		s ɪ n			
1186-2		θ ɪ n			
416-2		d			
1233-2		θ ɪ n			
884-2		w ɑ ɔ d			
1016-2		ɛ l i m ə t			
952-2		ə r			
78-2		b l a s			
514-2		b r m n			
116-2		s t			
188-2		f r o n			
745-2		f ɪ n ə r			
1100-2		f r a s d			
47-2		v ɑ d			
111-2		t ɛ h			
1061-2		v o n			
24-2		θ ɪ s d			
232-2		n			
671-2		r i n d			
560-3			v ɑ̃ t		
438-3			g		
1222-3			s		
353-3			p u		
201-3			p u		
20-3			p u		
503-3			p u		
957-3			ɛ̃		
728-3			s ɛ		
244-3			n u s		
289-3			n ɛ		
911-3			p u r		
724-3			t r		
145-3			d u		
992-3			n		
1181-3			s ɑ̃ n		
706-3			s u		
106-3			p ɔ p i		
741-3			p ø		
421-3			o l j		
227-3			p u		
920-3			k ɔ d		
1083-3			k k ɛ̃		
1066-3			d		
1125-3			ʒ ɑ̃		
1197-3			m u r g		
473-3			n ɔ v		
284-3			p ɛ		
661-3			ɛ̃ n		
701-3			k u t		
315-3			r ɔ t		
1169-3			s o t		
1150-3			ʒ r i t		
982-3			d ɑ̃		
987-3			s u		
1055-3			t n g		
1130-3			s ɑ̃ i		
433-3			s u		
585-3			n y		
625-3			s ɑ̃		
1186-3			d ɑ̃ n		
814-3			p ɑ̃ r		
416-3			ɔ		
1233-3			v ɑ̃ t r		
884-3			v u r t		
916-3			ʒ u		
1016-3			ɛ̃ n r m i		
952-3			o		
514-3			g ɔ ɛ̃ t		
1079-3			a r b		
1100-3			g u ɔ̃ t		
47-3			ʃ ɔ m		
111-3			l a		
1061-3			m ɔ t e		
1155-3			e ɔ o		
343-3			v ɛ t r r		
671-3			ʒ i t		
560-4				m ə m	
438-4				l r	
1222-4				l eː	
353-4				f a ʃ	
201-4				f aː n	
20-4				f aː r	
503-4				f au l n	
957-4				z n	
728-4				l i n	
244-4				z eː m ə	
289-4				n eː s	
911-4				z ai s	
724-4				d r n	
145-4				t	
992-4				l	
1181-4				h au t	
706-4				h	
106-4				f au l	
421-4				f l iː l	
227-4				f a t	
920-4				h au r	
1083-4				h au r n	
1066-4				g ə	
1125-4				d aː n	
1197-4				m ə l	
473-4				n eː	
284-4				n eː z	
661-4				v ə n	
701-4				au	
315-4				l u n d	
1169-4				z aː l	
1150-4				ʃ au r ts	
982-4				z eː s	
987-4				z t	
1055-4				ʃ t aː r	
1130-4				z aː ŋ	
433-4				z aː n	
585-4				z aː	
625-4				d ə n	
1186-4				m y n	
814-4				k r t	
416-4				v a s	
1233-4				m y n t	
884-4				v a l m	
78-4				b l s	
514-4				b ə u n d	
116-4				ai s	
188-4				f eː r	
745-4				f a l ə ə	
1100-4				f r f s	
630-4				y n t	
1155-4				h au	
24-4				n eː n	
232-4				n n	
671-4				k ai s ts	
560-5					w e m i
438-5					k l i i
1222-5					a a i
353-5					p eː t i i
201-5					s e iː u
20-5					k eː t r i
503-5					p l t
957-5					n eː u
728-5					l a o
244-5					n eː m i n
289-5					n uː i
911-5					k a t aː
724-5					t eː iː t
145-5					r eː d o
992-5					k au d
1181-5					k l i o
706-5					t i i
106-5					p eː s i
741-5					p a d o
421-5					a l aː r iː
227-5					p eː t o
920-5					k a r i n
1083-5					k a r n i
1066-5					g a
1125-5					s eː n oː
1197-5					m e n i
473-5					n u l i
284-5					n eː
661-5					k a
701-5					k a t i
315-5					k e n d i
1169-5					s e l a
982-5					s e o
987-5					n eː m i
1055-5					s l a t i i
1130-5					s aː
433-5					s eː n u i
585-5					t
625-5					k e u a
1186-5					s e n u i
814-5					w eː r k
416-5					k a t d
1233-5					w e n t i
884-5					w e r a d i
916-5					k
1016-5					a nː e m e l u
952-5					a
78-5					p l i i
1079-5					b iː a o
116-5					e o
188-5					p u t u
745-5					s e b e l u i
47-5					m o n e u i
111-5					l a k u
1061-5					m e n t e u i
630-5					n oː u i
1155-5					k u d
24-5					n e i
232-5					n e n
343-5					l i m a i eː
