COGID	ChorbatBalti	KhapaluBalti	KharmangBalti	RonduBalti	ShigarBalti	SkarduBalti	SkarduPurki
709-1	kʰ o o						
522-1	o ŋ l̪ b o ŋ						
514-1	m i k						
464-1	ɕ ȵʲ ɑ						
1020-1	s̪ ȵ ɜ m s̪ o l						
1355-1	s̪ o						
1464-1	l̪ tɕʰ ɑ						
302-1	b j u ŋ						
237-1	l̪ t̪ β̞ ɑ						
205-1	t̪ n̪ ɜ q p o						
1089-1	n̪ ɜ q tθʰ i l						
804-1	g ɜ ŋ m ɑ						
1263-1	t̪ o x s̪ p ɑ						
286-1	n̪ u n̪ p ɑ						
717-1	s̪ ȵ̊ ɑ ŋ						
269-1	t̪ ʑ ɜ t̪						
1512-1	tɕ i n̪						
555-1	g k ɜ k p ɑ						
751-1	n̪ ɑ ŋ						
439-1	z̪ kʰ o						
601-1	ɕ ɑ ŋ						
320-1	b r̪ ɜ x m o						
1106-1	pʰ u k s̪						
693-1	ŋ ɜ t̪ o ŋ o						
221-1	s̪ k ɜ ɾ ɑ						
1199-1	t̪ʰ ɜ q p ɑ						
1424-1	s̪ k o k p ɑ						
904-1	l gʲ o t̪						
1273-1	s̪ n̪ ɑ m						
1323-1	s̪ k ɑ r̪ m ɑ						
1127-1	tɕʰ ɜ r̪ p o						
1529-1	s̪ ɑ						
1175-1	s̪ k ɜ m tθ o						
383-1	s̪ ɪ l						
820-1	l o k						
1636-1	t̪ j u ŋ						
1331-1	ɑ ɾ d β̞ ɑ						
1097-1	j ɜ ŋ						
1223-1	b o ŋ o						
592-1	m ɑ						
1290-1	d̪ u q p ɑ						
669-1	s̪ u ɾ						
1472-1	s̪ t̪ ɜ m s̪ o						
788-1	l o ŋ o						
1191-1	n̪ ɜ m p o						
626-1	m ɑ n̪ d o						
844-1	ɑ m						
879-1	tɕ ɑ						
1151-1	b u u s̪						
1119-1	ɜ l u						
709-2		kʰ o o					
522-2		o ŋ d o ŋ					
514-2		m i k					
464-2		ɕ ȵʲ ɑ					
1020-2		s̪ ȵ ɑ m s̪ o l					
1355-2		s̪ o					
1464-2		l̪ ɕ ɜ					
302-2		b j u ŋ					
237-2		l̪ t̪ β̞ ɑ					
205-2		tɕ n̪ ɜ p o					
1089-2		ŋ ɜ q p o ŋ					
804-2		g ɜ ŋ m o					
1263-2		t̪ ɜ x s̪ p ɑ					
286-2		ȵ u n̪ p ɑ					
717-2		s̪ ȵ ɑ ŋ					
269-2		tɕ dʑ ɜ k					
1512-2		s̪ tɕ i n̪					
555-2		b k ɜ k p ɑ					
751-2		j ɑ ŋ					
439-2		z̪ kʰ o					
601-2		ɕ o ŋ					
320-2		b ɖʐ ɜ x m o					
1106-2		b o k s̪					
693-2		ŋ ɜ t̪ o ŋ o					
221-2		s̪ t̪ o n̪ e					
1199-2		t̪ʰ ɜ q p o					
1424-2		s̪ k o k p ɑ					
904-2		l gʲ o t̪					
1273-2		s̪ ȵ ɑ n̪					
1323-2		s̪ k ɑ r̪ m o					
1127-2		k ɜ r̪ p o					
1529-2		kʰ i					
1175-2		ɾ k ɜ m tθ o					
383-2		s̪ i l					
820-2		l o k					
1636-2		j u ŋ					
1331-2		ŋ ɾ g β̞ ɑ					
1097-2		j ɜ ŋ					
1223-2		b o ŋ ɑ					
592-2		m ɑ					
1290-2		d̪ u k p ɑ					
669-2		s̪ u ɾ					
1472-2		s̪ t̪ ɜ m s̪ o					
788-2		l o ŋ o					
1191-2		n̪ ɜ ŋ p o					
626-2		m ɑ n̪ d o q					
844-2		ɑ m					
879-2		kʰ ɑ					
1151-2		b u u s̪					
1119-2		ɜ r̪ u					
709-3			kʰ o o				
522-3			ɜ ŋ ŋ b o ŋ				
514-3			m ɪ k				
464-3			ɕ ȵʲ ɑ				
1020-3			s̪ ȵ ɜ m s̪ o l				
1355-3			s̪ o				
1464-3			l̪ ɕ ɑ				
302-3			b r̪ u ŋ				
237-3			l̪ t̪ β̞ ɜ				
205-3			t̪ n̪ ɜ q p o				
1089-3			ŋ ɜ q p o ŋ				
804-3			g ɑ̃ m o				
1263-3			t̪ ɜ k s̪ p ɜ				
286-3			ɾ u p ɜ				
717-3			s̪ ȵ ɑ ŋ				
269-3			t̪ ʑ ɜ q				
1512-3			s̪ tɕ i ŋ				
555-3			β k ɜ k p ɜ				
751-3			j ɑ ŋ				
439-3			z̪ kʰ o				
601-3			ɕ o ŋ				
320-3			b ɜ x m o				
1106-3			t̪ʰ u k				
693-3			ŋ ɜ b o ŋ o				
221-3			s̪ k ɜ n̪ e				
1199-3			t̪ʰ ɜ q p o				
1424-3			s̪ k o k p ɜ				
904-3			l gʲ o t̪				
1273-3			s̪ ȵ ɑ m				
1323-3			s̪ k ɜ m ɜ				
1127-3			k ɜ ɕ p o				
1529-3			kʰ i				
1175-3			ɾ k ɜ m d o				
383-3			s̪ u l				
820-3			l o q				
1636-3			b j u ŋ				
1331-3			ɜ ɾ g β̞ o				
1097-3			j ɜ ŋ				
1223-3			b o ŋ o				
592-3			m i				
1290-3			ts̪ u q p ɜ				
669-3			s̪ u ɾ				
1472-3			s̪ t̪ ɜ k s̪ o				
788-3			j o ŋ o				
1191-3			n̪ ɜ m p o				
626-3			m ɜ n̪ d o q				
844-3			ɑ ŋ				
879-3			kʰ ɑ				
1151-3			b u u s̪				
1119-3			j r̪ u				
709-4				kʰ o o			
522-4				o ŋ t̪ d o ŋ			
514-4				m ɑ k			
464-4				s̪ ȵʲ ɑ			
1020-4				s̪ ȵ ɑ m s̪ o l			
1355-4				m ɑ			
1464-4				l̪ ɕ ɑ			
302-4				b j u ŋ			
237-4				l̪ t̪ β̞ ɑ			
205-4				t̪ n̪ ɜ q p o			
1089-4				ŋ ɜ q p o ŋ			
