COGID	ChorbatBalti	KhapaluBalti	KharmangBalti	RonduBalti	ShigarBalti	SkarduBalti	SkarduPurki
709-1	kʰ o o						
522-1	o ŋ l̪ b o ŋ						
514-1	m i k						
464-1	ɕ n̪ ɑ						
1020-1	s̪ n̪ ɜ m s̪ o l						
1355-1	s̪ ɑ						
1464-1	l̪ tɕʰ ɑ						
302-1	b j ɜ ŋ						
237-1	l dð β̞ ɑ						
205-1	b n̪ ɑ q p ɑ						
1089-1	l ɜ q b ɪ l						
804-1	bʲ ɜ ŋ m ɑ						
1263-1	t̪ ɑ x p ɑ						
286-1	ɾ u n̪ p ɑ						
717-1	s̪ n̪ ɑ m						
269-1	t̪ ʑ ɜ k						
1512-1	tɕ i n̪						
555-1	g k u q p ɑ						
751-1	n̪ ɑ ŋ						
439-1	z̪ kʰ o						
601-1	ɕ ɑ ŋ						
320-1	b r̪ ɜ x m o						
1106-1	t̪ʰ u k s̪						
693-1	ŋ ɜ t̪ o ŋ o						
221-1	s̪ k ɜ ŋ ɑ						
709-2		kʰ o o					
522-2		o ɣ b o ŋ					
514-2		m ɪ k					
464-2		ɕ ȵʲ ɑ					
1020-2		s̪ n̪ ɜ m s̪ ɑ l					
1355-2		s̪ o					
1464-2		l̪ tɕʰ ɑ					
302-2		b r̪ ɜ ŋ					
237-2		l dð β̞ ɑ					
205-2		b n̪ ɜ q p ɑ					
1089-2		l ɜ q p ɪ l					
804-2		g ɜ ŋ m o					
1263-2		t̪ u x s̪ p ɑ					
286-2		ɾ ɜ m p ɑ					
717-2		s̪ n̪ ɜ m					
269-2		tɕ dʑ ɜ t̪					
1512-2		s̪ tɕ i ŋ					
555-2		b g u t̪ p ɑ					
751-2		n̪ ɑ ŋ					
439-2		z̪ kʰ o					
601-2		ɕ i ŋ					
320-2		b ɖʐ ɜ x m o					
1106-2		t̪ʰ o k s̪					
693-2		ŋ ɜ t̪ o ŋ o					
221-2		s̪ k ɜ r̪ ɜ					
709-3			kʰ o o				
522-3			m ŋ ŋ b o ŋ				
514-3			m ɪ k				
464-3			s̪ n̪ ɑ				
1020-3			s̪ n̪ ɜ m s̪ o l				
1355-3			s̪ o				
1464-3			l̪ tɕʰ ɑ				
302-3			b j ɜ ŋ				
237-3			l dð β̞ ɑ				
205-3			b n̪ ɜ q p ɜ				
1089-3			l ɜ q p ɪ l				
804-3			bʲ ɜ m ɜ				
1263-3			t̪ u k s̪ p ɜ				
286-3			ɾ ɜ m p ɜ				
717-3			s̪ n̪ ɑ ŋ				
269-3			t̪ ʑ ɜ t̪				
1512-3			s̪ tɕ i ŋ				
555-3			β k ɜ q p ɜ				
751-3			n̪ ɑ ŋ				
439-3			z̪ kʰ o				
601-3			ɕ o ŋ				
320-3			b ɜ x m ɜ				
1106-3			t̪ʰ u k				
693-3			h ɜ p o ŋ o				
221-3			s̪ k ɜ r̪ ɜ				
709-4				kʰ o o			
522-4				m ɾ d o ŋ			
514-4				m ɪ k			
464-4				s̪ n̪ ɑ			
1020-4				s̪ n̪ ɜ m s̪ ɜ l			
1355-4				s̪ o			
1464-4				l̪ tɕʰ ɑ			
302-4				b l ɜ ŋ			
237-4				l dð β̞ ɑ			
205-4				b l ɜ q p ɜ			
1089-4				l ɜ q p ɪ l			
804-4				bʲ ɜ ŋ m ɜ			
1263-4				t̪ ɜ x p ɜ			
286-4				ɾ u m p ɜ			
717-4				s̪ n̪ ɑ m			
269-4				t̪ ʑ ɜ k			
1512-4				s̪ tɕ ɜ n̪			
555-4				k u q p ɜ			
751-4				n̪ ɑ ŋ			
439-4				z̪ kʰ o			
601-4				ɕ ɑ ŋ			
320-4				b ɜ x m o			
1106-4				b u k ɜ			
693-4				ŋ ɑ p o ŋ o			
221-4				s̪ k ɜ r̪ ɜ			
709-5					kʰ o o		
522-5					m ȵ ŋ t̪ o ŋ		
514-5					m i k		
464-5					ɕ ȵʲ ɑ		
1020-5					s̪ ȵ̊ ɜ m s̪ o l		
1355-5					s̪ ɑ		
1464-5					l̪ tɕʰ ɑ		
302-5					b l ɜ ŋ		
237-5					l t̪ β̞ ɑ		
205-5					b l ɑ q p ɜ		
1089-5					l ɜ q p ɪ l		
804-5					bʲ ɜ ŋ m ɜ		
1263-5					t̪ o x s̪ p ɜ		
286-5					ɾ u n̪ p ɜ		
717-5					s̪ n̥ ɑ ŋ		
269-5					t̪ s̪ ɜ q		
1512-5					l̪ tɕ i ŋ		
555-5					β k ɜ q p ɜ		
751-5					n̪ ɑ ŋ		
439-5					z̪ g o		
601-5					ɕ o ŋ		
320-5					b l ɜ x m ɜ		
1106-5					b u k s̪		
693-5					ȵ ɜ k o ŋ o		
221-5					s̪ k ɜ r̪ ɜ		
709-6						kʰ o o	
522-6						m ȵ s̪ t̪ o ŋ	
514-6						m i k	
464-6						s̪ n̪ ɑ	
1020-6						s̪ ȵ ɜ m s̪ o l	
1355-6						s̪ o	
1464-6						l̪ tɕʰ ɑ	
302-6						b l ɜ ŋ	
237-6						l t̪ β̞ ɑ	
205-6						t̪ l ɜ q p ɜ	
1089-6						l ɜ q p ɪ l	
804-6						bʲ ɜ ŋ m ɜ	
1263-6						t̪ ɑ k s̪ p ɜ	
286-6						ɾ u n̪ p ɜ	
717-6						s̪ n̪ ɑ ŋ	
269-6						t̪ ʑ ɜ q	
1512-6						s̪ tɕ i ŋ	
555-6						b k ɜ q p ɜ	
751-6						n̪ ɑ ŋ	
439-6						z̪ kʰ o	
601-6						ɕ i ŋ	
320-6						b ɜ x m ɜ	
1106-6						t̪ʰ u k s̪	
693-6						h ɜ t̪ o ŋ o	
221-6						s̪ k ɜ ɾ ɜ	
709-7							kʰ o u
522-7							m ŋ ɑ d o ŋ
514-7							m i k
