COGID	BelejeGonfoye	Fadashi	Maiyu	Undulu
468-1	l a b a			
222-1	a b o b o n e			
208-1	a b u b u d u			
962-1	a g o l			
203-1	a g u d i			
138-1	ʃ s l e			
504-1	oː ʃ a			
662-1	eː ʃ d a			
478-1	g g eː a			
409-1	a e			
410-1	g u n d i			
256-1	eː a l e			
622-1	n d u			
546-1	n d u			
547-1	ʃ u eː a ʔ			
847-1	n e n d e g i			
95-1	b u i			
105-1	b eː n i			
510-1	b o ʃ a			
951-1	m b r m a e			
1116-1	m b u			
149-1	eː u ʃ ʔ i			
376-1	eː a l i			
815-1	o o a			
453-1	u ɲ e			
67-1	a ʃ e			
47-1	eː o k o l a			
869-1	ʃ l a			
57-1	k g u			
303-1	g a u ʔ i a			
443-1	g eː a			
884-1	g u n d i			
166-1	g u n d i			
918-1	a b a e			
831-1	n ʃ e			
616-1	b eː e			
84-1	n o ʃ a l e			
346-1	n u l u l u			
601-1	u i g i			
177-1	k ʔ a eː a			
341-1	k ʔ o l a			
1066-1	eː e n u e n a			
318-1	eː eː s i			
241-1	m ʃ o			
556-1	n a n d u n u			
191-1	eː a mː b eː l			
458-1	a u ʔ i u ʔ i			
1-1	n a n n i			
751-1	o			
864-1	a n o n i			
154-1	a m a n u i			
278-1	a m i l u ʔ			
766-1	ʃ oː a			
251-1	a g ʃ u			
582-1	u ʔ u n			
6-1	a l i			
1106-1	n g o			
473-1	eː i n e			
1111-1	n a l u			
957-1	m a e			
41-1	b i			
24-1	u eː			
25-1	l e			
879-1	a b a a b e u			
837-1	m ʃ i			
233-1	b i b i i o			
938-1	b u l a			
369-1	a e			
946-1	eː a n g o			
889-1	b ʔ l e			
820-1	ʃ o e			
438-1	n b ə n e			
283-1	a n n s e			
52-1	u eː o ʃ			
842-1	o n o ʃ a			
110-1	i eː u e i			
165-1	m a			
1007-1	o n g o l e			
1088-1	eː o s u l e			
1087-1	o n g o l e			
702-1	eː l a			
536-1	k ʔ eː e			
694-1	n b eː			
468-2		l a b a		
222-2		a b o b o ʔ i		
208-2		a b u r b u d u		
962-2		a g o r l e		
203-2		a g u d i		
138-2		ʃ i l e		
504-2		ɗ oː ʃ ɛ ŋ		
662-2		d u d ɛ		
478-2		g oː ɗ e		
409-2		a r e		
410-2		g u n d i		
256-2		d ʔ l e		
622-2		n d u		
546-2		n d u		
547-2		ʃ ɛ f a		
847-2		n ɛ d d g a		
95-2		b ɛ ɗ i		
105-2		b ɛ n i		
510-2		b oː ʃ a		
951-2		m b r m a		
1116-2		m b u m		
149-2		d u s s i		
376-2		d ɛ l i		
815-2		g o r a		
453-2		ɗ u ŋ e		
67-2		ɗ ɗ ʃ e		
47-2		d u k u l ɛ		
869-2		ɗ oː l a		
57-2		k aː g u		
303-2		g a s ʔ i a		
443-2		g e r a		
884-2		g u n d i		
166-2		g u n d i		
918-2		a b a r e		
831-2		h ʃ e		
616-2		b d e		
84-2		h o ʃ a l e		
346-2		h u h o l u		
601-2		s i g i		
177-2		k ʔ a f a		
341-2		k ʔ o l a		
1066-2		f ɛ n s e ŋ i		
318-2		f ɛ ʃ i		
241-2		m ʃ ʃ o		
556-2		h a n d u u		
191-2		b ʔ m b i l		
458-2		a s ʔ i s ʔ i		
1-2		h a n g i r		
751-2		r o		
864-2		a ŋ o n i		
154-2		a m a n ŋ i		
278-2		a m i l u i		
766-2		ʃ oː r e		
251-2		a g u r u		
582-2		u ʔ u ŋ		
6-2		a l i		
1106-2		ŋ g o		
473-2		eː i e		
1111-2		h a l u		
957-2		m a r e		
41-2		b i e		
24-2		s i		
25-2		l a r e		
879-2		a b a r a b ɛ d i		
566-2		aː f a w o r r ʃ s		
742-2		a g u		
1044-2		ʃ i m b i l u		
13-2		aː l h a s i		
720-2		aː s ɛ l a		
837-2		m ʃ i		
233-2		d i d i i		
938-2		d u l l a		
369-2		a r e		
946-2		ɗ a ŋ g o		
889-2		d ʔ l l		
820-2		a ʃ o r e		
405-2		b eː d e		
134-2		d ʔ ɗ i i ʔ		
1078-2		m d h i		
429-2		b o ŋ k ʃ s		
187-2		b u s k ʔ e		
438-2		n d ɛ n e		
385-2		m o k ʔ o ʃ		
283-2		m n n s ʔ a r		
390-2		aː b a i		
783-2		m a r l a		
842-2		ɗ o ŋ o ʃ e		
110-2		k i i ɛ r i		
650-2		k ʔ o ʃ		
91-2		g e l a s i		
668-2		f ɛ e a		
777-2		d i n i aː		
728-2		oː i ʃ i		
165-2		mː a		
1007-2		o ŋ g o l e		
1087-2		o ŋ g o l e		
894-2		d s ʔ u		
536-2		k ʔ d d e		
694-2		n d ə		
468-3			l a b a	
222-3			a b a b ɔ ʔ i	
208-3			a b u r b u d u	
962-3			a g ɔ r a	
203-3			a g u d i ʔ	
138-3			ʃ ʃ l e	
504-3			ɗ ɔː ʃ d ŋ	
662-3			d u d a	
478-3			g g ɛ a a	
409-3			a r e	
410-3			g u n d i	
256-3			d a l e	
622-3			n d u	
546-3			n d u	
547-3			ʃ d f a ʔ	
847-3			n d d d g i	
95-3			b d ɗ i	
105-3			b d n i	
510-3			b ɔ ʃ a	
951-3			m b eː m a r e	
1116-3			m b u m a	
149-3			d u s ʔ i	
376-3			d a l i	
815-3			g ɔ r a	
453-3			ɗ u ŋ e	
67-3			ɗ a ʃ e	
47-3			d ɔ k ɔ l a	
869-3			ɗ ɔː l a	
57-3			k a g u	
303-3			g a s ʔ i a	
443-3			g a r a	
884-3			g u n d i	
166-3			g u n d i	
918-3			a b d r e	
831-3			h a ʃ e	
616-3			b iː e	
84-3			h ɔ ʃ a l a	
346-3			h ʃ h ɔ l u	
601-3			s i g i	
177-3			k ʔ a f a	
341-3			k ʔ ɔ l a	
1066-3			f d n s i ŋ i	
318-3			f ɛ ʃ i	
241-3			m ʃ ʃ o	
556-3			h a n d u ŋ u	
191-3			b d m b i l	
458-3			a s ʔ i s ʔ i	
1-3			h a ŋ g i r	
751-3			r ɔ	
864-3			a ɲ ɔ n i	
154-3			a m a n ɲ i	
278-3			a m i l u ʔ i	
766-3			ʃ ɔː r a	
251-3			a g u r u	
582-3			ɔ ʔ ɔ ŋ	
6-3			a l i	
1106-3			n g ɔ	
473-3			eː i e	
1111-3			h a l u	
957-3			m a r e	
24-3			s i	
25-3			θ a r e	
879-3			a b a r a b d d	
566-3			a n f a n eː ɔ r ʔ s	
742-3			a g ɔ	
1044-3			ʃ i m b i l u	
13-3			a l h a m i s	
720-3			a s d l a	
233-3			b i b i ɔ o	
938-3			d u l a	
369-3			a r e	
889-3			d eː l e	
405-3			b eː d e	
134-3			d eː ɗ i ʔ i	
1078-3			m e h i	
429-3			b ɔ ŋ ɔ ʃ ʃ	
187-3			b u s ʔ i k a	
385-3			m o k ʔ ɔ ʃ	
283-3			a n s a r e	
390-3			a b a	
783-3			m a r a	
52-3			d ɔː ʃ i	
842-3			ɗ ɔ ɲ ɔ ʃ a	
650-3			k ʔ ɔ ʃ	
91-3			g a l a s i	
668-3			d l a	
777-3			g i n d a l i a	
728-3			s i ʔ i	
165-3			m a	
1088-3			h ɔ ʃ a l a	
702-3			iː l a	
894-3			iː s ʔ u	
536-3			k eː d e	
468-4				l a b a
222-4				a b o b o n e
208-4				a b u r b u d u
962-4				a g o r a
203-4				a g u d i
138-4				ʃ i l e
504-4				ɗ oː ʃ a
662-4				ɓ u d a
478-4				g g h e
409-4				a r e
410-4				g u n d i
256-4				ɓ l e
622-4				n d u
546-4				n d u
547-4				ʃ ɛ f a
847-4				n ɛ n d ɛ g i
95-4				b ɛ ɗ i
105-4				b d n i
510-4				b o ʃ a
951-4				m b r m a
1116-4				m b ɗ m
149-4				ɓ u z z i
376-4				ɓ a l i
815-4				g o r a
453-4				ɗ u ŋ e
67-4				ɗ ɗ ʃ e
47-4				ɗ o k o l ɛ
869-4				ɗ uː l a
57-4				k aː g u
303-4				g a z ʔ i a
443-4				g e r a
884-4				g u n d i
166-4				g u n d i
918-4				a b ɛ r e
831-4				h aː ʃ e
616-4				b h e
84-4				h o ʃ ɛ l e
346-4				h u h u l
601-4				z i g i
177-4				k ʔ a f a
341-4				k ʔ o l a
1066-4				f ɛ n z i ŋ a
318-4				f ɗ ʃ i
241-4				m aː ʃ o
556-4				h a n d u ŋ u
191-4				b ɛ m b ɛ l
458-4				a z ʔ i z ʔ i
1-4				h a n g i r
751-4				r o
864-4				a ŋ o n i
154-4				a m a n z i
278-4				a m l l u i
766-4				ʃ oː r a
251-4				a g u r u
582-4				o ʔ o ŋ
6-4				a l i
1106-4				n g o
473-4				uː i n e
1111-4				h a l u
957-4				m a r e
41-4				b i
566-4				a n ɗ a n ɗ o r o z
742-4				a g o
1044-4				ʃ l m b i l
13-4				a l h a m i
720-4				aː z ɛ l a
837-4				m ʃ i
946-4				ɗ a ŋ g o
820-4				a ʃ o r e
405-4				b ɗ d e
134-4				ɓ ʔ ɗ i ʔ i
1078-4				m e h i
429-4				b o ŋ o ʃ
187-4				b u z ʔ i k e
438-4				n d ɛ n e
385-4				m ɗ k ʔ o ʃ
390-4				a a
783-4				m u r a
52-4				d h ʃ ʃ
110-4				k ʔ i d ɛ r i
650-4				k ʔ o ʃ
91-4				g a l a z i
668-4				ɛ e a
777-4				g i n d a l
728-4				z u ʃ i
1007-4				h ŋ g o l e
1088-4				h o ʃ e l e
1087-4				h ŋ g o l e
702-4				h l e
894-4				g z ʔ u
694-4				n d ɗ
