COGID	Albanian	English	French	German	Latin
560-1	e t				
438-1	ə r				
1222-1					
353-1	t				
201-1	n				
20-1	t				
503-1	e				
957-1					
728-1	n				
244-1	n m				
289-1	n				
911-1	r u t				
724-1	t r				
145-1	d				
992-1					
1181-1	k e n				
741-1	p				
560-2					
438-2		ə r			
1222-2					
353-2		f ɪ s			
201-2		f ə n			
20-2		f ɑ r			
503-2		f ə l			
957-2					
728-2		l ə ŋ			
244-2		n ə			
289-2		n t			
911-2		w ə r t			
724-2		r			
145-2		w			
992-2		w			
706-2					
106-2		f ə ð ə r			
741-2		h			
421-2		b l ə			
227-2		f			
560-3			v		
438-3			r		
1222-3			v		
353-3			p		
201-3			k ɑ̃		
20-3			k a r		
503-3			p l		
957-3			ɑ̃		
728-3			l ɑ̃		
244-3			n u m		
289-3			n		
911-3			r ɛ r		
724-3			t r		
145-3					
992-3					
1181-3			k ɑ̃		
706-3					
106-3			p r		
741-3			p		
421-3			f l		
227-3			p		
560-4				g n	
438-4				e r	
1222-4					
353-4				f e	
201-4				f u n	
20-4				f u r	
503-4				f l	
957-4				n	
728-4				l u n	
244-4				n u	
289-4				n	
911-4				r u	
724-4				d r	
145-4				ts	
992-4				h	
1181-4					
706-4				u	
106-4				f u d ə r	
421-4				f l ə r	
227-4				f	
560-5					w e m o
438-5					o r o
1222-5					o
353-5					p e s i o
201-5					s e n o
20-5					k a t e r
503-5					p l e n o
957-5					d e n
728-5					l o n i o
244-5					n o m i
289-5					n e
911-5					r a r s i
724-5					t r
145-5					d o
992-5					k
1181-5					k k e n t o
706-5					o l i o
106-5					p e t r
741-5					p o o
421-5					f l o r
227-5					p o
