COGID	MonpaBalemu	MonpaDirang	MonpaDirangDum	MonpaKalaktang	MonpaNamsu	MonpaSangti	MonpaTembang	MonpaTomko
10-1	o ŋ							
37-1	n a n							
46-1	n a n							
98-1	k o ŋ t̪ i l a							
125-1	b e a ŋ ɾ a							
162-1	l a i s i							
171-1	l u m a							
219-1	t o ŋ p u							
247-1	tʃʰ o ŋ l u ŋ							
282-1	j u s p u							
292-1	k o ŋ							
301-1	l i							
354-1	m u m b o t i							
363-1	n i m b u							
397-1	k o m tʃ i							
406-1	k o m u ŋ							
426-1	m k p o							
473-1	pʰ i n o ŋ							
499-1	ĭ a m a n							
526-1	k o							
544-1	k u							
553-1	k u t o ŋ							
599-1	k u i o							
608-1	b o n o							
617-1	j e n							
645-1	a n a							
663-1	s u ŋ u							
672-1	t u ŋ p o							
681-1	n ɾ i							
690-1	m i ŋ							
708-1	t̪ o a ɾ i ŋ b u							
717-1	t̪ u k p u							
726-1	s i							
744-1	a p o							
782-1	m i							
791-1	ŋ a							
800-1	ŋ a							
809-1	m u m n a ŋ							
836-1	p s i							
881-1	l a m							
890-1	ɾ a b o							
899-1	s e							
926-1	tʃ o							
944-1	k a ŋ							
953-1	tʃ j a ɾ a ŋ							
980-1	ĭ a ɾ o ŋ							
998-1	pʰ o j i							
1022-1	k t̪ o u							
1031-1	b i n a ŋ k u k a							
1069-1	tʃ u a ŋ d a a							
1079-1	ʃ i ŋ l a a							
1098-1	j a ŋ pʰ u l a							
1117-1	tʃ u ɲ							
1141-1	ɾ i n b u							
1189-1	m a n							
1198-1	n u l a							
1208-1	ĭ a l a a							
1217-1	l a n i u a							
1253-1	a m a							
1271-1	n u a ŋ							
1289-1	m i ŋ							
1316-1	ŋ a ŋ							
1325-1	k o m							
1334-1	s i ŋ m o							
1343-1	tʃ i n a ŋ							
1361-1	j e n a ŋ a ŋ							
1370-1	n a u ŋ							
1388-1	m a n m							
1397-1	u							
1406-1	tʃ o ŋ							
1424-1	k ɾ a ŋ p l a ɾ m							
1433-1	ʃ u k u							
1442-1	l a m							
1451-1	b o o							
1468-1	pʰ o k p							
1477-1	ŋ a s							
1502-1	ŋ a m s u							
1511-1	m u t̪ a ŋ m							
1529-1	tʃʰ o l o							
1538-1	s u l u							
1557-1	tʃ o i u							
1618-1	i n o							
1663-1	u m							
1689-1	ŋ u i							
1698-1	k u ŋ							
1707-1	m u ŋ n a ŋ							
1716-1	ŋ a m u ŋ							
1742-1	m u k u							
1751-1	b u tʃ i l a							
1778-1	s a							
1787-1	tʃʰ u ɾ p u							
1823-1	l e m							
1832-1	k o ɾ m							
1842-1	l u ŋ							
1860-1	ŋ a m a							
1869-1	ʃ u p o ŋ							
1888-1	ʃ a m p i							
1897-1	s e							
1932-1	ɾ i n ŋ s o p k a							
1950-1	u							
1968-1	t u ŋ t a a a							
1978-1	k u t p o ŋ							
1987-1	s a n							
2015-1	ŋ a m k a							
2118-1	m u ŋ o o ŋ l a							
2238-1	ŋ a ɾ k							
2507-1	t e n o ŋ							
2526-1	l e							
2535-1	tʃ a							
2544-1	i ŋ							
2560-1	s u ŋ n i tʃ i ŋ							
2569-1	k o i u							
2578-1	n i tʃ i ŋ							
2596-1	u ŋ							
2615-1	ɾ i							
2663-1	k i t i a							
2690-1	s i l a							
2719-1	ɾ i i							
2728-1	k u tʃ u ŋ							
2747-1	n i ŋ u a							
2756-1	s e ɾ b u							
2774-1	b u n i ŋ							
19-1	n a l i b a							
28-1	n a l i b a k							
89-1	k o ŋ p u							
107-1	l l t̪ i k i a							
190-1	p u tʃ a							
229-1	k o							
257-1	pʰ o ŋ a							
338-1	b ɾ u ŋ							
436-1	ĭ u l u							
483-1	a							
535-1	s u s o							
571-1	k e j e n t i							
699-1	d u ŋ p o							
845-1	ɾ o k a							
971-1	t̪ i t pʰ u							
1049-1	b u							
1161-1	a							
1180-1	tʃ j a							
1226-1	l a n i ŋ							
1235-1	n a m i ŋ							
1280-1	k i ŋ s a							
1352-1	k u							
1379-1	s i							
1415-1	a							
1636-1	b e tʃ o							
1654-1	l i							
1680-1	k a n t a							
1725-1	tʃ o p t e n							
2127-1	t̪ a m k a							
2181-1	t̪ i l k a							
2366-1	l o j a k p a							
2672-1	ĭ o k o							
2681-1	b a l a ŋ o							
55-1	d̪ a t i a k							
80-1	ĭ u ŋ k a							
116-1	t̪ u l u							
210-1	kʰ o i							
319-1	p o t̪ k a							
453-1	tʃ a ŋ p u							
508-1	ŋ a							
754-1	a n i l u							
764-1	k a ŋ b u m a							
827-1	pʰ i							
1244-1	t p ɾ o ŋ tʃ u ŋ m a							
1460-1	s u ŋ o							
1734-1	ĭ i m u							
2033-1	kʰ u k p o							
2172-1	b i l o							
2209-1	b i t i ŋ pʰ i a							
2256-1	ĭ u l k a							
2517-1	n a m tʃ ŋ							
2654-1	a b o ŋ							
2737-1	n i t a							
415-1	ĭ a m u							
1013-1	ĭ e t a ŋ l a							
1150-1	ĭ o ŋ a							
1584-1	k a t i a							
10-2		tʃ a ŋ						
37-2		n a n						
46-2		n a n						
98-2		kʰ a ŋ tʃ i l o						
125-2		b i j a ŋ ɾ a						
162-2		l e i p i						
171-2		o m ʃ u						
219-2		tʃ a ŋ o						
247-2		tʃ a ŋ l o ŋ						
282-2		l u s p o						
292-2		kʰ a ŋ						
301-2		l i						
354-2		m u m b u tʃ i						
363-2		n a m b o						
397-2		g a m tʃ i						
406-2		kʰ a n o						
426-2		m u k p u						
473-2		pʰ i n j u ŋ						
499-2		z a m i n						
526-2		g a ʃ u						
544-2		kʰ o						
553-2		k o tʃ a ŋ						
599-2		g o i tʰ u m						
608-2		b a n tʰ o						
617-2		u e n						
645-2		a n a						
663-2		s o ŋ tʰ o ɾ						
672-2		tʃ o ŋ p u						
681-2		ŋ e ɾ i						
690-2		m i ŋ						
708-2		tʃ a ŋ ɾ i ŋ b o						
717-2		tʃ o k p o						
726-2		s i						
744-2		a p a						
782-2		m i						
791-2		ŋ a						
800-2		ŋ a						
809-2		m o m n u ŋ						
836-2		p ʃ i						
881-2		l a m						
890-2		ɾ a b a						
899-2		s e ɾ						
926-2		tʃ a m						
944-2		g a ɾ a ŋ						
953-2		ʃ a ɾ a ŋ						
980-2		u a ɾ o ŋ						
998-2		pʰ a n i						
1022-2		j tʰ o ɾ						
1031-2		b i n o ŋ u a n						
1069-2		tʃ o a ŋ a						
1079-2		ʃ a u a						
1098-2		u a ŋ b o						
1117-2		tʃ o n						
1141-2		ɾ i ŋ b o						
1189-2		m a n						
1198-2		n o						
1208-2		z a l a n						
1217-2		l a ŋ i						
1253-2		a m a						
1271-2		n o a ŋ						
1289-2		m i ŋ						
1316-2		ŋ a ŋ						
1325-2		kʰ a m						
1334-2		s i ŋ b u						
1343-2		b u i n u ŋ						
1361-2		u e n a ŋ						
1370-2		n a g o ŋ						
1388-2		m a n b u						
1397-2		tʰ o ɾ						
1406-2		tʃ o ŋ						
1424-2		g a ɾ a ŋ p a ɾ						
1433-2		ʃ o g o						
1442-2		l a m						
1451-2		b tʃ a m						
1468-2		pʰ a k p u						
1477-2		ŋ a s						
1502-2		ŋ a m s o						
1511-2		m u d̪ j e ŋ m u						
1529-2		tʃ a l o						
1538-2		s o l o						
1557-2		tʃ o i tʃ o ŋ						
1618-2		i ŋ tʃ u						
1663-2		z o m						
1689-2		ŋ o i						
1698-2		kʰ o ŋ						
1707-2		m o ŋ n u ŋ						
1716-2		ŋ a m						
1742-2		m o g i						
