COGID	Amami	Hachijo	Kagoshima	Kochi	Kyoto	Miyako	Oki	Sado	Shuri	Tokyo
14-1	k u r ɨ									
18-1	ʔ a r i									
35-1	s i θ u r a									
36-1	h o θ a r a									
48-1	n u g u s u r i									
60-1	θ u r r i									
63-1	s i r a m i									
64-1	k u									
67-1	h u r a									
68-1	s u g r r i									
71-1	n j a θ a									
76-1	s u n a									
83-1	s ɨ n a									
87-1	h u mʲ u r a									
95-1	s i r i									
98-1	h u n a									
99-1	k u b i									
-102-1	s i b u r θ a									
103-1	s ɨ m a									
110-1	θ u									
116-1	m a b a n a									
120-1	s u s u r i									
132-1	k i b u r i									
139-1	ʔ θ u r u s u r									
140-1	ʔ u r u r i									
156-1	ʔ i g a r i i									
168-1	ʔ u kʲ i r a									
169-1	h u s i									
170-1	m u r i									
173-1	ʔ u m i									
180-1	k u m a									
185-1	h a r a									
186-1	m u r a r i									
187-1	s u b a									
190-1	ʔ u tɕ a s a r i									
193-1	k i r u r i									
194-1	s i r a s a r i									
195-1	k u r a s a r i									
216-1	m a r u s a i r i									
221-1	n u									
239-1	ʔ u i									
252-1	s u b i									
253-1	j u r u									
254-1	ʔ u θ u r a									
266-1	x u x a									
267-1	n i g a r a r u r i									
268-1	k u m i									
272-1	ʔ a m a r r									
276-1	ʔ u r u r u r i									
281-1	n u s r i									
304-1	ts u s u i i a									
305-1	ʔ ʔ θ a									
308-1	s ɨ n a									
309-1	k u m a									
310-1	θ u									
311-1	n a g r ɨ									
342-1	j u b i									
346-1	k u r a s a r i									
347-1	k i r u r i									
348-1	h i r a s u r i									
351-1	ʔ u s a r i									
361-1	ʔ a n r u s a r i									
379-1	x u s a r ɨ a i									
394-1	h i s u r ɨ									
395-1	s i ɴ a r i									
400-1	h i g a r u r i									
412-1	s i g a r u r i									
413-1	ʔ i ts b a s a r u r i									
414-1	h u r u r i									
422-1	h u k ɨ r u r u r i									
423-1	ʔ ɨ r g u r u r i									
430-1	h u θ u r i									
435-1	h u b u r i									
446-1	s i s a s r r a									
447-1	ʔ a u r a r ɨ									
458-1	ʔ u m u									
56-1	h a θ u									
62-1	ʔ i r i									
70-1	ʔ a m a									
96-1	n ɨ									
101-1	s θ a									
14-2		k o r a								
18-2		k u r a								
35-2		h a k o a								
36-2		h a b a a								
48-2		h a g u kʲ u								
60-2		k o r u kʲ a								
63-2		h i r u m a								
64-2		k a								
67-2		h o a								
68-2		h e b								
71-2		m a								
76-2		h o r a								
83-2		k u r a								
87-2		h e s a a								
95-2		s i m i								
98-2		h a m a								
99-2		k u k i								
-102-2		h i k a a a m a								
103-2		k i m a								
110-2		k a								
116-2		h ts a m a								
120-2		h o s u								
132-2		k i k u								
139-2		k o r a s a								
140-2		i r a u								
156-2		o g u r u u								
168-2		h u k kʲ a								
169-2		h o m a								
170-2		m i k a								
173-2		i m a								
180-2		k u m a								
185-2		h a kʲ a								
186-2		h o a r u								
187-2		m u k a								
190-2		e k a kʲ a a								
193-2		k i r u a								
194-2		s i r u kʲ u								
195-2		k u r u kʲ u								
216-2		m a r u a								
221-2		h a kː a								
239-2		o d a								
252-2		m i k u								
253-2		j o k a								
254-2		i k u a								
266-2		k u m a								
267-2		h a u r a r u								
268-2		o m u								
272-2		i m a u								
276-2		u r u kʲ u								
281-2		m o s u kʲ a								
304-2		h u r a r kʲ a								
305-2		k k a k a								
308-2		h u r a								
309-2		k u m a								
310-2		k a								
311-2		h a								
342-2		j i k a								
346-2		k u r a kʲ a								
347-2		k i r u								
348-2		h i r u kʲ u								
351-2		o kʲ u								
361-2		a k b o s a a								
379-2		k u s u a a								
394-2		h i t a r a								
395-2		m i dʑ a								
400-2		h i b a r u								
412-2		h i k o r u								
413-2		t u b a a u								
414-2		h o r u								
422-2		h o k a u r a r u								
423-2		k u r g o a r u								
430-2		h o k u								
435-2		h u b u								
446-2		h i b a a								
447-2		a e a a								
458-2		k o m u								
56-2		k o k a								
65-2		k a r o								
70-2		k a r a								
75-2		k k a a o								
14-3			k a							
18-3			k a							
35-3			s o t e a							
36-3			h a e							
48-3			n e g e							
60-3			k e r							
63-3			s i ɴ a							
64-3			k e							
67-3			h s a							
68-3			n e k o							
71-3			i a							
76-3			h ui a							
83-3			ui a							
87-3			h e k a							
95-3			m i							
98-3			h a i n a							
99-3			k i							
-102-3			s i k o a							
103-3			k ui a							
110-3			k a							
116-3			h a							
120-3			n a i							
132-3			k i							
139-3			k u o							
140-3			i j e							
156-3			i e o							
168-3			e k e							
169-3			h o i a							
170-3			m a a							
173-3			i a							
180-3			k ui							
185-3			h e a							
186-3			m o e							
187-3			m ui							
190-3			e k a							
193-3			k i j e							
194-3			s i m a							
195-3			k o r a							
216-3			m a i							
221-3			n a k							
239-3			a a							
252-3			m i a							
253-3			j a a							
254-3			a i a							
266-3			k a i w a							
267-3			n i z e e							
268-3			i m							
272-3			a m e							
276-3			e i a u							
281-3			n o a							
304-3			k e k k o a							
305-3			k a a							
308-3			h ui a							
309-3			k ui							
310-3			t a							
311-3			n a i							
342-3			j i							
346-3			k i r							
347-3			k i e							
348-3			h i r e							
351-3			t i							
361-3			n i o							
379-3			k o s e u a ɴ							
394-3			h i k e							
395-3			s e g i							
400-3			h i u r a							
412-3			s i							
413-3			t e							
414-3			h o							
422-3			h e j u							
423-3			k a e e							
430-3			h a e							
435-3			h a							
446-3			s i k i ɴ a							
447-3			o k							
458-3			k o a							
56-3			k o e							
62-3			a o							
65-3			k a							
70-3			k a a							
75-3			k k a tɕ							
96-3			m a							
101-3			h							
14-4				k u r e						
18-4				k a r a						
35-4				h o t u k a						
36-4				h a t a a						
48-4				n i t a u						
