COGID	Amami	Hachijo	Kagoshima	Kochi	Kyoto	Miyako	Oki	Sado	Shuri	Tokyo
14-1	k ɨ r i									
18-1	k ɨ r o									
35-1	s g u s a									
36-1	θ a r a									
48-1	n a ɴ s u r i									
60-1	θ o r r o									
63-1	s ɨ ɴ a n a									
64-1	k ɨ									
67-1	s i a									
68-1	n a g r r i									
71-1	u j a a									
76-1	s ɨ n a									
83-1	ts ɨ n a									
87-1	s a ɴ u r a									
95-1	s ɨ n u									
98-1	s a ɴ a									
99-1	x ɨ r u									
-102-1	s a b u r i a									
103-1	ts ɨ n a									
110-1	θ u									
116-1	m a b u n a									
120-1	n a θ u r i									
132-1	x a b u r i									
139-1	ʔ a θ ɨ r u r u r									
140-1	ʔ a a r i									
156-1	ʔ a g ɨ r i i									
168-1	ts ɨ b i r a									
169-1	s a ɴ u									
170-1	m u r u									
173-1	ʔ ɨ n u									
180-1	x ɨ r a									
185-1	s ɨ ts u									
186-1	m u r u r o									
187-1	m u x a									
190-1	ʔ a tɕ a s a r o									
193-1	k a r u r i									
194-1	k a r u s a r i									
195-1	k a r u s a r i									
216-1	m a r u s a i r i									
221-1	n a x o									
239-1	ʔ a u									
252-1	m u u									
253-1	m ɨ a									
254-1	ʔ a tɕ u r a									
266-1	x a x o									
267-1	n a g r u r u r i									
268-1	ʔ ɨ n a									
272-1	ʔ a ts a r									
276-1	ʔ a r u r u r i									
281-1	m a s r u									
304-1	ts ɨ s u i i a									
305-1	ʔ ʔ ɴ a									
308-1	s ɨ n a									
309-1	x ɨ n a									
310-1	θ u									
311-1	n a g r a									
342-1	n ɨ x a									
346-1	x a r u s u r i									
347-1	k a r u r i									
348-1	h a r s u r i									
351-1	θ a b u r i									
361-1	ʔ a kː r a s u r o									
379-1	x u s u r ɨ u i									
394-1	n a s a r a									
395-1	n a ɴ a r u									
400-1	h a g a r u r i									
412-1	s a g ɨ r u r i									
413-1	ʔ i ts b u s u r u r i									
414-1	a u r i									
422-1	n a k ɨ r i r u r a									
