COGID	Amami	Hachijo	Kagoshima	Kochi	Kyoto	Miyako	Oki	Sado	Shuri	Tokyo
14-1	k u r i									
18-1	ʔ a r ɨ									
35-1	o tɕ u s i									
36-1	h u k a r i									
48-1	n a g a s a r i									
60-1	θ u r r i									
63-1	s aː r a r i									
64-1	k ɨː									
67-1	h h i									
68-1	n ɨː u r r i									
71-1	n j a θ i									
76-1	h u n i									
83-1	ts u n a									
87-1	h u r u θ i									
95-1	n u m i									
98-1	h u ɴ i									
99-1	k u b i									
-102-1	s aː b r θ i									
103-1	ts u m i									
110-1	m ɨː									
116-1	m u b a n i									
120-1	h u r u r i									
132-1	k i x u r i									
139-1	ʔ θ u r u s i r									
140-1	ʔ ɨː r u r i									
156-1	θ e b e r i i									
168-1	h u k i r i									
169-1	h u s i									
170-1	n u r i									
173-1	ʔ u s i									
180-1	k u m o									
185-1	h i r a									
186-1	n e r a r i									
187-1	n u k i									
190-1	ʔ u tɕ a s a r i									
193-1	k i r u r i									
194-1	s i r a s a r i									
195-1	k u r a s a r i									
216-1	h u r u s a i r i									
221-1	n a u o									
239-1	ʔ i ɴ i									
252-1	n u tɕ i									
253-1	j u k i									
254-1	ʔ i ts u r i									
266-1	x a a θ i									
267-1	s e g ɨ r u r u r i									
268-1	ʔ u s i									
272-1	ʔ a kː u r a									
276-1	ʔ a r e s u r i									
281-1	m u s i r i									
304-1	h u s u i θ i									
305-1	ʔ j θ i									
308-1	h a n i									
309-1	k u s i									
310-1	θ u									
311-1	n a u ɨ									
14-2		k o r i								
18-2		k a r a								
35-2		h a t a i								
36-2		h a k a i								
48-2		h a g a kʲ a								
60-2		k i r a								
63-2		s a r a r a								
64-2		k i								
67-2		h o a								
68-2		h u b								
71-2		i								
76-2		h a m e								
83-2		h u m a								
87-2		h a r a								
95-2		m i m i								
98-2		h a n a								
99-2		k u k i								
-102-2		s i b a a a d a								
103-2		k a m a								
110-2		t								
116-2		h ts a n e								
120-2		h o r u								
132-2		h i k u								
139-2		k u r a s i								
140-2		w i r a u								
156-2		t a k a r u a								
168-2		h u k kʲ a								
169-2		h u s i								
170-2		h i k i								
173-2		o m i								
180-2		k u m a								
185-2		h i a								
186-2		h a a r a								
187-2		m i k i								
190-2		a k u kʲ a a								
193-2		k i r u a								
194-2		s i r a kʲ a								
195-2		k u r a kʲ a								
216-2		h i r u kʲ a a								
221-2		h a kː r u								
239-2		i k i								
252-2		h i k i								
253-2		j o k a								
254-2		i ts u i								
