COGID	MonpaBalemu	MonpaDirang	MonpaDirangDum	MonpaKalaktang	MonpaNamsu	MonpaSangti	MonpaTembang	MonpaTomko
10-1	tʃ a ŋ							
37-1	m a ŋ							
46-1	m a ŋ							
98-1	kʰ a ŋ d a ŋ a							
125-1	b o a a ŋ r a							
162-1	l a m s u							
171-1	tʃ a m p a							
219-1	tʃ a ŋ p a							
247-1	tʃ a ŋ l u							
282-1	l u ŋ p u							
292-1	kʰ a ŋ							
301-1	l i							
354-1	m a m t̪ a a							
363-1	ŋ a m p a							
397-1	kʰ a m p a							
406-1	kʰ a m u ŋ							
426-1	m u k p a							
473-1	b i ŋ tʃ a ŋ							
499-1	ŋ a m a ŋ							
526-1	kʰ a ʃ a							
544-1	kʰ u							
553-1	k o tʃ a ŋ							
599-1	g o ŋ d a ŋ							
608-1	b a ŋ p a							
617-1	l a ŋ							
645-1	a m a							
663-1	s o ŋ tʰ u r							
672-1	tʃ o ŋ p a							
681-1	n i ŋ i							
690-1	m i ŋ							
708-1	d̪ a ɾ a ŋ m a							
717-1	tʃ a k p a							
726-1	s i							
744-1	a g a							
782-1	m i							
791-1	ŋ a							
800-1	ŋ a							
809-1	ŋ a m n a ŋ							
836-1	b s i							
881-1	l a m							
10-2		tʃ u ŋ						
37-2		m a ŋ						
46-2		m a ŋ						
98-2		kʰ a ŋ tʃ i l a						
125-2		b o n i ŋ ɾ a						
162-2		l a a s i						
171-2		kʰ a m b a						
219-2		d a ŋ p a						
247-2		tʃʰ a ŋ l u ŋ						
282-2		l u ŋ p u						
292-2		kʰ a ŋ						
301-2		l i						
354-2		ŋ a m a a i						
363-2		ŋ a m b a						
397-2		kʰ a m d a						
406-2		kʰ a u						
426-2		m u k p a						
473-2		b i ŋ tʃ a ŋ						
499-2		ŋ a m a ŋ						
526-2		g a ʃ a						
544-2		kʰ u						
553-2		g o tʃ a ŋ						
599-2		g o i d a ŋ						
608-2		b a ŋ p a						
617-2		l e ŋ						
645-2		a ŋ a						
663-2		s o ŋ tʰ u ŋ						
672-2		d o ŋ p a						
681-2		n i ŋ i						
690-2		m i ŋ						
708-2		d̪ a m ɾ i ŋ b u						
717-2		tʃʰ u k p u						
726-2		s i						
744-2		a a						
782-2		m a						
791-2		ŋ a						
800-2		ŋ a						
809-2		ŋ a m n a ŋ						
836-2		b s i						
881-2		l a m						
10-3			tʃʰ u ŋ					
37-3			m a n					
46-3			m a n					
98-3			kʰ a ŋ tʃ a l a					
125-3			b o a a ŋ ɾ a					
162-3			l a m s a					
171-3			tʃ a m p a					
219-3			d a ŋ p a					
247-3			d a ŋ l u ŋ					
282-3			l a ŋ p u					
292-3			kʰ a ŋ					
301-3			l i					
354-3			ŋ a m b a tʃ i					
363-3			ŋ a m b a					
397-3			kʰ a m p a					
406-3			kʰ a u					
426-3			m a k p a					
473-3			b i ŋ tʃ a ŋ					
499-3			ŋ a m a ŋ					
526-3			g a ŋ j a					
544-3			kʰ u					
553-3			g o tʃ a ŋ					
599-3			g o i p a m					
608-3			b a n p a					
617-3			l u ŋ					
645-3			a ŋ a					
663-3			s o ŋ tʰ u ŋ					
672-3			d o ŋ p a					
681-3			n i ŋ i					
690-3			m i n					
708-3			tʃ a ŋ n a ŋ b u					
717-3			g a k p u					
726-3			s i					
744-3			a j a					
782-3			m a					
791-3			ŋ a					
800-3			ŋ a					
809-3			ŋ a m n a ŋ					
836-3			b j s i					
881-3			l a m					
10-4				tʃʰ u ŋ				
37-4				ŋ a n				
46-4				ŋ a n				
98-4				kʰ a ŋ tʃʰ i l a				
125-4				b o n a ŋ ʋ a				
162-4				l a m s u				
171-4				kʰ a m p a				
219-4				g a ŋ p a				
247-4				tʃʰ i ŋ n u ŋ				
282-4				l u ŋ p u				
292-4				kʰ u m				
301-4				l i				
354-4				m a m tʃʰ a a				
363-4				ŋ a m p u				
397-4				kʰ a m p i				
406-4				kʰ a m u ŋ				
426-4				m a k p a				
473-4				b i ŋ tʃʰ a ŋ				
499-4				z a m a n				
526-4				g a ɕ a				
544-4				kʰ u				
553-4				k o tʃ a ŋ				
599-4				tʃʰ a ŋ tʃʰ a m				
608-4				kʰ a n p a				
617-4				l a n				
645-4				a m a				
663-4				s o ŋ tʰ u r				
672-4				d o ŋ p a				
681-4				n i m i				
690-4				m i n				
708-4				tʃʰ a n z i ŋ m a				
717-4				d a k p a				
726-4				z i				
744-4				a kʰ a				
782-4				m a				
791-4				ŋ a				
800-4				ŋ a				
809-4				m a m n a ŋ				
836-4				b s i				
881-4				l a m				
10-5					tʃ u ŋ			
37-5					m a ŋ			
46-5					m a ŋ			
98-5					kʰ a ŋ tʃ i ŋ a			
125-5					b o l a ŋ ɾ a			
162-5					l e m s u			
171-5					dʒ a m b a			
219-5					g a ŋ p a			
247-5					tʰ o ŋ l u ŋ			
282-5					l u ŋ p u			
