COGID	dutch	english	french	german
1469-1	z ɑ n d			
2047-1	z oː n			
2054-1	d ɔ n d r r			
1375-1	l ɪ x t			
760-1	w ɪ n d			
756-1	s n aː			
726-1	m ɔ d ə r			
1351-1	x r ɛɪ n d v v l ə r			
1353-1	x r ɛɪ n + m ɔ t ə r			
412-1	v w eː ɣ ə r + v ɑ l ə r			
406-1	z w eː ɣ r r + m ɔ t ə r			
1005-1	s t iː p + v ɑ d ə r			
1012-1	s t iː p + m ɔ t ə r			
1016-1	w ɪ d w ə r			
1069-1	ɪ k			
509-1	v ɛ l ə			
693-1	m ɑu p l t iː			
2179-1	n eː s t			
1753-1	v ɪ s x			
1131-1	w ɔ l f			
1198-1	b ɑ r d			
2032-1	h ɔ r			
2241-1	n aː z			
2244-1	l ɪ p			
610-1	k n			
945-1	h ɛ r t			
1534-1	l ɛ k ə			
384-1	z oː ɣ ə			
1650-1	n ɔ s			
1663-1	z ɑ l t			
2279-1	l ɛɪ n ə n			
471-1	z ɛɪ ə			
1385-1	z ɛɪ d			
792-1	j ɔ k			
1111-1	m ɑ s t			
197-1	z uː d ə			
2020-1	l ɑ ŋ			
867-1	h ɔ n d ə r d			
1970-1	v ɑu l			
1230-1	d r ɪ t			
2017-1	n øː w			
968-1	w ɛ l t			
1674-1	l ɑ n t			
1671-1	h øː ɣ ə l			
829-1	k l ɪ p			
1025-1	w ɑ t ə r			
1027-1	z aː			
1832-1	r oː w			
-1816-1	oː s eː aː			
-335-1	l ɑ x uː n			
1043-1	s t r oː m			
1469-2		s æ n d		
2047-2		s ʌ n		
2054-2		d uː n d r r		
1375-2		l ɪ tʃ d		
760-2		w aɪ n d		
756-2		s n eɪ v		
726-2		m ʌ d ə r		
1351-2		ɡ r ʌ t f v ɑː d ə r		
1353-2		ɡ r ʌ t + m ʌ d ə r		
412-2		ʃ w aɪ n + r əʊ l ɑː		
406-2		ʃ w aɪ n + r + m ʌ		
1005-2		s t iː f v f d		
1012-2		s t iː p + m ʌ d ə r		
1016-2		w aɪ d ɔː		
1069-2		ɪ k		
509-2		f iː l		
693-2		m iː l æ d ə		
2179-2		n ɛ s t		
1753-2		f ɪ ʃ		
1131-2		w ɔ l v		
1198-2		b ɑː r t		
2032-2		h ʌ r n		
2241-2		n ɔ s		
2244-2		l ɪ p		
610-2		k n d		
945-2		h ɑː r t		
1534-2		l ɪ k		
384-2		s aɪ n		
1650-2		n ʌ t		
1663-2		s əʊ l		
2279-2		l aɪ n		
