COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
52-1	t e ʔ									
56-1	u m e ʔ									
96-1	a t a n									
99-1	r a k o n									
114-1	t o k									
115-1	t u k u									
133-1	t i p a r a t									
144-1	t a w a k									
150-1	k a w									
234-1	k o m									
236-1	p a k o n									
241-1	a w i n									
249-1	i tʃ e									
1-1	w a ʔ									
2-1	m o m									
65-1	i w i ʔ									
74-1	p a n a									
52-2		t e t i								
56-2		u m e								
96-2		a r a i s i								
99-2		b r e t o n								
114-2		t e k i s i								
115-2		i t i s i								
133-2		t u p r a s i								
144-2		t r a w a n a s i								
150-2		k a w								
234-2		k o m								
236-2		p i k i n								
241-2		a w i n								
249-2		i s e								
74-2		p a n a ʔ								
93-2		t u p r e s i								
95-2		a k i s i								
52-3			e tʃ e							
56-3			m e							
96-3			a t i tʃ e							
99-3			a r i k o							
114-3			t o k o tʃ e							
115-3			i j a d i tʃ e							
133-3			t p a t i							
144-3			a r i w a tʃ e							
150-3			k a w							
234-3			k o m							
236-3			p a k o n							
241-3			a w i n							
249-3			i tʃ e							
1-3			w a tʃ a							
2-3			w a e m e m							
65-3			a w i ʔ							
93-3			t u p a r a tʃ e							
95-3			k o h o tʃ i							
52-4				t e						
56-4				u m e ʔ						
96-4				t a n						
99-4				j r a k o n						
114-4				t u k						
115-4				j u r u						
133-4				t i p a r a t						
144-4				t a t						
150-4				k a w						
234-4				k o m						
236-4				p o k o n						
241-4				a w i n						
249-4				i s						
1-4				w a						
2-4				m						
65-4				i w						
74-4				p a n a						
93-4				t u p a t						
95-4				w a k						
52-5					t e					
56-5					y m e					
96-5					t i m					
99-5					y r e n					
114-5					t i k i s i					
115-5					i j i t i s i					
133-5					t i p a r a s i					
144-5					t r a w r i s i					
150-5					k a w					
234-5					k o m					
236-5					p i k i n					
241-5					a w i n					
249-5					i s e					
1-5					w a t a					
2-5					m o m					
65-5					i w i					
74-5					p a n a ʔ					
93-5					t o p a r i s i					
95-5					w i k i s i					
52-6						t e i				
56-6						u m i tʃ i				
96-6						a r i tʃ i				
99-6						a r i k a h u				
114-6						t u k u tʃ i				
115-6						j a i tʃ i				
133-6						t i p a r a tʃ i				
144-6						t a i t a t a tʃ i				
150-6						k a w				
234-6						k u m				
236-6						p e k e n				
241-6						a w i n				
249-6						i tʃ e				
1-6						w a				
2-6						m				
65-6						i w a				
74-6						p a n a ʔ				
93-6						t u p a tʃ i				
95-6						u k i tʃ i				
52-7							i t i			
56-7							u m i			
96-7							a z a t i			
99-7							w a r i k o n			
114-7							t u k			
115-7							w i j a h u			
133-7							t i p a t o			
144-7							t r a w a n a			
150-7							k a w			
234-7							t o m			
236-7							p e s o r o			
241-7							e w i n			
249-7							i ʃ i			
1-7							w a z a t			
2-7							t aː h o n			
65-7							i w i ʔ			
74-7							p a n a			
93-7							t u p a t o			
95-7							v i k i ʃ i			
52-8								t e		
56-8								i m e		
96-8								t r a i s i		
99-8								b r e t o		
114-8								t e k i s i		
115-8								y r e s i		
133-8								t u p r a s i		
144-8								t r a w a s i		
150-8								k a w		
234-8								k o m		
236-8								p i k o n		
241-8								a w i n		
249-8								i s e		
1-8								w a t a		
2-8								i h m		
65-8								i w i		
74-8								p a n a ʔ		
93-8								t u p a r i		
95-8								y k i r i		
52-9									e t i ʔ	
56-9									e m i ʔ	
96-9									t a r a j i ʃ i ʔ	
99-9									a r i k a n	
114-9									t i k i ʃ i ʔ	
115-9									i r i j i ʃ i ʔ	
133-9									t i p a r a ʃ i ʔ	
144-9									t a r a w a n e ʃ i ʔ	
150-9									k a w	
234-9									k u m	
236-9									p i k i n	
241-9									a w i n	
249-9									i ʃ e	
1-9									w a r a	
2-9									u m a j o	
65-9									i w i	
74-9									p a n a ʔ	
93-9									t o p a r a ʃ i ʔ	
95-9									i w i k i ʃ i ʔ	
52-10										t e t i ʔ
56-10										m i ʔ
96-10										t a r i ʔ
99-10										t y r y
114-10										t o k o tʃ i ʔ
115-10										r o tʃ i ʔ
133-10										t a r a p a tʃ i ʔ
144-10										t a r a j i tʃ i ʔ
150-10										k a w
234-10										k o m
236-10										p i k i n
241-10										a w i n
249-10										tʃ i ʔ
1-10										w a tʃ a
2-10										m o m
65-10										w i tʃ i ʔ
74-10										p a n a ʔ
93-10										t o p a r i tʃ i ʔ
95-10										k o k o tʃ i ʔ
