COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
52-1	t a									
56-1	m a									
96-1	t a k									
99-1	r a k o									
114-1	t o k									
115-1	t u o tʃ									
133-1	t u p a tʃ									
144-1	t a tʃ									
150-1	k a w									
234-1	k o m									
236-1	p a k o n									
241-1	a w									
249-1	tʃ a									
1-1	w a t a									
2-1	m									
65-1	w									
74-1	p a n a									
106-1	t o m									
128-1	w o k									
147-1	t u m									
231-1	p a k o									
232-1	p i o									
239-1	n a m a k									
266-1	tʃ m									
51-1	o w									
97-1	m a k o m									
109-1	p u tʃ									
121-1	k a p i k a tʃ									
149-1	t o k									
160-1	k									
163-1	o p a n									
167-1	p a									
207-1	m									
259-1	t o a									
66-1	r a k a w									
134-1	a t									
139-1	m a k o									
142-1	p a r a m a tʃ									
145-1	r a t a tʃ									
148-1	t r a w									
162-1	j n									
166-1	m									
179-1	t a									
201-1	p a									
21-1	t a w									
24-1	t o k									
50-1	n a									
57-1	t o k a w									
84-1	p i w a n									
91-1	m a k o n									
131-1	t o k a d									
151-1	k w									
154-1	o									
192-1	t o t									
197-1	t u m									
205-1	p a k									
227-1	w a t o									
246-1	i w i									
251-1	w a n a									
271-1	tʃ u w									
285-1	r a w n									
75-1	p i j o m									
79-1	t a n									
104-1	k a h o r									
153-1	tʃ a k									
157-1	t a r a m									
174-1	p r o									
240-1	t a m a k									
270-1	k a w									
52-2		a								
56-2		m e								
96-2		a r a s								
99-2		r a o								
114-2		o k o tʃ i								
115-2		r o s								
133-2		p a r a p								
144-2		a r a s								
150-2		k a								
234-2		k o m								
236-2		p a k o								
241-2		a								
249-2		tʃ e								
74-2		p a								
93-2		a r a p								
95-2		a s								
106-2		i tʃ e								
119-2		p a s i								
128-2		h o k o								
147-2		w i tʃ e								
231-2		a o e								
232-2		p i u u								
239-2		a j a								
266-2		p i								
51-2		e								
55-2		h a m								
97-2		w a h o n								
121-2		p a k a tʃ i								
163-2		j e n								
167-2		p a								
259-2		o a								
66-2		r a k a w								
112-2		t a r a p								
116-2		t o p a s								
125-2		k a m a tʃ i								
135-2		k u tʃ e								
139-2		a o s o								
142-2		p a r a m a tʃ i								
148-2		r a w a s i								
162-2		e j								
166-2		m i								
179-2		a								
45-2		h o r a m a								
84-2		p i w a j								
131-2		a u w i								
146-2		k i m a s a								
154-2		w e								
192-2		t o t								
197-2		r e m								
235-2		s o								
237-2		n a m a j								
246-2		i w i								
250-2		r o p a k e								
267-2		o w a								
39-2		n a m a r a m								
42-2		t a r a m								
44-2		a w a j a m								
75-2		i p e w a j								
94-2		k o r e s i								
122-2		p a r o k o								
52-3			t i							
56-3			m i							
96-3			r a s i							
99-3			r i r a							
114-3			tʃ i s i							
115-3			j r i s i							
133-3			t i p a r i							
144-3			n a r a s i							
150-3			k a w							
234-3			k o m							
236-3			p a k o ɲ							
241-3			a w i							
249-3			i s							
1-3			w a s a							
2-3			w i j a m							
65-3			i w i s i							
93-3			tʃ a r i s i							
95-3			n i k i							
106-3			tʃ i ɲ i tʃ i							
119-3			j a i tʃ i							
128-3			p i tʃ i							
147-3			tʃ i m i tʃ i							
231-3			p a ɲ a o							
232-3			p i j o							
239-3			n a m a k a n							
266-3			p i tʃ i							
3-3			i r a k o							
4-3			w a r i							
55-3			h a m							
109-3			i p i j i s i							
121-3			k a p a j a tʃ i							
149-3			tʃ i k							
160-3			k i r i k							
207-3			m i							
112-3			tʃ r a i tʃ i							
125-3			k a tʃ i k a ɲ							
134-3			t i j a p a tʃ							
135-3			tʃ i k i tʃ i							
139-3			m i s i							
57-3			t i k o w a k							
71-3			m i							
131-3			t i k o i j i							
146-3			i k i j a s i							
227-3			j a p i r o							
132-3			k i tʃ e							
240-3			t i j a k							
52-4				t a						
56-4				m a						
96-4				t a tʃ i						
99-4				a r a						
114-4				t o k o tʃ						
115-4				t u r a						
133-4				t i p a tʃ i						
144-4				a w i						
150-4				k a w						
234-4				k o m						
236-4				p a k o n						
241-4				a w i						
249-4				tʃ i						
1-4				w a t a						
2-4				w o m						
65-4				a w i						
74-4				p a n a						
93-4				t a p a tʃ i						
95-4				j i tʃ i						
106-4				t i tʃ i						
119-4				a tʃ i tʃ i						
128-4				p i tʃ i						
147-4				t i m						
231-4				p a i o						
232-4				p i o						
239-4				n a m a k						
266-4				p i t						
3-4				a i k o						
4-4				w a r a						
51-4				j i						
97-4				t a m a s i						
109-4				p a tʃ i						
121-4				k a p i k a tʃ i						
149-4				t o k						
160-4				a k						
163-4				p i n						
167-4				p a						
207-4				m i						
259-4				t o a						
