COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
52-1	t i t									
56-1	u m									
96-1	t a s a									
99-1	a t a n									
114-1	t u k									
115-1	t u k									
133-1	t a s a r a									
144-1	a t a s a									
150-1	k a w									
234-1	k o m									
236-1	p a k o n									
241-1	a w i n									
249-1	u tʃ									
1-1	w a t a									
2-1	w i m									
65-1	u w ʔ									
74-1	p a n a									
106-1	t u n a w									
128-1	p u k									
147-1	t u m									
231-1	a n a o									
232-1	u p e j i									
239-1	n a m a k a n									
266-1	p i t									
51-1	u w									
97-1	t a m a k									
109-1	u p a tʃ									
121-1	k a p a k									
149-1	t o k									
160-1	k i z k									
163-1	u p a n									
167-1	t a p									
207-1	m i									
259-1	t o w a									
66-1	k a r a k a n									
134-1	n a t i n									
139-1	u m a n									
142-1	p a t r a m a n									
145-1	k a t r a z i ʔ									
148-1	t a s a w a n									
162-1	i n									
166-1	u m									
179-1	t a k									
201-1	p i									
21-1	t a n a k									
24-1	p a r a k									
50-1	i n a									
57-1	t a k a w a n									
84-1	p i w a n									
91-1	m a k o n									
131-1	t u k									
151-1	k i w ʔ									
154-1	w i									
192-1	t o t									
197-1	t a s a m									
205-1	p a n									
227-1	p a t o									
246-1	i w ʔ									
251-1	w a n a									
52-2		t e a								
56-2		o m e								
96-2		a t a r a								
99-2		r a t i r i m a n								
114-2		t o k								
115-2		o r a s i								
133-2		t a s a r a n a s i								
144-2		a r a p a s i								
150-2		k a w								
234-2		k o m								
236-2		p i k i n								
241-2		a n								
249-2		i s e								
74-2		p a n a								
93-2		t o r a p a n								
95-2		a i s i								
106-2		t i n i s i n								
119-2		p i s i k i n i s i								
128-2		p i s i k i n								
147-2		t i m i k i n i s i								
231-2		p a n a a o n								
232-2		p i p i o								
239-2		p a m a k a n								
266-2		p a s i m								
51-2		o e								
55-2		h a m								
97-2		t a m i k o n								
121-2		k a p a ã								
163-2		o p i n								
167-2		t a								
259-2		t o a								
66-2		k a r a k a								
112-2		t a r a p i s i								
116-2		t o p a k a s i								
125-2		k a t i m a n								
135-2		t i k i p i n i s i								
