COGID	MonpaBalemu	MonpaDirang	MonpaDirangDum	MonpaKalaktang	MonpaNamsu	MonpaSangti	MonpaTembang	MonpaTomko
2053		u n tʃ u		ŭ n tʃʰ a m				
134	dʒ a p							dʒ a p
1860	ŋ a m	ŋ a m	ŋ a m	ŋ a m	ŋ a m	ŋ a m	ŋ a m	ŋ a m z i ɾ
347	m u m t̪ o k l o m			m u m t̪ o k l o m				
2110	a l o				a l o	ʔ a l o		
66			z a m i ŋ			z a m i n		z a m i n z i m b u
1603		r a	r a		ɾ u	r a	ɾ u	
581		d u i p a	d u i p a		d u i p a	d u i p a	d u i p a	
1879	tʃʰ e r tʃʰ e r			tʃʰ e r tʃʰ e r				
1069	tʃʰ o ŋ	tʃ o ŋ z a	tʃ o w a ŋ z a	tʃʰ o ŋ d a z a	tʃ o w a ŋ	tʃ o w a ŋ z a	tʃ o w a ŋ	tʃ o w a ŋ
1271	n o w a ŋ	n o w a ŋ	n o a ŋ	n o a ŋ	n o w a ŋ	n o w a ŋ	n o w a ŋ	n o a ŋ
2747	ɲ i ŋ	ɲ i ŋ	n i ŋ tʰ u ɾ	ɲ i ŋ	ɲ i ŋ	ɲ e ŋ t̪ʰ u r	ɲ i ŋ	n i ŋ tʰ u ɾ
2416						z i k a n		z i g p a n
2462		d̪ a ŋ kʰ u				d̪ a m k u	d a ŋ kʰ ə n	tʰ a ŋ m a n
864		g o ŋ			g o ŋ			
2473				z i g tʃʰ a m	z e i kʰ e n		z e i kʰ e n	z i g p a n
2498	l e k aː l o	l e k a ʔ a n z u		l e k a ă n tʃʰ a m	l e k aː l o	l e k a ʔ a l o		
1150	s o ŋ o		z o ŋ a		s o ŋ a	s o ŋ a	s o ŋ a	
873		pʰ u ŋ b e	pʰ u ŋ b e		pʰ u ŋ b e	pʰ u ŋ b e	pʰ u ŋ b e	
1585			l a m	l a m			l a m	
2507	tʰ ĭ n u ŋ	tʰ ĭ n u ŋ	tʰ ĭ n u ŋ	t e n o ŋ	tʰ ĭ n u ŋ	t̪ i n u ŋ	tʰ ĭ n u ŋ	tʰ ĭ n u ŋ
1618	i ŋ tʃ a	i ŋ tʃ a	i ɲ tʃʰ a	i ɲ tʃʰ a	i n tʃ a	i ŋ tʃ a	i n tʃ a	i ɲ tʃʰ a
2699	tʃ a i t a ŋ p u			t a ŋ p u				s a p tʃ a t a ŋ p u
