COGID	Bankan_Tey	Ben_Tey	Bunoge	Jamsay	Mombo	Najamba	Nanga	Penange	Perge_Tegu	Tebul_Ure	Tiranige_Diga	Togo_Kan	Tommo_So	Toro_Tegu	Yanda_Dom	Yorno_So
715-1	dʒ u n															
1089-1	dʒ aː m a															
1319-1	dʒ ɔ r̃															
1398-1	s u r u uː uː															
1557-1	dʒ i r ɛ															
1626-1	w̃ aː w a															
1840-1	t i n uː															
2247-1	dʒ u n															
4677-1	k u r e j															
5162-1	i uː ɛ															
5406-1	t aː n z uː															
359-1	dʒ a r i															
1577-1	dʒ i r ɛ															
2196-1	dʒ a r̃ a															
2230-1	s u ɛ															
2533-1	b a r z i															
3605-1	k a d a															
3866-1	dʒ oː s uː															
4553-1	t aː n u z u															
4822-1	k u m b oː															
5254-1	z u r a															
503-1	k i n ɛ															
1356-1	a j̃ a															
1881-1	z u m u j̃															
3218-1	z ɔː n uː s uː															
3372-1	dʒ a w a															
3718-1	g a r a															
4135-1	b a n a w															
4694-1	z u s uː z uː															
807-1	k oː m b															
2320-1	k a n ɛ															
2476-1	k u n uː															
3719-1	m b															
4081-1	dʒ a m b z i															
4313-1	dʒ ɛ m ɛ															
4460-1	s u j̃ a															
5810-1	dʒ i n d ɛ															
93-1	dʒ ɔ															
260-1	b i n r e															
385-1	z ɛ m b ɛ n															
890-1	r a m b e r u															
1336-1	t e n e															
1703-1	b aː n															
1769-1	t ɛ m b uː															
2162-1	b ɛ r ɛ															
2635-1	s ɛ															
3031-1	dʒ ɛ n ɛ															
4591-1	k e r i															
5301-1	g ɛ r u															
5605-1	t i w ɛ j̃															
463-1	r u m b u															
1432-1	t a r i															
1474-1	t u n oː															
1788-1	s aː r̃ u															
2044-1	dʒ i m b eː															
2713-1	t e m u ɛ i d ɛ r ɛ															
3219-1	dʒ s a															
3425-1	j u															
4184-1	ɲ ɛ j̃ m															
4629-1	z u uː w ɔ															
4759-1	dʒ ɔː uː j̃ i															
4904-1	dʒ z u w ɔ															
4960-1	dʒ i n uː oː															
4980-1	t ɔ n															
5059-1	g u r oː															
5339-1	dʒ aː n a															
5549-1	t a w z a															
5905-1	t i n uː															
5922-1	b a a															
5938-1	dʒ a z n a ɔ															
1-1	dʒ ɛ															
483-1	dʒ e s uː															
629-1	dʒ ɔ n															
667-1	ɛ w̃ ɛ															
1254-1	s u n z u r uː															
1415-1	ɲ ɛ															
1542-1	dʒ u															
1683-1	s ɛ uː ɛ															
1898-1	k u n u j															
2901-1	t u n uː															
2957-1	a uː z i															
3048-1	b i j ɛ															
3251-1	dʒ a r a															
3885-1	dʒ ɔ r ɔ															
4402-1	j i															
5622-1	k e r i j ɛ j															
6006-1	r i n a															
135-1	t u n d uː															
158-1	m b ɔ s u															
194-1	b ɛ n															
221-1	ɛ s uː															
650-1	b ɛ s u															
1152-1	t i w ɛ															
1374-1	k o r ɔ															
1452-1	g aː r a															
1862-1	i s u															
2083-1	k a m d u															
