COGID	ClassicalNahuatl	JalupaNahuat	MecayapanNahuat	NorthPueblaNahuatl	PajapanNahuat	Pipil	Pochutec	ProtoAztecan	TetelcingoNahuatl
1-1	m o tʃ i								
2-1	tɬ e k + tɬ								
8-1	w eː j i								
16-1	j e s + tɬ i								
24-1	i s + t i								
32-1	m i k								
51-1	t i n + k i								
52-1	w aː k + t i k								
53-1	n a k s a + tɬ								
54-1	tɬ aː l								
55-1	k w a								
60-1	i x + t o l								
1-2		m u tʃ i							
2-2		t e x + t e x + t							
8-2		w e j i							
16-2		j e s + t i							
24-2		i s + t							
32-2		m i k							
51-2		u n e							
52-2		w a k u							
53-2		n a k a s + t							
54-2		t a l							
55-2		k w a							
60-2		i x + t u l							
1-3			m o tʃ i						
2-3			k o + t eː x + t i						
8-3			w eː j i						
16-3			j e s + t i						
24-3			i s + t						
32-3			m i k						
51-3			i n + i						
52-3			w aː k + t i k						
53-3			n a k s a ʔ						
54-3			t aː l						
55-3			k w a						
60-3			i x + t o l						
1-4				m o tʃ i					
2-4				tɬ e + tɬ e x + tɬ i					
8-4				w e j i					
16-4				j e s + tɬ i					
24-4				i s + tɬ					
32-4				m i k					
51-4				o n + i					
52-4				w a k + t i k					
53-4				n a k a s + tɬ i					
54-4				tɬ a l i					
55-4				k w a					
60-4				i x + t o l					
1-5					m o tʃ i				
2-5					t e x + t eː x + t				
8-5					w eː j i				
16-5					j e s + t i				
24-5					i s t				
32-5					m i k				
51-5					o n + i				
52-5					w aː k				
53-5					n a g a s + t				
54-5					t aː l				
55-5					b a				
60-5					i x + t o l				
1-6						m u tʃ i			
2-6						t e x + t eː x + t			
8-6						w eː j i			
16-6						j e s + t i			
24-6						i s t i			
32-6						m i k			
51-6						u n i			
52-6						w a k u			
53-6						n a k			
54-6						t aː l			
55-6						k w a			
60-6						i x + t u l u			
1-7							m o tʃ i		
2-7							k w e + t		
8-7							w e j		
16-7							j e s + t		
24-7							i s t		
32-7							m i k		
51-7							n + k		
52-7							w e k + t		
53-7							n e k s e + t		
54-7							t a l		
55-7							k w e		
60-7							i x + t o l		
1-8								m o tʃ ɨ	
2-8								tɬ ɨ + tɬ ɨ x + tɬ	
8-8								w eː j ɨ	
16-8								j ɨ s + tɬ ɨ	
24-8								ɨ s + tɬ	
32-8								m ɨ k	
51-8								o n ɨ + k	
52-8								w a k + t ɨ + k	
53-8								n a k s a + tɬ	
54-8								tɬ a l ɨ	
55-8								k w a	
60-8								ɨ x + t ɨ l	
1-9									m o tʃ iː n
2-9									n e x + tɬ i
8-9									w e j e
16-9									j e s + tɬ iː
24-9									iː s + tɬ
32-9									m iː k
51-9									t e n + i
52-9									w ø k + t o k
53-9									n a k a s
54-9									tɬ ø l iː
55-9									k w ø
60-9									i x + t o l o
