COGID	ChorbatBalti	KhapaluBalti	KharmangBalti	RonduBalti	ShigarBalti	SkarduBalti	SkarduPurki
709-1	g o o						
522-1	o r̪ l̪ d o ŋ						
514-1	m i k						
464-1	s̪ n̪ ɑ						
1020-1	r̪ ɜ ʊ s̪ u l						
1355-1	s̪ o						
1464-1	l̪ tɕ ɑ						
302-1	b r̪ ɜ ŋ						
237-1	l̪ t̪ ŋ ɑ						
205-1	p r̪ ɜ ŋ s̪ ɑ						
1089-1	l ɜ ŋ ɑ ɑ						
804-1	g ɜ ŋ m ɑ						
1263-1	d̪ ɜ x p ɑ						
286-1	ȵ u s̪ p ɑ						
717-1	s̪ n̪ i ŋ						
269-1	r̪ ɜ k						
1512-1	ɾ tɕ i n̪						
555-1	gʲ ɜ q p ɑ						
751-1	n̪ ɜ ŋ						
439-1	ɾ g o						
601-1	ɕ ɪ ŋ						
320-1	t̪ʰ gʲ ɜ ŋ m ɑ						
1106-1	b u k s̪						
693-1	h ɜ t̪ o ŋ ɑ						
221-1	s̪ t̪ ɜ ɑ ɑ						
1199-1	d̪ ɜ q p ɑ						
1424-1	s̪ k u t̪ p ɑ						
904-1	l o t̪						
1273-1	s̪ n̪ ɑ m						
1323-1	s̪ k ɜ ʊ m ɑ						
1127-1	tɕʰ ɜ ɜ s̪ ɑ						
1529-1	tɕ u						
1175-1	ɾ gʲ ɜ m tθ o						
383-1	s̪ i ɑ						
820-1	l o k						
1636-1	ɾ r̪ u ŋ						
1331-1	õ ɾ d ŋ ɑ						
1097-1	l ɜ m						
1223-1	b ɜ ŋ ɑ						
592-1	m ɑ						
1290-1	d̪ u t̪ p ɑ						
669-1	s̪ ɛ ɑ						
1472-1	s̪ t̪ ɑ x s̪ ɪ						
788-1	l o ŋ ɑ						
1191-1	ɾ ɜ m p ɑ						
626-1	ȵ ɜ n̪ d o k						
844-1	ɑ m						
879-1	tɕ ɑ						
1151-1	pʰ r̪ ɛ s̪						
1119-1	ɑ l u						
365-1	s̪ ȵ ɛ ɜ m ɑ						
1480-1	j u ŋ						
653-1	s̪ g o k p ɑ						
1081-1	d̪ o ŋ						
1448-1	kʰ ɑ n̪ ɛ n̪						
1029-1	ɾ ɑ ɾ						
863-1	ɕ ɑ						
539-1	d̪ ɑ l						
610-1	ŋ ɑ						
350-1	t̪ʰ ɜ ŋ s̪ o						
871-1	o m ɑ						
734-1	ɾ ŋ ɑ						
431-1	kʰ i						
1298-1	ɜ u l						
929-1	t̪ʰ ɜ ŋ tθ i						
1315-1	ts̪ ɜ x s̪ k ɛ n̪						
964-1	ȵ ɜ n̪ m ɜ x						
836-1	m i						
1644-1	t̪ʰ k ʊ s̪ t̪ r̪ i n̪						
547-1	ɜ t̪ ɑ						
1048-1	k ɜ k ɑ						
1692-1	o n̪ o						
1306-1	pʰ u						
405-1	b o ŋ o						
294-1	pʰ u						
661-1	b o ŋ o						
413-1	z̪ ɛ k						
996-1	d̪ ɜ n̪						
1012-1	t̪ r̪ o b ɛ ɑ						
181-1	ʑ i t̪ o						
1660-1	g u n̪ d ɑ						
1440-1	d̪ i r̪ i ŋ						
1652-1	l o						
1037-1	s̪ ȵ i ŋ m ɑ						
677-1	l ɜ x m o						
