COGID	Bankan_Tey	Ben_Tey	Bunoge	Jamsay	Mombo	Najamba	Nanga	Penange	Perge_Tegu	Tebul_Ure	Tiranige_Diga	Togo_Kan	Tommo_So	Toro_Tegu	Yanda_Dom	Yorno_So
715-1	dʒ u															
1089-1	n a m a															
1319-1	n ɔ															
1398-1	s u r u															
1557-1	z i r e															
1626-1	w a w a															
1840-1	t i r u															
2247-1	g o															
4677-1	k u r e j															
5162-1	m i r ɛ															
5406-1	t aː n u															
359-1	dʒ a r i															
1577-1	z i r e															
2196-1	n a r a															
2230-1	s i															
2533-1	b a r i															
3605-1	k a n a															
3866-1	o s u															
4553-1	t a a															
4822-1	k u m b o															
5254-1	d u r ɔ															
503-1	k i r ɛ j̃															
1356-1	m a j̃ a															
1881-1	n u m u j̃															
3218-1	d u s u															
3372-1	n a m a															
3718-1	a r a															
4135-1	b a r a w															
4694-1	g u s u															
807-1	k o m b iː															
2320-1	k a ɛ															
2476-1	k u															
3719-1	m iː															
4081-1	d a m b i															
4313-1	n ɛ m															
4460-1	s u j̃ ɔ															
5810-1	p i d ɛ															
93-1	d ɔ															
260-1	b i n r e															
385-1	z ɛ m b ɛ															
890-1	a m b e r u															
1336-1	t e e															
1703-1	b o															
1769-1	t ɛ m b u															
2162-1	b ɛ r ɛ															
2635-1	s o															
3031-1	dʒ ɛ ɛ															
4591-1	k e r i															
5301-1	dʒ ɛ r u															
5605-1	t i m ɛ j̃															
463-1	d u m b u															
1432-1	t a r iː															
1474-1	t u															
1788-1	s iː															
2044-1	g i m b e															
2713-1	t e m ɛ d ɛ r ɛ															
3219-1	d aː s a															
3425-1	j u															
4184-1	n ɛ j̃															
4629-1	n u w ɔ															
4759-1	n iː j̃ i															
4904-1	n u w ɔ															
4960-1	z i n aː z o															
4980-1	t ɔ															
5059-1	g u r o															
5339-1	p a a															
5549-1	t a w a															
5905-1	t i r u															
5922-1	b iː r a															
5938-1	a u u n ɔ															
1-1	dʒ ɛ															
483-1	g e s u															
629-1	dʒ ɔ															
667-1	ɛ w ɛ															
1254-1	s u r u															
1415-1	ɲ ɛ															
1542-1	n u															
1683-1	s e															
1898-1	p u r u j															
2901-1	t u g u															
2957-1	m a n i															
3048-1	b i j e															
3251-1	d a r a															
3885-1	dʒ ɔ r ɔ															
4402-1	j i															
5622-1	dʒ e r i j e j															
6006-1	p i r a															
135-1	t u n d u															
158-1	m ɔ s u															
194-1	b ɛ j̃															
221-1	ɛ s u															
650-1	b ɛ s i															
1152-1	t i w ɛ															
1374-1	k ɔ r ɔ															
1452-1	g aː r a															
1862-1	i s i															
2083-1	k a w r iː															
2108-1	n a j̃															
2636-1	m															
2924-1	p o															
2941-1	b i r iː															
3405-1	ɛ m ɛ j̃															
3751-1	dʒ e															
4066-1	g o r ɔ															
4535-1	s u w ɔ															
4888-1	s a m n a															
5583-1	d a g iː															
5751-1	t i j ɛ															
5981-1	a r a															
114-1	d ɔ j̃ a															
851-1	d u															
1941-1	k iː e															
2179-1	n i															
2351-1	p a a															
2496-1	n u															
3482-1	d i z i e e															
3497-1	d g a															
3588-1	k o r o															
4202-1	g o r u e e															
4293-1	d															
4921-1	s a m b a															
408-1	d e m b iː															
545-1	d r iː															
978-1	t a m															
1052-1	n aː m b u															
1070-1	d u u															
1942-1	d e															
2456-1	k ɔ d i															
2514-1	d u z iː															
2666-1	s i j iː															
2817-1	a g i															
3132-1	d u g u															
3300-1	ɛ w e															
3976-1	d o o o															
4152-1	k iː r a e															
4361-1	t e e															
4570-1	t o w															
4648-1	j e															
5318-1	d															
5673-1	z e r e															
5887-1	j a m															
446-1	g o n o r o															
521-1	k a u															
1108-1	k j ɔ															
1124-1	i r															
1745-1	z a j a															
1823-1	g o															
2143-1	b a															
2265-1	u r ɔ															
2392-1	d o s u															
2579-1	d o															
2774-1	k a u u															
3339-1	k a r a															
3550-1	i n i r̃ e															
4024-1	d i a															
4219-1	dʒ e o e															
4240-1	w e r i															
4259-1	k															
4738-1	g o n g a															
5197-1	ɛ r i															
5447-1	g iː e															
5531-1	i r̃ u															
5733-1	n iː															
5828-1	d a u															
562-1	s u m															
998-1	d															
1022-1	d i n i															
1023-1	d u															
1205-1	j e															
1275-1	t u															
1578-1	n u m															
2063-1	i r ɛ															
2334-1	e iː															
2798-1	u r̃ ɛ j̃															
3252-1	d m b e															
3463-1	d u a															
715-2		tʃ u j e														
1089-2		n a g i														
1319-2		n ɔ g i														
1398-2		s u g n														
1557-2		tʃ i r i														
