COGID	Duhumbi	Jerigaon	Khispi	Khoina	Khoitam	Rahung	Rupa	Shergaon
1-1	g a							
5-1	n ɛi							
4-1	tʰ ɛ k							
6-1	n a ŋ							
15-1	dʑ i							
55-1	l ɔ							
56-1	a							
60-1	ɕ ɛi							
61-1	kʰ u ŋ							
80-1	dʑ ɔ k							
87-1	tɕʰ a							
86-1	pʰ l ɔ							
92-1	pʰ a							
102-1	m ɛi							
106-1	pʰ ɔ k							
108-1	d u							
107-1	h a							
112-1	pʰ ɔ m							
115-1	ɕ							
114-1	t ɔ m							
120-1	t aˀ							
124-1	a							
125-1	tʰ ɔ k							
132-1	h i							
131-1	r i ŋ							
136-1	b u							
134-1	kʰ a k							
137-1	a							
138-1	d ɔ k							
140-1	j a w							
143-1	tɕʰ a k							
145-1	kʰ a m							
147-1	h ɔi							
149-1	w u t							
153-1	ɕ a							
152-1	kʰ ɛ n							
158-1	kʰ u t							
163-1	l i							
164-1	ɲ u							
167-1	pʰ a ŋ							
171-1	ɲ u ŋ							
172-1	b u k							
173-1	t ɔ n							
183-1	r ɛi							
185-1	m a							
188-1	kʰ u n							
189-1	ts u n							
193-1	h ɛi							
196-1	m au							
199-1	ɕ ɛi							
200-1	kʰ a n							
201-1	kʰ i							
202-1	kʰ ɔ							
203-1	tʰ ɔ ŋ							
204-1	b u							
206-1	ɲ a ŋ							
117-1	b u							
146-1	kʰ i p							
219-1	h ɛ							
218-1	kʰ ɛi							
224-1	m a ŋ							
240-1	ɕ a k							
244-1	w a t							
255-1	t a s							
260-1	b a							
263-1	r u							
269-1	dʑ ɛ ŋ							
271-1	tʰ a k							
209-1	kʰ i p							
277-1	m ɛ m							
278-1	b ɔ ŋ							
135-1	d ɛ							
284-1	m u							
797-1	a							
290-1	l u ŋ							
289-1	k i t							
296-1	n i							
310-1	ɕ i							
319-1	i							
325-1	r i							
327-1	tʰ e							
331-1	k u							
337-1	b ɛ ŋ							
338-1	ɲ i ŋ							
339-1	au							
350-1	kʰ u							
349-1	tʰ u ŋ							
357-1	tɕʰ aˀ							
355-1	a							
363-1	b a n							
361-1	tʰ ɛi							
365-1	ɕ a ɹ							
364-1	kʰ e							
375-1	r ɔ k							
379-1	ɕ ɛ t							
380-1	kʰ u							
396-1	j u							
400-1	m a							
405-1	d a ŋ							
404-1	ɕ ɔ m							
409-1	r ɛ k							
410-1	h u t							
415-1	b ɛi							
416-1	b u							
101-1	ɲ aˀ							
37-1	kʰ a							
424-1	pʰ ɔi							
434-1	ɕ ɛ n							
445-1	p ɛi							
446-1	ɕ i							
451-1	t aˀ							
457-1	n a m							
456-1	b r a							
464-1	pʰ i ŋ							
473-1	ɕ i							
474-1	ɔ ŋ							
479-1	ɕ ɛ n							
489-1	j i							
490-1	h au ŋ							
494-1	ɕ ɛi							
503-1	kʰ u							
502-1	ɕ a ŋ							
235-1	l u ŋ							
519-1	l i							
523-1	u k							
527-1	kʰ e							
538-1	ɕ							
544-1	w a m							
850-1	a							
554-1	b u							
553-1	d u n							
558-1	kʰ a m							
561-1	ɕ a							
562-1	p a							
564-1	j ɛi							
567-1	m a							
570-1	pʰ u							
575-1	u							
582-1	l ɛi							
585-1	a t							
589-1	kʰ ɔ m							
593-1	d ɛ n							
594-1	l u ŋ							
595-1	tʰ u ŋ							
596-1	ɲ a k							
598-1	ʑ aˀ							
599-1	d ɛ m							
602-1	ʑ ɛi							
603-1	l a p							
606-1	ɕ ɔ m							
605-1	b a							
620-1	l ɛi							
637-1	pʰ a k							
639-1	dʑ u							
645-1	kʰ ɔ							
646-1	r j ɛ ŋ							
168-1	h ɛ k							
658-1	h ɔ n							
665-1	pʰ a							
668-1	h a							
677-1	t a ŋ							
75-1	k ɔ ŋ							
678-1	ɕ a							
682-1	m ɛ n							
493-1	ʑ u							
693-1	ɕ u							
694-1	m a							
702-1	tsʰ u m							
704-1	m a							
176-1	l a							
709-1	s a m							
710-1	t ɔ p							
714-1	m a t							
718-1	kʰ a							
719-1	tɕʰ a m							
22-1	m u							
723-1	tɕʰ i n							
726-1	b ɛ ŋ							
729-1	b ɔ							
730-1	t i							
739-1	p i							
740-1	b u							
741-1	kʰ ɔ p							
744-1	a							
743-1	h ɛ n							
746-1	pʰ ɔ ŋ							
748-1	d i							
747-1	kʰ u							
749-1	kʰ ɛ n							
751-1	t au n							
762-1	m ɛ n							
764-1	h ɛ n							
765-1	b i							
788-1	h ɛ m							
615-1	l a k							
803-1	ɕ u							
802-1	w a k							
808-1	b a							
809-1	ts i							
819-1	d u k							
821-1	ɕ u							
820-1	b a							
828-1	ɕ a k							
827-1	p u							
835-1	h a							
308-1	d u							
844-1	ʑ i							
848-1	m u							
705-1	l a							
613-1	a							
649-1	h ɛ k							
876-1	ɕ au							
878-1	j ɔ m							
889-1	h a m							
898-1	n u t							
902-1	h a ŋ							
910-1	ɛ n							
916-1	l i							
919-1	r i							
922-1	ɕ i t							
930-1	ɕ u							
933-1	k i							
939-1	d i k							
947-1	w ɛ n							
948-1	n aˀ							
963-1	ʑ a							
967-1	tɕʰ u t							
969-1	ɕ a							
970-1	kʰ ɔ k							
972-1	n i							
731-1	m u							
973-1	dʑ i n							
974-1	h a s							
979-1	dʑ au n							
182-1	kʰ u							
993-1	n i							
994-1	j u							
1001-1	s ɔ							
1002-1	d ɔ k							
1005-1	tɕʰ u n							
1009-1	kʰ au							
1022-1	ɕ u							
1021-1	j k							
1043-1	w ɔ ŋ							
1049-1	t ɛi							
1065-1	kʰ i ŋ							
1068-1	w u							
1077-1	l u ŋ							
1081-1	r a ŋ							
1084-1	h i ŋ							
1092-1	m ɛi							
1091-1	tɕʰ u							
1096-1	n ɛi							
1097-1	dʑ u							
1102-1	ɲ ɔi							
1104-1	tʰ ɔ n							
1108-1	tɕʰ a k							
552-1	dʑ a							
1111-1	b ɛi							
1116-1	ɕ au n							
722-1	kʰ au							
1141-1	j u ŋ							
1147-1	b u							
1146-1	z u							
1150-1	h a ŋ							
1151-1	ɔ m							
1158-1	h a k							
1159-1	pʰ a							
1164-1	tʰ a							
1163-1	l a							
1167-1	s a ŋ							
1171-1	l ɔi							
1177-1	tɕʰ u							
1187-1	kʰ au							
1189-1	ɲ i t							
52-1	kʰ a							
1195-1	ʑ i							
1203-1	tʰ u p							
1211-1	j u							
329-1	w a							
1217-1	m a ŋ							
72-1	kʰ a							
1218-1	tɕʰ i k							
1222-1	tɕʰ ɔ ɹ							
1229-1	dʑ a m							
1238-1	d a ŋ							
1249-1	ɲ i							
1252-1	j a							
1254-1	n ɛi m							
1253-1	ɕ u ŋ							
1257-1	k a ɹ							
1263-1	dʑ u							
1266-1	dʑ a k							
584-1	t ɔ m							
7-1	w ɔi							
1191-1	l a ŋ							
13-1	tɕʰ a							
18-1	b i							
33-1	n a m							
74-1	t a							
81-1	ɕ a n							
83-1	m i t							
89-1	tʰ ɔ ŋ							
90-1	ʑ a p							
123-1	tɕʰ i							
122-1	kʰ ɔ s							
121-1	m a							
154-1	tɕʰ u							
159-1	ɕ ɛi							
161-1	kʰ i							
170-1	g ɛ t							
91-1	a							
181-1	n u							
186-1	dʑ u							
191-1	ɕ ɛi							
217-1	k a							
221-1	n u							
252-1	ts ɛ n							
253-1	ɹ a m							
261-1	b u							
262-1	j u							
281-1	ts ɛ t							
287-1	h ɛ n							
288-1	l a							
292-1	d ɔ							
297-1	kʰ ɔ k							
311-1	k i							
332-1	b a							
358-1	j ɔ ŋ							
366-1	k ɛi							
378-1	tɕʰ a t							
382-1	m ɔi							
392-1	dʑ ɔ k							
397-1	b a							
471-1	m a ŋ							
477-1	d u							
478-1	r u							
481-1	dʑ a p							
483-1	ʑ ɛ n							
511-1	kʰ ɔ							
525-1	tɕʰ i							
542-1	dʑ ɔ ŋ							
638-1	n a ŋ							
656-1	ʑ ɛ							
657-1	d ɔ ŋ							
659-1	d a							
711-1	tɕʰ ɔ							
745-1	n ɛi m							
818-1	tʰ e							
825-1	d ɛ							
839-1	tɕʰ ɛi							
841-1	j a							
894-1	b ɹ u							
932-1	ɕ i							
936-1	l e							
943-1	pʰ a k							
965-1	d u ŋ							
1039-1	s u ŋ							
1044-1	a							
1076-1	kʰ ɛi							
1126-1	tʰ ɛ t							
1131-1	pʰ a							
1132-1	tɕʰ a p							
1166-1	d e							
1175-1	ɕ i n							
944-1	t u ŋ							
1199-1	tɕʰ ɔ ŋ							
1256-1	tɕʰ u ŋ							
1282-1	d u							
1283-1	j u							
30-1	m au n							
32-1	p a							
59-1	m au n							
68-1	a							
69-1	l a ŋ							
82-1	pʰ ɛ t							
88-1	dʑ i k							
100-1	ʑ au n							
116-1	w a k							
142-1	z ɛ k							
155-1	kʰ a ŋ							
268-1	tsʰ u							
285-1	tɕʰ a m							
315-1	l a							
318-1	j u							
406-1	l a							
421-1	j ɛ t							
436-1	ts i							
515-1	b u							
516-1	d u k							
524-1	z u m							
545-1	pʰ i							
566-1	kʰ ɛ k							
579-1	dʑ ɔ ŋ							
587-1	ts u p							
597-1	ɕ ɛ							
166-1	l a k							
644-1	j ɔ ŋ							
687-1	n ɛi							
733-1	t ɔ ŋ							
738-1	tsʰ ɛ t							
755-1	h ɛ m							
1-2		g uː						
5-2		n ɛː						
4-2		tʰ ɛ k						
6-2		n a ŋ						
