COGID	Duhumbi	Jerigaon	Khispi	Khoina	Khoitam	Rahung	Rupa	Shergaon
1-1	g a							
5-1	n a							
4-1	tʰ ɛ k							
6-1	n a ŋ							
15-1	dʑ i							
55-1	l ɔ							
56-1	a							
60-1	s ɛ							
61-1	kʰ u ŋ							
80-1	dʑ ɔ k							
87-1	tɕʰ a							
86-1	pʰ l u							
92-1	pʰ l u							
102-1	m aː							
106-1	pʰ ɔ k							
108-1	d u							
107-1	h a							
112-1	pʰ ɔ m							
115-1	s							
114-1	tʰ u ŋ							
120-1	d u							
124-1	a							
125-1	tʰ ɔ k							
132-1	s ə							
131-1	r i ŋ							
136-1	b u							
134-1	kʰ a k							
137-1	a							
138-1	d ɔ k							
140-1	h uː							
143-1	tɕʰ a k							
145-1	tɕʰ a m							
147-1	h aː							
149-1	m i k							
153-1	s							
152-1	kʰ ɛ n							
158-1	kʰ i k							
163-1	l i							
164-1	ɲ yː							
167-1	pʰ a ŋ							
171-1	ɲ u ŋ							
172-1	b y k							
173-1	tʰ øː							
183-1	r aː							
185-1	m uː							
188-1	g u n							
189-1	ts i n							
193-1	h ɛ							
196-1	m ɔ̃ː							
199-1	s aː							
200-1	kʰ ɛ n							
201-1	kʰ i							
202-1	kʰ ɔ							
203-1	tʰ u ŋ							
204-1	b yː							
206-1	ɲ a m							
117-1	b yː							
146-1	kʰ ɔ p							
219-1	h w a							
218-1	tɕʰ aː							
224-1	m a ŋ							
240-1	tɕʰ a k							
244-1	w a t							
255-1	t ɔ̃							
260-1	b ɛ							
263-1	r ɔː							
269-1	dʑ ɛ k							
271-1	tʰ a k							
209-1	kʰ ɔ p							
277-1	m ɛ m							
278-1	b u ŋ							
135-1	d a							
284-1	m yː							
797-1	a							
290-1	l u ŋ							
289-1	k i k							
296-1	n i							
310-1	s i							
319-1	iː							
325-1	r ɛ							
327-1	tʰ ə							
331-1	k ɔː							
337-1	b ɛ n							
338-1	ɲ i ŋ							
339-1	ɔ̃ː							
350-1	kʰ ə							
349-1	tʰ u ŋ							
357-1	tɕʰ u							
355-1	a							
363-1	m a n							
361-1	tʰ ɔː							
365-1	s a ɹ							
364-1	g ɛ t							
375-1	r u k							
379-1	s ɛ t							
380-1	kʰ a							
396-1	j ɔː							
400-1	m uː							
405-1	d a ŋ							
404-1	s ɔ m							
409-1	r ɛ k							
410-1	i k							
415-1	b a							
416-1	b a							
101-1	ɲ u ŋ							
37-1	kʰ uː							
424-1	pʰ aː							
434-1	tɕʰ ɛ n							
445-1	p a							
446-1	s iː							
451-1	t u							
457-1	n a m							
456-1	b l a							
464-1	pʰ i ŋ							
473-1	tɕʰ i							
474-1	a ŋ							
479-1	s ɛ ɹ							
489-1	j a							
490-1	j ɔ̃ː							
494-1	s ə							
503-1	kʰ ə							
502-1	z a ŋ							
235-1	l u ŋ							
519-1	l i							
523-1	u k							
527-1	tɕʰ ɛ ŋ							
538-1	s							
544-1	j a m							
850-1	a							
554-1	dʑ ə							
553-1	r i n							
558-1	kʰ a m							
561-1	s a							
562-1	p a							
564-1	j aː							
567-1	m ɔ							
570-1	pʰ u							
575-1	ɔː							
582-1	l ɛ							
585-1	a							
589-1	kʰ ɔ m							
593-1	d ɛ n							
594-1	l u ŋ							
595-1	tʰ øː							
596-1	ɲ u k							
598-1	z u							
599-1	d i							
602-1	z aː							
603-1	l a p							
606-1	s u m							
605-1	b ɔ							
620-1	l ɛ							
637-1	pʰ a k							
639-1	dʑ ɔː							
645-1	kʰ ɔ							
646-1	r ɛ ŋ							
168-1	h ɛ k							
658-1	h a n							
665-1	pʰ uː							
668-1	h uː							
677-1	t a ŋ							
75-1	k u ŋ							
678-1	s uː							
682-1	m ɛ n							
493-1	z yː							
693-1	s ə							
694-1	m a							
702-1	tsʰ ɔ m							
704-1	m uː							
176-1	l uː							
709-1	s							
710-1	tʰ øˀ							
714-1	m e							
718-1	kʰ a							
719-1	tɕʰ a m							
22-1	m yː							
723-1	tɕʰ i ŋ							
726-1	dʑ ɛ ŋ							
729-1	b u							
730-1	r ɛ							
739-1	pʰ l i							
740-1	b a							
741-1	kʰ ɔ k							
744-1	a							
743-1	h ɛ n							
746-1	pʰ u ŋ							
748-1	tʰ i							
747-1	kʰ yː							
749-1	kʰ ɛ n							
751-1	t ɔ̃ː							
762-1	m ɛ n							
764-1	h ɛ n							
765-1	dʑ i							
788-1	h a m							
615-1	l a k							
803-1	s u							
802-1	w a k							
808-1	b a							
809-1	ts i							
819-1	d u k							
821-1	s u							
820-1	b a							
828-1	s a k							
827-1	p yː							
835-1	n ɛ							
308-1	r yː							
844-1	z i							
848-1	m ə							
705-1	l uː							
613-1	ə							
649-1	h ɛ k							
876-1	tɕ ɔ̃ː							
878-1	j u ŋ							
889-1	h ũː ŋ							
898-1	n y k							
902-1	h a ŋ							
910-1	ɛ n							
916-1	l iː							
919-1	r aː							
922-1	s i k							
930-1	tɕʰ ɔ							
933-1	k aː							
939-1	r ɛ k							
947-1	j ɛ n							
948-1	n u							
963-1	z uː							
967-1	tɕʰ u t							
969-1	s							
970-1	kʰ u k							
972-1	n a							
731-1	m yː							
973-1	dʑ i ŋ							
974-1	n ɔ̃							
979-1	dʑ ɛ n							
182-1	kʰ yː							
993-1	n a m							
994-1	j yː							
1001-1	s a							
1002-1	d u							
1005-1	tɕʰ yː							
1009-1	kʰ ɔː							
1022-1	s ə							
1021-1	j u k							
1043-1	w u ŋ							
1049-1	t aː							
1065-1	kʰ ĩː							
1068-1	j ɔː							
1077-1	l u ŋ							
1081-1	r a ŋ							
1084-1	h i ŋ							
1092-1	m ɐː							
1091-1	tɕʰ iː							
1096-1	n a							
1097-1	g yː							
1102-1	ɲ aː							
1104-1	tʰ øː							
1108-1	tɕʰ a k							
552-1	dʑ uː							
1111-1	b l a							
1116-1	s ɔ̃ː							
722-1	kʰ ɔː							
1141-1	j a ŋ							
1147-1	pʰ e							
1146-1	z ɔ							
1150-1	h a ŋ							
1151-1	u ŋ							
1158-1	kʰ a k							
1159-1	pʰ a							
1164-1	tʰ a							
1163-1	l uː							
1167-1	s a ŋ							
1171-1	l aː							
1177-1	z yː							
1187-1	kʰ ɐ̃ː							
1189-1	ɲ i k							
1-2		g uː						
5-2		n a						
4-2		tʰ i k						
6-2		n a ŋ						
15-2		dʑ i						
55-2		l ɔ						
56-2		a						
60-2		s ɛˀ						
61-2		kʰ y ŋ						
80-2		dʑ ɔ k						
87-2		tɕʰ ɐ						
86-2		pʰ l u						
92-2		pʰ l u						
102-2		m a						
106-2		pʰ u k						
108-2		d ə						
107-2		l a						
112-2		pʰ ɔ m						
115-2		s						
114-2		tʰ u ŋ						
120-2		d u						
124-2		a						
125-2		tʰ ɔ k						
132-2		s ə						
131-2		r i ŋ						
136-2		b ə						
134-2		kʰ ɐ k						
137-2		a						
138-2		d ɔ k						
140-2		h uː						
143-2		tɕʰ ɐ k						
145-2		tɕʰ ɔ̃ː						
147-2		h aː						
149-2		m i k						
153-2		s						
152-2		kʰ ɛ n						
158-2		kʰ y k						
163-2		r i						
164-2		n yː						
167-2		pʰ a ŋ						
171-2		n y ŋ						
172-2		b y k						
173-2		tʰ øː						
183-2		r aː						
185-2		m uː						
188-2		g ə						
189-2		tɕ i ŋ						
193-2		h ɛ						
196-2		m ɐ̃ː						
199-2		s aː						
200-2		kʰ ɛ n						
201-2		tɕʰ i						
202-2		kʰ						
203-2		tʰ u ŋ						
204-2		b yː						
206-2		n a m						
117-2		b yː						
146-2		tɕʰ eˀ						
219-2		h a						
218-2		tɕʰ aː						
224-2		m ɔ̃ː						
240-2		tɕʰ ɐ k						
244-2		j ɐˀ						
255-2		n ɐ̃						
260-2		b ɛˀ						
263-2		r ɔː						
269-2		dʑ ɛ k						
271-2		tʰ ɐ k						
209-2		tɕʰ eˀ						
277-2		m ə						
278-2		b u ŋ						
135-2		d ə						
284-2		m yː						
797-2		a						
290-2		l uː						
289-2		tɕ i k						
296-2		n ə						
310-2		s						
319-2		iː						
325-2		r ɛ						
327-2		tʰ aː						
331-2		k ɔː						
337-2		b a n						
338-2		n y ŋ						
339-2		ɐ̃ː						
350-2		kʰ						
349-2		tʰ y ŋ						
357-2		tɕʰ u						
355-2		a						
363-2		b a n						
361-2		tʰ ɔː						
365-2		s a ɹ						
364-2		dʑ ɛ ʔ						
375-2		r u k						
379-2		s ɛ ʔ						
380-2		kʰ a						
396-2		j ɔː						
400-2		m uː						
405-2		d a ŋ						
404-2		s ø n						
409-2		r ɛ k						
410-2		i k						
415-2		b a						
416-2		b a						
101-2		n u ŋ						
37-2		kʰ uː						
424-2		h aː						
434-2		tɕʰ ɛ n						
445-2		p						
446-2		s iː						
451-2		t u						
457-2		n a m						
456-2		b l uː						
464-2		pʰ i ŋ						
473-2		tɕʰ iː						
474-2		a ŋ						
479-2		s ɛ ɹ						
489-2		j ɐ						
490-2		h ɐ̃ː						
494-2		s ə						
503-2		g ə						
502-2		z a ŋ						
235-2		l y ŋ						
519-2		l iː						
523-2		u k						
527-2		tɕʰ ɛ ŋ						
538-2		s						
544-2		j a n						
850-2		a						
554-2		dʑ ə						
553-2		r i ŋ						
558-2		kʰ ɔ̃ː						
561-2		s a						
562-2		p ɐ						
564-2		j aː						
567-2		m ɔ						
570-2		pʰ yː						
575-2		ɔː						
582-2		l ɐ						
585-2		ɐˀ						
589-2		kʰ ø n						
593-2		d ɛ n						
594-2		l ə						
595-2		tʰ yː						
596-2		n ɔ						
598-2		z u						
599-2		d ɛ̃ː						
602-2		z aː						
603-2		r a						
606-2		s ə						
605-2		b ɔ						
620-2		l a						
637-2		pʰ ɐ k						
639-2		dʑ ɔː						
645-2		g ɔ						
646-2		r ɛ ŋ						
168-2		h ɛ k						
658-2		h a n						
665-2		pʰ uː						
668-2		h uː						
677-2		tʰ a ŋ						
75-2		k u ŋ						
678-2		s uː						
682-2		m ɛ n						
493-2		z yː						
693-2		s ə						
694-2		m uː						
702-2		tɕ ø n						
704-2		m uː						
176-2		l uː						
709-2		s						
710-2		tʰ øˀ						
714-2		m ɛ t						
718-2		kʰ						
719-2		tɕʰ ɔ̃ː						
22-2		m yː						
723-2		tɕ i ŋ						
726-2		dʑ ɛ ŋ						
729-2		b u						
730-2		r aː						
739-2		pʰ l iː						
740-2		b ə						
741-2		kʰ ɔ k						
744-2		a						
743-2		h ɛ n						
746-2		pʰ u ŋ						
748-2		tʰ y k						
747-2		kʰ yː						
749-2		kʰ ɛ n						
751-2		t ɐ̃ː						
762-2		m ɛ n						
764-2		h ɛ n						
765-2		dʑ i						
788-2		l y						
615-2		l ɐ k						
803-2		s u						
802-2		w ɐ k						
808-2		b y						
809-2		tɕ i						
819-2		d y k						
821-2		s ə						
820-2		b ɐ						
828-2		s ɐ k						
827-2		p yː						
835-2		n ɐ̃						
308-2		r yː						
844-2		z i						
848-2		m ə						
705-2		l uː						
613-2		ə						
649-2		h ɛ k						
876-2		tɕ ɐ̃ː						
878-2		j u ŋ						
889-2		h ũː ŋ						
898-2		n y k						
902-2		h ũː ŋ						
910-2		ɛ n						
916-2		r iː						
919-2		r aː						
922-2		s i k						
930-2		tɕʰ ɔ̃ː						
933-2		k aː						
939-2		r ɛ k						
947-2		w ɛ n						
948-2		n u						
963-2		z uː						
967-2		tɕʰ y k						
969-2		s						
970-2		kʰ u k						
972-2		n ə						
731-2		m yː						
973-2		dʑ i ŋ						
974-2		n ɐ̃						
979-2		tɕ ɐ̃ː						
182-2		kʰ yː						
993-2		n ə						
994-2		j yː						
1001-2		s ɔ						
1002-2		d u						
1005-2		tɕʰ yː						
1009-2		kʰ ɔː						
1022-2		s y						
1021-2		j u k						
1043-2		w u ŋ						
1049-2		t aː						
1065-2		tɕʰ ĩː						
1068-2		j ɔː						
1077-2		r y ŋ						
1081-2		r ɔ̃ː						
1084-2		h i ŋ						
1092-2		m ɛ						
1091-2		tɕʰ iː						
1096-2		n ə						
1097-2		dʑ yː						
1102-2		n aː						
1104-2		tʰ øː						
1108-2		tɕʰ ɐ k						
552-2		dʑ uː						
1111-2		b l ɐ						
1116-2		s ɐ̃ː						
722-2		kʰ ɔː						
1141-2		j ɔ̃ː						
1147-2		b ə						
1146-2		z ɔ						
1150-2		h a ŋ						
1151-2		u ŋ						
1158-2		h ɐ k						
1159-2		pʰ ɔ̃ː						
1164-2		tʰ						
1163-2		r uː						
1167-2		s a ŋ						
1171-2		l aː						
1177-2		z yː						
1187-2		kʰ ɐ̃ː						
1189-2		n i k						
1-3			g uː					
5-3			n a					
4-3			tʰ ɛ k					
6-3			n a ŋ					
15-3			dʑ i					
55-3			l ɔ					
56-3			a					
60-3			s ə					
61-3			kʰ y ŋ					
80-3			dʑ ɔ k					
87-3			tɕʰ a					
86-3			pʰ l u					
92-3			pʰ l u					
102-3			m a					
106-3			pʰ u k					
108-3			d u					
107-3			pʰ l a					
112-3			pʰ a m					
115-3			s					
114-3			tʰ u ŋ					
120-3			d u					
124-3			a					
125-3			tʰ ɔ k					
132-3			s ə					
131-3			r i ŋ					
136-3			m ə					
134-3			kʰ a k					
137-3			a					
138-3			d ɔ k					
140-3			h uː					
143-3			tɕʰ a k					
145-3			tɕʰ ũː					
147-3			h aː					
149-3			w i k					
153-3			s a					
152-3			kʰ ɛ n					
158-3			kʰ i k					
163-3			l i					
164-3			n yː					
167-3			pʰ a ŋ					
171-3			n y ŋ					
172-3			b y k					
173-3			tʰ øː					
183-3			r aː					
185-3			m uː					
188-3			g ə					
189-3			tɕ i ŋ					
193-3			h ɛ					
196-3			m ɔ̃ː					
199-3			tɕʰ aː					
200-3			kʰ a n					
201-3			tɕʰ i					
202-3			kʰ ɔ n					
203-3			tʰ u ŋ					
204-3			b yː					
206-3			n a m					
117-3			b yː					
146-3			tɕʰ iˀ					
219-3			pʰ a					
218-3			tɕʰ aː					
224-3			m a ŋ					
240-3			tɕʰ a k					
244-3			j ɐˀ					
255-3			n ɔ̃					
260-3			b ɛˀ					
263-3			r ɔː					
269-3			dʑ ɛ k					
271-3			tʰ a k					
209-3			tɕʰ ɛˀ					
277-3			m ɛ m					
278-3			b u ŋ					
135-3			d a					
284-3			m yː					
797-3			a					
290-3			l u ŋ					
289-3			tɕ i k					
296-3			n i					
310-3			s iː					
319-3			iː					
325-3			r ɛ					
327-3			tʰ aː					
331-3			k ɔː					
337-3			b ɛ n					
338-3			ɲ i ŋ					
339-3			ɔ̃ː					
350-3			kʰ ə					
349-3			tʰ y ŋ					
357-3			tɕʰ u					
355-3			a					
363-3			m a n					
361-3			tʰ u					
365-3			s a ɹ					
364-3			g ɛ ʔ					
375-3			r u k					
379-3			s ɛ t					
380-3			kʰ a					
396-3			j ɔ					
400-3			m uː					
405-3			d a ŋ					
404-3			s ø m					
409-3			r ɛ k					
410-3			i k					
415-3			b a					
416-3			b a					
101-3			n u ŋ					
37-3			kʰ uː					
424-3			pʰ aː					
434-3			tɕʰ ɛ n					
445-3			p u					
446-3			s iː					
451-3			t a					
457-3			n a m					
456-3			b l uː					
464-3			pʰ i ŋ					
473-3			tɕʰ iː					
474-3			a ŋ					
479-3			s ɛ n					
489-3			j a					
490-3			h ɔ̃ː					
494-3			s ə					
503-3			g ə					
502-3			z a ŋ					
235-3			l y ŋ					
519-3			l iː					
523-3			u k					
527-3			tɕʰ ɛ ŋ					
538-3			s					
544-3			j a m					
850-3			a					
554-3			dʑ ə					
553-3			r i ŋ					
558-3			kʰ ũː ŋ					
561-3			s a					
