COGID	Albanian	English	French	German	Latin
560-1	d e m				
438-1	d r				
1222-1	p ə				
353-1	p e r ə				
201-1	d a ʃ				
20-1	d j r r				
503-1	p ə r m				
957-1	d ə r				
728-1	d y r				
244-1	p e m				
289-1	d j θ r				
911-1	d ə d r r				
724-1	d r u r				
145-1	d j				
992-1	d j r				
1181-1	d e				
741-1	p e m				
1150-1	ʃ r u r				
585-1	d				
814-1	p e m r				
916-1	ɟ				
1079-1	p e d y				
630-1	d ə θ t				
343-1	p j t				
8-1	d r p r				
385-1	ʃ u r				
683-1	d ə ɟ				
650-1	ɟ a m				
612-1	p e m				
871-1	d r k m				
667-1	d r k r				
527-1	d y d r				
499-1	p ə y				
1029-1	p e r				
336-1	p ə r ɟ r				
198-1	d m				
164-1	ə ʃ t a o				
560-2		p ɪ			
438-2		g r			
1222-2		p r			
353-2		p ɪ ʃ			
201-2		p ɛ n f			
20-2		h ɛ d			
503-2		p ʊ l			
957-2		g			
728-2		h a f			
244-2		n ɪ r			
289-2		n ɪ l d			
911-2		w i s			
724-2		t r i s			
145-2		h w ai			
992-2		w i			
706-2		e r			
106-2		p ʊ d			
741-2		p ʊ h			
421-2		p l g m			
227-2		p ʊ t			
920-2		h ɪ r i			
1083-2		h ɪ r n			
1066-2		ɪ s			
1125-2		h ɛ p			
1197-2		p au θ r			
473-2		n ɪ r			
284-2		n ɪ s			
661-2		ai s			
701-2		r ʊ d			
315-2		r i θ			
1169-2		s i l			
1150-2		h ɪ r			
982-2		s ɪ ŋ			
987-2		s ɪ ɪ			
1055-2		s ɪ r i			
1130-2		s e ʃ			
433-2		s n			
625-2		s ɪ θ			
1186-2		p ɪ n			
416-2		w i			
1233-2		w i n			
884-2		w i r i			
1016-2		ɛ d p ɛ			
952-2		s			
78-2		o l au s			
514-2		g r i n			
116-2		o s			
188-2		p ɪ r n			
745-2		p i ə ə			
1100-2		f r i s d			
47-2		g r i			
111-2		h ɛ h			
1061-2		h ɛ ʃ			
24-2		n ɪ r d			
232-2		n ɪ n			
671-2		r ɪ ai d			
385-2		s i			
945-2		s ɪ m			
644-2		p ʊ d			
1041-2		s ɪ o			
492-2		θ ɪ n			
1209-2		p r ʃ			
527-2		w ɑ t ə			
14-2		g ɛ l v			
1-2		o l			
915-2		s ð d			
271-2		ə ʃ			
711-2		w ɑ t			
1112-2		o l ʊ d			
205-2		j r o s d			
