COGID	dutch	english	french	german
1469-1	z ɑ n d			
2047-1	z ɔ n			
2054-1	d + n d ə r			
1375-1	l ɪ x			
760-1	w ɛɪ n d			
756-1	s n			
726-1	m ɔ ə r			
1351-1	x r ɛɪ n n t ə r r			
1353-1	x r ɛɪ n t ə r ə r			
412-1	v v iː t ə r + n l ə r			
406-1	z x ɛɪ ɣ r r ə n l ə r			
1005-1	s t eː p f ɑ t ə r			
1012-1	s t eː p ə r ə r			
1016-1	w ɛɪ d ə ə r			
1069-1	ɪ ə			
509-1	v ɑ l			
693-1	m ɑ l l			
2179-1	n eː s t			
1753-1	v ɛɪ s			
1131-1	w ɔ l f			
1198-1	b iː r d			
2032-1	h ɔ r			
2241-1	n + t			
2244-1	l ɪ p			
610-1	k n ɛɪ			
945-1	h ɑ r			
1534-1	l ɛ k ə			
384-1	z oː k ə			
1650-1	n ɔ t			
1663-1	z ɑ l t			
2279-1	l ɛɪ n			
471-1	z l			
1385-1	z ɑ d ə			
792-1	j ɔ k			
1111-1	m ɑ s t			
197-1	z uː d ə			
2020-1	l ɑ ŋ			
867-1	h n d ə r d			
1970-1	v l l			
1230-1	d r d ə			
2017-1	n ɛɪ k			
968-1	w ɛ l d			
1674-1	l ɛɪ n d			
1671-1	h ɣ l			
829-1	k l ɪ p			
1025-1	w ɔ t ə r			
1027-1	z s			
1832-1	r oː w			
-1816-1	oː s ɛɪ aː n			
-335-1	l ɑ t oː n			
1043-1	s t r oː m m			
423-1	s t eː n			
2049-1	m ɛɪ n			
2062-1	s t ɔ r m			
2065-1	r aː n + ə + b oː x			
1368-1	s ɑ d ə			
1365-1	d oː ɛɪ			
754-1	r aː n			
768-1	w ɛ t ə r			
1211-1	v ɛɪ ə r			
106-1	m ɛɪ n			
-98-1	b eː b ɛɪ			
719-1	v ɑ t ə r			
1341-1	z oː n			
-2027-1	d ɑ t			
-2026-1	n eː v ə ɛɪ			
409-1	z oː ɛɪ r + z ɔ r			
402-1	d ɔ x t r r ɛɪ n l t ə r			
1014-1	s t eː p + d ɔ x t ə r			
1059-1	w iː r			
120-1	s t ɑ l			
2183-1	s t iː r			
2194-1	ɔ k s			
2199-1	k ɑ l l			
2197-1	s oː p			
1523-1	z oː			
1521-1	b ɔ k			
512-1	m m r aː			
2141-1	h uː n			
2147-1	x oː n t			
814-1	k r ɛɪ			
810-1	d oː v ə			
1755-1	h ɔ n t			
1758-1	m uː t			
1760-1	r ɛɪ t			
1620-1	v ɛɪ n			
1282-1	w ɑ l			
1136-1	v ɔ k s			
1309-1	l + s			
1307-1	n iː t			
1305-1	v l ɛɪ			
711-1	w ɔ s p ə			
1442-1	v l ɛɪ			
62-1	m œy k			
-73-1	m eː s k iː t			
1810-1	h ɪ d			
1805-1	v l ɛɪ s			
1813-1	h aː r r			
1811-1	b l ɔ d			
690-1	r iː p			
2177-1	h ɑ p			
246-1	oː t ə r + r ɑu			
249-1	oː p l ɛɪ d ə ɛɪ			
1506-1	n + z ə ə ə l l k			
2242-1	m uː ɛɪ t			
2245-1	t ɔ ŋ ə			
1196-1	d ɑ k			
2174-1	s x ɑ d ə r			
575-1	ə k t ə l ə			
603-1	ɛ l + ə + b oː x			
601-1	h n d			
615-1	v ɪ ŋ ə r r			
901-1	k l oː ə			
608-1	v t			
596-1	t			
937-1	b r r s t			
936-1	n aː v ə l			
646-1	l ɔ ŋ ə			
947-1	l iː v ə r			
1606-1	h ɛɪ p			
472-1	d n s ə			
1535-1	z w ɛ t			
1546-1	s p r k			
1959-1	s l aː p ə			
694-1	s n ɑ r			
1961-1	d r ɛɪ m ə			
323-1	l aː l ɪ ə			
1885-1	x r ɑ p			
2156-1	k r ɑ d ə l d			
1903-1	w n d ə			
525-1	z w ɛ l ɛɪ ŋ ŋ			
276-1	l ɑ l eː			
274-1	d oː p			
278-1	b l ɪ n d			
258-1	d ə ɔ d r r			
256-1	n eː k t ə			
383-1	ɛ t			
207-1	r ɛɪ p			
376-1	d r ɪ ŋ k k			
2009-1	oː v ə			
2003-1	k ɛ t ə l			
2024-1	p ə n			
1321-1	k oː p			
1976-1	t ɑ ŋ ə			
1243-1	m ɑ l k ɛɪ t			
1265-1	p iː l			
1261-1	z iː v ə			
655-1	b r eː d			
650-1	d eː k			
1532-1	k ɛɪ n ə			
-36-1	z oː p ə			
34-1	b oː n			
-1647-1	v ɛɪ x			
-1615-1	oː l l			
125-1	v ɑ t			
1659-1	h oː n iː			
1661-1	m eː l k			
1676-1	b ɔ t ə r			
480-1	d ə ɛɪ d r ɑ ɛ			
1466-1	k l ɛɪ + s			
2277-1	w ɔ l			
2271-1	v ɑ l t			
2293-1	l ɛɪ d ə r			
624-1	s p ə n ə			
628-1	s p ə n d ə l			
626-1	w iː v ə			
633-1	n eː d ə l			
1185-1	s uː t t ɛ k k r			
1179-1	h ɑ t			
2168-1	k ɑ m m			
1952-1	d ɔ r			
899-1	l ɛɪ d ə r			
922-1	b eː d			
-934-1	l ɑ m p ə			
916-1	t r ɔ f			
1726-1	v ɑ l d			
2108-1	p l uː			
1133-1	v ɔ r r			
2114-1	s p ɑ d ə			
1272-1	r ɛɪ			
1979-1	x r ɑ s			
1989-1	h aː j			
-2260-1	p l ɑ n t			
70-1	b ɔ k			
-89-1	v ɛɪ n + s t k			
-12-1	p ɛɪ p ə			
713-1	z ɑ p			
747-1	n eː t ə l			
308-1	d uː			
289-1	b ɪ n d ə			
1930-1	b r eː k			
1928-1	s p l ɛɪ t			
858-1	s t r ɛ k			
1577-1	h ɑ k ɛ n			
908-1	w ɔ s			
648-1	b ɔ r			
1855-1	d eː l l			
657-1	h ɑ m ə r			
2058-1	n aː x l			
949-1	s l ɛɪ k m			
1642-1	x l ɑ d			
1640-1	z ə l v ə r			
1633-1	ɛɪ v ə n			
1630-1	t ə n			
993-1	x l ɑ s			
-2121-1	r ɔ l			
1692-1	v ɑ l			
1694-1	d r ɔ p ə			
1062-1	z ɛ ŋ k k			
476-1	z w ə m ə			
1051-1	v l ɛɪ			
1075-1	b l aː z ə			
135-1	s l ɛɪ d ə			
-134-1	d ɑ n s			
1839-1	d eː + aː n			
1097-1	k uː r + ɛ k			
1777-1	v ɔ l			
1434-1	b r ɪ ŋ ə			
1417-1	l ɛɪ d ə			
1424-1	r ɛɪ d ə			
778-1	p ɑ t			
790-1	b r ʉ k			
1223-1	p ɑ d ə l			
1117-1	z aː x l			
1411-1	h aː v ə			
1407-1	h ɑ ɑ d ə			
1390-1	d ɪ ŋ ŋ			
2086-1	x iː v ə			
2082-1	k uː r ɔ + + k aː b			
576-1	z ɔ k			
579-1	v ɛɪ n d ə			
581-1	v ɛ k ə l ɛɪ r			
-1791-1	r ɛɪ k			
-225-1	p r ɛɪ s			
-2284-1	p l ɑ s			
1479-1	p ə ə			
847-1	h ɛɪ			
659-1	b ɔ t ə l			
860-1	m ɛɪ d ə l			
213-1	r ɛɪ t			
1286-1	v ɛ r			
1293-1	w ɛ s t			
474-1	d ə k			
467-1	d iː n			
1177-1	d iː p			
588-1	v l ɑ k			
584-1	h aː k k			
-1153-1	r n d			
700-1	t w ɛ l f			
875-1	d + z ə n			
1559-1	ɑ l			
1565-1	m uː r			
1968-1	h ɛ l f			
-350-1	p ɛ r r			
1478-1	b oː d ə			
1469-2		s æ n t		
2047-2		s ʌ n		
2054-2		d ʌ n r		
1375-2		l ɪ t		
760-2		f ɪ n t		
756-2		s n ə r		
726-2		m r		
1351-2		ɡ r əʊ f f r d		
1353-2		ɡ r əʊ + d		
412-2		s v ɪ n r d		
406-2		s t l n + r		
1005-2		s + ɪ f f r d		
1012-2		s t ɪ f d d		
1016-2		f ɑː d n		
1069-2		l		
509-2		f əʊ l		
693-2		m iː l f s		
2179-2		n eɪ tʃ t		
1753-2		f əʊ t		
1131-2		r ɔ l f		
1198-2		b ɔː r		
2032-2		h ɔː r n		
2241-2		n s		
2244-2		l iː f		
610-2		k n ɪ		
945-2		h eɪ r		
1534-2		l eɪ k		
384-2		s ɪ		
1650-2		n ɔ		
1663-2		s		
2279-2		l aɪ		
471-2		s		
1385-2		s ɪ t		
792-2		r ʌ		
1111-2		m əʊ tʃ t		
197-2		s ɪ d		
2020-2		l æ ŋ		
867-2		h n d r		
1970-2		f ɔ l		
1230-2		d r d		
2017-2		n ɪ f		
968-2		w eɪ l		
1674-2		l æ n t		
1671-2		h ɔː l̩		
829-2		k l iː f		
1025-2		w əʊ r		
1027-2		s ə		
1832-2		r æ r		
-1816-2		ʌ ɡ n n n		
-335-2		l eɪ ʌ		
1043-2		s t r aɪ m		
423-2		s t ɛ		
2049-2		m eɪ n		
2062-2		s t ɔː r m		
2065-2		r ɪ r n ɔː ɡ		
1368-2		s ʌ		
1365-2		d æ r		
754-2		r ɪ r		
768-2		w eɪ k		
1211-2		f ɔː		
106-2		əʊ l n		
-98-2		b ɑː b ɪ		
719-2		f eɪ d r		
1341-2		s ʌ n		
-2027-2		t æ n		
-2026-2		n eɪ f		
409-2		s f ɪ n + r ʌ d aɪ		
402-2		s f ɪ n + d ɔː t		
1014-2		s d ɪ f + d ɔː t r		
1059-2		w ɪ		
120-2		s əʊ l		
2194-2		ʌ k		
2199-2		k ɑː l f		
2197-2		s ʌ f p		
1523-2		s ɔː		
512-2		m r		
2141-2		h n		
2147-2		ɡ l n		
814-2		k r eɪ		
810-2		d ɪ v		
1758-2		m əʊ		
1760-2		r æ t		
1620-2		f ɪ n		
1282-2		r ɑː l		
1136-2		f əʊ k		
1309-2		l əʊ		
1307-2		n aɪ t		
1305-2		f l ɔː		
711-2		w eɪ tʃ p		
1442-2		f l ɪ		
