COGID	BelejeGonfoye	Fadashi	Maiyu	Undulu
468-1	lː a b a			
222-1	a b o b o ŋ e			
208-1	a b u r b u d u			
962-1	a g o r lː e			
203-1	a g u d i			
138-1	s ɪ l l			
504-1	ɗ oː s a			
662-1	ɓ ɔː d a			
478-1	g g ɗ a			
409-1	a r e			
410-1	g u n d i			
256-1	ɓ a l e			
622-1	n d u			
546-1	n d u			
547-1	s ɛ ɔː a ʔ			
847-1	ŋ ɛ ŋ t e g e			
95-1	b ɛ ɗ i			
105-1	b ɪ n i ɲ			
510-1	b o s a			
951-1	m b ɾ m a r e			
1116-1	m b lː m a			
149-1	ɓ u dʒ ʔ i			
376-1	ɓ a l i			
815-1	g o r a			
453-1	ɗ u ŋ e			
67-1	ɗ a s e			
47-1	ɗ o k o lː ei̯			
869-1	ɗ ɔː lː a			
57-1	k a g u			
303-1	g a s ʔ i a			
443-1	g eː r a			
884-1	g u n d ɪ			
166-1	g u n d i			
918-1	a b ɛ r e			
831-1	h a s ɪ			
616-1	b iː e			
84-1	h o s ə l e			
346-1	h o h u l u			
601-1	dʒ ɪ g i			
177-1	k ʔ a ɔː a ŋ			
341-1	k ʔ o l a			
1066-1	ɔː d n s i ŋ a			
318-1	ɔː d s i			
241-1	m a s s			
556-1	h a n d u ŋ u			
191-1	ɓ ɛ m ɓ ɛ l			
458-1	a s ʔ i s ʔ i			
1-1	h a n h i r			
751-1	r o			
864-1	a ŋ o n i			
154-1	a m a n dʒ i			
278-1	a m i l u ʔ a			
766-1	s oː r a			
251-1	a g uː r u			
582-1	u ʔ o ŋ			
6-1	a l i			
1106-1	ŋ g o			
473-1	ɲ ŋ n e			
1111-1	h a lː u			
957-1	m a r e			
41-1	b ʔ e			
468-2		l aː b a		
222-2		aː b oː b o ʔ i		
208-2		a b u r b u d u		
962-2		a g o r θ e		
203-2		a g u d i ʔ		
138-2		ʃ i l l		
504-2		ɗ oː ʃ ɛ n e		
662-2		ɓ oː d aː n		
478-2		g o ɗ e		
409-2		a r e		
410-2		g u n d i		
256-2		ɓ aː l e		
