COGID	Achang	Bela	Lashi	Maru	Phon	WrittenBurmese	Zaiwa
1-1	m au ⁵						
4-1	l a ³						
18-1	n j a ŋ ³¹						
19-1	n j ɛ ³¹						
44-1	l u k ³¹						
50-1	a ŋ ³						
62-1	s ai k ³						
70-1	b a n ³¹						
75-1	n j ɔ ʔ ³¹						
97-1	j a ŋ ³						
112-1	tsʰ ɔ ³						
122-1	n j u k ³¹						
127-1	kʰ j ei ³						
132-1	j a ʔ ⁵						
133-1	n ɔ ⁵						
135-1	n au ⁵						
142-1	d i ³¹						
143-1	ŋ ɔ ʔ ³¹						
149-1	u ³¹						
152-1	ŋ a ³						
157-1	b ɔ ³						
183-1	ʔ u ³						
184-1	n u ʔ ³¹						
185-1	tsʰ a m ³						
189-1	n j ɔ ʔ ³¹						
192-1	n a ³						
195-1	n ɔ ³						
200-1	a n ⁵						
216-1	s a ŋ ³						
218-1	l ɔ ʔ ³²						
225-1	s a ŋ ³						
235-1	kʰ j ei ³¹						
244-1	s ɔ ⁵						
253-1	m ɔ ³						
270-1	n ɛ ³¹						
278-1	n j a ŋ ³¹						
279-1	j ɔ ³						
285-1	j ɔ m ³						
308-1	b ɔ ⁵						
322-1	n ɔ ³						
325-1	kʰ au ⁵						
337-1	n j a ŋ ³¹						
341-1	d j ɔ ³						
347-1	ʃ j u ʔ ³¹						
362-1	j a ³¹						
391-1	j u p ³¹						
394-1	m ɔ ʔ ³¹						
397-1	tʃʰ ei ³¹						
443-1	n j ɔ p ³¹						
460-1	s a t ³¹						
463-1	au ³¹						
464-1	ʔ u ŋ ³						
473-1	s a m ³						
476-1	kʰ j u k ³¹						
481-1	tsʰ a ³						
494-1	g j ɔ ³						
496-1	j a ŋ ³						
516-1	j ɔ ³						
522-1	n ɔ ʔ ³¹						
523-1	b j u ³¹						
524-1	n u ³						
540-1	kʰ ɔ ³						
3-1	b ɛ ³¹						
6-1	g j ɔ ³						
7-1	d a ³						
20-1	n a p ³¹						
51-1	ŋ a ⁵						
