COGID	Amharic	Argobba	Chaha	Endegagn	Ezha	Geez	Gumer	Gura	Gyeto	Harari	Inor	Kistane	Mesqan	Muher	Silte	Tigre	Tigrigna	Wolane	Zway
61-1	d ə m																		
63-1	ʔ ə r o m																		
107-1	kʼ ə n ə m																		
112-1	d ə b ə m																		
331-1	m ə bː ə u nː																		
377-1	b b ə kʼ g a r a																		
381-1	ʔ a n																		
417-1	m ə n																		
451-1	m ə dː ɨ n o																		
454-1	ʔ ə bː ə r																		
484-1	m ə ə n b																		
535-1	ʔ ə g ɨ r																		
543-1	m ə h ə s																		
593-1	ʔ ə r ə r																		
640-1	m ə m ə																		
1-1	b ə b ə r ə																		
65-1	b ə a																		
212-1	k ɨ n																		
244-1	ʔ ɨ r a bː a t																		
248-1	m u lː ə																		
293-1	s a r ə																		
373-1	kʼ ə ɨ f ə r																		
408-1	b ə g ə m a																		
414-1	d ə o bː o m ə																		
601-1	kʼ ə r a bː ə																		
642-1	k ə f a																		
60-1	n ə b ə b ə																		
115-1	m a r ə																		
209-1	s ɨ n o j																		
242-1	ʔ ɨ zː a ə s																		
415-1	m a r a t																		
450-1	m ə r u																		
490-1	d ə h ə ə ə																		
638-1	b ə l ə																		
645-1	kʼ ə r																		
160-1	d ə n ə a																		
208-1	ʔ ɨ n a ə r																		
214-1	ʔ ə r																		
378-1	ʔ ə n a bː ə s t																		
379-1	b ə h ə h o t t																		
409-1	ʔ ə g ə m a																		
598-1	dʒ ə lː ə a																		
646-1	ʔ ə h g a																		
210-1	b ə kʼ b ə m																		
215-1	ʔ ə a kʼ																		
285-1	k ə b																		
332-1	kʼ ə bː o m ə																		
380-1	ʔ a h ə r r																		
412-1	s ə h a n																		
64-1	ʔ ə h a																		
67-1	ə ə bː m																		
251-1	b ə j a a																		
294-1	g a l ə h ɨ jː a																		
597-1	b ə l a i g a m a																		
7-1	ʔ ə e b a																		
158-1	kʼ ə fː g ə s t																		
61-2		b ə																	
63-2		x ə g																	
107-2		x ə m a																	
112-2		d ə m ə e																	
331-2		m ə r j																	
377-2		b ə g																	
381-2		x a n ə n																	
417-2		m ə																	
451-2		m ə j g t																	
454-2		x ə m ə r																	
484-2		k a ɨ h d																	
535-2		x ə a r																	
543-2		k ə m a m t																	
593-2		x ə m																	
640-2		m k ə																	
1-2		d ə ə b																	
65-2		x ə h g																	
163-2		s ə a																	
212-2		x ɨ n																	
244-2		x a m d ə d																	
248-2		m i r a																	
293-2		n a r																	
373-2		dʒ d i m a																	
408-2		b ə g a r																	
414-2		d ə a d																	
642-2		k ə																	
60-2		n a n ə s																	
115-2		m a e																	
209-2		k ɨ u n																	
242-2		x ɨ m a ɨ s																	
415-2		m a r																	
450-2		m ə																	
490-2		dʒ ə h e																	
645-2		x a																	
160-2		x ə n ə d																	
208-2		x ɨ ə a ə a																	
378-2		x ɨ dʒ d t																	
379-2		x ɨ g d s																	
409-2		x a ə s																	
598-2		k ə ɨ																	
646-2		x a h a m ə																	
210-2		x ɨ f ə a a																	
215-2		x ɨ m a d																	
285-2		k ɨ a																	
380-2		tʼ a h ə a																	
412-2		s u f n																	
496-2		a m a ɨ m a d																	
64-2		tʼ a h ə																	
251-2		x ɨ e a a																	
294-2		a a a ə d d d a																	
597-2		x a e d																	
7-2		d a a b																	
158-2		a m g a s																	
61-3			d ə r																
63-3			ʔ ə g g o r																
107-3			g ə m ə r a																
112-3			ʔ ə t ə r a																
331-3			n ə g w ə s																
377-3			b t ə g g ə r a																
381-3			ʔ g o t t																
417-3			n ə r																
451-3			t ə t g a t																
454-3			ʔ ə g ə r																
484-3			ʔ ə t ɨ n g																
535-3			ʔ ə m ɨ r																
543-3			x ə t s t																
593-3			ʔ ə m ə r																
640-3			m w ə n																
1-3			b ə t ə r ə m																
65-3			ʔ ə t																
163-3			n ə tʃʼ a																
