COGID	Amharic	Argobba	Chaha	Endegagn	Ezha	Geez	Gumer	Gura	Gyeto	Harari	Inor	Kistane	Mesqan	Muher	Silte	Tigre	Tigrigna	Wolane	Zway
61-1	d a r																		
63-1	ʔ a bː r ə r																		
107-1	ʔ a m ə r a																		
112-1	d a bː ə n a																		
331-1	s a ə u r																		
377-1	ʔ ʔ a f g ə r a																		
381-1	ʔ ʔ a n																		
417-1	s a s																		
451-1	s a ɨ n t																		
454-1	ʔ a g a r																		
484-1	s a a n t																		
535-1	ʔ a n ə r																		
543-1	s a m ə s																		
593-1	ʔ a m ə r																		
640-1	m z a n																		
1-1	ʔ a bː ə r ə																		
65-1	ʔ a a																		
212-1	ʔ a n																		
244-1	ʔ a n h a t																		
248-1	m ʔ a lː b a																		
293-1	s ɨ r ə																		
373-1	kʼ d ɨ n a r																		
408-1	ʔ a g ə r ə																		
414-1	d a bː ə h o n a																		
601-1	ʔ a n a g ə																		
642-1	m a ə																		
60-1	m a n ə kʼ ə																		
115-1	ʔ a r a																		
209-1	s ɨ n o t																		
242-1	ʔ a m ɨ s																		
415-1	m ɨ n a t																		
450-1	kʼ ə r																		
490-1	ʔ a bː ə ə																		
61-2		d ə l																	
63-2		ʔ a m ə n																	
107-2		ʔ a m ə n a																	
112-2		d a gː ə n a																	
331-2		k ɨ u n																	
377-2		ʔ a dʒ a ə																	
381-2		ʔ ə n a n																	
417-2		a a kʼ																	
451-2		s a dː dʒ dʒ ə d																	
454-2		ʔ a ə r																	
484-2		s ɨ a h d i																	
535-2		ʔ a h ə n																	
543-2		s a fː ə s																	
593-2		ʔ a m																	
640-2		m k a n																	
1-2		d a d ə r a																	
65-2		d a h g																	
163-2		s a																	
212-2		ʔ a l																	
244-2		ʔ a l dʒ dʒ ə d																	
248-2		m a a a																	
293-2		d ɨ l																	
373-2		kʼ ɨ jː a n																	
408-2		ʔ a g a n a																	
414-2		d a a d ə n a																	
642-2		m a f a																	
60-2		n a f ə j a																	
115-2		ʔ a h e d																	
209-2		f ɨ h ə n d																	
242-2		ʔ a h ə s																	
415-2		m ɨ l a																	
450-2		f a h																	
490-2		d a a ə																	
61-3			t ə r																
63-3			ʔ a g ə r																
107-3			ʔ a m ə r a																
112-3			ʔ a t ə r ə																
331-3			ʒ ɨ kʼ w s																
377-3			ʔ b ə g g ə r ə																
381-3			ʔ g a g t																
417-3			w a s																
451-3			s ə h g ə t																
454-3			ʔ a t ə r																
484-3			s ɨ t ə n g																
535-3			ʔ a x ɨ r																
543-3			s a t t s t																
593-3			ʔ a m ə s																
640-3			s w a s																
1-3			d ə k ə r ə m																
65-3			t ə h																
163-3			s ə tʃʼ ə																
212-3			ʔ a r																
244-3			ʔ a m g g ə g t																
248-3			m g a r g a																
293-3			ʒ ə r ə m																
373-3			kʼ ɨ r a r																
408-3			ʔ a a r ə																
414-3			d ə p ə g ɨ r ə																
601-3			ʔ ə m a g																
642-3			s a g m ə r																
60-3			n ə g ə z ə m																
115-3			ʔ ə n a n																
209-3			ʒ ɨ m t ə g t																
242-3			ʔ a m g ə s t																
415-3			s ɨ r a t																
450-3			s ə m g																
490-3			b ə p r ə m																
61-4				kʼ a n															
63-4				ʔ a ʔ ə r															
107-4				ʔ a m ə n ə															
112-4				d a b e n ə															
331-4				s a ʔ ə s															
377-4				b b a ʔ ʔ a r ə															
381-4				ʔ ʔ ʔ a ʔ d															
417-4				s a s															
451-4				s a ʔ ʔ ʔ r t															
454-4				ʔ a t e r															
484-4				s a d ə n d															
535-4				ʔ a w ɨ n															
543-4				s a ʔ a s d															
593-4				ʔ a m ə s															
640-4				s a s															
1-4				d a b ə ə															
65-4				ʔ a h															
163-4				s a ə															
408-4				b a ə n ə															
414-4				d a b ə ʔ ə ɲː ə															
601-4				ʔ a m ə															
642-4				s ɨ ʔ f ə s															
60-4				n ɨ tʼ ə ɲː ə															
115-4				s a w ə n															
450-4				s ə m ʔ															
490-4				b a h ʔ ə															
61-5					t ə r														
63-5					ʔ a ə r														
107-5					ʔ a m ə r a														
112-5					d a b ə r ə														
331-5					ʒ ə g w r														
377-5					ʔ b ə b ə r ə														
381-5					ʔ dʒː a t														
417-5					w a kʼ														
451-5					s ə r t														
454-5					ʔ a t ə r														
484-5					s a ə n g														
535-5					ʔ a m ə r														
543-5					s a ə b t														
593-5					ʔ a m b ə r														
640-5					m w a r														
1-5					b ə tʼ ə r ə m														
65-5					t ə bː a														
163-5					s ə r														
212-5					ʔ a r														
244-5					ʔ a m b g ə g t														
248-5					m g a r g r														
293-5					ʒ ɨ r ə m														
373-5					kʼ a mː a r														
408-5					b a nː r ə														
414-5					t ə bː ə b a r ə														
601-5					ʔ ə m a b														
642-5					ʔ a nː ə r														
60-5					n a f ə z ə m														
115-5					ʔ ə n a m														
209-5					ʒ ɨ m g o g t														
242-5					ʔ a m b ə ʃ t														
415-5					m ɨ a t														
450-5					s a r														
