COGID	Amharic	Argobba	Chaha	Endegagn	Ezha	Geez	Gumer	Gura	Gyeto	Harari	Inor	Kistane	Mesqan	Muher	Silte	Tigre	Tigrigna	Wolane	Zway
61-1	d ə r																		
63-1	ʔ a r r a r t																		
107-1	g a r ə r ə																		
112-1	ʔ a r ə r a																		
331-1	m a h ə ɨ s																		
377-1	ʔ tʼ ə kʼ g ə r ə																		
381-1	ʔ ɨ ʔ ə n d ə																		
417-1	m a s																		
451-1	s a ʔ ɨ n a t																		
454-1	ʔ a h a r s a																		
484-1	m ə ə n t																		
535-1	ʔ a zː ə r																		
543-1	m a m ə s																		
593-1	ʔ a m b ə																		
640-1	m r a m ə																		
1-1	tʼ ə h ə r ə																		
65-1	tʼ a a																		
212-1	ʔ a r																		
244-1	ʔ ɨ r h kʼː a t																		
248-1	m ʔ ɨ r b ɨ																		
293-1	m a r ə																		
373-1	g ə a r a r																		
408-1	g a g ə r a																		
414-1	tʼ a t ə h ə r a																		
601-1	ʔ a r ə g ə s																		
642-1	m ə f a t																		
60-1	n ə tʼː ə sː ə																		
115-1	ʔ a r a																		
209-1	ʔ a n t u																		
242-1	ʔ a zː kʼː ə s t																		
415-1	m ɨ r ə																		
450-1	ʔ a r u																		
490-1	g ə h ə ə ə																		
638-1	g a r r ə																		
645-1	ʔ a a																		
160-1	tʼ ə r ə ə																		
208-1	ʔ a zː ʔ ə r a																		
214-1	g a r a																		
378-1	ʔ a r g h ə t t																		
379-1	g ə h ɨ f ə s t																		
409-1	ʔ ə h g ə r ə																		
598-1	kʼ ə ə r ə t																		
646-1	ʔ a f ɨ h ə																		
210-1	g ə h ə ə r a																		
215-1	ʔ a bː h ə kʼ ə																		
285-1	tʼ ə b a																		
332-1	ʔ ə s kʼ ə r																		
380-1	ʔ ə h ə r r																		
412-1	s ə h ə n																		
64-1	ʔ ə r ə t																		
67-1	a ə g h r t																		
251-1	g ə w ə a																		
294-1	g ə ə ə ə h ɨ n a t																		
597-1	ʔ a r ʔ ə h ə r ə																		
7-1	ʔ a r s a																		
158-1	ʔ ɨ h g a s																		
372-1	g ə r b ə ə																		
374-1	kʼ ə ʔ ə r t ə																		
375-1	s ə fː b																		
411-1	s a ʔ r																		
541-1	s ɨ h ɨ																		
6-1	kʼ ə r h a r ə																		
113-1	d ɨ r																		
330-1	ʔ a n b																		
448-1	kʼ ə ʔ ə n ə g ə ə t ə t																		
449-1	g a h a																		
491-1	g ə n g ə																		
596-1	n ə b a																		
4-1	kʼ ʔ ə h h t r																		
8-1	kʼ a ʔ ə h a t t																		
106-1	m ɨ s b r																		
290-1	ʔ ə h ə s ə																		
489-1	kʼ ə ə h ə r ə																		
602-1	m ɨ ʃː b																		
2-1	ʔ ʔ ɨ r r s t t																		
3-1	g ə h f a ə																		
61-2		d ə r																	
63-2		x a h m a r																	
107-2		x a m ə r a																	
112-2		ʔ ə m ə r a																	
331-2		m ɨ kʼ ɨ r s																	
377-2		x tʼ ə g a e r ə																	
381-2		ʔ ə n ə n d o																	
417-2		m a z																	
451-2		m ə j g kː a d																	
