COGID	cojubim	jaru	kitemoka	more	orowin	tapakura	tora	urupa	wanyam	wari
52-1	t t t									
56-1	u m									
96-1	a t a tʃ									
99-1	a t i k n									
114-1	t o k i									
115-1	u t n i									
133-1	t i p a a a i									
144-1	a t a w a i									
150-1	k a w									
234-1	k o m									
236-1	p i k u n									
241-1	a w i n									
249-1	i tʃ									
1-1	w a t a									
2-1	r t m									
65-1	i w									
74-1	p a n a									
106-1	t u n i t									
128-1	t o k i i									
147-1	t i m i t i									
231-1	p a n a w o									
232-1	p j i									
239-1	n a m a k a n									
266-1	i t i m									
51-1	i w i									
97-1	m a p a m									
109-1	u p i j i									
121-1	k a p i j a k i									
149-1	t o k									
160-1	k i r i k									
163-1	u p e n									
167-1	p a									
207-1	m i									
259-1	t o w a									
66-1	k a r a k a w									
134-1	n a p a t									
139-1	m a n o r i									
142-1	p a t a m									
145-1	k a t a t i tʃ i									
148-1	t a a a r									
162-1	i n i n									
166-1	i m i									
179-1	t a									
201-1	p i									
21-1	k a r									
24-1	t a k a k a									
50-1	i n a									
57-1	t a k a w a n									
84-1	p i w a n									
91-1	m o k o n									
131-1	t i k a t i m									
151-1	k i w									
154-1	w e									
192-1	t u t									
197-1	t a m									
205-1	i p a n									
227-1	w a p i i t									
246-1	i w i									
251-1	w a n a									
52-2		t t e								
56-2		k m e								
96-2		a t a j								
99-2		a t i k n								
114-2		t o k i								
115-2		r t i i								
133-2		t i p r r i								
144-2		a t a a a i i								
150-2		k a a								
234-2		k o m								
236-2		p i k i								
241-2		a a i								
249-2		i e e								
74-2		p a a								
93-2		t o p a k i e								
95-2		w i k i								
106-2		t i i k								
119-2		i i t t i i								
128-2		k o k i								
147-2		t i m i e								
231-2		p a a a o								
232-2		p i p i								
239-2		m a m a k a								
266-2		i t i m								
51-2		i w i								
55-2		i t a m								
97-2		m a p o m								
121-2		k a p i j r k i								
163-2		i p e								
167-2		p a								
259-2		t o w a								
66-2		k a k a k a w								
112-2		t r a r j t k i								
116-2		t o p a k a								
125-2		k a t i m a e								
135-2		k i m i j								
139-2		m o k o k i								
142-2		p a a r m m								
148-2		t r a a k								
162-2		i j i								
166-2		i m i								
179-2		t a								
45-2		k t i j a m m								
84-2		p i w a								
131-2		t r k s t i m e								
146-2		k i m m a								
154-2		w e e								
192-2		t i t								
197-2		t r k i m								
235-2		e o w i								
237-2		m i m a t i								
246-2		i w i								
250-2		m o p o t o k								
52-3			tʃ tʃ e							
56-3			i m a							
96-3			i tʃ i							
99-3			a t i k							
114-3			tʃ o k e							
115-3			k t i							
133-3			tʃ i p a a a							
144-3			i t i i i i							
150-3			k i w							
234-3			k e m							
236-3			p i k k							
241-3			i u i							
249-3			i a e							
1-3			i i tʃ i							
2-3			i i m							
65-3			i i i							
93-3			tʃ e p i k i i							
