COGID	AntangWesternSandong	BanliangYangAn	DujiangEasternSandong	JiaoliPandong	JiarongSouthernSandong	JiuqianSouthernSandong	Pandong	RenliEasternSandong	SanjiangEasternSandong	ShuigenCentralSandong	ShuiweiSouthernSandong	ShuiyaoSouthernSandong	TangnianYangAn	TangzhouWesternSandong	TingpaiWesternSandong	ZhongheCentralSandong
3481	m aːu ¹			m aːu ¹			m aːu ¹					m aːu ¹		m aːu ¹		m aːu ¹
8448	l aː m ¹	l aː m ¹	l aː m ¹	l aː m ¹	l aː m ¹	l aː m ¹	l aː m ¹	l aː m ¹	l aː m ¹	l aː m ¹	l aː m ¹		l aː m ¹	l aː m ¹	l aː m ¹	l aː m ¹
7100								kʰ a ŋ ¹	kʰ a ŋ ¹							
8922		q au ¹	q au ¹		q au ¹	q au ¹		q au ¹	q au ¹	q au ¹	q au ¹	q au ¹	q au ¹	q au ¹	q au ¹	q au ¹
5486		pʰ u ¹		pʰ u ¹				pʰ u ¹	pʰ u ¹				pʰ u ¹			
1851	h j e ¹		h j a ¹					h j a ¹	h j a ¹							
8314					ˀd a p ¹		ⁿd a p ¹									
7816	ʔ a m ¹	ʔ a m ¹	ʔ a m ¹	ʔ a m ¹	ʔ a m ¹	ʔ a m ¹	ʔ a m ¹	ʔ a m ¹	ʔ a m ¹	ʔ a m ¹	ʔ a m ¹	ʔ a m ¹	ʔ a m ¹	ʔ a m ¹	ʔ a m ¹	ʔ a m ¹
7834				t a n ¹			t a n ¹									
4041								ts u m ¹	ts u m ¹							
5285					ˀd aːu ¹	ˀd aːu ¹					ˀd aːu ¹	ˀd aːu ¹				
470	t u ŋ ¹	t u ŋ ¹						t u ŋ ¹			t u ŋ ¹				t u ŋ ¹	t u ŋ ¹
4587				t i ¹			t i ¹	t i ¹								
3662	p aːu ¹	p aːu ¹	p aːu ¹	p aːu ¹			p aːu ¹	p aːu ¹	p aːu ¹	p aːu ¹			p aːu ¹	p aːu ¹	p aːu ¹	p aːu ¹
8279			l a ¹				l a ¹			l a ¹						
5569						ȶʰ a ¹					ȶʰ a ¹					
3262	l aː k ¹	l a k ¹	l aː k ¹		l aː k ¹	l aː k ¹	l aː k ¹	l aː k ¹	l aː k ¹	l aː k ¹	l aː k ¹		l aː k ¹	l aː k ¹	l aː k ¹	l aː k ¹
8208		l j o ¹											l j o ¹			
2941		m ai ¹											m ai ¹			
10091	s ə k ¹	ts u k ¹	s u k ¹	s o k ¹	s j i k ¹	s j ə k ¹	s ə k ¹	s ə k ¹	s ə k ¹	s ə k ¹	s j ə k ¹	s i k ¹	s ə k ¹	s ə k ¹	s ə k ¹	s u k ¹
8281					ˀd a ¹			ȶ a ¹	ȶ a ¹		t a ¹	ˀd a ¹		ȶ a ¹	ȶ a ¹	ȶ a ¹
1715							h j ã ¹	h a ¹								
2569		n u n ¹	n u n ¹		n u n ¹			n u n ¹	n u n ¹	n u n ¹	n u n ¹			n u n ¹	n u n ¹	
7486	j eu ¹		j eːu ¹	j j u ¹					j j u ¹	j j u ¹				j j u ¹		j j eu ¹
2750		q u ¹														k u ŋ ¹
7262	qʰ a n ¹	qʰ a n ¹	qʰ a n ¹	qʰ a n ¹	qʰ a n ¹	qʰ a n ¹		qʰ a n ¹	qʰ a n ¹	qʰ a n ¹	qʰ a n ¹	qʰ a n ¹	qʰ a n ¹	qʰ a n ¹	qʰ a n ¹	qʰ a n ¹
492	t j e m ¹	t i m ¹	t j e m ¹	t j i m ¹	t j e m ¹	t j e n ¹	t j ə m ¹		t j e m ¹	t j e m ¹	t j e m ¹	t j e m ¹	t i m ¹	t i m ¹	t j a m ¹	
3934	ˀm aː n ¹	m aː n ¹								ˀm aː n ¹			m aː n ¹	ˀm aː n ¹	ˀm aː n ¹	ˀm aː n ¹
3916		t j au ¹											ȶʰ a ¹		ȶʰ a ¹	
