COGID	BanPaw	ChaYeQing	ChuDongGua	GuangKa	HtanHsan	KhunHawt	MangBang	ManLoi	MengDan	NamHsan	NanSang	NoeLae	NyaungGone	PangKham	PongNuea	XiangZhaiTang
1859-1	ŋ ɛ															
175-1	g a															
241-1	ʔ u ʔ															
2163-1	kʰ u n															
2181-1	n a m															
2060-1	ʔ ɨ m															
410-1	d ai̯															
1841-1	m j̊															
2017-1	h ɔ															
1004-1	j̊ m															
614-1	b ou̯ h															
686-1	b l ɨi̯															
88-1	g ɔ ʔ															
872-1	n ɨ ŋ															
1891-1	d m															
68-1	s ɨi̯ m															
631-1	b a n															
594-1	g m															
1759-1	h a n															
805-1	g ɨ ɲ															
756-1	h ɨ ʔ															
1201-1	m o ʔ															
2042-1	ʔ ɛ															
1968-1	d a ʔ															
2000-1	m m ŋ															
17-1	v ă ʔ															
4-1	ə m															
788-1	d ɛ															
1219-1	h ɨi̯ m															
141-1	ʔ m ŋ															
541-1	b r j a ŋ															
1687-1	h u n															
123-1	m m															
1652-1	c ɨ n															
576-1	ŋ ɔ															
1738-1	d a g															
442-1	h o m															
368-1	d j a ŋ															
1778-1	p ă ʔ															
957-1	n ɔ															
1704-1	ʔ ɨi̯ ʔ															
304-1	j ɔ m															
1796-1	c ɔ ŋ															
720-1	t ɛ h															
287-1	g ə p															
321-1	g o h															
206-1	d ou̯ ʔ															
1950-1	ʔ ə															
665-1	o n															
703-1	n ou̯ ʔ															
1290-1	m ai̯															
1391-1	k ɔ ʔ															
269-1	g ɔ ʔ															
855-1	c ɔ n															
2078-1	s ɨ															
2213-1	m ɛ															
1858-1	s a															
1151-1	g j a n															
737-1	p r t															
1859-2		ŋ ai̯														
175-2		k a														
241-2		ʔ uː ʔ														
2163-2		kʰ uː n														
2181-2		n a m														
2060-2		ʔ oː m														
410-2		d aːi̯														
1841-2		m tɕʰ														
2017-2		h ɔːi̯														
1004-2		tɕʰ u														
614-2		b o h														
686-2		b l ɔi̯														
88-2		g ɔ k														
872-2		n ɨ ŋ														
1891-2		d u														
68-2		s i m														
631-2		b ə n														
594-2		k u														
1759-2		h a n														
805-2		k i n														
756-2		h ɨ k														
1201-2		m oː ʔ														
2042-2		ʔ a														
1968-2		d a ʔ														
2000-2		m m ŋ														
17-2		v a ʔ														
4-2		eːu̯ m														
788-2		d ai̯														
1219-2		h i m														
141-2		ʔ m ŋ														
541-2		l ɣ o ɔ ŋ														
1687-2		h uː n														
123-2		m m														
1652-2		dʑ i n														
576-2		ŋ ɔ														
1738-2		d a k														
442-2		h oː m														
368-2		d o ɔ ŋ														
1778-2		b a ʔ														
957-2		n ɔ b														
1704-2		ʔ i ʔ														
304-2		dʑ a m														
1796-2		dʑ a ŋ														
720-2		d h														
287-2		k u b														
321-2		g o h														
206-2		d o k														
1950-2		ʔ b														
665-2		au̯ n														
703-2		n o ʔ														
1290-2		m aːi̯														
1391-2		g ɔ ʔ														
269-2		g ɔ ʔ														
855-2		dʑ a n														
2078-2		s i														
2213-2		m ai̯														
1859-3			ŋ aːi̯													
175-3			k a													
241-3			ʔ uː t													
2163-3			kʰ uː r													
2181-3			n a m													
2060-3			ʔ ɔː m													
410-3			ɗ ai̯													
1841-3			m v													
2017-3			h i													
1004-3			j̊ ai̯													
614-3			ɓ o h													
686-3			b l i													
88-3			k a ʔ													
872-3			n ɨː ŋ													
1891-3			ɗ ai̯													
68-3			s iː m													
631-3			b a r													
594-3			k ai̯													
1759-3			h a ɲ													
805-3			k iː ɲ													
756-3			h ɨː ʔ													
1201-3			m ɔː ʔ													
2042-3			ʔ a													
1968-3			ɗ a ʔ													
2000-3			m m ŋ													
17-3			v a d													
4-3			ɨː m													
788-3			ɗ aːi̯													
1219-3			h iː m													
141-3			ʔ m ŋ													
541-3			b r j a ŋ													
1687-3			h uː r													
123-3			m m													
1652-3			dʑ iː ɲ													
576-3			ŋ ɔː													
1738-3			ɗ a k													
442-3			h ɔː m													
368-3			ɗ j a ŋ													
1778-3			b a d													
957-3			n a b													
1704-3			ʔ iː ʔ													
304-3			j a m													
1796-3			dʑ a ŋ													
720-3			d a h													
287-3			k ə b													
321-3			k o h													
206-3			ɗ o ʔ													
1950-3			ʔ ɨː													
665-3			ɔː n													
703-3			n o ʔ													
1290-3			m ai̯													
1391-3			k a t													
269-3			k a t													
855-3			dʑ a n													
2078-3			s ə													
2213-3			m aːi̯													
1858-3			s a													
1151-3			k j a r													
737-3			b r d													
1859-4				ŋ ai̯												
175-4				k a												
241-4				ʔ uː ʔ												
2163-4				t uː n												
2181-4				n a m												
2060-4				ʔ iː m												
410-4				t aːi̯												
1841-4				m tɕʰ												
2017-4				h ɔː												
1004-4				tɕʰ a												
614-4				b o h												
686-4				p l ɔː												
88-4				k ai̯ k												
872-4				n ɨ ŋ												
1891-4				t a												
68-4				s iː m												
631-4				p ə n												
594-4				k a												
1759-4				h a n												
805-4				k iː n												
756-4				h ɨ k												
1201-4				m au̯ ʔ												
2042-4				ʔ a												
1968-4				t ə ʔ												
2000-4				m m ŋ												
17-4				v ai̯ ʔ												
4-4				əː m												
788-4				t ai̯												
1219-4				ʔ iː m												
141-4				ʔ m ŋ												
541-4				p j ə ŋ												
1687-4				h uː n												
123-4				m m												
1652-4				dʑ iː n												
576-4				ŋ ɔː												
1738-4				t a k												
442-4				h ɔː m												
368-4				t j ə ŋ												
1778-4				b ai̯ ʔ												
957-4				n ə b												
1704-4				ʔ iː ʔ												
304-4				j ə m												
1796-4				dʑ ɔ ŋ												
720-4				d ai̯ h												
287-4				k ə b												
321-4				k o h												
206-4				t o k												
1950-4				ʔ b												
665-4				o n												
703-4				n o k												
1290-4				m aːi̯												
1391-4				k ai̯												
269-4				k ɔː												
855-4				dʑ ɔː n												
2078-4				s ɔː												
2213-4				m ai̯												
1858-4				s a												
1151-4				k j ə n												
737-4				b d												
1859-5					ŋ ei̯											
175-5					k a											
241-5					ʔ uː ʔ											
2163-5					kʰ uː n											
2181-5					n a m											
2060-5					ʔ ɨː m											
410-5					ɗ ei̯											
1841-5					m m̥											
2017-5					h ei̯											
1004-5					uː											
614-5					b o h											
686-5					b l ei̯											
88-5					k a ʔ											
872-5					n ɨː ŋ											
1891-5					ɗ uː											
68-5					s i m											
631-5					b ə n											
594-5					k uː											
1759-5					h a ɲ											
805-5					k ei̯ ŋ											
756-5					h ɨː k											
1201-5					m oː ʔ											
2042-5					ʔ a											
1968-5					ɗ e ʔ											
2000-5					m uː ŋ											
17-5					ɓ e ʔ											
4-5					əː m											
788-5					ɗ ei̯											
1219-5					h i m											
141-5					ʔ uː ŋ											
