COGID	AchangLongchuan	Atsi	Bola	Lashi	Maru	OldBurmese	ProtoBurmish	Rangoon	Xiandao
665-1	n ɔ ⁵⁵								
495-1	n u ³¹								
838-1	ʐ a ʔ ⁵⁵								
438-1	ʐ a ʔ ⁵⁵								
334-1	l a ʔ ⁵⁵								
360-1	l i ³¹								
394-1	n a ³¹								
221-1	i ³⁵								
202-1	k au ³¹								
935-1	au ³¹								
93-1	ɔ ³¹								
7-1	p a n ³¹								
664-1	oi ŋ ⁵⁵								
246-1	x a ʔ ⁵⁵								
547-1	ʐ ai k ⁵⁵								
555-1	i m ⁵⁵								
464-1	m au ³¹								
119-1	i ³¹								
835-1	ʐ ai ⁵⁵								
79-1	a ³¹								
693-1	n u ⁵⁵								
477-1	n a p ³¹								
891-1	tʰ ə ŋ ³¹								
528-1	ʐ o ⁵⁵								
797-1	x ʐ au ʔ ⁵⁵								
493-1	n i ʔ ⁵⁵								
217-1	ʑ a p ⁵⁵								
896-1	u t ⁵⁵								
452-1	ʐ u ʔ ⁵⁵								
580-1	ʐ a ⁵⁵								
833-1	n a ⁵⁵								
390-1	m w a ŋ ³¹								
696-1	n ui ⁵⁵								
86-1	tʰ u ŋ ⁵⁵								
384-1	m a n ³⁵								
61-1	t a m ⁵⁵								
536-1	ʂ a ʔ ⁵⁵								
731-1	s a ³¹								
779-1	ɔ ⁵⁵								
589-1	tʰ a ⁵⁵								
658-1	ʑ a m ⁵⁵								
456-1	ȵ a ŋ ³¹								
183-1	k tɕ a ³¹								
785-1	x ɔ ³¹								
714-1	au ⁵⁵								
331-1	l ɔ ³¹								
665-2		ŋ o ⁵¹							
495-2		n o ⁵⁵							
838-2		j i ʔ ⁵¹							
438-2		j o ʔ ⁵⁵							
334-2		l o ʔ ²¹							
360-2		l ai ²¹							
394-2		m j i ²¹							
221-2		j u ²¹							
202-2		k u ²¹							
935-2		u ²¹							
93-2		n u ²¹							
7-2		p u n ²¹							
664-2		v u ŋ ⁵¹							
246-2		k o ʔ ²¹							
547-2		s i k ²¹							
555-2		j i m ⁵¹							
464-2		m u ²¹							
119-2		i ŋ ²¹							
835-2		n a p ⁵⁵							
79-2		tʰ u ²¹							
693-2		ŋ u ⁵¹							
477-2		ŋ a ²¹							
891-2		tʰ i ŋ ⁵⁵							
528-2		v o ⁵¹							
797-2		k j u ʔ ⁵⁵							
493-2		n i k ²¹							
217-2		j a p ²¹							
896-2		u t ⁵⁵							
452-2		m j u ʔ ⁵¹							
580-2		s u ʔ ⁵⁵							
833-2		n o ⁵¹							
390-2		m a ŋ ²¹							
696-2		ŋ u ⁵¹							
86-2		tʃʰ u ŋ ⁵¹							
384-2		m a n ⁵⁵							
61-2		tʃʰ a m ²¹							
536-2		ʃ o ʔ ⁵⁵							
731-2		ʃ i ²¹							
779-2		o ⁵¹							
589-2		tʰ a ŋ ⁵¹							
680-2		ŋ o ʔ ⁵⁵							
658-2		v a m ⁵¹							
456-2		m j a ŋ ²¹							
183-2		k v i ²¹							
785-2		kʰ o ²¹							
714-2		u t ⁵⁵							
331-2		l o ²¹							
665-3			ŋ a ⁵⁵						
495-3			n au ³⁵						
838-3			j a ³¹						
438-3			m j a ʔ ³¹						
334-3			l a ʔ ³¹						
360-3			l i ³¹						
394-3			n j i ³¹						
221-3			j a ʔ ³¹						
